聽審 听审 [01\[ tīng shěn\]]	to attend court;to take part in a trial
聽審會 听审会 [01\[ tīng shěn huì\]]	(legal) hearing
聽寫 听写 [01\[ tīng xiě\]]	dictate;dictation
聽小骨 听小骨 [01\[ tīng xiǎo gǔ\]]	ossicles (of the middle ear);three ossicles
聽得懂 听得懂 [01\[ tīng de dǒng\]]	to understand (by hearing);to catch (what sb says)
聽得見 听得见 [01\[ tīng dé jiàn\]]	audible
聽從 听从 [01\[ tīng cóng\]]	to listen and obey;to comply with;to heed;to hearken
聽憑 听凭 [01\[ tīng píng\]]	to allow (sb to do as he pleases)
聽戲 听戏 [01\[ tīng xì\]]	to go to the opera
聽書 听书 [01\[ tīng shū\]]	to listen to stories;to listen to performance of 說書|说书 storytelling
聽清 听清 [01\[ tīng qīng\]]	to hear clearly
聽牆根 听墙根 [01\[ tīng qiáng gēn\]]	to eavesdrop;to listen in secret to sb's conversations
聽牆根兒 听墙根儿 [01\[ tīng qiáng gēn 5r\]]	erhua variant of 聽牆根|听墙根
聽眾 听众 [01\[ tīng zhòng\]]	audience;listeners
聽筒 听筒 [01\[ tīng tǒng\]]	a can (loan from english tin);headphone;earphone;earpiece;stethoscope
聽者 听者 [01\[ tīng zhě\]]	listener;member of audience
聽而不闻 听而不闻 [01\[ tīng ér bù wén\]]	to pretend not to hear;to hear but not react;to ignore deliberately
聽聞 听闻 [01\[ tīng wén\]]	to listen;to hear what sb says;news one has heard
聽膩了 听腻了 [01\[ tīng nì le\]]	fed up of hearing
聽見 听见 [01\[ tīng jiàn\]]	hear
聽覺 听觉 [01\[ tīng jué\]]	sense of hearing
聽診器 听诊器 [01\[ tīng zhěn qì\]]	stethoscope;medical device to listen to heart rate
聽話 听话 [01\[ tīng huà\]]	to do what one is told;obedient
聽說 听说 [01\[ tīng shuō\]]	to hear told
聽說過 听说过 [01\[ tīng shuō guo\]]	to hear said
聽講 听讲 [01\[ tīng jiǎng\]]	attend a lecture;listen to a talk
聽證會 听证会 [01\[ tīng zhèng huì\]]	(legislative) hearing
聽起來 听起来 [01\[ tīng qi lai\]]	to sound like
聽閾 听阈 [01\[ tīng yù\]]	audibility threshold
聽隨 听随 [01\[ tīng suí\]]	to obey;to allow
聽頭 听头 [01\[ tīng tóu\]]	a can (loan from english tin)
聽骨 听骨 [01\[ tīng gǔ\]]	ossicles (in the middle ear);also written 聽小骨|听小骨
聽骨鏈 听骨链 [01\[ tīng gǔ liàn\]]	chain of ossicles (in the middle ear)
聾 聋 [01\[ lóng\]]	deaf
聾啞人 聋哑人 [01\[ lóng yǎ rén\]]	a deaf mute person
聿 聿 [01\[ yù\]]	(arch. introductory particle);then;and then
肄 肄 [01\[ yì\]]	descendants;distress;practice
肅 肃 [01\[ sù\]]	gansu;respectful
肅北蒙古族自治縣 肃北蒙古族自治县 [01\[ sù běi méng gǔ zú zì zhì xiàn\]]	subei mengguzu autonomous county in gansu
肅南裕固族自治縣 肃南裕固族自治县 [01\[ sù nán yù gù zú zì zhì xiàn\]]	su'nan yuguzu autonomous county in gansu
肅反 肃反 [01\[ sù fǎn\]]	purge of counter-revolutionary elements (esp. stalin's purges of the 1930 and mao's purges 1955-57);abbr. for 肅清反革命份子|肃清反革命分子
肅反運動 肃反运动 [01\[ sù fǎn yùn dòng\]]	purge of counter-revolutionary elements (esp. stalin's purges of the 1930 and mao's purges 1955-57);abbr. for 肅反肅清反革命份子|肃清反革命分子运动
肅寧 肃宁 [01\[ sù níng\]]	(n) suning (place in hebei)
