警 警 [01\[ jǐng\]]	to alert;to warn;police
警備 警备 [01\[ jǐng bèi\]]	guard;garrison
警備區 警备区 [01\[ jǐng bèi qū\]]	garrison area;command
警力 警力 [01\[ jǐng lì\]]	police strength (i.e. number of officers at the scene)
警區 警区 [01\[ jǐng qū\]]	policeman's round;patrol;beat
警句 警句 [01\[ jǐng jù\]]	aphorism
警告 警告 [01\[ jǐng gào\]]	to warn;to admonish
警報 警报 [01\[ jǐng bào\]]	(fire) alarm;alert signal;alarm;alert;warning
警報器 警报器 [01\[ jǐng bào qì\]]	siren
警官 警官 [01\[ jǐng guān\]]	constable;police officer
警察 警察 [01\[ jǐng chá\]]	police;policeman;policewoman
警察局 警察局 [01\[ jǐng chá jú\]]	police department
警察廳 警察厅 [01\[ jǐng chá tīng\]]	national police agency (japan)
警悟 警悟 [01\[ jǐng wù\]]	on the alert;keenly aware
警惕 警惕 [01\[ jǐng tì\]]	vigilant;alert;on guard;to raise one's guard
警惕性 警惕性 [01\[ jǐng tì xìng\]]	vigilance;alertness
警戒 警戒 [01\[ jǐng jiè\]]	to warn;to be alert for
警探 警探 [01\[ jǐng tàn\]]	police detective
警方 警方 [01\[ jǐng fāng\]]	police
警服 警服 [01\[ jǐng fú\]]	police uniform
警棍 警棍 [01\[ jǐng gùn\]]	police truncheon
警標 警标 [01\[ jǐng biāo\]]	buoy;navigation marker
警民 警民 [01\[ jǐng mín\]]	the police and the people (usually in opposition)
警民衝突 警民冲突 [01\[ jǐng mín chōng tū\]]	a clash between the police and the people
警犬 警犬 [01\[ jǐng quǎn\]]	police dog
警種 警种 [01\[ jǐng zhǒng\]]	police classification;subdivision of policing activities (traffic
警笛 警笛 [01\[ jǐng dí\]]	siren
警號 警号 [01\[ jǐng hào\]]	alarm;alert;warning signal
警衛 警卫 [01\[ jǐng wèi\]]	(security) guard
警覺 警觉 [01\[ jǐng jué\]]	vigilance
警訊 警讯 [01\[ jǐng xùn\]]	warning sign;police call
警車 警车 [01\[ jǐng chē\]]	police vehicle
警醒 警醒 [01\[ jǐng xǐng\]]	to be alert
警鈴 警铃 [01\[ jǐng líng\]]	alarm bell;call signal
警鐘 警钟 [01\[ jǐng zhōng\]]	alarm bell
警闢 警辟 [01\[ jǐng pì\]]	profound
譩 譩 [01\[ yī\]]	variant of 噫
譫 谵 [01\[ zhān\]]	incoherent talk;talkative
譬 譬 [01\[ pì\]]	give an example
譬喻 譬喻 [01\[ pì yù\]]	simile;rhetorical comparison (that contains an explicit link word 如同
譬如 譬如 [01\[ pì rú\]]	for example;for instance;such as
譭 毁 [01\[ huǐ\]]	defame;to slander
譯 译 [01\[ yì\]]	to translate;to interpret
譯名 译名 [01\[ yì míng\]]	translated names;transliteration
譯員 译员 [01\[ yì yuán\]]	interpreter;translator (esp. oral)
譯成 译成 [01\[ yì chéng\]]	to translate into (chinese
譯文 译文 [01\[ yì wén\]]	translated text
譯者 译者 [01\[ yì zhě\]]	translator (of writing)
譯詞 译词 [01\[ yì cí\]]	translated word (such as company 公司 or bus 巴士 or club 俱樂部|俱乐部)
譯音 译音 [01\[ yì yīn\]]	phonetic transcription;transliteration
議 议 [01\[ yì\]]	criticize;discuss
議事 议事 [01\[ yì shì\]]	to discuss official business
議價 议价 [01\[ yì jià\]]	to bargain;to negotiate a price
議和 议和 [01\[ yì hé\]]	to negotiate peace
議和團 议和团 [01\[ yì hé tuán\]]	erroneous variant of 義和團|义和团
議員 议员 [01\[ yì yuán\]]	member (of a legislative body);representative
議定書 议定书 [01\[ yì dìng shū\]]	protocol;treaty
