ren2 zhang3	4-28057-S
ren2 zhang3 guo3	4-28111-S
ren2 zhen1 shi4	45-40686-S
ren2 zhen4 fen4	4-34366-S
ren2 zhen4 jing1	4-34516-S
ren2 zheng4 wu4 zheng4	4-16333-B
ren2 zhi1	2-17902-S
ren2 zhi1 di2	54-43222-S
ren2 zhi1 ju3	69-59540-S
ren2 zhi1 lu4	17-50257-S
ren2 zhi1 wei1	3-12489-S
ren2 zhi3 ma3	49-21579-S
ren2 zhi4	4-16552-B
ren2 zhi4 shi4	4-20172-S
ren2 zhong1	4-5647-B
ren2 zhong1 cheng2 juan4 shu3	32-33225-S
ren2 zhong3	4-15132-B,32-39222-S,44-44465-S
ren2 zhu3 yi4	5-52620-S
ren2 zhu4	37-8948-S
ren2 zhu4 mu4	23-27695-S
ren2 zhu4 yi4	23-27595-S
ren2 zi3	4-8023-B,16-36477-B,63-29806-S
ren2 zi4 rao3	23-3448-S
ren2 zu2	19-63788-S
ren3	2-9151-S,12-12409-S,16-4508-S,19-65493-S,23-43917-S,24-42505-B,24-43266-S,34-23974-B,35-62583-S,41-16015-S,47-30388-B,52-36590-B,53-44218-S,54-16905-B,54-19469-B,66-47524-S
ren3 bu4 ba2	16-4554-S
ren3 bu5 zhu4	24-42557-B
ren3 chi3	24-43089-B
ren3 chi3 ru3	12-67653-S
ren3 de5 zhu4	24-42924-B
ren3 du3	25-46843-S
ren3 gou4 tou1 sheng1	24-42815-B
ren3 ji1 ai2 e4	24-44174-B
ren3 jian4	45-15041-S
ren3 jun4	24-42626-B
ren3 jun4 bu4 jin1	24-42667-B
ren3 nai4	24-43503-B
ren3 nai4 li4	24-43598-B
ren3 qi4 tun1 sheng1	24-43144-B
ren3 rang4	24-43660-B
ren3 ru3 fu4 zhong4	24-44065-B
ren3 ru3 han2 gou4	24-43852-B
ren3 ru3 qiu2 quan2	24-43970-B
ren3 ru3 tou1 sheng1	24-43744-B
ren3 shi4	45-15174-S
ren3 shou4	2-2711-S,24-42769-B,40-56004-S
ren3 tong4	24-43393-B
ren3 wen2	25-46988-S
ren3 wu2 ke3 ren3	24-43266-B
ren3 xin1	24-43001-B
ren3 zhe3	24-43454-B
ren4	1-46021-S,1-68245-S,2-31616-S,3-3834-S,4-29921-B,4-41235-B,5-23104-S,5-43028-S,5-62463-S,6-64075-S,7-64306-S,8-519-S,8-6205-S,8-34811-S,8-48173-S,8-48933-B,9-5800-S,9-18237-S,9-31710-S,10-4026-S,11-26158-S,11-27454-S,11-59582-S,12-11348-S,12-66933-S,16-5200-S,16-5888-S,18-33956-B,18-40872-S,19-55478-S,20-37821-S,21-9296-S,22-29775-S,24-66872-B,26-168-S,26-62095-S,28-12015-S,28-29668-S,28-36731-S,29-22506-S,29-48912-S,30-43814-S,32-39575-S,35-51577-S,38-498-S,40-43492-S,41-51592-B,41-55767-S,42-46313-S,42-49406-S,43-48554-S,44-36868-S,46-34004-S,46-52214-B,49-14335-B,49-24533-B,49-39725-B,50-26859-S,50-26969-S,50-40273-S,50-42658-S,51-53054-S,51-69277-S,52-8138-B,53-10860-S,53-14033-S,54-56611-B,56-49099-B,57-64016-B,58-19734-B,59-32336-S,59-40521-S,60-24794-S,60-29402-S,61-1648-B,61-15456-S,61-35943-S,61-38102-S,61-59979-S,62-19570-S,63-55725-S,66-19925-S,66-64114-S,67-8719-S,68-10849-B,69-5049-B,69-21075-S,70-9848-S,70-56241-B,71-36939-S
ren4 an4	1-68498-S
ren4 bian4	4-42048-B
ren4 bu4 ba2	16-5950-S
ren4 chu1	58-20041-B
ren4 cong2	4-42919-B
ren4 cuo4	58-22541-B
ren4 dai4	68-10915-B
ren4 dan4	4-43883-B
ren4 de5	58-20576-B
ren4 ding4	58-20384-B
ren4 dong4 yi4	1-68297-S
ren4 er2 jie3	61-44878-S
ren4 fa2	58-21490-B
ren4 gan3	59-40718-S
ren4 gou4	58-22389-B,60-24871-S
ren4 gu3 quan2	6-57381-S
ren4 he2	4-41870-B
ren4 he2 qi2 ta1	4-41986-B
ren4 he2 ren2	4-41936-B
ren4 ji1	50-26910-S
ren4 jiao3	58-21543-B
ren4 jiao4	4-43396-B
ren4 jiu4	4-42763-B
ren4 ke3	58-20099-B
ren4 ke4	4-43934-B
ren4 lao2 ren4 yuan4	4-42558-B
ren4 li3 shi4 guo2	22-29820-S
ren4 ling3	58-22621-B
ren4 mian3	4-42201-B
ren4 ming2	58-20665-B
ren4 ming4	4-42705-B,58-20232-B
ren4 nei4	4-42258-B
ren4 pei2	58-22228-B
ren4 pi2 bu4	68-11001-B
ren4 ping2	4-43231-B
ren4 qi1	4-43467-B,50-34774-S
ren4 qi2 zi4 ran2	4-42308-B
ren4 qi4	4-43514-B
ren4 qin1	58-21656-B
ren4 qing1	58-20927-B
ren4 qing2	4-43038-B
ren4 ren2	4-41517-B,51-22762-S,58-19786-B
ren4 ren2 r5	58-19883-B
ren4 ren2 wei2 qin1	4-41576-B
ren4 ren2 wei2 xian2	4-41706-B
ren4 san1 ba3 huo3	30-46964-S
ren4 shen1	16-62913-S,18-33990-B
ren4 shen1 shi4 yan4	18-34044-B
ren4 sheng1	58-21114-B
ren4 shi4	4-41451-B
ren4 shi5	25-40770-S,42-55017-S,58-21789-B,62-51038-S
ren4 shi5 bu4 neng2	58-21926-B
ren4 shi5 lun4	58-21988-B
ren4 shu1	58-22481-B
ren4 si1 ke4	28-9364-S
ren4 si3 kou4 r5	58-20727-B
ren4 si3 li3	58-20788-B
ren4 si3 li3 r5	58-20839-B
ren4 sui2	4-44476-B
ren4 suo3	4-43321-B
ren4 ti3	68-11050-B
ren4 ting1	4-43792-B
ren4 tong2	58-20169-B
ren4 tou2	58-22731-B
ren4 tou2 piao4	1-68410-S
ren4 wei2	58-21041-B
ren4 wu4	19-5013-S,58-9773-S
ren4 wu4 lan2	4-42507-B
ren4 wu5	4-42442-B,16-53167-S
ren4 wu5 lian2	41-56645-S
ren4 xia2	4-42116-B
ren4 xian2 shi3 neng2	4-44001-B
ren4 xin1	59-40651-S
ren4 xing4	4-42973-B,68-10957-B
ren4 xuan3	4-44163-B
ren4 yi1 ge4	4-41312-B
ren4 yi4	4-43119-B
ren4 yi4 qiu2	4-43178-B
ren4 yong4	4-43564-B
ren4 you2	4-43619-B
ren4 yuan4	4-42558-S
ren4 zei2 zuo4 fu4	58-22059-B
ren4 zhang4	2-29576-S,58-22310-B
ren4 zhe3	50-42720-S
ren4 zhen1	58-21168-B
ren4 zheng4	58-21727-B
ren4 zhi1	49-24631-B,58-21253-B
ren4 zhi1 shen2 jing1 xin1 li3 xue2	58-21311-B
ren4 zhi2	4-43736-B
ren4 zhi4	59-40579-S
ren4 zhong4	4-44249-B
ren4 zhong4 dao4 yuan3	4-44306-B
ren4 zhu3 yi4	2-11725-S
ren4 zhun3	58-20989-B
ren4 zi4	58-20323-B
ren4 zui4	58-21426-B
ren4 zuo4	58-19956-B
ren5	17-5117-S,17-62811-S,21-19205-S,25-32736-S,33-10033-S
reng	3-26830-S,4-24468-B,26-50953-B,46-46874-B,53-63886-B,66-37102-B,68-41624-S
reng diao	26-51062-B
reng jiu	4-24555-B
reng qi	26-51124-B
reng ran	4-24511-B
reng xia	26-50999-B
reng1	3-26830-S,26-50953-B
reng1 diao4	26-51062-B
reng1 qi4	26-51124-B
reng1 xia4	26-50999-B
reng2	4-24468-B,46-46874-B,66-37102-B,68-41624-S
reng2 jiu4	4-24555-B
reng2 ran2	4-24511-B
reng4	53-63886-B
ri	1-77193-S,2-13735-S,2-39902-S,3-5908-S,3-69953-S,4-22774-S,6-4788-S,6-8423-S,6-16245-S,7-7890-S,7-54579-S,9-21135-S,10-42163-S,11-24647-S,11-50115-S,12-40124-S,12-47988-S,15-8886-S,16-52587-S,17-61313-S,19-28909-S,19-45695-S,22-19254-S,22-39960-S,22-41708-S,22-63713-S,23-62454-S,24-50204-S,27-23842-S,29-12887-S,29-44551-S,31-5051-B,31-7370-S,31-14007-S,31-16142-S,31-24236-S,31-28482-S,31-30410-S,31-36930-S,31-40706-S,31-62024-S,32-34770-S,32-44830-S,32-46281-S,32-47980-S,32-59873-S,34-6669-S,34-21129-S,34-21219-S,35-20890-S,36-5529-S,40-33902-S,43-21164-S,43-67343-S,47-8500-S,47-47706-S,48-29155-S,49-2968-S,49-36023-S,49-36204-S,49-40664-S,51-17510-S,53-43340-S,54-63375-S,57-49674-S,60-4779-S,61-48167-S,62-22438-S,62-27163-S,62-47365-S,62-54039-S,62-66618-S,64-11500-S,66-63716-S,68-10078-S,69-8525-S,69-46294-B
ri Dian xun bao	36-5962-S
ri Jing bao	36-5796-S
ri Kuai bao	36-5567-S
ri Xin wen	32-48019-S,36-5648-S
ri You bao	36-5719-S
ri bao	2-39748-S,4-3913-S,4-12649-S,7-9704-S,10-26561-S,14-48959-S,21-52830-S,23-12587-S,30-55905-S,31-6504-B,31-29434-S,32-50448-S,37-18824-S,37-29515-S,57-49774-S,59-42670-S
ri chang	31-6792-B
ri chang gong zuo	31-6841-B
ri cheng	31-11133-B
ri chi jiu	32-3329-S
ri chu	31-5806-B
ri dan gao	43-21278-S
