shí dù	58-62261-B
shí dīng	45-15767-S
shí fèn zǐ	45-64179-S
shí fú shè	45-59699-S
shí fāng	4-19867-B
shí fēn	10-45083-B,31-39520-B,63-36451-S
shí fēn xī	20-12254-B
shí fēn zhī yī	10-45208-B
shí fǎ	57-58899-S
shí fǔ	42-34497-S
shí guò rén	26-38739-S
shí guò zǎo	40-32545-S
shí guó	3-46892-S
shí guó chūn qiū	10-45456-B
shí guāi mìng jiǎn	31-39030-B
shí guāng	31-39461-B
shí guǎn	69-3216-B
shí gàn	20-12767-B
shí gàn jiā	20-12842-B
shí gá ěr	14-935-S
shí gān	10-46715-B,16-15955-S
shí gāng xiāng	46-6093-B
shí gāo	40-66517-S,41-15938-S,43-28231-S,46-9713-B,46-25908-S
shí gāo bēng dài	46-9775-B
shí gāo dī	2-31022-S
shí gāo huāng	37-28572-S
shí gēn	20-13721-B
shí gōng	52-57824-S,71-21976-S
shí gōng zuò	7-37622-S
shí gōng zuò zhì	7-51013-S
shí gǎn	45-41690-S
shí gǎng	46-6173-B
shí hou	4-20046-S,12-2839-S,20-65251-S,31-39395-B,32-34607-S,41-31615-S,43-16745-S
shí hou er	20-65314-S
shí huà	2-61264-S,2-76718-S,20-14805-B,46-3996-B
shí huà chǎng	46-4063-B
shí huài	31-39998-S
shí huán	49-27022-S
shí huáng dì	47-23751-S
shí huáng dì líng	47-23836-S
shí huì	20-12972-B
shí huò	58-63478-B
shí huā cài	46-9844-B
shí huāng	27-54179-B
shí huī	38-31518-S,41-15868-S,43-28157-S,46-8411-B
shí huī huā	46-8557-B
shí huī shí	46-8503-B
shí huī yán	46-8449-B
shí huǒ jī	69-2587-B
shí hào	1-28164-S
shí hé zǐ	46-7511-B
shí hé zǐ shì	46-7643-B
shí hòu	9-9687-S,9-10310-S,24-12139-S,44-59199-S,63-16836-S
shí hūn	3-30414-S
shí hǎo dǎi	2-30281-S
shí hǎo shí huài	31-39998-B
shí hǔ	46-10280-B
shí jiàn	20-15436-B,58-63419-B
shí jiàn biǎo	31-42599-B
shí jiàn shì jiǎn yàn zhēn lǐ de wéi yī biāo zhǔn	20-15514-B
shí jiàng láo	46-4134-B
shí jiào yù	62-14210-S
shí jiè	10-47029-B,10-47514-B,27-54093-B
shí jié	5-37392-S,31-41416-B,66-64169-S
shí jiù xū	63-6878-S
shí jiā	58-48139-S
shí jiā gōng	20-13463-S
shí jiā zhuāng	46-5631-B
shí jiā zhuāng dì qū	46-5768-B
shí jiā zhuāng shì	46-5881-B
shí jiān	1-45714-S,8-28619-S,10-26642-S,11-48873-S,21-9597-S,31-42181-B,32-34660-S,33-25009-S,33-66764-S,33-67124-S,43-36163-S,43-66847-S,45-66394-S,50-28581-S,51-7181-S,53-56744-S,54-12227-S,61-9464-S,65-49982-S,66-44609-S,68-19040-S,69-22742-S,69-48239-S
shí jiān jiǎn shǐ	31-42444-B
shí jiān jìn chéng	31-42729-B
shí jiān nèi	31-42227-B
shí jiān qū jiān	31-42298-B
shí jiān sài pǎo	13-23133-S,53-22339-S
shí jiān xiàn	31-42544-B
shí jiān xù liè	31-42368-B
shí jiān zhóu	31-42664-B
shí jiē	46-10721-B
shí jiǎng dào lǐ	29-29425-S
shí jiǎo xíng	10-47460-B
shí jiǔ	1-3468-S,1-31478-S,3-33569-S,10-42347-B,48-12520-S
shí jiǔ fēn	7-48398-S
shí jiǔ suì	10-42392-B
shí jué sú	62-57612-S
shí jì	1-71907-S,20-15746-B,52-37947-S
shí jì shàng	20-15802-B
shí jì shù	20-13538-S
shí jì xìng	20-15898-B
shí jì yìng yòng	20-15955-B
shí jìn wèi	10-47656-B
shí jìn wèi fǎ	10-47715-B
shí jìn zhì	10-47784-B
shí jí	27-54034-B
shí jí dì	11-24815-S
shí jù	45-42396-S
shí jī	2-3406-S,31-40987-B
shí jīn bù mèi	27-54456-B
shí jīng	58-63234-B
shí jīng hèn wǎn	58-63301-B
shí jū jìn	53-22111-S
shí jǐ	10-46834-B
shí jǐ gè yuè	10-46896-B
shí jǐng shān qū	46-6502-B
shí jǔ shān	46-4589-B
shí jǔ shān qū	46-4665-B
shí kuài	46-5295-B
shí kuàng	20-13902-B
shí kè	10-44405-B,31-39653-B,46-3894-B,56-7042-B
shí kè chéng	62-14284-S
shí kè téng	7-14492-S
shí kè téng qí	7-14584-S
shí kě xíng	8-61256-S
shí kě yǐ gōng yù	4-25249-S
shí kōng	14-52205-S,31-41282-B
shí kōng chuān suō	31-41343-B
shí kū	30-10612-S,46-9527-B,71-62269-S
shí kǎi kè	36-9102-S
shí liu	43-57116-S,46-7267-B
shí liu shí	46-7371-B
shí liu zǐ	46-7311-B
shí liàng	69-4421-B
shí liáng	69-3260-B
shí liáng yán	64-13181-S
shí liáo yǎng	69-6718-S
shí liù	1-14878-S,1-31833-S,3-34202-S,7-43783-S,10-44580-B,14-47162-S,21-29933-S,48-12729-S
shí liù guó	3-53358-S,10-44624-B
shí liù guó chūn qiū	10-44784-B
shí liù hào	3-34326-S
shí liù jìn zhì	10-45016-B
shí liù shì	32-65746-S
shí liù suì	3-34259-S
shí liù wán zhí	10-44917-B
shí liù zì mǔ	1-31891-S
shí liú	25-30422-S,37-43597-S
shí luó	54-61455-B
shí luó zǐ	54-61500-B
shí là	46-10319-B
shí lá zi	44-43223-S
shí lán	30-42882-S
shí lè	46-3957-B
shí lì	20-12094-B,20-12387-B,58-62057-B,60-62732-S
shí lìng	31-39326-B
shí líng	3-47591-S,27-54589-B
shí líng yú	46-11091-B
shí lóu	46-7449-B
shí lù	38-60402-S
shí lùn	45-64664-S
shí lěi lěi	33-36437-S
shí lǐ	58-60519-S
shí miàn	62-17524-S
shí miàn tǐ	3-35037-S
shí mián	46-7138-B
shí mián wǎ	46-7208-B
shí máo	31-42950-B
shí mén	46-10403-B
shí mén xiàn	46-10490-B
shí mén xiāng	46-10578-B
shí mò	46-5340-B
shí mò chén zhuó bìng	46-6616-B
shí mò fèi	46-6768-B
shí mò qì lěng duī	46-5401-B
shí měi	10-44446-S
shí mǐ ěr	7-14686-S
shí nián	10-46790-B,22-57388-S
shí nián dài	1-27001-S
shí nián lái	1-32122-S
shí nián mù dǔ zhī guài xiàn zhuàng	3-34813-S
shí nián pà jǐng shéng	1-8019-S
shí nán shù	46-4316-B
shí nán shǔ	46-4264-B
shí ní kē fū	11-14263-S
shí nǚ	20-12671-B,46-5487-B
shí piàn	46-9040-B
shí péi xùn	62-14138-S
shí píng	46-6029-B
shí pò	58-63090-B
shí pò tiān jīng	46-9262-B
shí pǐn	41-1569-S,49-66030-S,69-1913-B
shí pǐn tān	69-2039-B
shí pǐn xiàng mù	46-7903-S
shí pǐn yào pǐn jiān dū guǎn lǐ jú	15-7933-S,69-2233-B
shí pǐn yào pǐn jiān dū jú	69-2105-B
shí pǐn ān quán	69-1972-B
shí pǔ	69-4210-B
shí qià wén	11-10353-S
shí qiáo	17-29144-S
shí qiáo shì	17-29263-S
shí qiān	46-10656-B
shí quán	46-8227-B
shí quán shí měi	10-44446-B
shí quān	21-36524-S,30-40559-S
shí qì	26-48844-S,30-52900-S,46-5008-B,46-40808-S
shí qì shí dài	30-53031-S,46-5067-B,53-28904-S
shí qì shí qī	30-52953-S
shí qí guǒ	53-15509-S
shí qíng kuàng	42-50178-S
shí qù	58-63531-B
shí qú	46-8292-B
shí qī	1-31359-S,3-33313-S,8-18540-S,10-41954-B,12-48377-S,30-52953-S,31-40898-B,48-12412-S,62-46823-S
shí qī guó jí tuán	1-26914-S
shí qī hào	3-33371-S,14-50994-S
shí qī kǒng qiáo	10-41999-B
shí qīng	46-10765-B
shí qū	31-39837-B
shí ruǐ	46-10121-B
shí ruǐ shì zhǐ	46-10204-B
shí rén	42-28888-S,69-1726-B
shí rén shā	69-1819-B
shí rén tì tuò	27-53621-B
shí rén yá huì	27-53744-B
shí rì	31-40706-B
shí ròu	69-3308-B
shí ròu dòng wù	69-3365-B
shí ròu lèi	69-3668-B
shí ròu mù	69-3615-B
shí ròu qǐn pí	69-3430-B
shí shàng	3-30175-S,30-49372-S,31-40305-B
shí shèng yú xióng biàn	3-30289-S
shí shì	14-1132-S,20-11902-B,20-21272-S,31-39098-B,31-40510-B,46-37310-S,65-69358-S,71-22057-S
shí shì jì	3-33503-S
shí shì qiú shì	20-11970-B
shí shì zào yīng xióng	31-39692-B
shí shí	20-13420-B,25-21050-S,31-40743-B,55-54110-S,60-47001-S
shí shí biàn	2-30720-S
shí shí cāo zuò huán jìng	20-13610-B
shí shí dá wù	58-62952-B
shí shí jiā gōng	20-13463-B
shí shí jì shù	20-13538-B
shí shí tōng biàn	58-62867-B
shí shí wù	2-30554-S
shí shí wù zhě wèi jùn jié	58-62673-B
shí shù	20-13185-B
shí shù liú	33-32803-S
shí shù zhí	20-13251-B
shí shān	53-25586-S
shí shī	20-13361-B,46-9121-B
shí shū	31-17121-B
shí shǒu	46-10966-B
shí suì	3-47162-S
shí suān	63-40252-S
shí sè	3-47090-S,69-3732-B
shí sè xìng yě	69-3795-B
shí sì	1-32007-S,3-34400-S,10-45350-B,33-30080-S
shí sì guà	7-66489-S
shí sì hào	3-34689-S
shí sì háng shī	10-45394-B
shí sì jié qi	3-34608-S
shí sì shǐ	3-34457-S
shí sì wàn	7-66573-S
