wan3 er3	54-23341-B
wan3 fan4	31-45727-B
wan3 feng1	31-45678-B
wan3 ge1	28-865-B
wan3 guan1 zhi3	14-26893-S
wan3 gui1	31-13142-S
wan3 gui4	46-29035-B
wan3 hui2	28-602-B
wan3 hui4	31-45115-B
wan3 hun1 wan3 yu4	31-44868-B
wan3 ji1	37-53882-S
wan3 jian1	31-45547-B
wan3 jiu4	28-713-B
wan3 jiu4 er2 tong2	28-774-B
wan3 ju4	28-495-B
wan3 kuang2 lan2	9-46405-S
wan3 le5	21-9927-S
wan3 li3 fu2	31-45304-B
wan3 li4	28-535-B
wan3 lian2	28-970-B
wan3 liu2	28-914-B
wan3 nan2 shi4 bian4	44-63849-B
wan3 nian2	31-45063-B
wan3 po4 shuai1	46-18974-S
wan3 qi1	31-45162-B
wan3 r5	62-5423-S
wan3 ren2	47-61861-S
wan3 ru2	19-49059-B
wan3 shang4 hao3	31-44719-B
wan3 shang5	31-36317-S,31-44670-B
wan3 shi4	31-44779-B
wan3 ting2	25-35667-S
wan3 xi1	25-16325-B
wan3 xia2	31-45609-B
wan3 xian4	38-60319-S
wan3 yan4	31-45009-B
wan3 yu3	18-41555-S
wan3 yu4	31-44868-S
wan3 zhang4	28-657-B
wan3 zhuan3	18-52857-B
wan4	1-3331-S,1-3635-S,1-19917-S,1-28237-S,1-40305-S,1-45316-S,3-34981-S,3-52051-S,3-54206-S,6-54784-S,7-47047-S,7-66573-S,10-47219-S,10-48242-S,10-50179-S,10-61757-B,14-52086-S,16-42775-S,26-8722-S,26-35265-S,28-6100-B,30-23448-S,42-39642-S,44-56870-S,51-19740-B,52-38773-B,54-42690-B,54-47621-S,55-53836-S,65-4451-S
wan4 bang1	54-47973-B
wan4 bie2	10-49194-S
wan4 bu4 de2 yi3	54-42826-B
wan4 dai4	10-49827-S
wan4 dun1	44-57017-S
wan4 dun1 dang1 liang4	48-18645-S
wan4 dun1 ji2 he2 wu3 qi4	44-57070-S
wan4 fen1	54-43681-B
wan4 fen1 tong4 ku3	54-43758-B
wan4 fu4 hao2	6-54838-S
