Tong2 xin1	12-47100-B
Tong2 zhi4	12-49081-B
Tong2 zi3	34-5934-B
Tong3 yi1 Zu3 zhi1	67-66588-S
Tou Jiao	37-17849-S
Tou cheng zhen	68-36841-B
Tou fen zhen	68-36175-B
Tou wu xiang	68-37192-B
Tou zi gong si	2-56464-S
Tou2 Jiao3	37-17849-S
Tou2 cheng2 zhen4	68-36841-B
Tou2 fen4 zhen4	68-36175-B
Tou2 wu1 xiang1	68-37192-B
Tou2 zi1 gong1 si1	2-56464-S
Tu	21-23373-B,21-46632-B
Tu a lei ge	15-28323-B
Tu bo	12-61108-B
Tu bo wang chao	12-61181-B
Tu cheng	15-30166-B
Tu er	15-27241-B
Tu er gan	38-28059-B
Tu er ku	15-27295-B
Tu er qi	15-32150-B
Tu er qi si tan	15-32198-B
Tu er qi yu	15-32270-B
Tu fa	47-11055-B
Tu fan	12-61144-B
Tu ge nie fu	21-24046-B
Tu huo luo ren	12-60458-B
Tu jia zu Miao zu zi zhi zhou	25-2443-S,39-12625-S
Tu jia zu zi zhi xian	37-26979-S,46-6997-S,65-20661-S
Tu jue	47-52910-B
Tu ku man	15-30742-B
Tu ku man ren	15-30822-B
Tu ku man si tan	15-30892-B
Tu ku zhen	15-30968-B
Tu lin gen	15-27023-B
Tu ling jiang	15-28412-B
Tu lu fan	12-61454-B
Tu lu fan di qu	12-61539-B
Tu lu fan shi	12-61631-B
Tu lu zi	15-27710-B
Tu lun	15-29823-B
Tu men	15-25328-B,15-33047-B
Tu men jiang	15-25629-B
Tu men shi	15-25473-B
Tu mo te you qi	15-33165-B
Tu mo te zuo qi	15-33270-B
Tu mu shu ke	15-26730-B
Tu mu shu ke shi	15-26871-B
Tu ni si	47-53161-B
Tu ni xi ya	47-53316-B
Tu pian bao	15-27418-B
Tu quan xian	47-53505-B
Tu sang	15-31410-B
Tu shan	21-46688-B,38-27969-B
Tu wa lu	15-27555-B
Tu wen	69-32787-S
Tu xing	15-31216-B
Tu yao jie	21-23768-B
Tu yu hun	12-61343-B
Tu zu	15-31175-B
Tu1 fa1	47-11055-B
Tu1 jue2	47-52910-B
Tu1 ni2 si1	47-53161-B
Tu1 ni2 xi1 ya4	47-53316-B
Tu1 quan2 xian4	47-53505-B
Tu2	21-23373-B,21-46632-B
Tu2 a1 lei2 ge2	15-28323-B
Tu2 er3	15-27241-B
Tu2 er3 gan1	38-28059-B
Tu2 er3 ku4	15-27295-B
Tu2 ge2 nie4 fu1	21-24046-B
Tu2 lin2 gen1	15-27023-B
Tu2 ling2 jiang3	15-28412-B
Tu2 lu2 zi1	15-27710-B
Tu2 men5	15-25328-B
Tu2 men5 jiang1	15-25629-B
Tu2 men5 shi4	15-25473-B
Tu2 mu4 shu1 ke4	15-26730-B
Tu2 mu4 shu1 ke4 shi4	15-26871-B
Tu2 pian4 bao4	15-27418-B
Tu2 shan1	21-46688-B,38-27969-B
Tu2 wa3 lu2	15-27555-B
Tu2 yao1 jie2	21-23768-B
Tu3 bo1	12-61108-B
Tu3 bo1 wang2 chao2	12-61181-B
Tu3 cheng2	15-30166-B
Tu3 er3 qi2	15-32150-B
Tu3 er3 qi2 si1 tan3	15-32198-B
Tu3 er3 qi2 yu3	15-32270-B
Tu3 fan1	12-61144-B
Tu3 huo3 luo2 ren2	12-60458-B
Tu3 jia1 zu2 Miao2 zu2 zi4 zhi4 zhou1	25-2443-S,39-12625-S
Tu3 jia1 zu2 zi4 zhi4 xian4	37-26979-S,46-6997-S,65-20661-S
Tu3 ku4 man4	15-30742-B
Tu3 ku4 man4 ren2	15-30822-B
Tu3 ku4 man4 si1 tan3	15-30892-B
Tu3 ku4 zhen4	15-30968-B
Tu3 lu3 fan1	12-61454-B
Tu3 lu3 fan1 di4 qu1	12-61539-B
Tu3 lu3 fan1 shi4	12-61631-B
Tu3 lun2	15-29823-B
Tu3 men2	15-33047-B
Tu3 mo4 te4 you4 qi2	15-33165-B
Tu3 mo4 te4 zuo3 qi2	15-33270-B
Tu3 sang1	15-31410-B
Tu3 wen1	69-32787-S
Tu3 xing1	15-31216-B
Tu3 yu4 hun2	12-61343-B
Tu3 zu2	15-31175-B
Tui jin Shi yan shi	14-36890-S
Tui1 jin4 Shi2 yan4 shi4	14-36890-S
Tun Men	21-28381-B
Tun chang	21-28112-B
Tun liu	21-28319-B
Tun mi Sang bu zha	12-65532-B
Tun te	21-28178-B
Tun te Da xue	21-28245-B
Tun1 mi3 Sang1 bu4 zha2	12-65532-B
Tun2 Men2	21-28381-B
Tun2 chang1	21-28112-B
Tun2 liu2	21-28319-B
Tun2 te4	21-28178-B
Tun2 te4 Da4 xue2	21-28245-B
Tuo	9-46328-S,54-31836-S
Tuo ba	18-36387-B,27-32223-B,27-32720-B
Tuo ba Wei	27-32803-B
Tuo er jin	26-52136-B
Tuo er si tai	8-66232-S,26-52026-B
Tuo ke tuo	26-51451-B
Tuo ke xun	26-51574-B
Tuo la bo la	57-65430-B
Tuo lai duo	26-52488-B
Tuo le mei	26-51812-B
Tuo le mi	26-51700-B
Tuo le mi Wang	26-51750-B
Tuo li	26-52539-B
Tuo luo ci ji	57-65525-B
Tuo luo si shan	26-52400-B
Tuo ma	18-46025-S
Tuo ma si	26-52954-B
Tuo ma si · A kui na	26-53015-B
Tuo mu er feng	26-51901-B
Tuo sheng	6-2988-S
Tuo si tuo ye fu si ji	66-14675-B
Tuo te	26-52206-B
Tuo tuo	52-34088-B
Tuo1 er3 jin1	26-52136-B
Tuo1 er3 si1 tai4	8-66232-S,26-52026-B
Tuo1 ke4 tuo1	26-51451-B
Tuo1 ke4 xun4	26-51574-B
Tuo1 la1 bo2 la1	57-65430-B
Tuo1 lai2 duo1	26-52488-B
Tuo1 le4 mei2	26-51812-B
Tuo1 le4 mi4	26-51700-B
Tuo1 le4 mi4 Wang2	26-51750-B
Tuo1 li3	26-52539-B
Tuo1 luo2 si1 shan1	26-52400-B
Tuo1 luo4 ci2 ji1	57-65525-B
Tuo1 ma3 si1	26-52954-B
Tuo1 ma3 si1 · A1 kui2 na4	26-53015-B
Tuo1 mu4 er3 feng1	26-51901-B
Tuo1 te4	26-52206-B
Tuo1 tuo1	52-34088-B
Tuo2	54-31836-S
Tuo2 si1 tuo3 ye1 fu1 si1 ji1	66-14675-B
Tuo3 ba4	18-36387-B
Tuo3 ma3	18-46025-S
Tuo4	9-46328-S
Tuo4 ba2	27-32223-B,27-32720-B
Tuo4 ba2 Wei4	27-32803-B
Tuo4 sheng1	6-2988-S
Wa	18-56674-B
Wa cheng	43-10656-B
Wa de se	43-10726-B
Wa er de	43-10980-B
Wa er de hai mu	22-66986-S
Wa er na	43-11094-B
Wa er si	48-30862-S
Wa er si li	48-30981-S
Wa er te	43-11046-B
Wa fang dian	43-10792-B
Wa li	43-10272-B
Wa li si	43-11557-B
Wa nu a tu	43-10413-B
Wa te	43-11325-B
Wa xi li	43-11636-B
Wa xi li ye wei qi	43-11684-B
Wa zhuan	33-1707-S
Wa zu	5-9963-B
Wa zu zi zhi xian	39-26130-S,57-21027-S
Wa1	18-56674-B
Wa2 zhuan4	33-1707-S
Wa3 cheng2	43-10656-B
Wa3 de2 se4	43-10726-B
Wa3 er3 de2	43-10980-B
Wa3 er3 de2 hai3 mu3	22-66986-S
Wa3 er3 na4	43-11094-B
Wa3 er3 si1	48-30862-S
Wa3 er3 si1 li4	48-30981-S
Wa3 er3 te4	43-11046-B
Wa3 fang2 dian4	43-10792-B
Wa3 li3 si1	43-11557-B
Wa3 li4	43-10272-B
Wa3 nu3 a1 tu2	43-10413-B
Wa3 te4	43-11325-B
Wa3 xi1 li3	43-11636-B
Wa3 xi1 li3 ye1 wei2 qi2	43-11684-B
Wa3 zu2	5-9963-B
Wa3 zu2 zi4 zhi4 xian4	39-26130-S,57-21027-S
Wai Gao jia suo	16-52064-B
Wai Meng gu	16-50188-B
Wai bu xiang	16-46547-B
Wai jiao Xue yuan	16-42574-B
Wai shi	6-55755-S
Wai4 Gao1 jia1 suo3	16-52064-B
Wai4 Meng2 gu3	16-50188-B
Wai4 bu4 xiang1	16-46547-B
Wai4 jiao1 Xue2 yuan4	16-42574-B
Wai4 shi3	6-55755-S
Wan	19-10406-S,59-25902-S,64-30747-S
Wan Hu	54-45297-B
Wan Hu hou	54-45426-B
Wan Li	54-47672-B
Wan Zai	40-18933-B
Wan an	54-44431-B
Wan an xian	54-44493-B
Wan bao	30-50808-S
Wan bao lu	54-44631-B
Wan bo sheng	54-43826-B
Wan chang	55-17084-S
Wan dai	54-43385-B
Wan dan xiang	54-42981-B
Wan ding	44-625-B
Wan guo You zheng Lian meng	54-44225-B
Wan guo gong	54-44077-B
Wan hao	54-47764-B
Wan hua qu	54-47550-B
Wan li	40-18995-B,54-45837-B
Wan li Chang cheng	54-48183-B
Wan li qu	40-19069-B
Wan li xiang	54-48108-B
Wan long	54-48256-B
Wan luan xiang	54-44779-B
Wan nian	54-44911-B
Wan nian xian	54-45210-B
Wan ning	54-44567-B
Wan ou zhi jia	42-38198-B
Wan quan	54-43618-B
Wan quan he	54-46132-B
Wan rong	54-45634-B
Wan rong xiang	54-45698-B
Wan shan te qu	54-44695-B
Wan sheng jie	54-47087-B
Wan sheng jie qian xi	54-47175-B
Wan shou shan	54-44329-B
Wan xi zhan bai	44-63938-B
Wan xian	19-38158-B
Wan xian di qu	54-46990-B
Wan xiang	54-47719-B
Wan yang shan	54-46207-B
Wan yuan	54-46290-B
Wan zai	54-47833-B
Wan zai xian	54-47897-B
Wan zhan zheng	45-22837-S
Wan1	19-10406-S,59-25902-S,64-30747-S
Wan1 Zai3	40-18933-B
Wan1 li3	40-18995-B
Wan1 li3 qu1	40-19069-B
Wan2 ou3 zhi1 jia1	42-38198-B
Wan2 xian4	19-38158-B
Wan3 bao4	30-50808-S
Wan3 ding1	44-625-B
Wan3 xi4 zhan4 bai4	44-63938-B
Wan3 zhan4 zheng1	45-22837-S
Wan4 Hu4	54-45297-B
Wan4 Hu4 hou4	54-45426-B
Wan4 Li3	54-47672-B
Wan4 an1	54-44431-B
Wan4 an1 xian4	54-44493-B
Wan4 bao3 lu4	54-44631-B
Wan4 bo2 sheng3	54-43826-B
Wan4 chang2	55-17084-S
Wan4 dai4	54-43385-B
Wan4 dan1 xiang1	54-42981-B
Wan4 guo2 You2 zheng4 Lian2 meng2	54-44225-B
Wan4 guo2 gong1	54-44077-B
Wan4 hao2	54-47764-B
Wan4 hua2 qu1	54-47550-B
Wan4 li3 Chang2 cheng2	54-48183-B
Wan4 li3 xiang1	54-48108-B
Wan4 li4	54-45837-B
Wan4 long2	54-48256-B
Wan4 luan2 xiang1	54-44779-B
Wan4 nian2	54-44911-B
Wan4 nian2 xian4	54-45210-B
Wan4 ning2	54-44567-B
Wan4 quan2	54-43618-B
Wan4 quan2 he2	54-46132-B
Wan4 rong2	54-45634-B
Wan4 rong2 xiang1	54-45698-B
Wan4 shan1 te4 qu1	54-44695-B
Wan4 sheng4 jie2	54-47087-B
Wan4 sheng4 jie2 qian2 xi1	54-47175-B
Wan4 shou4 shan1	54-44329-B
Wan4 xian4 di4 qu1	54-46990-B
Wan4 xiang4	54-47719-B
Wan4 yang2 shan1	54-46207-B
Wan4 yuan2	54-46290-B
Wan4 zai4	54-47833-B
Wan4 zai4 xian4	54-47897-B
Wang	10-9467-S,13-12042-S,19-9674-S,25-11426-S,25-17795-S,26-51750-S,34-1049-S,42-32622-B,59-28176-S,61-29198-S,61-29315-S,65-52583-S,71-60983-S
Wang An shi	42-34253-B
Wang Bo	42-33523-B
Wang Chong	42-33127-B
Wang Dan	42-32731-B
Wang Dao	42-34564-B
Wang Dao han	36-64390-B
Wang Dun	42-35056-B
Wang Fei	42-36703-B
Wang Gou Jian	60-27370-S
Wang Guo wei	42-33784-B
Wang Hong wen	42-35975-B
Wang Jian min	42-34914-B
Wang Jiao	31-17549-B
Wang Jing wei	36-64317-B
Wang Jun xia	42-36808-B
Wang Li Hong	42-33437-B
Wang Li qin	42-33574-B
Wang Mang	42-36644-B
Wang Meng	42-36091-B
Wang Ming	42-35109-B
Wang Nan	42-35397-B
Wang Ping	42-34690-B
Wang Qin ruo	42-35495-B
Wang Sa dan	70-36055-S
Wang Shi chong	42-32663-B
Wang Shi fu	42-34497-B
Wang Shi zhen	42-33920-B
Wang Shu wen	42-35236-B
Wang Shuo	42-35309-B
Wang Su	42-36514-B
Wang Wei	42-36343-B
Wang Xi meng	42-34617-B
Wang Xi zhi	42-36449-B
Wang Xian zhi	42-32782-B
Wang Xuan	42-36995-B
Wang Yi fu	42-36396-B
Wang Ying	42-36567-B
Wang Yong min	42-35705-B
Wang Yu cheng	42-36244-B
Wang Zhao jun	42-35166-B
Wang Zhen	42-37040-B
Wang Zhi zhi	42-35782-B
Wang Zhu	42-36755-B
Wang an xiang	32-46013-B
Wang cang	31-17482-B
Wang cheng	32-45559-B
Wang du	32-47074-B
Wang dui	69-40278-S
Wang fu	42-34735-B
Wang fu jing	42-34785-B
Wang fu zhi	42-34089-B
Wang gong	42-33343-B
Wang hua	32-46686-B
Wang hua qu	32-46772-B
Wang jiang	32-46366-B
Wang jing	32-45491-B,50-5748-B
Wang kui	32-45680-B
Wang ling	65-52647-S
Wang ma	42-36136-B
Wang mo	32-46868-B
Wang mu niang niang	42-35563-B
Wang pi	42-32841-B
Wang qing	36-64001-B
Wang qing xian	36-64153-B
Wang shu wen	42-33629-B
Wang tai hou	42-33991-B
Wang yi	50-5707-B
Wang1 Dao4 han2	36-64390-B
Wang1 Jing1 wei4	36-64317-B
Wang1 qing1	36-64001-B
Wang1 qing1 xian4	36-64153-B
Wang2	10-9467-S,13-12042-S,19-9674-S,25-11426-S,25-17795-S,26-51750-S,34-1049-S,42-32622-B,59-28176-S,61-29198-S,61-29315-S,65-52583-S,71-60983-S
Wang2 An1 shi2	42-34253-B
Wang2 Bo2	42-33523-B
Wang2 Chong1	42-33127-B
Wang2 Dan1	42-32731-B
Wang2 Dao3	42-34564-B
Wang2 Dun1	42-35056-B
Wang2 Fei1	42-36703-B
Wang2 Gou1 Jian4	60-27370-S
Wang2 Guo2 wei2	42-33784-B
Wang2 Hong2 wen2	42-35975-B
Wang2 Jian4 min2	42-34914-B
Wang2 Jun1 xia2	42-36808-B
Wang2 Li4 Hong2	42-33437-B
Wang2 Li4 qin2	42-33574-B
Wang2 Mang3	42-36644-B
Wang2 Meng3	42-36091-B
Wang2 Ming2	42-35109-B
Wang2 Nan2	42-35397-B
Wang2 Ping2	42-34690-B
Wang2 Qin1 ruo4	42-35495-B
Wang2 Sa1 dan4	70-36055-S
Wang2 Shi2 fu3	42-34497-B
Wang2 Shi4 chong1	42-32663-B
Wang2 Shi4 zhen1	42-33920-B
Wang2 Shu1 wen2	42-35236-B
Wang2 Shuo4	42-35309-B
Wang2 Su4	42-36514-B
Wang2 Wei2	42-36343-B
Wang2 Xi1 meng4	42-34617-B
Wang2 Xi1 zhi1	42-36449-B
Wang2 Xian1 zhi1	42-32782-B
Wang2 Xuan3	42-36995-B
Wang2 Yi4 fu1	42-36396-B
Wang2 Ying1	42-36567-B
Wang2 Yong3 min2	42-35705-B
Wang2 Yu3 cheng1	42-36244-B
Wang2 Zhao1 jun1	42-35166-B
Wang2 Zhen4	42-37040-B
