wu xiang quan neng	3-55589-B
wu xiao	40-49224-S,40-54336-B
wu xiao bu	2-18131-S
wu xiao dan	41-34619-S
wu xie	40-62897-B
wu xie ke ji	40-52668-B
wu xin	32-30707-S
wu xing	3-50476-B,3-50661-B,3-54556-B,10-794-S,31-7607-S,40-50723-B,40-51467-B,43-24601-S,67-63501-S
wu xing ba zuo	3-54633-B
wu xing fan zhi	40-51523-B
wu xing gan yan	26-5155-B
wu xing hong qi	3-50719-B
wu xing ji	3-50820-B
wu xing ji jiu dian	3-50881-B
wu xing mao yi	40-50885-B
wu xing ming ci	10-847-S,67-63567-S
wu xing qi	49-8292-S
wu xing shu chu	40-50958-B
wu xing si liao	10-927-S
wu xing tan	4-39986-S
wu xing zhong	40-50815-B
wu xu	26-5462-B,40-50407-B,40-64073-B,40-64226-B
wu xu bian fa	26-5949-B
wu xu wei xin	26-5808-B
wu xu zheng bian	26-5663-B
wu xue	8-50905-S,10-731-S,12-4201-S,24-20098-S,34-25563-S,43-24236-S,44-33037-S,46-44755-S,46-59864-S,49-33216-S
wu xue jia	12-4270-S,24-20167-S,43-24289-S
wu xue she	71-2477-S
wu xue tang	37-49716-S
wu xun jie	3-50608-B
wu xun se	36-16661-S
wu ya	17-26693-S,19-18458-S,40-39798-B
wu ya zui	40-39840-B
wu ya zuo	40-40061-B
wu yan	10-54062-B,21-20484-B,33-32699-S,40-56451-B,42-27868-S,58-18561-S,59-39167-S,59-39437-S
wu yan hui yu	36-63401-B
wu yan jue ju	3-55053-B
wu yan liu se	3-55658-B
wu yan mei	40-56571-B
wu yan tan	40-56513-B
wu yang	19-30831-S,40-51883-B,40-55802-B
wu yang hua er fan	3-51330-B
wu yang wei	18-18343-S
wu ye	10-54022-B,14-24286-B,32-43144-S,41-53569-B
wu ye guan li	41-53665-B
wu ye shui	41-53609-B
wu ye xian san	40-55088-B
wu ye you min	40-55024-B
wu yi	1-20639-S,1-30531-S,1-31652-S,3-46777-B,10-43673-S,21-63242-B,32-31696-S,35-48279-B,40-52184-S,40-52417-B,40-57468-B,40-57568-B,40-58096-B,58-17145-S,58-18644-S,59-39742-S
wu yi lei ju	41-52789-B
wu yi shi	1-1470-S,40-52471-B,44-54922-S,54-46354-S
wu yi wen	36-16582-S
wu yi wu kao	40-46343-B,40-46578-B
wu yi xue gong cheng	43-25737-S
wu yin	3-55526-B,26-5295-B,40-49177-B
wu yin san bai liang	35-41079-S
wu yin shu guan	1-51805-S,13-58190-S
wu ying	6-60436-B,51-7437-S
wu ying wu zong	40-51030-B
wu ying zong	1-4070-S
wu yong	36-3332-B,40-57417-B,58-30516-B
wu yong chu	36-16519-S
wu you	10-1068-S,34-25613-S,69-2929-S
wu you wu lu:	40-52604-B
wu yu	40-38607-B
wu yu shi jie	41-53435-B
wu yuan	3-12712-S,7-56923-S,10-682-S,10-8603-S,10-25725-S,11-8988-S,15-2857-S,16-9248-S,18-21114-S,19-13391-S,29-59838-S,32-42703-S,34-25491-S,40-54041-B,40-60156-B,51-3386-S,69-53399-B
wu yuan Tai wan Shi wu Ban gong shi	15-2944-S
wu yuan wu hui	40-51599-B
wu yuan ze	40-47505-B
wu yue	3-50963-B
wu yue jie	3-51082-B
wu yue shi wu hao	3-51011-B
wu yun	40-38812-B
wu yun shu	59-37891-S
wu zang shen zhi di	35-58424-S
wu zei	40-38653-B
wu zhan	11-51628-S,32-32359-S,43-24658-S
wu zhan ji	43-24736-S
wu zhang	67-3692-S
wu zhao	23-40760-S
wu zhao jing ying	40-56625-B
wu zhe	31-4329-B
wu zhe wei jun jie	58-62673-S
wu zhen zhu she qi	40-63041-B
wu zheng	4-16333-S,23-45759-S
wu zheng bu xin	40-51364-B
wu zheng fu zhu yi	40-54206-B
wu zheng ye	1-73670-S
wu zheng yi	40-56711-B
wu zhi	3-62507-S,11-51496-S,25-31755-S,29-63056-S,35-44826-S,40-58163-B,41-54758-B,46-44894-S,53-19751-S,63-2047-S
wu zhi hua ban gong	40-59407-B
wu zhi ji	43-25588-S,43-66228-S
wu zhi jing	36-52104-S
wu zhi jue	40-58205-B
wu zhi liang	32-43433-S
wu zhi pin	43-25662-S
wu zhi shang	41-54830-B
wu zhi wen ming he jing shen wen ming	41-54961-B
wu zhi xiang shou	41-54886-B
wu zhi xu	40-58480-B
wu zhong	16-30454-S,16-43436-S,40-14149-S,41-54409-B,43-25895-S,68-41667-S
wu zhong Guo ji Mao yi Gong yue	40-14224-S
wu zhong du	24-58527-S,69-2712-S
wu zhong qi yuan	41-54451-B
wu zhong xin	19-52038-S,32-42546-S,59-63538-S
wu zhou kan	48-37495-S
wu zhu	7-68796-S,28-62971-B,40-47265-B,41-52751-B,62-18698-S
wu zhu gan	40-47343-B,51-18180-S
wu zhu lian	28-63031-B
wu zhu mu qin qi	33-21627-S,57-20330-S
wu zhu shu	4-40149-S
wu zhu yi	13-54968-S,55-53340-S,61-38395-S
wu zhuan yi xing	43-24355-S
wu zhuang	7-34037-S,32-58564-S,35-48593-B,40-5962-S
wu zhuang bu dui	35-48895-B
wu zhuang chong tu	35-48822-B
wu zhuang fen zi	35-48674-B,40-6035-S
wu zhuang li liang	35-48752-B
wu zhuo	36-63160-B
wu zi	21-20360-B,26-5222-B,36-63123-B,41-54707-B,53-32285-B
wu zi bei	40-49737-B
wu zi bie ke zu	40-37549-B
wu zi qi	3-48795-B
wu zong	5-17278-S,40-51030-S
wu zu	14-37839-S,59-28306-S,62-12666-S,62-53460-S,68-58576-S
wu zu dao	26-35712-S
wu zu quan	3-52207-B
wu zu zhi	45-17900-S
wu zui	40-60478-B
wu zuo zuo	40-46667-B
wu1	4-39910-S,8-15125-S,10-62170-S,11-54503-S,12-46609-S,12-49154-S,12-54638-S,14-24243-B,14-24329-S,15-37237-B,18-20488-S,18-42940-S,20-45587-S,20-63534-S,21-20279-B,21-62621-B,25-33806-S,26-26746-S,28-16006-S,33-114-B,36-57117-B,36-57209-B,36-62434-B,37-64194-S,38-1632-B,40-34336-B,42-7247-S,42-41638-S,43-45948-S,51-13525-S,54-7328-S,55-30841-S,56-26317-S,58-29794-B,59-39522-S,61-38176-S,63-16462-S,63-31490-B,63-58003-S,64-12529-S,64-53130-B,66-16416-S,70-4683-S,70-49586-S
wu1 bai4 di2	40-36363-B
wu1 de2 le4 zhi1	40-35524-B
wu1 dian3	36-63480-B
wu1 ding3	15-23291-S,21-20624-B,54-7368-S
wu1 dong1	40-40126-B
wu1 fan4 guo3	40-38856-B
wu1 gao4	59-15137-B
wu1 gou4	36-62688-B
wu1 gu3	21-62979-B
wu1 gu3 zhi1 huo4	21-63021-B
wu1 guan3	28-17163-S
wu1 gui1	40-40453-B
wu1 gui1 ke2	40-40502-B
wu1 he2 zhi1 zhong4	40-35095-B
wu1 hei1 se4	40-40223-B
wu1 hen2	36-63218-B
wu1 hui4	36-63255-B
wu1 huo4	41-36042-S
wu1 ji1	40-38767-B
wu1 ji2 niao3	25-33955-S
wu1 ji2 wu1	25-33806-S
wu1 ji3	2-39272-S,21-20528-B
wu1 jia4	21-20401-B
wu1 jiu4	40-36588-B
wu1 ke4 li4 li4	40-34991-B
wu1 kuang4	44-47281-S
wu1 la1 er3 shan1 mai4	40-35963-B
wu1 lan2	40-37635-B
wu1 lan3	40-36709-B
wu1 li3	40-39739-B
wu1 li4	36-62638-B
wu1 long2 cha2	40-40398-B
wu1 long2 qiu2	40-40345-B
wu1 mian4 wa3	21-20570-B
wu1 mie4	36-63307-B,36-63347-B,58-29830-B
wu1 mu4	40-36495-B
wu1 na4 gou4	55-31174-S
wu1 pa4	24-27729-S
wu1 po2	21-62674-B
wu1 qi1 ba1 zao1	36-62511-B,40-34381-B
wu1 qi2	68-48133-S
wu1 qia4	51-29016-S
wu1 que4	41-29798-S
wu1 ran3	14-35756-S,29-50460-S,36-42509-S,36-46911-S,36-62773-B,43-5290-S,47-48355-S
wu1 ran3 qu1	36-62829-B
wu1 ran3 wu4	36-62889-B
wu1 shan1	21-62735-B
wu1 shi1	21-62872-B
wu1 shi4	51-13596-S
wu1 shu4	21-63148-B
wu1 shui3	36-62941-B
wu1 shui3 chu3 li3 chang3	36-63034-B
wu1 shui3 keng1	36-62981-B
wu1 su1 li3 dao3	17-26572-S
wu1 sun3	36-62726-B
wu1 ta1 cai4	40-35230-B
wu1 tuo1 bang1	40-35710-B
wu1 wai4	21-20311-B
wu1 wu1	14-24329-B
wu1 xi2	21-63191-B
wu1 xia2	21-62828-B
wu1 xian4	20-45657-S,58-29886-B
wu1 xiang1	30-47354-S,68-37192-S
