xian1 jian4	7-5703-B
xian1 jian4 zhe3	7-5827-B
xian1 jian4 zhi1 ming2	7-5759-B
xian1 jiang4	38-26707-S
xian1 jie1 kou3	7-12512-S
xian1 jin4	7-5994-B
xian1 jin4 ji2 ti3	7-6204-B
xian1 jin4 shui3 ping2	7-6131-B
xian1 jin4 wu3 qi4	7-6061-B
xian1 jing4	4-28321-B
xian1 jue2	7-5878-B
xian1 jue2 tiao2 jian4	7-4271-B
xian1 kai1	28-10297-B
xian1 ke4 lai2	4-28917-B
xian1 kong3 hou4	41-38100-S
xian1 lai2 hou4 dao4	7-3279-B
xian1 li3 hou4 bing1	7-5376-B
xian1 li4	7-3366-B
xian1 ling4	7-3235-B
xian1 lu:4	46-32231-S,54-1038-S
xian1 mao2	50-47086-B
xian1 mao2 dong4 li4 dan4 bai2	50-47127-B
xian1 mei3	70-43273-B
xian1 mi3	48-47022-B
xian1 ming2	70-43158-B
xian1 ni2	11-12928-S
xian1 nu:3	4-28366-B
xian1 nu:3 xing1 zuo4	4-28689-B
xian1 nu:3 zuo4	4-28405-B
xian1 qi3	28-10196-B
xian1 qian2	7-3539-B
xian1 qiao3	50-46946-B
xian1 qu1	7-6557-B
xian1 qu1 zhe3	7-6598-B
xian1 ren2	4-27991-B
xian1 ren2 zhang3	4-28057-B
xian1 ren2 zhang3 guo3	4-28111-B
xian1 ren4 gu3 quan2	6-57381-S
xian1 ruo4	50-47035-B
xian1 shan1	4-29034-B
xian1 shan1 qiong2 ge2	4-29091-B
xian1 sheng5	7-4932-B,18-27661-S,50-45617-S
xian1 shi3 yong4	2-36802-S
xian1 shi4	4-29656-B
xian1 shuai1 jian3	7-12588-S
xian1 si4	37-65340-S
xian1 tao2	4-29187-B
xian1 teng2	28-10463-B
xian1 tian1	7-3665-B
xian1 tian1 jie1 di4	28-10008-B
xian1 tian1 xing4 que1 xian4	7-3722-B
xian1 tong1 zhi1	3-29226-S
xian1 tong2	4-29514-B
xian1 wang2	7-4599-B
xian1 wang2 zhi1 dao4	7-4851-B
xian1 wang2 zhi1 yue4	7-4768-B
xian1 wang2 zhi1 zheng4	7-4684-B
xian1 wang2 zuo4	4-29444-B
xian1 wei2	2-83913-S,4-17088-S,7-8420-S,10-23082-S,11-35163-S,12-33881-S,42-42192-S,46-32826-S,46-60387-S,50-47278-B,51-55870-S,52-7539-S,52-48192-S,63-47356-S
xian1 wei2 cong2	50-47318-B
xian1 wei2 dan4 bai2	50-47704-B
xian1 wei2 ji1 tong4	50-47581-B
xian1 wei2 jiao1	50-47650-B
xian1 wei2 liu2	46-60457-S
xian1 wei2 nang2 pao4 zheng4	50-47385-B
xian1 wei2 su4	50-47527-B
xian1 wei2 zhuang4	50-47471-B
xian1 wei4	70-43118-B
xian1 xi4	50-47228-B
xian1 xia4 shou3 wei2 qiang2	7-3039-B
xian1 xiang1	43-39317-S
xian1 xiao3	50-46897-B
xian1 xin4	50-47776-B
xian1 xin4 zhi2 jing4	50-47828-B
xian1 xing2	7-5582-B
xian1 xing2 zhe3	7-5646-B
xian1 xue4	70-43428-B
xian1 ya4 an4	51-55941-S
xian1 yan4	7-6650-B,70-43317-B
xian1 yong3	28-10138-B
xian1 zhao4	7-3420-B
xian1 zhi1	7-5292-B,32-56873-S
xian1 zhi1 shu1	17-6312-S
xian1 zhuo1	7-48918-S
xian1 zu2	32-50395-S
xian1 zu2 zi4 zhi4 xian4	65-17841-S
xian1 zu2 zi4 zhi4 zhou1	23-19237-S
xian1 zu3	7-5334-B
xian1 zuo4	35-43780-S,54-1480-S
xian2	1-34426-S,1-49538-S,1-59776-S,4-41706-S,4-56427-S,4-56522-S,9-19581-S,13-22951-S,13-29888-B,13-65976-B,16-52459-S,18-4668-S,18-34224-S,18-58581-B,18-60348-B,19-33820-S,19-45043-S,22-36210-S,23-25600-S,23-28488-S,23-34097-B,24-32088-S,25-8164-S,25-57030-B,26-53488-S,29-5458-B,30-12092-S,30-59005-S,30-59932-S,31-51189-S,33-42911-S,35-36458-S,38-33031-S,38-34816-S,38-36082-B,42-36179-S,42-59305-S,44-20609-B,44-20828-B,44-22694-S,45-8588-S,47-50252-S,49-37529-B,50-44309-S,51-51626-S,53-37484-B,55-59359-B,57-61887-S,57-62673-S,58-47105-B,58-62485-S,59-57890-B,60-20611-S,61-923-S,62-31229-S,62-37027-S,63-6465-S,64-32224-B,65-45092-B,65-46051-B,66-59747-S,66-66071-S,66-66219-S,66-66322-S,68-35170-S,69-15656-S,69-62557-S,70-34698-S,71-952-B,71-997-B,71-3853-B
xian2 Pu2 sa4	31-51236-S
xian2 ai4 wu4	20-44160-S
xian2 bei4 si1	23-35287-B,29-19373-S
xian2 bo1	35-36581-S
xian2 cai1	18-58915-B
xian2 cai2	59-58222-B
xian2 cai4	71-4351-B
xian2 ding4 li3	35-36510-S
xian2 er2 gu3 zhi1	23-35110-B
xian2 fan4	12-27872-S,18-58871-B
xian2 fei2 tiao1 shou4	18-59130-B
xian2 ge1	23-35046-B
xian2 hen4	18-58669-B
xian2 hua4	58-55682-S,65-45719-B,65-46257-B
xian2 huan2	49-44177-S,49-44313-S
xian2 hui4	59-58172-B
xian2 hun4	65-46135-B
xian2 ji4	18-58626-B
xian2 jie1	64-32276-B
xian2 jin1 jin1	71-3944-B
xian2 jin1 jin1 r5	71-4012-B
xian2 jing4	18-60435-B
xian2 lao2	59-58030-B
xian2 lei4	29-19461-S
xian2 lei4 yue4 qi4	29-19550-S
xian2 li3 lun4	60-20659-S
xian2 liang2	59-58369-B
xian2 liang2 dui4 ce4	53-27543-S
xian2 liao2	65-45409-B
xian2 liao2 tian1	65-45464-B
xian2 ming2 yue4 qi4	23-35354-B
xian2 mo4	38-36124-B
xian2 na4 shi4	27-44014-S
xian2 neng2	59-58329-B
xian2 qi1 liang2 mu3	59-58073-B
xian2 qi4	18-58779-B
xian2 qie1 jiao3	23-34208-B
xian2 qin2	1-27782-S
xian2 r5	23-25645-S,38-33116-S
xian2 ren2	38-34879-S,59-57929-B,65-45230-B
xian2 rou4	13-30255-B
xian2 san1 chi3	15-55030-S
xian2 san3	40-55088-S,65-45296-B
xian2 se4	71-4146-B
xian2 shi3 neng2	4-44001-S,20-44051-S
xian2 shi4	16-61597-S,21-4883-S,48-27373-S,65-45172-B
xian2 shou4	27-66056-S
xian2 shu1	51-51721-S
xian2 shu2	18-60387-B
xian2 shu4	23-34626-B
xian2 shui3	13-30209-B
xian2 shui3 hu2	71-3889-B
xian2 si1 qi2	57-31345-S
xian2 si1 si1	71-4204-B
xian2 si1 si1 r5	71-4262-B
xian2 tan2	65-45781-B,65-46298-B
xian2 ti1	53-37521-B
xian2 wai4 zhi1 xiang3	23-34544-B
xian2 wai4 zhi1 yi4	23-34319-B
xian2 wai4 zhi1 yin1	23-34398-B
xian2 wang2	59-58283-B
xian2 wu4	18-58710-B
xian2 xi4	18-59245-B
xian2 xia2	65-45335-B
xian2 xia4	65-46093-B
xian2 xia4 shi4	47-9257-S
xian2 xian4	62-31297-S
xian2 xie2	4-56592-S
xian2 ya1 dan4	71-4580-B
xian2 ya3	65-45891-B
xian2 yan2	71-4640-B
xian2 yan2 sui4 yu3	65-45615-B
xian2 yi2	18-58959-B
xian2 yi2 fan4	18-59076-B
xian2 yi2 ren2	18-59022-B
xian2 yi4	65-45838-B
xian2 yue4	1-49636-S,1-59839-S,23-34697-B,23-34873-B,48-26123-S
xian2 yue4 chuang1	23-34794-B
xian2 yue4 dui4	23-34982-B,48-26254-S
xian2 yue4 qi4	23-34920-B,29-12251-S
xian2 yue4 tuan2	48-26186-S
xian2 za2	65-45941-B
xian2 zhi2	65-45531-B
xian2 zhi4	65-46176-B
xian2 zhu3 yan3	68-35284-S
xian2 zhuan4	51-50421-S
xian2 zi5	71-27866-S
xian3	2-35581-S,4-7634-S,5-41013-S,5-45704-S,6-18237-S,7-2852-S,8-11509-S,8-11717-S,8-11927-S,8-46665-S,10-32360-S,10-72840-S,11-23622-S,16-39607-S,17-54758-S,18-25658-S,18-44379-B,18-49352-S,21-7682-B,21-48818-B,22-36448-B,23-58703-S,24-28215-S,25-55966-S,28-24180-S,28-62535-S,29-23975-S,29-24997-S,31-26452-S,32-49908-S,33-3913-S,35-53127-S,38-35828-S,38-57932-S,38-57987-S,41-33760-B,41-48288-S,42-22567-B,42-22645-B,42-22684-B,42-26776-B,46-48266-S,47-15483-S,47-54250-S,48-13992-B,50-36429-S,52-34561-S,53-44013-S,53-64459-S,55-16607-S,55-43921-B,56-3735-B,60-14588-S,60-38785-B,62-35936-S,63-7865-S,64-31251-B,66-25828-S,66-34587-B,66-45513-B,66-50641-S,68-9858-B,68-45020-B,68-49920-B,68-57855-S,69-12273-S,69-63582-S,70-43034-B
xian3 ban4 dao3	32-50234-S
xian3 chu1	68-50157-B
xian3 dan1	5-41173-S
xian3 de5	68-50620-B
xian3 de5 ju4 fa3 xian4 suo3	31-26510-S
xian3 du4	39-58625-S
xian3 e4	66-45841-B
xian3 er2 yi4 jian4	68-52159-B
xian3 fei4	5-41557-S
xian3 feng1	40-63881-S,66-45662-B
xian3 gong1 si1	5-41099-S,11-43498-S
xian3 gui4	5-41290-S
xian3 han2	68-51240-B
xian3 he2 tan2	32-50516-S
xian3 he4	68-52476-B
xian3 he4 ren2 wu4	68-52532-B
xian3 hua1	49-61894-S
xian3 huai2	68-50877-B
xian3 huan4	68-50354-B
xian3 hui4	68-51088-B
xian3 huo4	68-52417-B
xian3 ji4	13-36858-S,39-14708-S
xian3 jia1	28-24225-S
xian3 jian4	68-52358-B
xian3 jie3 kai1 xi4 tong3	5-41465-S
xian3 jing1	68-51138-B
xian3 jing4	68-52613-B
xian3 jue2	70-13276-S
xian3 jun4	66-45729-B
xian3 ka3	68-50213-B
xian3 kao3	68-52093-B
xian3 lao3	68-52047-B
