yan2 nian2 yi4 shou4	23-17304-B
yan2 pan4	46-13254-B
yan2 pian4	38-31306-S
yan2 pin4	23-18258-B
yan2 pin4 zhao1 lan3	23-18319-B
yan2 qi1	23-17884-B
yan2 qiao3 yu3	53-60773-S
yan2 qing3	23-18543-B
yan2 qiong2 qiu1	41-13929-S
yan2 qiu2	46-13522-B
yan2 quan2	44-34162-S
yan2 quan2 guo2	55-10553-S
yan2 que1 xian4	58-27463-S
yan2 r5	69-42609-S
yan2 re4	40-28607-B
yan2 ren2	4-33417-S,30-54819-S,44-34106-S
yan2 ren2 yuan2	47-20613-S,58-38748-S
yan2 rong2	21-36267-B
yan2 se4	68-44712-B
yan2 sha1 hai3 kui2 du2 su4	21-36182-B
yan2 shang1 ren2	25-23374-S
yan2 shen1	3-70754-S,23-16400-B
yan2 shi2	21-36486-B
yan2 shi2 ceng2	21-36660-B
yan2 shi2 quan1	21-36524-B
yan2 shi2 xue2	21-36581-B
yan2 shi4	22-18780-S,22-18929-S,30-3702-S,71-59021-S
yan2 shi4 yue1	58-27601-S
yan2 shou3	14-41606-B
yan2 shu4 liu2	33-32475-S,33-32549-S
yan2 shuang1 qiu2 jun1	52-15024-S
yan2 shui3	43-26448-S
yan2 shui3 ni2	46-22282-S
yan2 shun4	12-56605-S
yan2 song3 ting1	11-23295-S
yan2 su4	14-42625-B
yan2 suan1	71-7717-B
yan2 suan1 ke4 lun2 te4 luo1	71-7773-B
yan2 suan1 yan2	71-7870-B
yan2 sui3	23-19707-B
yan2 sui4 yu3	65-45615-S
yan2 sui5	37-51890-S,53-53270-B
yan2 sui5 ye4	53-53312-B
yan2 ta3	20-4605-S,20-5233-S
yan2 tan1	71-7390-B
yan2 tan2	57-56285-B
yan2 tao3	46-14876-B
yan2 tao3 hui4	46-14920-B
yan2 ti3	68-44750-B
yan2 tian2	71-7444-B
yan2 tiao2 r5	37-26820-B
yan2 tu2	37-27659-B
yan2 tu3 ti3	21-35995-B
yan2 wai4 zhi1 yi4	57-55739-B
yan2 wang4 ting1	18-33654-S
yan2 wei2 ding4	1-20861-S
yan2 wen2	30-30985-S
yan2 wu5	23-18465-B
yan2 xi1	46-13470-B
yan2 xi2	37-27523-B,46-14614-B,48-22969-B
yan2 xi4 yu3	61-12265-S
yan2 xia4	40-28237-B
yan2 xian4	37-27396-B
yan2 xiang1	15-63612-S
yan2 xing2	57-55956-B
yan2 xing4	23-17438-B,27-6015-S,40-28427-B
yan2 xing4 fan3 ying4	40-28485-B
yan2 xiu1 yuan2	46-13182-B
yan2 xu4	23-18205-B
yan2 xue2	21-36718-B,58-27267-S
yan2 xue2 jia1	58-27322-S
yan2 xue2 yi4 shi2	6-63104-S
yan2 xue2 yuan4	10-28050-S,15-13884-S
yan2 yan2	21-49871-B,40-28564-B
yan2 yang2	21-36763-B
yan2 yang4 ji1	47-20692-S
yan2 yao4	38-31389-S
yan2 yong4	37-27291-B
yan2 you2	56-4161-B
yan2 yu3	57-56089-B
yan2 yu3 que1 xian4	57-56216-B
yan2 yu3 shi1 chang2 zheng4	57-56133-B
yan2 zhan3	23-17014-B
yan2 zhan3 xing4	23-17100-B
yan2 zhan4 shu4	27-36298-S
yan2 zhang4 ai4	58-27728-S
yan2 zhe5	37-27485-B
yan2 zhen1 qing1	68-44649-B
yan2 zheng4	14-42409-B,40-28677-B
yan2 zhi1	48-38261-S,48-38472-S,50-35469-S
yan2 zhi1 chi2	16-61200-S
yan2 zhi4	46-14734-B
yan2 zhi4 guo4 cheng2	46-14793-B
yan2 zhi4 ji4 hua4	33-59140-S
yan2 zhong4	14-43015-B,60-25601-S
yan2 zhong4 guan1 qie4	14-43307-B
yan2 zhong4 hou4 guo3	14-43152-B
yan2 zhong4 wen4 ti2	14-43080-B
yan2 zhong4 xing4	14-43248-B
yan2 zi4 yu3	53-13815-S
yan2 zong1	54-32811-S
