yuan da	62-60457-B
yuan da tou	8-13741-B
yuan dai ma	39-15756-B
yuan dan	6-62028-B
yuan dao	11-35667-B,36-58323-S
yuan di	11-31325-B,15-22505-B,16-22385-B,39-48434-S,44-30791-S,48-21974-S
yuan di dian	62-60406-B
yuan di qu	14-64254-S,39-51777-S
yuan di zhen	38-50795-S
yuan dian	11-35885-B,39-16363-B,40-58810-S
yuan dian di zhi	39-16405-B
yuan dian ju	11-35957-B
yuan ding	11-32988-B,15-22461-B,15-25229-B
yuan ding zhi qi	1-18733-S
yuan dong	62-61523-B
yuan dong ci	52-27507-S
yuan dong li	11-30910-B
yuan duan	62-62416-B
yuan dui	29-64031-S
yuan duo bei ti	14-19404-S,43-62406-S
yuan fa	32-41012-S
yuan fa xing jin xing xing shi yu	11-34962-B
yuan fang	62-61018-B,62-61153-B
yuan fang shou	9-39357-S
yuan fen	50-19004-B,50-19216-B
yuan fu fei	15-24644-B
yuan gao	11-31047-B
yuan gong	13-41861-B,15-23702-B,30-4373-S
yuan gu	50-19346-B,62-60287-B
yuan gu gan	33-52958-S
yuan guan xi	56-28382-S
yuan guang	15-22796-B
yuan gui	8-7926-S,15-24751-B
yuan gui dao	15-24874-B
yuan gui zuo	15-24804-B
yuan guo	26-9102-S,32-22536-S
yuan guo jia gong mu	10-52554-S
yuan han shu	11-30611-B,15-22870-B,35-6913-S
yuan hang	62-62554-B
yuan he	11-33687-B,50-19161-B
yuan he sheng wu	11-33739-B
yuan he sheng wu jie	11-33806-B
yuan he xi bao	11-33899-B
yuan he xi bao xing wei sheng wu	11-33981-B
yuan hen	24-63974-B
yuan hou	42-15517-B
yuan hu	12-51951-S,15-23341-B,54-43528-S
yuan hua	15-24062-B,16-53848-S,43-23999-S,53-53155-B
yuan hua su	53-53216-B
yuan hui	2-51045-S,2-54416-S,2-56109-S,2-65966-S,2-66122-S,2-80134-S,15-5463-S,15-5708-S,15-6250-S,15-6417-S,15-6652-S,15-7023-S,15-7572-S,15-13746-S,15-16575-S,15-20582-S,15-20795-S,18-15163-S,18-41197-S,19-24283-S,20-69128-S,22-30145-S,30-4608-S,35-30519-S,49-38598-S,51-5233-S,51-64275-S,63-1148-S,65-6555-S
yuan hui hui yi	18-41252-S
yuan hui xuan chuan bu	2-54596-S
yuan hun	8-15304-B,71-32313-S
yuan ji	11-35097-B,15-23228-B,19-4480-S,63-9774-S
yuan ji fen	35-7238-S
yuan ji lu	37-52863-S
yuan ji zhi	67-40460-S
yuan jia	8-13913-B
yuan jia cuo an	8-13679-B
yuan jia dui tou	8-13966-B
yuan jia lu zhai	8-14062-B
yuan jian	6-60994-B,11-48563-S,33-59830-S,62-62720-B,67-27637-S
yuan jian jin	59-43860-S
yuan jian xi bang	41-23703-S
yuan jiao	71-17272-S
