yuán wǎng luò	33-52885-S
yuán wǔ qǔ	15-24702-B
yuán xiàn	1-32204-S,3-22441-S,18-55418-S,38-52716-S,38-59391-S,51-16945-S,64-54923-S
yuán xiàn chóng	48-25601-S
yuán xié huì	2-64411-S
yuán xiān	11-30560-B
yuán xiān wéi	11-35163-B,52-7539-S,52-48192-S
yuán xiāng	17-11039-S,30-45602-S,33-33655-S,34-3270-S,53-53409-S
yuán xiāo	6-61615-B
yuán xiāo jié	6-61672-B
yuán xiǎo jìng xiào yìng	7-57802-S
yuán xìng	11-33201-B,16-53996-S,51-39546-S
yuán xíng	10-55662-S,11-25250-S,11-31388-B,11-33129-B,15-23403-B,35-6995-S
yuán xíng bàn gōng shì	35-7046-S
yuán xíng miàn bāo	15-23513-B
yuán xíng mù cái	15-23453-B
yuán xīn	15-23575-B
yuán xūn	6-61125-B,6-61236-B,65-31626-S,65-31719-S
yuán yuán bù duàn	39-16000-B
yuán yuán běn běn	6-61047-B
yuán yuè	6-62222-B
yuán yuǎn liú cháng	39-16104-B
yuán yàng	11-34117-B,41-6785-S
yuán yáng	6-63508-B,11-35820-B
yuán yáo zú zì zhì xiàn	3-22306-S
yuán yì	11-33252-B,11-35277-B,15-22614-B
yuán yì mǎ	24-34800-S
yuán yí	10-55607-S
yuán yóu	11-34354-B,50-19392-B
yuán yùn dòng	11-53350-S
yuán yú lìng	56-49417-B
yuán yě	11-35762-B
yuán yīn	2-21039-S,3-7485-S,6-63574-B,11-26979-S,11-31103-B,28-8090-S,65-27426-S
yuán yīn hěn jiǎn dān	11-31168-B
yuán yīn shì	11-31262-B
yuán yīn shī dú	6-63614-B
yuán yīn yuè	30-53411-S
yuán yǐ tài wǎng luò	10-44140-S
yuán yǐ tài wǎng luò lián méng	10-44256-S
yuán yǐn	28-51120-B
yuán yǒu	11-33414-B
yuán yǔ yán néng lì	6-63205-B
yuán yǔ yán xué yì shí	6-63104-B
yuán yǔ zhòu	16-53903-S
yuán zhuàng	25-443-S
yuán zhuī	15-24969-B
yuán zhuī qū xiàn	15-25108-B
yuán zhuī tǐ	15-25179-B
yuán zhuī xíng	15-25044-B
yuán zhuō huì yì	15-23983-B
yuán zhàn lüè	15-44146-S
yuán zhèng zhì xué	15-44216-S
yuán zhì	52-48265-S
yuán zhí	19-41763-S
yuán zhù	11-35374-B,15-23811-B,28-50973-B,60-62954-S
yuán zhù mín	11-30299-B
yuán zhù mín zú	11-30373-B
yuán zhù tǐ	15-23919-B
yuán zhù xíng	15-23861-B
yuán zhù zhī shǒu	28-51048-B
yuán zhāng	32-68400-S
yuán zhī	11-34186-B
yuán zhī yuán wèi	11-34257-B
yuán zhōu	15-22943-B,56-49565-B
yuán zhōu lǜ	15-22992-B
yuán zhōu qū	56-49643-B
yuán zhū	15-24265-B
yuán zhū bǐ	15-24443-B
yuán zhū xíng lí zǐ jiāo huàn jì	15-24319-B
yuán zhǎng	18-41336-S
yuán zhǐ	16-54107-S
yuán zuì	11-35230-B
yuán zé	1-1148-S,1-19285-S,11-30671-B,40-47505-S,55-48971-S,55-49115-S
yuán zé xìng	11-30723-B
yuán zǐ	11-31684-B,46-31892-S
yuán zǐ bàn jìng	11-31729-B
yuán zǐ bào pò dàn yào	11-32219-B
yuán zǐ bǐ	11-32539-B
yuán zǐ duī	11-31881-B
yuán zǐ dàn	7-30040-S,11-32040-B
yuán zǐ fǎn yìng duī	11-31799-B
yuán zǐ hé	11-32094-B,36-33974-S
yuán zǐ kē xué jiā	11-32322-B
yuán zǐ kē xué jiā tōng bào	11-32422-B
yuán zǐ liàng	11-32857-B
yuán zǐ néng	11-32629-B
yuán zǐ néng fā diàn zhàn	11-32688-B
yuán zǐ néng jié gòu	15-15596-S
yuán zǐ néng jī gòu	2-55335-S,15-15474-S
yuán zǐ néng lián yíng	35-28912-S
yuán zǐ néng yán jiū suǒ	31-8649-S
yuán zǐ wǔ qì	11-32152-B
yuán zǐ xù shù	11-31972-B
yuán zǐ zhì liàng	11-32788-B
yuán zǐ zhōng	11-32929-B
yuán zǔ	4-66368-S,62-10860-S
