zhi1 fa3 fan4 fa3	45-63852-B
zhi1 fan2 ji3	2-20939-S
zhi1 fang2	11-47741-S,52-28539-B
zhi1 fang2 gan1	52-28582-B
zhi1 fang2 suan1	2-36702-S,16-53721-S,52-28639-B,69-7513-S
zhi1 fei1 fu2	16-20933-S
zhi1 fen2 hui4 tan4	53-50755-B,53-50932-B
zhi1 feng1	2-16099-S,4-67354-S
zhi1 fu2	60-55846-S
zhi1 fu2 wu4 qi4	23-12946-S
zhi1 fu4	29-37354-B,61-26637-S
zhi1 fu4 bu4 qi3	29-37401-B
zhi1 fu4 de2 qi3	29-37486-B
zhi1 fu4 xing4	12-14299-S
zhi1 gao1 ge2	33-11264-S
zhi1 geng1 niao3	45-63790-B
zhi1 gong1 ye4	49-25657-S
zhi1 gu4	14-62520-S
zhi1 gu4 fan4	31-25748-S
zhi1 guai4 xian4 zhuang4	3-34813-S
zhi1 guan1 jie2	27-61187-B
zhi1 guan1 xi4 cong2 ju4	12-23010-S
zhi1 guan4	43-64882-S
zhi1 guang1	7-51768-S
zhi1 gui3 bu4 jue2	4-5507-S,46-55485-S
zhi1 guo2	15-1748-S,17-46929-S
zhi1 hao2	1-865-S
zhi1 hao3 dai3	2-21414-S
zhi1 he2	54-18895-S
zhi1 he2 gu4	2-20775-S
zhi1 hong2 gu3 zhi1 zhi4	41-29558-S
zhi1 hou4	3-10907-B,15-35698-S
zhi1 hu1 zhe3 ye3	3-10530-B,39-35763-S
zhi1 hua1	29-31639-S
zhi1 hua1 shi4	29-31727-S
zhi1 huan4	24-38167-S
zhi1 huo3	31-29694-S
zhi1 huo4	21-63021-S
zhi1 ji1	30-34152-S,33-37063-S
zhi1 ji1 dou3 jiu3	12-8735-B
zhi1 ji2	5-56503-S,43-66228-S
zhi1 ji3	45-63273-B,45-63445-S,57-35580-S
zhi1 ji3 zhi1 bi3	45-63361-B
zhi1 ji4	15-35779-S,50-22650-S
zhi1 jia1	42-38198-S
zhi1 jia1 ge1 da4 xue2	53-50593-B
zhi1 jia4	29-38753-B
zhi1 jia5	27-60440-B
zhi1 jian1	3-11016-B,4-57571-S,11-37681-S,15-37119-S,23-48663-S,45-59562-S
zhi1 jian4	3-57117-S,24-1970-S
zhi1 jiang1 mei2 jun1 bing4	49-38815-S
zhi1 jiao1	54-26611-S
zhi1 jiao1 bi4	17-64256-S
zhi1 jie2	33-38383-B
zhi1 jie4 ti3 bing4 du2	48-29744-S
zhi1 jin4 tui4	2-21818-S
zhi1 jing4 cao3	44-7881-S
zhi1 jiu3	22-47037-S
zhi1 jiu3 shi2	44-50986-S
zhi1 ju3	31-24508-S,69-59540-S
zhi1 jue2	37-10766-S,40-58205-S,45-63984-B
zhi1 jue2 jie3 ti3	45-64028-B
zhi1 ke4	2-33958-S
zhi1 ku3	5-56663-S
zhi1 lan2	53-51283-B
zhi1 lan2 yu4 shu4	53-51540-B
zhi1 lan2 zhi1 shi4	53-51398-B
zhi1 lao2	53-27031-S
zhi1 le4	17-43953-S
zhi1 lei4	3-11071-B
zhi1 li2 po4 sui4	29-39612-B
zhi1 li4	1-18378-S,2-31927-S,3-20205-S,26-34786-S
zhi1 liang2 neng2	53-42431-S
zhi1 liao3	45-63100-B
zhi1 liu2	29-39004-B
zhi1 lu4	17-50257-S,24-41621-S,31-11006-S
zhi1 luan4	1-40816-S,5-26431-S,19-25182-S,69-64858-S,71-19195-S
zhi1 lun4	1-77066-S,2-14219-S,12-15410-S,58-18177-S
zhi1 ma3	19-59609-S,52-34788-S
zhi1 ma5	44-44802-S,53-51680-B,66-29753-S,71-32821-S
zhi1 ma5 bing3	53-51916-B
zhi1 ma5 guan1	53-51725-B
zhi1 ma5 jiang4	53-51859-B
zhi1 ma5 you2	53-51806-B
