借詞 借词	6-1219-B
借調 借调	6-1269-B
借讀 借读	6-1337-B
借记卡	6-1166-S
借词	6-1219-S
借读	6-1337-S
借调	6-1269-S
借貸 借贷	6-1407-B
借賬 借账	6-1499-B
借账	6-1499-S
借贷	6-1407-S
借过	6-1565-S
借過 借过	6-1565-B
借酒浇愁	6-1608-S
借酒澆愁 借酒浇愁	6-1608-B
借重	6-1701-S
借重 借重	6-1701-B
借鉴	6-1937-S
借錢 借钱	6-1762-B
借鏡 借镜	6-1826-B
借鑒 借鉴	6-1937-B
借钱	6-1762-S
借镜	6-1826-S
借閱 借阅	6-2048-B
借问	5-64954-S
借阅	6-2048-S
借題發揮 借题发挥	6-2105-B
借题发挥	6-2105-S
倡	6-2211-S
倡 倡	6-2211-B
倡导	6-2278-S
倡导者	6-2400-S
倡導 倡导	6-2278-B
倡導者 倡导者	6-2400-B
倡議 倡议	6-2473-B
倡议	6-2473-S
倢	6-2529-S
倢 倢	6-2529-B
倣 仿	6-2560-B
値	6-2591-S
値 値	6-2591-B
倥	6-2637-S,6-2682-S
倥 倥	6-2637-B,6-2682-B
倦	6-2720-S
倦 倦	6-2720-B
倨	6-2749-S
倨 倨	6-2749-B
倩	6-2779-S
倩 倩	6-2779-B
倩影	6-2827-S
倩影 倩影	6-2827-B
倪	6-2889-S
倪 倪	6-2889-B
倪嗣冲	6-2921-S
倪嗣沖 倪嗣冲	6-2921-B
倪柝声	6-2988-S
倪柝聲 倪柝声	6-2988-B
倫 伦	6-3073-B
倫巴 伦巴	6-3114-B
倫敦 伦敦	6-3152-B
倫敦帝國理工學院 伦敦帝国理工学院	6-3220-B
倫理 伦理	6-3336-B
倫理學 伦理学	6-3375-B
倫琴 伦琴	6-3425-B
倫琴射線 伦琴射线	6-3506-B
倬	6-3593-S
倬 倬	6-3593-B
倭	6-3648-S
倭 倭	6-3648-B
倭人	6-3706-S
倭人 倭人	6-3706-B
倭军	6-3851-S
倭寇	6-3775-S
倭寇 倭寇	6-3775-B
倭軍 倭军	6-3851-B
倶	6-3919-S
倶 倶	6-3919-B
债	6-42786-S
债券	6-42814-S
债务	6-42854-S
债务人	6-42892-S
债台高筑	6-42943-S,6-43218-S
债权人	6-43060-S
债权国	6-43115-S
债款	6-43178-S
值	6-3964-S
值 值	6-3964-B
值勤	6-4016-S
值勤 值勤	6-4016-B
值域	6-4077-S
值域 值域	6-4077-B
值夜	6-4123-S
值夜 值夜	6-4123-B
值宿	6-4169-S
值宿 值宿	6-4169-B
值得	6-4215-S
值得 值得	6-4215-B
值得信賴 值得信赖	6-4269-B
值得信赖	6-4269-S
值得庆幸	6-4334-S
值得慶幸 值得庆幸	6-4334-B
值得敬佩	6-4444-S
值得敬佩 值得敬佩	6-4444-B
值得注意	6-4536-S
值得注意 值得注意	6-4536-B
值得注意的是	6-4623-S
值得注意的是 值得注意的是	6-4623-B
值得称赞	6-4721-S
值得稱讚 值得称赞	6-4721-B
值日	6-4788-S
值日 值日	6-4788-B
值日生	6-4832-S
值日生 值日生	6-4832-B
值班	6-4901-S
值班 值班	6-4901-B
值遇	6-4958-S
值遇 值遇	6-4958-B
值錢 值钱	6-5016-B
值钱	6-5016-S
倾	6-46034-S
倾佩	6-46120-S
倾侧	6-46302-S
倾倒	6-46172-S,6-46239-S
倾动	6-46433-S
倾卸	6-46478-S
倾吐	6-46553-S
倾吐胸臆	6-46675-S
倾吐衷肠	6-46755-S
倾向	6-46901-S
倾向于	6-47114-S
倾向性	6-46964-S,6-47045-S
倾听	6-48856-S
倾听者	6-48951-S
倾囊	6-47169-S
倾城	6-47257-S
倾家	6-46364-S
倾家荡产	6-47391-S
倾巢	6-47487-S
倾巢而出	6-47614-S
倾心	6-47737-S
倾心吐胆	6-47818-S
倾慕	6-47909-S
倾斜	6-47969-S
倾斜度	6-48033-S
倾服	6-48139-S
倾泄	6-48230-S
倾注	6-48182-S
倾泻	6-48284-S
倾盆	6-48343-S
倾盆大雨	6-48408-S
倾盖	6-49006-S
倾箱倒箧	6-48547-S
倾羡	6-48673-S
倾耳	6-48727-S
倾耳而听	6-48779-S
倾覆	6-49091-S
倾角	6-49185-S
倾诉	6-49335-S
倾谈	6-49410-S
倾轧	6-5076-S
倾轧 倾轧	6-5076-B
倾销	6-49464-S
倾陷	6-49514-S
倾颓	6-49591-S
偁	6-5145-S
偁 偁	6-5145-B
偃	6-5177-S
偃 偃	6-5177-B
偃师	6-5246-S
偃師 偃师	6-5246-B
偃旗息鼓	6-5300-S
偃旗息鼓 偃旗息鼓	6-5300-B
假	6-5434-S,6-5499-S
假 假	6-5434-B,6-5499-B
假人	6-5530-S
假人 假人	6-5530-B
假人假义	6-5571-S
假人假義 假人假义	6-5571-B
假人像	6-5695-S
假人像 假人像	6-5695-B
假仁假义	6-5751-S
假仁假義 假仁假义	6-5751-B
假令	6-5839-S
假令 假令	6-5839-B
假使	6-5916-S
假使 假使	6-5916-B
假借	6-5978-S
假借 假借	6-5978-B
假借义	6-6380-S
假借字	6-6174-S
假借字 假借字	6-6174-B
假借義 假借义	6-6380-B
假充	6-6440-S
假充 假充	6-6440-B
假公济私	6-6513-S
假公濟私 假公济私	6-6513-B
假冒	6-6677-S
假冒 假冒	6-6677-B
假冒品	6-6765-S
假冒品 假冒品	6-6765-B
假分数	6-6833-S
假分數 假分数	6-6833-B
假发	6-10335-S
假名	6-6914-S
假名 假名	6-6914-B
