屬國 属国	21-27304-B
屬地 属地	21-27350-B
屬實 属实	21-27422-B
屬性 属性	21-27489-B
屬於 属于	21-27542-B
屬靈 属灵	21-27618-B
屭	21-27662-S
屭 屭	21-27662-B
屮	21-27701-S
屮 屮	21-27701-B
屯	21-27740-S,21-27796-S
屯 屯	21-27740-B,21-27796-B
屯垦	21-27836-S
屯垦园区	21-27936-S
屯墾 屯垦	21-27836-B
屯墾園區 屯垦园区	21-27936-B
屯戍	21-28038-S
屯戍 屯戍	21-28038-B
屯昌	21-28112-S
屯昌 屯昌	21-28112-B
屯特	21-28178-S
屯特 屯特	21-28178-B
屯特大学	21-28245-S
屯特大學 屯特大学	21-28245-B
屯留	21-28319-S
屯留 屯留	21-28319-B
屯門 屯门	21-28381-B
屯门	21-28381-S
山	21-28423-S
山 山	21-28423-B
山上乡	21-28486-S
山上鄉 山上乡	21-28486-B
山东	21-30079-S
山东半岛	21-30162-S
山东大学	21-30238-S
山东省	21-30314-S
山中圣训	21-28569-S
山中聖訓 山中圣训	21-28569-B
山丹	21-28653-S
山丹 山丹	21-28653-B
山亭区	21-28716-S
山亭區 山亭区	21-28716-B
山冈	21-29278-S
山区	21-28793-S
山區 山区	21-28793-B
山南地区	21-28840-S
山南地区 山南地区	21-28840-B
山口洋	21-28921-S
山口洋 山口洋	21-28921-B
山地	21-28995-S
山地 山地	21-28995-B
山地自行車 山地自行车	21-29072-B
山地自行车	21-29072-S
山坡	21-29152-S
山坡 山坡	21-29152-B
山头	21-33548-S
山奈	21-29194-S
山奈 山奈	21-29194-B
山岡 山冈	21-29278-B
山岭	21-29597-S
山峦	21-29647-S
山峰	21-29330-S
山峰 山峰	21-29330-B
山崎	21-29381-S
山崎 山崎	21-29381-B
山崖	21-29430-S
山崖 山崖	21-29430-B
山崩	21-29469-S
山崩 山崩	21-29469-B
山嵛菜	21-29523-S
山嵛菜 山嵛菜	21-29523-B
山嶺 山岭	21-29597-B
山巒 山峦	21-29647-B
山庄	21-32636-S
山形县	21-29726-S
山形縣 山形县	21-29726-B
山旮旯	21-29820-S
山旮旯 山旮旯	21-29820-B
山本	21-29883-S
山本 山本	21-29883-B
山本五十六	21-29933-S
山本五十六 山本五十六	21-29933-B
山村	21-30028-S
山村 山村	21-30028-B
山東 山东	21-30079-B
山東半島 山东半岛	21-30162-B
山東大學 山东大学	21-30238-B
山東省 山东省	21-30314-B
山案座	21-30410-S
山案座 山案座	21-30410-B
山梨县	21-30476-S
山梨醇	21-30590-S
山棃縣 山梨县	21-30476-B
山棃醇 山梨醇	21-30590-B
山楂	21-30689-S
山楂 山楂	21-30689-B
山歌	21-30750-S
山歌 山歌	21-30750-B
山水	21-30807-S
山水 山水	21-30807-B
山水詩 山水诗	21-30852-B
山水诗	21-30852-S
山沟	21-31323-S
山河	21-30915-S
山河 山河	21-30915-B
山泥倾泻	21-30987-S
山泥傾瀉 山泥倾泻	21-30987-B
山洞	21-31055-S
山洞 山洞	21-31055-B
山海关	21-31176-S
山海关区	21-31235-S
山海經 山海经	21-31102-B
山海经	21-31102-S
山海關 山海关	21-31176-B
山海關區 山海关区	21-31235-B
山涧	21-31386-S
山溝 山沟	21-31323-B
山澗 山涧	21-31386-B
山火	21-31437-S
山火 山火	21-31437-B
山狮	21-31492-S
山獅 山狮	21-31492-B
山珍海味	21-31540-S
山珍海味 山珍海味	21-31540-B
山珍海錯 山珍海错	21-31655-B
山珍海错	21-31655-S
山盟海誓	21-31808-S
山盟海誓 山盟海誓	21-31808-B
山竹	21-31922-S
山竹 山竹	21-31922-B
山羊	21-31967-S
山羊 山羊	21-31967-B
山羊座	21-32007-S
山羊座 山羊座	21-32007-B
山胡桃木	21-32132-S
山胡桃木 山胡桃木	21-32132-B
山脈 山脉	21-32194-B
山脉	21-32194-S
山脊	21-32243-S
山脊 山脊	21-32243-B
山脚	21-32370-S
山腰	21-32291-S
山腰 山腰	21-32291-B
山腳 山脚	21-32370-B
山芋	21-32424-S
山芋 山芋	21-32424-B
山茱萸	21-32470-S
山茱萸 山茱萸	21-32470-B
山茶花	21-32583-S
山茶花 山茶花	21-32583-B
山药	21-32810-S
山莊 山庄	21-32636-B
山莓	21-32713-S
山莓 山莓	21-32713-B
山葵	21-32757-S
山葵 山葵	21-32757-B
山藥 山药	21-32810-B
山西	21-32866-S
山西 山西	21-32866-B
山西兽	21-33037-S
山西大学	21-32965-S
山西大學 山西大学	21-32965-B
山西獸 山西兽	21-33037-B
山西省	21-33122-S
山西省 山西省	21-33122-B
山谷	21-33234-S
山谷 山谷	21-33234-B
山路	21-33274-S
山路 山路	21-33274-B
山野	21-33321-S
山野 山野	21-33321-B
山阳	21-33438-S
山阴	21-33374-S
山陰 山阴	21-33374-B
山陽 山阳	21-33438-B
山頂 山顶	21-33505-B
山頭 山头	21-33548-B
山顶	21-33505-S
山高水長 山高水长	21-33595-B
山高水长	21-33595-S
山高海深	21-33739-S
山高海深 山高海深	21-33739-B
山麓	21-33872-S
山麓 山麓	21-33872-B
屴	21-33915-S
屴 屴	21-33915-B
屹	21-33956-S
屹 屹	21-33956-B
屹立	21-33992-S
屹立 屹立	21-33992-B
屺	21-34072-S
屺 屺	21-34072-B
屼	21-34112-S
屼 屼	21-34112-B
屿	21-49129-S
岁	35-50407-S
岁修	35-50469-S
岁入	35-50520-S
岁差	35-50574-S
岁序	35-50639-S
岁数	35-50693-S
岁时	35-50751-S
岁暮	35-50808-S
岁月	35-50856-S
岁月如流	35-50918-S
岁月峥嵘	35-51014-S
岁首	35-51103-S
岂	59-18387-S
岂不	59-18448-S
岂有此理	59-18502-S
岊	21-34143-S
岊 岊	21-34143-B
岌	21-34179-S
岌 岌	21-34179-B
岍	21-34220-S
岍 岍	21-34220-B
岐	21-34262-S
岐 岐	21-34262-B
岐山	21-34309-S
岐山 岐山	21-34309-B
岐視 岐视	21-34372-B
岐视	21-34372-S
岐路灯	21-34459-S
岐路燈 岐路灯	21-34459-B
岑	21-34532-S
岑 岑	21-34532-B
岑巩	21-34640-S
岑溪	21-34579-S
岑溪 岑溪	21-34579-B
岑鞏 岑巩	21-34640-B
岔	21-34705-S
岔 岔	21-34705-B
岔口	21-34767-S
岔口 岔口	21-34767-B
岔子	21-34822-S
岔子 岔子	21-34822-B
岔开	21-35102-S
岔流	21-34880-S
岔流 岔流	21-34880-B
岔調 岔调	21-34927-B
岔调	21-34927-S
岔路	21-34989-S
岔路 岔路	21-34989-B
岔道	21-35038-S
岔道 岔道	21-35038-B
岔開 岔开	21-35102-B
岖	21-47863-S
岗	21-44206-S
岗位	21-44252-S
