打呼	26-41669-S
打呼 打呼	26-41669-B
打哆嗦	26-41706-S
打哆嗦 打哆嗦	26-41706-B
打啵	26-41790-S
打啵 打啵	26-41790-B
打喷嚏	26-42050-S
打嗝	26-41829-S
打嗝 打嗝	26-41829-B
打嗝儿	26-41878-S
打嗝兒 打嗝儿	26-41878-B
打嘴	26-41942-S
打嘴 打嘴	26-41942-B
打噴嚏 打喷嚏	26-42050-B
打嚏喷	26-42102-S
打嚏噴 打嚏喷	26-42102-B
打圆场	26-42153-S
打圓場 打圆场	26-42153-B
打场	26-42380-S
打坐	26-42250-S
打坐 打坐	26-42250-B
打垮	26-42312-S
打垮 打垮	26-42312-B
打場 打场	26-42380-B
打奶	26-42445-S
打奶 打奶	26-42445-B
打孔器	26-42550-S
打孔器 打孔器	26-42550-B
打字	26-42606-S
打字 打字	26-42606-B
打字员	26-42645-S
打字員 打字员	26-42645-B
打字机	26-42695-S
打字機 打字机	26-42695-B
打官司	26-42747-S
打官司 打官司	26-42747-B
打官腔	26-42825-S
打官腔 打官腔	26-42825-B
打官話 打官话	26-42953-B
打官话	26-42953-S
打富济贫	26-43079-S
打富濟貧 打富济贫	26-43079-B
打对仗	26-43177-S
打對仗 打对仗	26-43177-B
打小報告 打小报告	26-43233-B
打小报告	26-43233-S
打屁股	26-43312-S
打屁股 打屁股	26-43312-B
打岔	26-43373-S
打岔 打岔	26-43373-B
打工	26-43465-S
打工 打工	26-43465-B
打工仔	26-43662-S
打工妹	26-43566-S
打工妹 打工妹	26-43566-B
打工崽 打工仔	26-43662-B
打底	26-43750-S
打底 打底	26-43750-B
打开	26-50181-S
打得火热	26-43795-S
打得火熱 打得火热	26-43795-B
打情罵俏 打情骂俏	26-43949-B
打情骂俏	26-43949-S
打成一片	26-44126-S
打成一片 打成一片	26-44126-B
打成平手	26-44239-S
打成平手 打成平手	26-44239-B
打扫	26-44876-S
打扮	26-44346-S
打扮 打扮	26-44346-B
打扰	26-45367-S
打折	26-44452-S
打折 打折	26-44452-B
打折扣	26-44503-S
打折扣 打折扣	26-44503-B
打招呼	26-44565-S
打招呼 打招呼	26-44565-B
打拱	26-44658-S
打拱 打拱	26-44658-B
打拱作揖	26-44717-S
打拱作揖 打拱作揖	26-44717-B
打拳	26-44824-S
打拳 打拳	26-44824-B
打捞	26-44926-S
打掃 打扫	26-44876-B
打搅	26-45407-S
打撈 打捞	26-44926-B
打擊 打击	26-45023-B
打擊樂器 打击乐器	26-45118-B
打擊社會財富 打击社会财富	26-45192-B
打擊軍事力量 打击军事力量	26-45279-B
打擾 打扰	26-45367-B
打攪 打搅	26-45407-B
打敗 打败	26-45462-B
打斗	26-50691-S
打断	26-45559-S
打斷 打断	26-45559-B
打更	26-45636-S
打更 打更	26-45636-B
打杈	26-45718-S
打杈 打杈	26-45718-B
打来回	26-40825-S
打架	26-45769-S
打架 打架	26-45769-B
打格子	26-45838-S
打格子 打格子	26-45838-B
打棍子	26-45935-S
打棍子 打棍子	26-45935-B
打横炮	26-46012-S
打橫炮 打横炮	26-46012-B
打死	26-46076-S
