挨近	27-68882-S
挨近 挨近	27-68882-B
挨邊 挨边	27-68938-B
挨邊兒 挨边儿	27-69095-B
挨頭子 挨头子	27-69292-B
挨餓 挨饿	27-69366-B
挨饿	27-69366-S
挨骂	27-68754-S
挨鬥 挨斗	27-69439-B
挪	27-69499-S
挪 挪	27-69499-B
挪亚	27-69538-S
挪亞 挪亚	27-69538-B
挪借	27-69575-S
挪借 挪借	27-69575-B
挪动	27-69641-S
挪動 挪动	27-69641-B
挪威	27-69692-S
挪威 挪威	27-69692-B
挪用	27-69732-S
挪用 挪用	27-69732-B
挪窝儿	27-69794-S
挪窩兒 挪窝儿	27-69794-B
挫	27-69869-S
挫 挫	27-69869-B
挫折	27-69958-S
挫折 挫折	27-69958-B
挫折感	27-70007-S
挫折感 挫折感	27-70007-B
挫敗 挫败	27-70063-B
挫败	27-70063-S
振	27-70137-S
振 振	27-70137-B
振作	27-70166-S
振作 振作	27-70166-B
振兴	27-70792-S
振动	27-70270-S
振動 振动	27-70270-B
振奋	27-70315-S
振奮 振奋	27-70315-B
振幅	27-70402-S
振幅 振幅	27-70402-B
振振有詞 振振有词	27-70445-B
振振有词	27-70445-S
振振有辞	27-70599-S
振振有辭 振振有辞	27-70599-B
振興 振兴	27-70792-B
振荡	27-70852-S
振蕩 振荡	27-70852-B
挲	27-70909-S
挲 挲	27-70909-B
挶	27-70946-S
挶 挶	27-70946-B
挹	27-70995-S
挹 挹	27-70995-B
挹注	27-71043-S
挹注 挹注	27-71043-B
挺	27-71150-S
挺 挺	27-71150-B
挺住	28-0-S
挺住 挺住	28-0-B
挺好	28-105-S
挺好 挺好	28-105-B
挺拔	28-149-S
挺拔 挺拔	28-149-B
挺杆	28-200-S
挺桿 挺杆	28-200-B
挺立	28-256-S
挺立 挺立	28-256-B
挽	28-321-S
挽 挽	28-321-B
挽具	28-495-S
挽具 挽具	28-495-B
挽力	28-535-S
挽力 挽力	28-535-B
挽回	28-602-S
挽回 挽回	28-602-B
挽幛	28-657-S
挽幛 挽幛	28-657-B
挽救	28-713-S
挽救 挽救	28-713-B
挽救儿童	28-774-S
挽救兒童 挽救儿童	28-774-B
挽歌	28-865-S
挽歌 挽歌	28-865-B
挽留	28-914-S
挽留 挽留	28-914-B
挽联	28-970-S
挽聯 挽联	28-970-B
挽詞 挽词	28-1020-B
挽词	28-1020-S
挽辞	28-1075-S
挽辭 挽辞	28-1075-B
挽額 挽额	28-1130-B
挽额	28-1130-S
挾 挟	28-1176-B,28-1211-B
挾天子以令天下 挟天子以令天下	28-1260-B
挾天子以令諸侯 挟天子以令诸侯	28-1416-B
挾持 挟持	28-1565-B
挾細拿粗 挟细拿粗	28-1691-B
挾製 挟制	28-1754-B
挿	28-1858-S
挿 挿	28-1858-B
捂	28-1914-S,28-62923-S
捂 捂	28-1914-B
捂住	28-62971-S
捂住脸	28-63031-S
捃	28-1945-S
捃 捃	28-1945-B
捄	28-1982-S
捄 捄	28-1982-B
捅	28-2014-S
捅 捅	28-2014-B
捆	28-2050-S
捆 捆	28-2050-B
捆綁 捆绑	28-2100-B
捆縛 捆缚	28-2142-B
捆绑	28-2100-S
捆缚	28-2142-S
捉	28-2182-S
捉 捉	28-2182-B
捉取	28-2234-S
捉取 捉取	28-2234-B
捉取图像	28-2278-S
捉取圖像 捉取图像	28-2278-B
捉弄	28-2348-S
捉弄 捉弄	28-2348-B
捉拿	28-2392-S
捉拿 捉拿	28-2392-B
捉拿归案	28-2455-S
捉拿歸案 捉拿归案	28-2455-B
捉摸	28-2526-S
捉摸 捉摸	28-2526-B
捉迷藏	28-2631-S
捉迷藏 捉迷藏	28-2631-B
捋	28-2690-S,28-2726-S
捋 捋	28-2690-B,28-2726-B
捌	28-2759-S
捌 捌	28-2759-B
捍	28-2822-S
捍 捍	28-2822-B
捍卫	28-2862-S
捍卫者	28-2919-S
捍衛 捍卫	28-2862-B
捍衛者 捍卫者	28-2919-B
捎	28-2992-S
捎 捎	28-2992-B
捎信	28-3037-S
捎信 捎信	28-3037-B
捏	28-3101-S
捏 捏	28-3101-B
捏估	28-3173-S
捏估 捏估	28-3173-B
捏合	28-3227-S
捏合 捏合	28-3227-B
捏积	28-3282-S
捏積 捏积	28-3282-B
捏脊治疗	28-3327-S
捏脊治療 捏脊治疗	28-3327-B
捏造	28-3415-S
捏造 捏造	28-3415-B
捐	28-3472-S
捐 捐	28-3472-B
捐助	28-3547-S
捐助 捐助	28-3547-B
捐募	28-3609-S
捐募 捐募	28-3609-B
捐命	28-3688-S
捐命 捐命	28-3688-B
捐款	28-3746-S
捐款 捐款	28-3746-B
捐款者	28-3817-S
捐款者 捐款者	28-3817-B
捐物	28-3905-S
捐物 捐物	28-3905-B
捐献	28-3998-S
捐獻 捐献	28-3998-B
捐班	28-4079-S
捐班 捐班	28-4079-B
捐生	28-4127-S
捐生 捐生	28-4127-B
捐稅 捐税	28-4187-B
捐税	28-4187-S
捐給 捐给	28-4239-B
捐给	28-4239-S
捐背	28-4283-S
捐背 捐背	28-4283-B
捐血	28-4324-S
捐血 捐血	28-4324-B
捐血者	28-4394-S
捐血者 捐血者	28-4394-B
捐資 捐资	28-4473-B
捐贈 捐赠	28-4526-B
捐贈者 捐赠者	28-4586-B
捐资	28-4473-S
捐赠	28-4526-S
捐赠者	28-4586-S
捐躯	28-4650-S
捐軀 捐躯	28-4650-B
捐选	28-4707-S
捐選 捐选	28-4707-B
捕	28-4752-S
捕 捕	28-4752-B
捕俘	28-4811-S
捕俘 捕俘	28-4811-B
捕头	28-5479-S
捕手	28-4894-S
捕手 捕手	28-4894-B
捕拿	28-4935-S
捕拿 捕拿	28-4935-B
捕捉	28-4987-S
捕捉 捕捉	28-4987-B
捕捞	28-5049-S
捕撈 捕捞	28-5049-B
捕杀	28-5125-S
捕殺 捕杀	28-5125-B
捕猎	28-5252-S
捕獲 捕获	28-5191-B
捕獵 捕猎	28-5252-B
捕禽人	28-5292-S
捕禽人 捕禽人	28-5292-B
捕获	28-5191-S
捕虏岩	28-5355-S
捕虜岩 捕虏岩	28-5355-B
捕虫叶	28-5414-S
捕蟲葉 捕虫叶	28-5414-B
捕頭 捕头	28-5479-B
捕風捉影 捕风捉影	28-5521-B
捕风捉影	28-5521-S
捕食	28-5694-S
捕食 捕食	28-5694-B
捕魚 捕鱼	28-5775-B
捕鯨 捕鲸	28-5822-B
捕鯨船 捕鲸船	28-5863-B
捕鱼	28-5775-S
捕鲸	28-5822-S
捕鲸船	28-5863-S
捕鼠器	28-5930-S
捕鼠器 捕鼠器	28-5930-B
捗	28-5982-S
捗 捗	28-5982-B
捘	28-6017-S
捘 捘	28-6017-B
捜	28-6044-S
捜 捜	28-6044-B
捞	29-5340-S
损	28-52145-S
损人利己	28-52200-S
损伤	28-52350-S
损坏	28-52440-S
损失	28-52494-S
损害	28-52559-S
损毁	28-52629-S
损益	28-52669-S
损税	28-52739-S
损耗	28-52792-S
损耗品	28-52839-S
捡	29-17335-S
换	28-45752-S
换个儿	28-45967-S
换乘	28-45791-S
换代	28-45850-S
换取	28-46041-S
换句话说	28-46105-S
换岗	28-46176-S
换工	28-46251-S
换挡	28-46307-S
换挡杆	28-46357-S
换档	28-46414-S
换档杆	28-46464-S
换汤不换药	28-46521-S
换班	28-46705-S
换算	28-46841-S
换置	28-46907-S
换羽	28-46950-S
换茬	28-47010-S
换防	28-47062-S
捣	28-54924-S
捣乱	28-54982-S
捣卖	28-55523-S
捣实	28-55091-S
捣弄	28-55170-S
捣毁	28-55238-S
捣碎	28-55294-S
捣腾	28-55578-S,28-55637-S
捣蛋	28-55333-S
捣蛋鬼	28-55402-S
捣衣	28-55460-S
捣鬼	28-55698-S
捣鼓	28-55764-S
捥	28-6100-S
捥 捥	28-6100-B
捧	28-6140-S
捧 捧	28-6140-B
捧哏	28-6193-S
捧哏 捧哏	28-6193-B
捧场	28-6319-S
捧場 捧场	28-6319-B
捧杯	28-6447-S
捧杯 捧杯	28-6447-B
捨 舍	28-6535-B
捨下 舍下	28-6573-B
捨不得 舍不得	28-6629-B
捨命 舍命	28-6720-B
捨己 舍己	28-6773-B
捨得 舍得	28-6873-B
捨棄 舍弃	28-6935-B
捨生取義 舍生取义	28-6998-B
捨身 舍身	28-7099-B
捩	28-7152-S
捩 捩	28-7152-B
捫 扪	28-7185-B
捫心無愧 扪心无愧	28-7229-B
捭	28-7310-S,28-7351-S
捭 捭	28-7310-B,28-7351-B
据	28-7378-S,28-7420-S,29-23527-S
据 据	28-7378-B,28-7420-B
据为己有	29-24445-S
据估计	29-23619-S
据信	29-23683-S
据守	29-23893-S
据守天险	29-23975-S
据实	29-24062-S
据悉	29-24117-S
据我看	29-24191-S
据报	29-23754-S
据报导	29-23822-S
据有	29-24278-S
据此	29-24320-S
据点	29-25078-S
据理	29-24535-S
据理力争	29-24599-S
据称	29-24718-S
据统计	29-24809-S
据说	29-24937-S
据闻	29-24876-S
据险	29-24997-S
捱	28-7512-S
捱 捱	28-7512-B
捲 卷	28-7547-B
捲入 卷入	28-7583-B
捲層雲 卷层云	28-7651-B
捲帘門 卷帘门	28-7718-B
捲帶 卷带	28-7777-B
捲心菜 卷心菜	28-7816-B
捲揚 卷扬	28-7869-B
捲揚機 卷扬机	28-7916-B
捲曲 卷曲	28-7971-B
捲積雲 卷积云	28-8025-B
捲舌元音 卷舌元音	28-8090-B
捲逃 卷逃	28-8195-B
捲鋪蓋 卷铺盖	28-8264-B
捲餅 卷饼	28-8338-B
捲鬚 卷须	28-8399-B
捶	28-8440-S
捶 捶	28-8440-B
捶击	28-8600-S
捶子	28-8502-S
捶子 捶子	28-8502-B
捶打	28-8541-S
捶打 捶打	28-8541-B
捶擊 捶击	28-8600-B
捶胸	28-8650-S
捶胸 捶胸	28-8650-B
捶胸頓足 捶胸顿足	28-8706-B
捶胸顿足	28-8706-S
捷	28-8817-S
捷 捷	28-8817-B
捷克	28-8909-S
捷克 捷克	28-8909-B
捷克共和国	28-8947-S
捷克共和國 捷克共和国	28-8947-B
捷克斯洛伐克	28-9027-S
捷克斯洛伐克 捷克斯洛伐克	28-9027-B
捷克語 捷克语	28-9127-B
捷克语	28-9127-S
捷報 捷报	28-9186-B
捷安特	28-9257-S
捷安特 捷安特	28-9257-B
捷尔任斯克	28-9364-S
捷径	28-9319-S
捷徑 捷径	28-9319-B
捷报	28-9186-S
捷爾任斯克 捷尔任斯克	28-9364-B
捷語 捷语	28-9438-B
捷语	28-9438-S
捷足先登	28-9484-S
捷足先登 捷足先登	28-9484-B
捷运	28-9551-S
捷運 捷运	28-9551-B
捺	28-9605-S
捺 捺	28-9605-B
捻	28-9687-S,29-9503-S
捻 捻	28-9687-B
捻军	28-9733-S
捻軍 捻军	28-9733-B
捼	28-9782-S
捼 捼	28-9782-B
捽	28-9822-S,28-9849-S
捽 捽	28-9822-B,28-9849-B
掀	28-9877-S
掀 掀	28-9877-B
掀动	28-9936-S
掀動 掀动	28-9936-B
掀天揭地	28-10008-S
掀天揭地 掀天揭地	28-10008-B
掀开	28-10297-S
掀掉	28-10081-S
掀掉 掀掉	28-10081-B
掀涌	28-10138-S
掀涌 掀涌	28-10138-B
掀腾	28-10463-S
掀起	28-10196-S
掀起 掀起	28-10196-B
掀開 掀开	28-10297-B
掀風鼓浪 掀风鼓浪	28-10357-B
掀风鼓浪	28-10357-S
掀騰 掀腾	28-10463-B
掂	28-10527-S
掂 掂	28-10527-B
掃 扫	28-10583-B,28-10614-B
掃墓 扫墓	28-10642-B
掃帚 扫帚	28-10736-B
掃把 扫把	28-10775-B
