槍擊案 枪击案	34-44808-B
槍支 枪支	34-44863-B
槍斃 枪毙	34-44920-B
槍林箭雨 枪林箭雨	34-45004-B
槍枝 枪枝	34-45077-B
槍械 枪械	34-45156-B
槍決 枪决	34-45199-B
槍管 枪管	34-45267-B
槍聲 枪声	34-45314-B
槍術 枪术	34-45373-B
槎	34-45422-S
槎 槎	34-45422-B
槐	34-45495-S
槐 槐	34-45495-B
槐树	34-45579-S
槐樹 槐树	34-45579-B
槓	34-45791-S
槓 杠	34-45644-B,34-45691-B
槓 槓	34-45791-B
槓刀 杠刀	34-45843-B
槓夫 杠夫	34-45911-B
槓子 杠子	34-45971-B
槓杆	34-46089-S
槓桿 杠杆	34-46033-B
槓桿 槓杆	34-46089-B
槓盪 杠荡	34-46129-B
槓鈴 杠铃	34-46181-B
槓頭 杠头	34-46253-B
槔	34-46333-S
槔 槔	34-46333-B
様	34-46368-S
様 様	34-46368-B
槚	35-12460-S
槛	35-16024-S,35-16133-S
槛花笼鹤	35-16175-S
槛车	35-16250-S
槟	35-14981-S
槟城	35-15057-S
槟子	35-15119-S
槟州	35-15213-S
槟榔	35-15270-S
槟榔屿	35-15341-S
槠	35-17073-S
槢	34-46415-S
槢 槢	34-46415-B
槥	34-46448-S
槥 槥	34-46448-B
槧 椠	34-46477-B
槨 椁	34-46522-B
槭	34-46557-S,34-46593-S
槭 槭	34-46557-B,34-46593-B
槭木	34-46620-S
槭木 槭木	34-46620-B
槮 椮	34-46657-B
槱	34-46736-S
槱 槱	34-46736-B
槲	34-46773-S
槲 槲	34-46773-B
槳 桨	34-46814-B
槺	34-46849-S
槺 槺	34-46849-B
槻	34-46902-S
槻 槻	34-46902-B
槼	34-46937-S
槼 槼	34-46937-B
槽	34-46980-S
槽 槽	34-46980-B
槾	34-47023-S
槾 槾	34-47023-B
槿	34-47052-S
槿 槿	34-47052-B
樁 桩	34-47102-B
樂 乐	34-47149-B,34-47202-B
樂不可支 乐不可支	34-47242-B
樂不思蜀 乐不思蜀	34-47338-B
樂事 乐事	34-47448-B
樂亭 乐亭	34-47489-B
樂器 乐器	34-47550-B
樂園 乐园	34-47601-B
樂團 乐团	34-47643-B
樂壇 乐坛	34-47692-B
樂安 乐安	34-47751-B
樂安縣 乐安县	34-47819-B
樂山 乐山	34-47899-B
樂山地區 乐山地区	34-47972-B
樂山市 乐山市	34-48067-B
樂師 乐师	34-48151-B
樂平 乐平	34-48193-B
樂平市 乐平市	34-48285-B
樂府 乐府	34-48388-B
樂府詩集 乐府诗集	34-48458-B
樂意 乐意	34-48543-B
樂手 乐手	34-48608-B
樂於助人 乐于助人	34-48665-B
