秋糧 秋粮	47-15758-B
秋老虎	47-15812-S
秋老虎 秋老虎	47-15812-B
秋耕	47-15893-S
秋耕 秋耕	47-15893-B
秋菜	47-15942-S
秋菜 秋菜	47-15942-B
秋葉原 秋叶原	47-15993-B
秋雨	47-16047-S
秋雨 秋雨	47-16047-B
秋風 秋风	47-16091-B
秋風掃落葉 秋风扫落叶	47-16151-B
秋風過耳 秋风过耳	47-16329-B
秋风	47-16091-S
秋风扫落叶	47-16151-S
秋风过耳	47-16329-S
秋高气爽	47-16466-S
秋高氣爽 秋高气爽	47-16466-B
种	47-31899-S,47-31993-S
种公畜	47-32047-S
种地	47-32139-S
种块	47-32198-S
种姓	47-32245-S
种姓制	47-32324-S
种子	47-32421-S
种子岛	47-32459-S
种子选手	47-32515-S
种差	47-32586-S
种族	47-32663-S
种族主义	47-32712-S
种族主义者	47-32774-S
种族歧视	47-32856-S
种族清洗	47-32973-S
种族清除	47-33055-S
种族灭绝	47-33129-S
种族隔离	47-33194-S
种树	47-33418-S
种植	47-33258-S
种植业	47-33362-S
种植园	47-33304-S
种畜	47-33468-S
种禽	47-33543-S
种种	47-33605-S
种类	47-33975-S
种系	47-33655-S
种群	47-33723-S
种花	47-33817-S
种薯	47-33881-S
种蛋	47-33927-S
种马	47-34062-S
种麻	47-34116-S
秏	47-16559-S
秏 秏	47-16559-B
科	47-16590-S
科 科	47-16590-B
科举	47-21332-S
科举制	47-21384-S
科什图尼察	47-16774-S
科什圖尼察 科什图尼察	47-16774-B
科伦坡	47-16874-S
科倫坡 科伦坡	47-16874-B
科克	47-16947-S
科克 科克	47-16947-B
科卿	47-16983-S
科卿 科卿	47-16983-B
科威特	47-17040-S
科威特 科威特	47-17040-B
科学	47-17089-S
科学史	47-17161-S
科学家	47-17295-S
科学怪人	47-17348-S
科学执政	47-17223-S
科学技术	47-17424-S
科学技术是第一生产力	47-17500-S
科学技术现代化	47-17802-S
科学普及	47-17929-S
科学的交流	47-18023-S
科学管理	47-18107-S
科学编辑	47-18183-S
科学院	47-18271-S
科學 科学	47-17089-B
科學史 科学史	47-17161-B
科學執政 科学执政	47-17223-B
科學家 科学家	47-17295-B
科學怪人 科学怪人	47-17348-B
科學技術 科学技术	47-17424-B
科學技術是第一生產力 科学技术是第一生产力	47-17500-B
科學技術現代化 科学技术现代化	47-17802-B
科學普及 科学普及	47-17929-B
科學的交流 科学的交流	47-18023-B
科學管理 科学管理	47-18107-B
科學編輯 科学编辑	47-18183-B
科學院 科学院	47-18271-B
科尔	47-19700-S
科尔多瓦	47-19763-S
科尔沁右翼中旗	47-19824-S
科尔沁左翼中旗	47-19963-S
科尔沁左翼后旗	47-20102-S
科布多	47-18335-S
科布多 科布多	47-18335-B
科幻	47-18392-S
科幻 科幻	47-18392-B
科幻小說 科幻小说	47-18441-B
科幻小说	47-18441-S
科恩	47-18520-S
科恩 科恩	47-18520-B
科托努	47-18580-S
科托努 科托努	47-18580-B
科技	47-18646-S
科技 科技	47-18646-B
科技大学	47-18700-S
科技大學 科技大学	47-18700-B
科技惊悚	47-18789-S
科技惊悚小说	47-18893-S
科技驚悚 科技惊悚	47-18789-B
科技驚悚小說 科技惊悚小说	47-18893-B
科摩洛	47-19019-S
科摩洛 科摩洛	47-19019-B
科摩罗	47-19069-S
科摩羅 科摩罗	47-19069-B
科教	47-19128-S
科教 科教	47-19128-B
科教兴国	47-19285-S
科教片	47-19195-S
科教片 科教片	47-19195-B
科教興國 科教兴国	47-19285-B
科斗	47-19397-S
科斗 科斗	47-19397-B
科普	47-19437-S
科普 科普	47-19437-B
科林斯	47-19545-S
科林斯 科林斯	47-19545-B
科泽科德	47-19620-S
科澤科德 科泽科德	47-19620-B
科爾 科尔	47-19700-B
科爾多瓦 科尔多瓦	47-19763-B
科爾沁右翼中旗 科尔沁右翼中旗	47-19824-B
科爾沁左翼中旗 科尔沁左翼中旗	47-19963-B
科爾沁左翼後旗 科尔沁左翼后旗	47-20102-B
科特布斯	47-20237-S
科特布斯 科特布斯	47-20237-B
科特迪瓦	47-20314-S
科特迪瓦 科特迪瓦	47-20314-B
科特迪瓦共和国	47-20410-S
科特迪瓦共和國 科特迪瓦共和国	47-20410-B
科目	47-20520-S
科目 科目	47-20520-B
科研	47-20559-S
科研 科研	47-20559-B
科研人员	47-20613-S
科研人員 科研人员	47-20613-B
科研样机	47-20692-S
科研樣機 科研样机	47-20692-B
科系	47-20765-S
科系 科系	47-20765-B
科納克裡 科纳克里	47-20807-B
科納克里 科纳克里	47-20886-B
科索沃	47-20965-S
科索沃 科索沃	47-20965-B
科纳克里	47-20807-S,47-20886-S
科罗恩病	47-21014-S
科罗拉多	47-21084-S
科罗拉多大峡谷	47-21146-S
科罗拉多州	47-21258-S
科羅恩病 科罗恩病	47-21014-B
科羅拉多 科罗拉多	47-21084-B
科羅拉多大峽谷 科罗拉多大峡谷	47-21146-B
科羅拉多州 科罗拉多州	47-21258-B
科舉 科举	47-21332-B
科舉制 科举制	47-21384-B
科茨沃尔德	47-21454-S
科茨沃爾德 科茨沃尔德	47-21454-B
科迪勒拉	47-21539-S
科迪勒拉 科迪勒拉	47-21539-B
科迪勒拉山系	47-21601-S
科迪勒拉山系 科迪勒拉山系	47-21601-B
科長 科长	47-21685-B
科长	47-21685-S
科隆	47-21733-S
科隆 科隆	47-21733-B
秒	47-21774-S
秒 秒	47-21774-B
秒差距	47-21874-S
秒差距 秒差距	47-21874-B
秕	47-21950-S
秕 秕	47-21950-B
秕子	47-22027-S
秕子 秕子	47-22027-B
秕糠	47-22072-S
秕糠 秕糠	47-22072-B
秘	46-52441-S
秘书	47-22345-S
秘书长	47-22387-S
秘传	46-52469-S
秘密	47-22127-S
秘密 秘密	47-22127-B
秘密会社	47-22165-S
秘密會社 秘密会社	47-22165-B
秘密警察	47-22235-S
秘密警察 秘密警察	47-22235-B
秘技	47-22303-S
秘技 秘技	47-22303-B
秘方	46-52538-S
秘書 秘书	47-22345-B
秘書長 秘书长	47-22387-B
秘本	46-52585-S
秘结	46-52639-S
秘而不宣	46-52684-S
秘藏	46-52780-S
秘訣 秘诀	47-22450-B
秘诀	47-22450-S
秘魯 秘鲁	47-22501-B
秘鲁	47-22501-S
租	47-22537-S
租 租	47-22537-B
租借	47-22569-S
租借 租借	47-22569-B
租借地	47-22611-S
租借地 租借地	47-22611-B
租房	47-22676-S
租房 租房	47-22676-B
租界	47-22726-S
租界 租界	47-22726-B
租稅 租税	47-22862-B
租税	47-22862-S
租約 租约	47-22904-B
租约	47-22904-S
租賃 租赁	47-22942-B
租赁	47-22942-S
租金	47-22999-S
租金 租金	47-22999-B
秠	47-23036-S
秠 秠	47-23036-B
秣	47-23066-S
秣 秣	47-23066-B
秤	47-23122-S,47-23164-S
秤 秤	47-23122-B,47-23164-B
秤杆	47-23198-S
秤桿 秤杆	47-23198-B
秤盘	47-34796-S
秤砣	47-23271-S
秤砣 秤砣	47-23271-B
秤砣虽小压千斤	47-34936-S
秤锤	47-35300-S
秦	47-23339-S
秦 秦	47-23339-B
秦代	47-23463-S
秦代 秦代	47-23463-B
秦军	47-25168-S
秦吉了	47-23525-S
秦吉了 秦吉了	47-23525-B
秦国	47-23602-S
秦國 秦国	47-23602-B
秦始皇	47-23660-S
秦始皇 秦始皇	47-23660-B
秦始皇帝	47-23751-S
秦始皇帝 秦始皇帝	47-23751-B
秦始皇帝陵	47-23836-S
秦始皇帝陵 秦始皇帝陵	47-23836-B
秦始皇陵	47-23950-S
秦始皇陵 秦始皇陵	47-23950-B
秦安	47-24091-S
秦安 秦安	47-24091-B
秦岭	47-24151-S
秦岭蜀栈道	47-24321-S
秦嶺 秦岭	47-24151-B
秦嶺蜀棧道 秦岭蜀栈道	47-24321-B
秦朝	47-24419-S
秦朝 秦朝	47-24419-B
秦末	47-24478-S
秦末 秦末	47-24478-B
秦汉	47-24544-S
秦漢 秦汉	47-24544-B
秦火	47-24632-S
秦火 秦火	47-24632-B
秦牧	47-24704-S
秦牧 秦牧	47-24704-B
秦皇岛	47-24755-S
