經濟前途 经济前途	49-59387-B
經濟力量 经济力量	49-59475-B
經濟危機 经济危机	49-59548-B
經濟合作與發展組織 经济合作与发展组织	49-59618-B
經濟基礎 经济基础	49-59821-B
經濟增加值 经济增加值	49-59915-B
經濟增長 经济增长	49-60003-B
經濟學 经济学	49-60077-B
經濟學家 经济学家	49-60153-B
經濟學者 经济学者	49-60218-B
經濟安全 经济安全	49-60283-B
經濟改革 经济改革	49-60356-B
經濟效益 经济效益	49-60426-B
經濟有效 经济有效	49-60498-B
經濟特區 经济特区	49-60569-B
經濟界 经济界	49-60644-B
經濟發展 经济发展	49-60705-B
經濟艙 经济舱	49-60781-B
經濟衰退 经济衰退	49-60840-B
經濟體制 经济体制	49-60918-B
經濟體系 经济体系	49-60988-B
經營 经营	49-61057-B
經營管理和維護 经营管理和维护	49-61138-B
經營者 经营者	49-61272-B
經營費用 经营费用	49-61337-B
經理 经理	49-61426-B
經由 经由	49-61476-B
經痛 经痛	49-61514-B
經管 经管	49-61577-B
經籍 经籍	49-61628-B
經紀 经纪	49-61676-B
經紀人 经纪人	49-61747-B
經絡 经络	49-61822-B
經絲彩色顯花 经丝彩色显花	49-61894-B
經線 经线	49-62031-B
經緯 经纬	49-62110-B
經緯儀 经纬仪	49-62193-B
經費 经费	49-62248-B
經貿 经贸	49-62300-B
經過 经过	49-62340-B
經銷 经销	49-62411-B
經錦 经锦	49-62468-B
經陸路 经陆路	49-62575-B
經驗 经验	49-62627-B
經驗主義 经验主义	49-62686-B
經驗豐富 经验丰富	49-62752-B
綖	49-62842-S
綖 綖	49-62842-B
綘	49-62876-S
綘 綘	49-62876-B
継	49-62925-S
継 継	49-62925-B
続	49-62974-S
続 続	49-62974-B
綜 综	49-63023-B
綜上所述 综上所述	49-63056-B
綜合 综合	49-63153-B
綜合報導 综合报导	49-63245-B
綜合報導 综合报道	49-63335-B
綜合布線 综合布线	49-63410-B
綜合徵 综合征	49-63483-B
綜合性 综合性	49-63540-B
綜合敘述 综合叙述	49-63595-B
綜合服務數位網絡 综合服务数位网络	49-63673-B
綜合法 综合法	49-63812-B
綜括 综括	49-63885-B
綜效 综效	49-63944-B
綜析 综析	49-63987-B
綜藝 综艺	49-64030-B
