蒸發熱 蒸发热	55-2030-B
蒸笼	55-2101-S
蒸籠 蒸笼	55-2101-B
蒸糕	55-2170-S
蒸糕 蒸糕	55-2170-B
蒸腾作用	55-2484-S
蒸蒸日上	55-2218-S
蒸蒸日上 蒸蒸日上	55-2218-B
蒸餃 蒸饺	55-2325-B
蒸餾 蒸馏	55-2378-B
蒸餾水 蒸馏水	55-2421-B
蒸饺	55-2325-S
蒸馏	55-2378-S
蒸馏水	55-2421-S
蒸騰作用 蒸腾作用	55-2484-B
蒹	55-2557-S
蒹 蒹	55-2557-B
蒺	55-2585-S
蒺 蒺	55-2585-B
蒻	55-2626-S
蒻 蒻	55-2626-B
蒼 苍	55-2676-B
蒼勁 苍劲	55-2760-B
蒼南 苍南	55-2870-B
蒼天 苍天	55-2936-B
蒼山 苍山	55-2981-B
蒼松翠柏 苍松翠柏	55-3049-B
蒼梧 苍梧	55-3166-B
蒼梧縣 苍梧县	55-3229-B
蒼涼 苍凉	55-3304-B
蒼溪 苍溪	55-3355-B
蒼生 苍生	55-3418-B
蒼生塗炭 苍生涂炭	55-3502-B
蒼白 苍白	55-3598-B
蒼白色 苍白色	55-3641-B
蒼穹 苍穹	55-3707-B
蒼翠 苍翠	55-3767-B
蒼老 苍老	55-3809-B
蒼茫 苍茫	55-3899-B
蒼莽 苍莽	55-3972-B
蒼蒼 苍苍	55-4017-B
蒼蠅 苍蝇	55-4087-B
蒼蠅座 苍蝇座	55-4131-B
蒼鬱 苍郁	55-4198-B
蒼鷹 苍鹰	55-4253-B
蒼鷺 苍鹭	55-4296-B
蒼黃 苍黄	55-4335-B
蒽	55-4447-S
蒽 蒽	55-4447-B
蒿	55-4479-S
蒿 蒿	55-4479-B
蓀 荪	55-4510-B
蓁	55-4547-S
蓁 蓁	55-4547-B
蓂	55-4579-S
蓂 蓂	55-4579-B
蓄	55-4614-S
蓄 蓄	55-4614-B
蓄养	55-4753-S
蓄意	55-4644-S
蓄意 蓄意	55-4644-B
蓄水	55-4706-S
蓄水 蓄水	55-4706-B
蓄養 蓄养	55-4753-B
蓆 席	55-4805-B
蓇	55-4847-S
蓇 蓇	55-4847-B
蓉	55-4877-S
蓉 蓉	55-4877-B
蓊	55-4922-S
蓊 蓊	55-4922-B
蓋 盖	55-4968-B,55-5020-B
蓋世 盖世	55-5052-B
蓋世太保 盖世太保	55-5106-B
蓋兒 盖儿	55-5169-B
蓋兹	55-6359-S
蓋印 盖印	55-5210-B
蓋子 盖子	55-5259-B
蓋層 盖层	55-5306-B
蓋州 盖州	55-5349-B
蓋州市 盖州市	55-5434-B
蓋帽 盖帽	55-5530-B
蓋棺定論 盖棺定论	55-5582-B
蓋棺論定 盖棺论定	55-5802-B
蓋然性 盖然性	55-6022-B
蓋爾 盖尔	55-6079-B
蓋爾語 盖尔语	55-6118-B
蓋章 盖章	55-6178-B
蓋縣 盖县	55-6238-B
蓋茨 盖茨	55-6295-B
蓋茲 蓋兹	55-6359-B
蓋菜 盖菜	55-6453-B
蓋革計數器 盖革计数器	55-6499-B
蓋飯 盖饭	55-6576-B
蓌	55-6639-S
蓌 蓌	55-6639-B
蓍	55-6686-S
蓍 蓍	55-6686-B
蓏	55-6726-S
蓏 蓏	55-6726-B
蓐	55-6779-S
蓐 蓐	55-6779-B
蓑	55-6811-S
蓑 蓑	55-6811-B
蓓	55-6861-S
蓓 蓓	55-6861-B
蓓蕾	55-6896-S
蓓蕾 蓓蕾	55-6896-B
蓖	55-6981-S
蓖 蓖	55-6981-B
蓖麻	55-7023-S
蓖麻 蓖麻	55-7023-B
蓖麻毒素	55-7071-S
蓖麻毒素 蓖麻毒素	55-7071-B
蓖麻籽	55-7128-S
