蛇毒素	55-60099-S
蛇毒素 蛇毒素	55-60099-B
蛇皮	55-60153-S
蛇皮 蛇皮	55-60153-B
蛇紋岩 蛇纹岩	55-60196-B
蛇紋石 蛇纹石	55-60259-B
蛇綠岩 蛇绿岩	55-60322-B
蛇纹岩	55-60196-S
蛇纹石	55-60259-S
蛇绿岩	55-60322-S
蛇蒿	55-60383-S
蛇蒿 蛇蒿	55-60383-B
蛇足	55-60425-S
蛇足 蛇足	55-60425-B
蛉	55-60494-S
蛉 蛉	55-60494-B
蛊	56-22172-S
蛊惑	56-22309-S
蛊祝	56-22405-S
蛋	55-60525-S
蛋 蛋	55-60525-B
蛋壳	55-60608-S
蛋挞	55-60563-S
蛋撻 蛋挞	55-60563-B
蛋殼 蛋壳	55-60608-B
蛋氨酸	55-60649-S
蛋氨酸 蛋氨酸	55-60649-B
蛋白	55-60710-S
蛋白 蛋白	55-60710-B
蛋白石	55-60769-S
蛋白石 蛋白石	55-60769-B
蛋白素	55-60818-S
蛋白素 蛋白素	55-60818-B
蛋白質 蛋白质	55-60869-B
蛋白质	55-60869-S
蛋糕	55-60921-S
蛋糕 蛋糕	55-60921-B
蛋花汤	55-60959-S
蛋花湯 蛋花汤	55-60959-B
蛋黃 蛋黄	55-61063-B
蛋黃醬 蛋黄酱	55-61107-B
蛋黄	55-61063-S
蛋黄素	55-61166-S
蛋黄素 蛋黄素	55-61166-B
蛋黄酱	55-61107-S
蛌	55-61253-S
蛌 蛌	55-61253-B
蛍	55-61282-S
蛍 蛍	55-61282-B
蛎	56-21869-S
蛎鹬	56-21897-S
蛎黄	56-21942-S
蛏	56-19251-S
蛐	55-61333-S
蛐 蛐	55-61333-B
蛑	55-61362-S
蛑 蛑	55-61362-B
蛓	55-61396-S
蛓 蛓	55-61396-B
蛔	55-61425-S
蛔 蛔	55-61425-B
蛘	56-0-S
蛘 蛘	56-0-B
蛙	56-50-S
蛙 蛙	56-50-B
蛙人	56-76-S
蛙人 蛙人	56-76-B
蛙泳	56-116-S
蛙泳 蛙泳	56-116-B
蛙突	56-173-S
蛙突 蛙突	56-173-B
蛙鞋	56-224-S
蛙鞋 蛙鞋	56-224-B
蛚	56-279-S
蛚 蛚	56-279-B
蛛	56-322-S
蛛 蛛	56-322-B
蛛丝马迹	56-355-S
蛛絲馬跡 蛛丝马迹	56-355-B
蛜	56-481-S
蛜 蛜	56-481-B
蛞	56-513-S
蛞 蛞	56-513-B
蛞蝓	56-559-S
蛞蝓 蛞蝓	56-559-B
蛞蝼	56-598-S
蛞蝼 蛞蝼	56-598-B
蛟	56-658-S
蛟 蛟	56-658-B
蛟河	56-694-S
蛟河 蛟河	56-694-B
蛟河市	56-779-S
蛟河市 蛟河市	56-779-B
蛣	56-875-S
蛣 蛣	56-875-B
蛤	56-904-S,56-930-S
蛤 蛤	56-904-B,56-930-B
蛤蚧	56-961-S
蛤蚧 蛤蚧	56-961-B
蛤蜊	56-1029-S
蛤蜊 蛤蜊	56-1029-B
蛤蟆	56-1065-S
蛤蟆 蛤蟆	56-1065-B
蛤蟹	56-1105-S
蛤蟹 蛤蟹	56-1105-B
蛩	56-1161-S
蛩 蛩	56-1161-B
蛭	56-1215-S
蛭 蛭	56-1215-B
蛮	56-22898-S
蛮力	56-22965-S
蛮夷	56-23009-S
蛮子	56-23089-S
蛮干	56-23177-S
蛮悍	56-23305-S
蛮横	56-23375-S
蛮缠	56-23431-S
蛮荒	56-23495-S
蛮邸	56-23564-S
蛰	56-15851-S
蛰伏	56-15883-S
蛰居	56-15947-S
蛰眠	56-16000-S
蛰藏	56-16047-S
蛰虫	56-16107-S
蛱	56-1430-S
蛲虫病	56-18675-S
蛳	56-10047-S
蛴	56-20501-S
蛵	56-1259-S
蛵 蛵	56-1259-B
蛸	56-1293-S,56-1335-S
蛸 蛸	56-1293-B,56-1335-B
蛹	56-1392-S
蛹 蛹	56-1392-B
蛺 蛱	56-1430-B
蛻 蜕	56-1462-B
蛻皮 蜕皮	56-1584-B
蛾	56-1716-S
蛾 蛾	56-1716-B
蛾子	56-1741-S
蛾子 蛾子	56-1741-B
蛾摩拉	56-1775-S
蛾摩拉 蛾摩拉	56-1775-B
蛾眉皓齒 蛾眉皓齿	56-1834-B
蛾眉皓齿	56-1834-S
蛾类	56-1954-S
蛾類 蛾类	56-1954-B
蜀	56-1999-S
蜀 蜀	56-1999-B
蜀国	56-2134-S
蜀國 蜀国	56-2134-B
蜀汉	56-2305-S
蜀漢 蜀汉	56-2305-B
蜀相	56-2359-S
蜀相 蜀相	56-2359-B
蜀葵	56-2448-S
蜀葵 蜀葵	56-2448-B
蜂	56-2491-S
蜂 蜂	56-2491-B
蜂巢	56-2523-S
蜂巢 蜂巢	56-2523-B
蜂巢胃	56-2610-S
蜂巢胃 蜂巢胃	56-2610-B
蜂房	56-2695-S
蜂房 蜂房	56-2695-B
蜂拥	56-2745-S
蜂擁 蜂拥	56-2745-B
蜂毒	56-2816-S
蜂毒 蜂毒	56-2816-B
蜂王	56-2861-S
蜂王 蜂王	56-2861-B
蜂王浆	56-2906-S
蜂王漿 蜂王浆	56-2906-B
蜂窝	56-2966-S
蜂窝煤	56-3042-S
蜂窩 蜂窝	56-2966-B
蜂窩煤 蜂窝煤	56-3042-B
蜂箱	56-3119-S
蜂箱 蜂箱	56-3119-B
蜂糕	56-3163-S
蜂糕 蜂糕	56-3163-B
蜂聚	56-3244-S
蜂聚 蜂聚	56-3244-B
蜂蜜	56-3310-S
蜂蜜 蜂蜜	56-3310-B
蜂蜜梳子	56-3349-S
蜂蜜梳子 蜂蜜梳子	56-3349-B
蜂蜜酒	56-3412-S
蜂蜜酒 蜂蜜酒	56-3412-B
蜂蜡	56-3461-S
蜂蠟 蜂蜡	56-3461-B
蜂起	56-3502-S
蜂起 蜂起	56-3502-B
蜂鳥 蜂鸟	56-3562-B
蜂鸟	56-3562-S
蜃	56-3609-S
蜃 蜃	56-3609-B
蜃景	56-3667-S
蜃景 蜃景	56-3667-B
蜅	56-3709-S
蜅 蜅	56-3709-B
蜆 蚬	56-3735-B
蜇	56-3777-S,56-3808-S
蜇 蜇	56-3777-B,56-3808-B
蜈	56-3840-S
蜈 蜈	56-3840-B
蜈蚣	56-3871-S
蜈蚣 蜈蚣	56-3871-B
蜉	56-3914-S
蜉 蜉	56-3914-B
蜊	56-3967-S
蜊 蜊	56-3967-B
蜋	56-9883-S
蜍	56-3993-S
蜍 蜍	56-3993-B
蜎	56-4034-S
蜎 蜎	56-4034-B
蜑	56-4088-S
蜑 蜑	56-4088-B
蜒	56-4134-S
蜒 蜒	56-4134-B
蜒蚰	56-4161-S
蜒蚰 蜒蚰	56-4161-B
蜓	56-4212-S
蜓 蜓	56-4212-B
蜕	56-1462-S
蜕皮	56-1584-S
蜗	56-9335-S
蜗居	56-9405-S
蜗庐	56-9468-S
蜗旋	56-9544-S
蜗牛	56-9584-S,56-9623-S
蜗窗	56-9661-S
蜗蜒	56-9730-S
蜗行	56-9768-S
蜘	56-4246-S
蜘 蜘	56-4246-B
蜘蛛	56-4279-S
蜘蛛 蜘蛛	56-4279-B
蜘蛛侠	56-4319-S
蜘蛛俠 蜘蛛侠	56-4319-B
蜘蛛类	56-4492-S
蜘蛛網 蜘蛛网	56-4373-B
蜘蛛网	56-4373-S
蜘蛛雄	56-4436-S
蜘蛛雄 蜘蛛雄	56-4436-B
蜘蛛類 蜘蛛类	56-4492-B
蜚	56-4545-S
蜚 蜚	56-4545-B
蜛	56-4575-S
蜛 蜛	56-4575-B
蜜	56-4617-S
蜜 蜜	56-4617-B
蜜囊	56-4644-S
蜜囊 蜜囊	56-4644-B
蜜月	56-4689-S
蜜月 蜜月	56-4689-B
蜜月假期	56-4731-S
蜜月假期 蜜月假期	56-4731-B
蜜枣	56-4850-S
蜜桃	56-4794-S
蜜桃 蜜桃	56-4794-B
蜜棗 蜜枣	56-4850-B
蜜蜂	56-4895-S
蜜蜂 蜜蜂	56-4895-B
蜜蜂房	56-4941-S
蜜蜂房 蜜蜂房	56-4941-B
蜜露	56-4994-S
蜜露 蜜露	56-4994-B
蜜餞 蜜饯	56-5034-B
蜜饯	56-5034-S
蜞	56-5100-S
蜞 蜞	56-5100-B
蜡	56-21263-S
蜡像馆	56-21295-S
蜡烛	56-21375-S
蜡笔	56-21414-S
蜡质	56-21452-S
蜢	56-5129-S
蜢 蜢	56-5129-B
蜣	56-5164-S
蜣 蜣	56-5164-B
蜥	56-5200-S
蜥 蜥	56-5200-B
蜥蜴	56-5252-S
蜥蜴 蜥蜴	56-5252-B
蜨	56-5290-S
蜨 蜨	56-5290-B
蜩	56-5322-S
蜩 蜩	56-5322-B
蜮	56-5352-S
蜮 蜮	56-5352-B
蜱	56-5401-S
蜱 蜱	56-5401-B
蜴	56-5445-S
蜴 蜴	56-5445-B
蜷	56-5497-S
蜷 蜷	56-5497-B
蜷伏	56-5595-S
蜷伏 蜷伏	56-5595-B
蜷卧	56-5859-S
蜷局	56-5679-S
蜷局 蜷局	56-5679-B
蜷曲	56-5731-S
蜷曲 蜷曲	56-5731-B
蜷縮 蜷缩	56-5786-B
蜷缩	56-5786-S
蜷臥 蜷卧	56-5859-B
蜺	56-5920-S
蜺 蜺	56-5920-B
蜻	56-5965-S
蜻 蜻	56-5965-B
蜻蛉	56-5999-S
蜻蛉 蜻蛉	56-5999-B
蜻蛉目	56-6053-S
蜻蛉目 蜻蛉目	56-6053-B
蜻蜓	56-6106-S
蜻蜓 蜻蜓	56-6106-B
蜻蜓撼石柱	56-6180-S
蜻蜓撼石柱 蜻蜓撼石柱	56-6180-B
蜻蜓点水	56-6398-S
蜻蜓目	56-6345-S
蜻蜓目 蜻蜓目	56-6345-B
蜻蜓點水 蜻蜓点水	56-6398-B
蜾	56-6594-S
蜾 蜾	56-6594-B
蜿	56-6635-S
蜿 蜿	56-6635-B
蜿蜒	56-6676-S
蜿蜒 蜿蜒	56-6676-B
蝀	56-6720-S
蝀 蝀	56-6720-B
蝃	56-6751-S
蝃 蝃	56-6751-B
蝇	56-20132-S
蝇子	56-20165-S
蝈	56-16208-S
蝈蝈	56-16482-S
蝈蝈儿	56-16572-S
蝈蝈笼	56-16671-S
蝈螽	56-16274-S
蝈螽属	56-16390-S
蝉	56-18242-S
蝉联	56-18272-S
蝉蜕	56-18458-S
蝉衣	56-18553-S
蝌	56-6780-S
蝌 蝌	56-6780-B
蝌蚪	56-6809-S
蝌蚪 蝌蚪	56-6809-B
蝍	56-6849-S
蝍 蝍	56-6849-B
蝎	56-6882-S,56-20317-S
蝎 蝎	56-6882-B
蝎子	56-20348-S
蝎虎座	56-20388-S
蝏	56-6913-S
蝏 蝏	56-6913-B
蝓	56-6967-S
蝓 蝓	56-6967-B
蝕 蚀	56-6994-B
蝕刻 蚀刻	56-7042-B
蝗	56-7089-S
蝗 蝗	56-7089-B
蝗科	56-7120-S
蝗科 蝗科	56-7120-B
蝗虫	56-7197-S
蝗蟲 蝗虫	56-7197-B
蝘	56-7241-S
蝘 蝘	56-7241-B
蝙	56-7286-S
蝙 蝙	56-7286-B
蝙蝠	56-7313-S
蝙蝠 蝙蝠	56-7313-B
蝙蝠侠	56-7350-S
蝙蝠俠 蝙蝠侠	56-7350-B
蝙魚 蝙鱼	56-7401-B
蝙鱼	56-7401-S
蝝	56-7440-S
蝝 蝝	56-7440-B
蝟 猬	56-7490-B
蝠	56-7542-S
蝠 蝠	56-7542-B
蝡	56-7567-S
蝡 蝡	56-7567-B
蝣	56-7598-S
蝣 蝣	56-7598-B
蝤	56-7638-S
蝤 蝤	56-7638-B
蝥	56-7671-S
蝥 蝥	56-7671-B
蝦 虾	56-7723-B
蝦乾 虾干	56-7758-B
蝦仁 虾仁	56-7805-B
蝦兵蟹將 虾兵蟹将	56-7851-B
蝦夷蔥 虾夷葱	56-7976-B
蝦子 虾子	56-8026-B
蝦油 虾油	56-8088-B
蝦醬 虾酱	56-8133-B
蝦餃 虾饺	56-8181-B
蝨	56-8259-S
蝨 虱	56-8231-B
蝨 蝨	56-8259-B
蝨多不痒 虱多不痒	56-8287-B
蝨子 虱子	56-8353-B
蝮	56-8410-S
蝮 蝮	56-8410-B
蝮蛇	56-8446-S
蝮蛇 蝮蛇	56-8446-B
蝯	56-8493-S
蝯 蝯	56-8493-B
蝲	56-8531-S
蝲 蝲	56-8531-B
蝲蛄	56-8563-S
蝲蛄 蝲蛄	56-8563-B
蝴	56-8637-S
蝴 蝴	56-8637-B
蝴蝶	56-8668-S
蝴蝶 蝴蝶	56-8668-B
蝴蝶效应	56-8710-S
蝴蝶效應 蝴蝶效应	56-8710-B
蝴蝶犬	56-8817-S
蝴蝶犬 蝴蝶犬	56-8817-B
蝴蝶琴	56-8904-S
蝴蝶琴 蝴蝶琴	56-8904-B
蝴蝶酥	56-8977-S
蝴蝶酥 蝴蝶酥	56-8977-B
蝶	56-9060-S
蝶 蝶	56-9060-B
蝶兰	56-9154-S
蝶泳	56-9092-S
蝶泳 蝶泳	56-9092-B
蝶类	56-9215-S
蝶蘭 蝶兰	56-9154-B
蝶類 蝶类	56-9215-B
蝶骨	56-9267-S
蝶骨 蝶骨	56-9267-B
蝸 蜗	56-9335-B
蝸居 蜗居	56-9405-B
蝸庐 蜗庐	56-9468-B
蝸旋 蜗旋	56-9544-B
蝸牛 蜗牛	56-9584-B,56-9623-B
蝸窗 蜗窗	56-9661-B
蝸蜒 蜗蜒	56-9730-B
蝸行 蜗行	56-9768-B
蝻	56-9814-S
蝻 蝻	56-9814-B
蝼	56-15160-S
蝼蚁	56-15405-S
蝼蛄	56-15220-S
蝼蛄科	56-15283-S
蝽	56-9853-S
蝽 蝽	56-9853-B
蝾	56-20535-S
蝾螈	56-20569-S
螂 蜋	56-9883-B
螃	56-9923-S
螃 螃	56-9923-B
螃蟹	56-9951-S
螃蟹 螃蟹	56-9951-B
螃蠏	56-9990-S
螃蠏 螃蠏	56-9990-B
螄 蛳	56-10047-B
螅	56-10074-S
螅 螅	56-10074-B
螈	56-10113-S
螈 螈	56-10113-B
螉	56-10152-S
螉 螉	56-10152-B
螋	56-10193-S
螋 螋	56-10193-B
融	56-10226-S
融 融	56-10226-B
融为一体	56-11272-S
