蹡	60-50484-S
蹡 蹡	60-50484-B
蹢	60-50528-S
蹢 蹢	60-50528-B
蹣 蹒	60-50554-B
蹣跚 蹒跚	60-50581-B
蹤 踪	60-50638-B
蹤跡 踪迹	60-50684-B
蹤蹟	60-50754-S
蹤蹟 蹤蹟	60-50754-B
蹤迹	60-50812-S
蹤迹 蹤迹	60-50812-B
蹦	60-50870-S
蹦 蹦	60-50870-B
蹦儿	60-50918-S
蹦兒 蹦儿	60-50918-B
蹦极	60-50971-S
蹦極 蹦极	60-50971-B
蹦跳	60-51019-S
蹦跳 蹦跳	60-51019-B
蹦跶	60-51245-S
蹦蹦儿车	60-51069-S
蹦蹦兒車 蹦蹦儿车	60-51069-B
蹦蹦跳跳	60-51163-S
蹦蹦跳跳 蹦蹦跳跳	60-51163-B
蹦躂 蹦跶	60-51245-B
蹦达	60-51332-S
蹦達 蹦达	60-51332-B
蹦高	60-51406-S
蹦高 蹦高	60-51406-B
蹦高儿	60-51448-S
蹦高兒 蹦高儿	60-51448-B
蹧 糟	60-51515-B
蹩	60-51552-S
蹩 蹩	60-51552-B
蹬	60-51579-S
蹬 蹬	60-51579-B
蹭	60-51628-S,60-51655-S
蹭 蹭	60-51628-B,60-51655-B
蹭吃蹭喝	60-51702-S
蹭吃蹭喝 蹭吃蹭喝	60-51702-B
蹯	60-51774-S
蹯 蹯	60-51774-B
蹰	60-54121-S
蹲	60-51811-S
蹲 蹲	60-51811-B
蹲膘	60-51846-S
蹲膘 蹲膘	60-51846-B
蹲踞	60-51921-S
蹲踞 蹲踞	60-51921-B
蹴	60-51966-S
蹴 蹴	60-51966-B
蹶	60-52017-S
蹶 蹶	60-52017-B
蹺 跷	60-52076-B
蹺家 跷家	60-52116-B
蹺課 跷课	60-52173-B
蹺蹺板 跷跷板	60-52230-B
蹻	60-52283-S
蹻 蹻	60-52283-B
蹼	60-52323-S
蹼 蹼	60-52323-B
蹿	60-54523-S
蹿房越脊	60-54554-S
蹿腾	60-54926-S
蹿货	60-54758-S
蹿跳	60-54829-S
蹿蹦	60-54872-S
躁	60-52366-S
躁 躁	60-52366-B
躁狂	60-52411-S
躁狂 躁狂	60-52411-B
躁狂抑郁症	60-52452-S
躁狂抑鬱症 躁狂抑郁症	60-52452-B
躁狂症	60-52537-S
躁狂症 躁狂症	60-52537-B
躂 跶	60-52605-B
躄	60-52673-S
躄 躄	60-52673-B
躅	60-52718-S
躅 躅	60-52718-B
躇	60-52764-S
躇 躇	60-52764-B
躉 趸	60-52795-B
躉售 趸售	60-52827-B
躉批 趸批	60-52879-B
躉船 趸船	60-52921-B
躉賣 趸卖	60-52978-B
躊 踌	60-53029-B
躊躇 踌躇	60-53087-B
躊躇滿志 踌躇满志	60-53133-B
躋 跻	60-53253-B
躍 跃	60-53280-B
躍居 跃居	60-53318-B
躍然 跃然	60-53359-B
躍然紙上 跃然纸上	60-53455-B
躍躍慾試 跃跃欲试	60-53587-B
躍進 跃进	60-53691-B
躍遷 跃迁	60-53749-B
躍馬 跃马	60-53835-B
躏	60-55053-S
躐	60-53929-S
躐 躐	60-53929-B
躑 踯	60-53963-B
躒 跞	60-54004-B
躓 踬	60-54035-B
躔	60-54065-S
躔 躔	60-54065-B
躕 蹰	60-54121-B
躗	60-54248-S
躘	60-54164-S
躘 躘	60-54164-B
躚 跹	60-54195-B
躛 躗	60-54248-B
躜	60-54990-S
躝	60-54284-S
躝 躝	60-54284-B
躞	60-54351-S
躞 躞	60-54351-B
躠	60-54381-S
躠 躠	60-54381-B
躡 蹑	60-54411-B
