dà xīn	17-19646-B
dà xīng	17-32707-B
dà xīng qū	17-32770-B
dà xīng xīng	17-27527-B
dà xīng yún	4-28475-S,42-24542-S
dà xīng ān lǐn dì qū	17-32866-B
dà xū shēng	14-48269-S
dà xǐ	17-10381-B
dà xǐ guò wàng	17-10423-B
dà ye	17-27250-B
dà yuàn	17-38637-B
dà yuàn dì zàng pú sà	17-40643-B
dà yuán	17-9771-B,17-11116-B
dà yuán dà yī tǒng zhì	17-6216-B
dà yuán quān	17-11186-B
dà yuán xiāng	17-11039-B
dà yuè	17-20780-B
dà yuè jìn	17-35946-B
dà yuè zhī	17-20860-B,17-20956-B
dà yuē	17-30573-B
dà yà wān	17-5066-B
dà yàn	17-39402-B
dà yàn tǎ	17-39445-B
dà yàng	17-23036-B
dà yào	17-35132-B
dà yá	48-4538-S
dà yáng	17-24908-B,37-36054-S
dà yáng zhōng jǐ	17-24948-B
dà yáng zhōu	17-25028-B
dà yáo	17-13658-B
dà yáo dà bǎi	17-19151-B
dà yáo xiàn	17-13718-B
dà yè	17-22855-B
dà yè xìng fèi yán	17-33826-B
dà yé	17-27182-B,51-26408-S
dà yì	17-17939-B,17-30874-B,17-36543-B,44-1967-S,48-49237-S
dà yì lǐn rán	17-30987-B
dà yì miè qīn	17-31103-B
dà yì xiàn	17-36602-B
dà yìn	17-8501-B
dà yí	17-13785-B
dà yí zi	17-13862-B
dà yín háng	2-54078-S
dà yòng	17-28311-B
dà yù	17-27580-B
dà yùn	17-36343-B
dà yùn hé	4-3293-S,17-36391-B
dà yú	17-18002-B,17-19942-B,17-41297-B,29-53078-S
dà yú qiú	5-22103-S
dà yú xiàn	17-41365-B
dà yú xīn sǐ	13-32621-S,25-37522-S
dà yā lì	21-61154-S
dà yān	17-26801-B
dà yě	17-6724-B
dà yī	17-3966-B,17-34669-B
dà yī tǒng zhì	17-4082-B,17-6216-S
dà yī xiē	17-4027-B
dà yīng bó wù guǎn	17-33232-B
dà yīng dì guó	17-33316-B
dà yīng lián hé wáng guó	17-33389-B
dà yōng	17-17052-B
dà yǎ	17-39509-B
dà yǎ xiāng	17-39606-B
dà yǎ zhī táng	2-19765-S
dà yǎn	40-7232-S
dà yǎng bā	17-24300-B
dà yǒng ruò qiè	17-7886-B
dà yǒu	17-21052-B
dà yǒu kě wéi	17-21298-B
dà yǒu rén zài	17-21109-B
dà yǒu wén zhāng	17-21518-B
dà yǒu xī wàng	17-21418-B
dà yǒu zuò wéi	17-21195-B
dà yǔ	6-48408-S,17-29797-B,17-39967-B
dà yǔ rú zhù	17-40009-B
dà yǔ shān	17-16572-B
dà yǔ xiǎo	67-22549-S
dà zhuàn	17-30240-B
dà zhài	17-15282-B
dà zhàn	2-39207-S,3-36720-S,3-36968-S,17-18427-B,31-30958-S,44-52173-S,48-9058-S,48-11398-S
dà zhèn	51-65363-S
dà zhèng	17-23361-B
dà zhì	17-17619-B,17-32567-B
dà zhì huì	17-20438-B
dà zhì ruò yú	17-20517-B
dà zhì rú yú	17-20304-B
dà zhí	34-34673-S
dà zhòng	17-28918-B
dà zhòng chuán bō	17-28973-B
