hai3 jun1 lan2	38-25269-B
hai3 jun1 lu4 zhan4 dui4	38-25323-B
hai3 jun1 shang4 xiao4	38-24745-B
hai3 jun1 shao3 xiao4	38-25086-B
hai3 jun1 zhong1 xiao4	38-24841-B
hai3 jun1 zong3 si1 ling4	38-25194-B
hai3 kong1 jun1	38-23049-B,66-33671-S
hai3 kong1 jun1 ji1 di4	38-23113-B
hai3 kong1 san1 jun1	66-33600-S
hai3 kui2	38-23538-B
hai3 kui2 du2 su4	21-36182-S
hai3 lang4	38-21472-B
hai3 lao1 zhen1	17-25213-S
hai3 li2	38-22435-B
hai3 li3	38-23689-B,38-26798-B
hai3 liang4	38-25607-B
hai3 ling3	2-67120-S
hai3 lu4	38-25940-B
hai3 lu4 bao1	38-26019-B
hai3 lu4 jun1	38-26103-B
hai3 luo4 yin1	38-21369-B
hai3 luo4 ying1	38-21420-B
hai3 ma3	38-26568-B
hai3 ma3 hui2	38-26610-B
hai3 mian2	38-23285-B
hai3 mian2 zhuang4	38-23326-B
hai3 mian4	38-26450-B
hai3 mo4 shi4 bing4	66-8735-S
hai3 mu3	12-3199-S,22-66986-S,67-42057-S
hai3 nan2 tian2	25-1415-S
hai3 nan4	38-26399-B
hai3 nei4	38-15928-B
hai3 niu2	38-22352-B
hai3 ou1	38-26840-B
hai3 piao1 ling2	14-51661-S
hai3 ping2 mian4	38-19063-B
hai3 qi4 che1 gong1 ye4	1-52525-S
hai3 qi4 che1 gong1 ye4 ji2 tuan2	1-52645-S
hai3 qu1	39-65628-S
hai3 sang1 tian2	39-25878-S
hai3 shang4	38-15117-B
hai3 shang4 hua1 lie4 zhuan4	38-15363-B
hai3 shang4 qi2 shu1	38-15161-B
hai3 shen1	21-33739-S,38-16853-B
hai3 shen2	38-22913-B
hai3 sheng3	67-56449-S
hai3 shi1	38-22474-B
hai3 shi2	38-23624-B
hai3 shi4	1-52328-S,8-26404-S,10-33873-S,18-47772-S,21-31808-S,40-36862-S,42-45342-S,43-7961-S
hai3 shi4 chu4	38-15571-B
hai3 shi4 ju2	2-60789-S,38-15501-B
hai3 shi4 shan1 meng2	38-24136-B
hai3 shi4 shen4 lou2	38-18962-B
hai3 shui3	38-20681-B
hai3 shui3 tu3 zhi4	52-59951-S
hai3 si1	38-19977-B
hai3 ta4	38-22516-B
hai3 tan1	38-21915-B
hai3 tang2	47-15260-S
hai3 tang2 hua1	38-20440-B,47-15313-S
hai3 tun2	20-24361-S,38-24422-B,43-12240-S,71-49708-S
hai3 tun2 zuo4	38-24463-B
hai3 wai4	38-1818-S,38-17686-B
hai3 wai4 ban3	38-17735-B
hai3 wai4 guo2 yu3 da4 xue2	1-51914-S
hai3 wan1	38-21954-B,39-2796-S
hai3 wan1 guo2 jia1	38-22039-B
hai3 wan1 zhan4 zheng1	38-22134-B
hai3 wei4	18-47857-S,21-31540-S
hai3 wen2 guo2 jia1 shi2 yan2 shi4	22-18780-S
hai3 wen2 shi2 yan2 shi4	22-18929-S
hai3 wu2 ya2	19-18458-S
hai3 xia2	20-57849-S,22-4800-S,33-44038-S,37-39234-S,38-18254-B,43-7744-S,44-36320-S,54-1782-S
hai3 xia2 jiao1 liu2 ji1 jin1 hui4	38-18302-B
hai3 xia2 liang3 an4 guan1 xi5 xie2 hui4	38-18430-B
hai3 xian1	38-26665-B
hai3 xian4	9-66966-S,52-60083-S
hai3 xiang4	38-24533-B
hai3 xiao4	38-17353-B
hai3 xie2 hui4	38-16332-B
hai3 xin1 qu1	40-11677-S
hai3 xing1	38-20113-B
hai3 xing2 pin2 xue4	15-38206-S
hai3 xun2	38-18917-B
hai3 yan1 cong1	38-50475-S
hai3 yang2	38-20979-B
hai3 yang2 wen1 du4	38-21296-B
hai3 yang2 xing4	38-21077-B
hai3 yang2 xing4 pin2 xue4	38-21216-B
hai3 yang2 xing4 qi4 hou4	38-21132-B
hai3 yang2 xue2	38-21019-B
hai3 yi2 zhu1	39-26042-S
hai3 you2	2-75670-S
hai3 yu2	38-26354-B
hai3 yu4	38-17500-B
hai3 yuan2	38-17304-B
hai3 yun4	38-25448-B
hai3 zao3	38-23583-B
hai3 zei2	38-24665-B
hai3 zhan4	38-19785-B
hai3 zhan4 yi4	38-47534-S
hai3 zhe3	53-34715-S
hai3 zheng4 juan4 jiao1 yi4 suo3	1-53246-S
hai4	1-24591-S,2-7996-S,3-15377-S,4-1279-B,5-27217-S,5-52687-S,6-43855-S,7-58965-S,9-6137-S,9-53952-S,10-10279-S,11-22485-S,11-60063-S,11-60914-S,14-23875-B,18-36539-S,18-49586-S,19-58469-B,22-1571-S,26-14437-S,28-52559-S,31-61155-S,32-31634-S,35-21214-S,36-0-S,36-7248-S,36-32021-B,36-40389-S,40-26901-S,40-49897-S,44-9594-S,44-12299-S,44-12390-S,44-22921-S,47-2099-S,50-14464-S,53-9037-S,56-18914-S,56-51175-S,57-25664-S,58-50668-S,59-13225-S,60-57638-S,61-32556-S,61-52309-S,62-35766-S,66-32188-S,67-44505-S,69-9600-B,69-51007-B,69-64005-S
hai4 bing4	19-59443-B
hai4 chong2	19-59865-B
hai4 chu5	19-59821-B
hai4 e2	5-31487-S
hai4 e2 zhou1	5-31532-S
hai4 ge2 ming4	61-32631-S
hai4 guo2	44-11346-S
hai4 he2	36-32053-B
hai4 ji4 liang4	36-7322-S
hai4 kou3	19-58916-B
hai4 lang4	69-62438-S
hai4 li3	6-43703-S,14-11780-S,62-56364-S
hai4 lian4	40-26960-S
hai4 ma3	19-59922-B
hai4 ming4	19-58998-B,58-51814-S
hai4 pa4	5-15890-S,19-59182-B,67-64750-S
hai4 ping2 jia4	11-22609-S
hai4 qun2 zhi1 ma3	19-59609-B
hai4 ren2	19-58544-B,56-51934-S
hai4 ren2 bu4 qian3	19-58633-B
hai4 ren2 chong2	19-58855-B
hai4 ren2 jing1	19-58740-B
hai4 sao4	19-59758-B
hai4 shou4	19-59387-B
hai4 si3	19-59314-B
hai4 su2	69-59387-S
hai4 wu2 yi4	32-31696-S
hai4 wu4	35-62924-S
hai4 xi3	19-59053-B
hai4 xian2	18-34224-S
hai4 xing4	11-22552-S
hai4 xiu1	19-59566-B
hai4 yan3	19-59513-B
hai4 yue4 zi5	19-59240-B
hai4 zhe3	11-60965-S
hai4 zhi4	1-67379-S,1-67577-S
hai4 zhu1	4-1332-B
hai5	9-6212-S,11-37024-S
han	1-21589-S,1-72640-S,3-24560-S,3-57778-S,4-16593-S,4-58764-S,5-17146-S,5-28604-S,5-43086-S,5-58232-S,6-43902-S,7-1603-S,7-29413-S,8-24496-S,8-40783-S,8-47758-B,9-31899-S,9-38469-S,9-56274-S,10-13621-S,10-16357-S,10-36417-S,11-5653-S,11-61036-S,12-3270-S,12-9184-S,12-14925-S,12-30915-S,12-67301-B,13-9977-S,13-18504-S,13-48935-B,13-49046-S,14-5489-B,14-21972-S,14-33064-S,14-41715-S,15-41445-S,17-10228-S,17-15177-S,17-26162-S,18-28913-S,19-55101-S,20-3589-S,20-8935-B,20-63370-S,22-21463-S,22-24515-S,23-14255-S,23-43986-S,23-56464-S,23-66145-S,24-31753-S,25-6587-B,25-43821-S,25-56831-B,25-57874-B,25-63696-S,26-8910-S,26-53223-B,27-5560-S,28-2822-B,28-54024-S,29-9138-S,29-17269-B,29-65462-S,30-32697-S,30-65939-S,30-66010-S,31-17024-B,31-30841-S,31-46504-B,32-1025-B,33-21314-S,34-21028-S,34-28912-S,35-47681-S,36-29209-S,36-30129-S,36-56114-B,36-64390-S,37-54030-S,38-4412-S,38-4690-S,38-10939-S,38-38222-B,39-41859-S,40-15427-B,40-44500-B,40-44610-B,41-17541-B,41-17882-S,41-20895-S,41-27022-S,42-51258-B,43-45545-S,44-30574-S,45-53997-B,45-65925-S,46-1379-S,46-54126-S,47-28260-S,47-28260-S,47-45955-S,47-56713-S,49-6465-S,49-65235-S,50-49165-S,50-50807-B,50-60118-S,50-62240-S,51-19913-B,51-28939-S,51-36233-S,51-49744-S,53-11296-S,53-19051-S,53-66717-S,54-17375-S,54-17739-S,54-21792-S,54-27639-S,54-30879-B,55-10101-B,55-42379-S,55-42523-S,55-59143-B,56-11896-B,56-23305-S,56-26253-S,57-48759-S,58-48905-S,59-15677-B,59-27037-B,61-36855-S,63-2805-S,63-14773-B,63-19102-B,63-41939-B,63-46710-S,64-8410-S,64-20344-B,64-27617-S,64-32770-B,65-21823-S,65-27212-B,66-1072-S,66-10636-S,66-46807-S,66-63210-B,67-32214-S,67-39712-S,67-40228-S,67-48053-S,68-27463-B,68-40986-B,68-51240-S,69-7394-S,69-11278-S,70-15909-S,71-49383-S,71-50236-S,71-52832-B
han Da xue	35-47738-S
han Gang tie Gong si	35-47876-S
han La bei	49-7301-S
han Min guo	17-40331-S
han bai yu	39-50663-B
han ban	36-56456-B
han bao bao	39-48967-B
han bing	50-60366-S
han bu zhi e han ji	69-7875-S
han can shu	49-7064-S
han cheng yu	28-50088-S
han da jiao	17-10269-S
han da si	54-26006-S
han da xue	34-28971-S
han dai	10-30504-S,20-9343-B
han dan	38-38402-B
han dao	14-5634-B
han di dong	17-46448-S
han dong	20-9102-B,38-38346-B
han dou	50-60454-S
han dui yin	34-17458-S
han er li	2-6094-S
han er shu	49-6883-S,49-7550-S
han fen xi	37-35972-S
han feng	20-9813-B
han fu	25-6729-B,65-60517-S
han fu yin	49-7468-S
han gai	38-38618-B
han gang	6-27079-S
han gong	11-7972-S,44-46920-S
han gong ju zheng	12-67489-B
han gou	8-48041-B,24-43852-S
han guan	38-38441-B
han guo	36-56272-B,50-60255-S,64-10253-S
han guo ren	68-11480-B
han hen	25-57903-B
han hou	25-56873-B
han hu	2-1309-S,12-68325-B
han hu qi ci	12-68373-B
han ji	33-21917-S,33-24119-S,35-32883-S,69-7875-S,69-45663-S
han jia	20-9053-B
han jian	8-47801-B,50-50887-B
han jiao	14-5586-B
han jiao po	69-4610-S,69-19831-S
han jie	40-44530-B
han jin	20-9301-B,54-12564-S
han jun	58-48979-S
han leng	20-9143-B
han liang	12-68713-B,56-26118-S
han lin	12-68175-B
han lin li	17-24462-S
han liu	20-9718-B
han mao	20-9616-B,36-56515-B
han mo de	47-37862-S
han mo de liu shi	47-37936-S
han mu	33-65978-S
han nei si bao	49-6963-S
han niu chong dong	36-56606-B
