ma3 da2	69-43275-B
ma3 da4	4-19289-S
ma3 da4 che1	69-55546-S
ma3 da4 ding4 li3	59-47414-S
ma3 da4 ha1	69-35592-B
ma3 da4 jiao3	67-59831-S
ma3 dang1 huo2 ma3 yi1	35-59864-S
ma3 dao1	69-34024-B
ma3 dao3	20-57790-S
ma3 dao4 cheng2 gong1	69-34384-B
ma3 deng1	60-14718-S
ma3 deng4	69-43122-B,69-43741-B
ma3 di4 guo2	46-60951-S
ma3 dian4	69-48636-S
ma3 dian4 di4 qu1	69-48721-S
ma3 dian4 shi4	69-48819-S
ma3 dou1 ling2 ke1	69-33576-B
ma3 duan4	4-32615-S
ma3 er3	13-41006-S,18-17169-S
ma3 er3 bao3 bing4 du2	69-39567-B
ma3 er3 gan4	29-9076-S
ma3 er3 han3	29-9138-S
ma3 fa3	12-25419-S,50-63609-S
ma3 fang2	69-38014-B
ma3 fei1	14-23834-B
ma3 feng1	42-45659-S
ma3 fu1	69-31870-B
ma3 fu2 she4	4-64300-S
ma3 gan1	16-16240-S
ma3 gan1 sha1 mo4	16-16121-S
ma3 gan3	18-10926-S
ma3 gan4	16-16031-S
ma3 gang3	30-23794-S
ma3 gong1 jiao4	50-62935-S
ma3 gu3 dao4	54-11997-S
ma3 guan1 hua1	60-15016-S
ma3 ha1	18-17096-S
ma3 hai3 xia2	20-57849-S
ma3 he4	53-31554-S
ma3 hou4 pao4	29-53474-S,69-37273-B
ma3 hu4 shi4	54-11909-S
ma3 hu5	61-55642-S,69-40661-B,69-41784-B
ma3 hua4	30-23640-S,50-63017-S
ma3 huang2	56-12222-B
ma3 hui2	38-26610-S
ma3 hui4	60-1475-S
ma3 ji4	32-55667-S,56-355-S
ma3 jia3	69-40447-B
ma3 jiang3	64-17714-S
ma3 jiao3	67-46603-S,67-48446-S
ma3 jiao4 ting2	50-63356-S
ma3 jie1 duan4	62-24792-S
ma3 jing1	69-40875-B
ma3 jing1 shen2	71-62782-S
ma3 jiu4	69-37236-B
ma3 ju4	69-33985-B
ma3 kan4 hua1	60-14800-S
ma3 ke1	22-10933-S,69-40609-B
ma3 ke4	24-24825-S
ma3 ke4 bi3	69-33509-B
ma3 ke4 si1 wei1 er3	69-33262-B
ma3 la1	11-22122-S,66-5622-S
ma3 la1 ren2	11-22184-S
ma3 la1 ya3	14-9735-S
ma3 la1 ya3 shan1	14-9800-S
ma3 la1 ya3 shan1 mai4	14-9873-S
ma3 la2 ding1	32-67922-S,49-30511-S
ma3 la2 song1	69-38317-B
ma3 lan2	14-38525-S
ma3 lan2 qi2	55-26581-S
ma3 lan2 zu2	14-38575-S
ma3 li3	49-27981-S
ma3 li3 ao4	50-63661-S
ma3 li3 bo2	22-22722-S
ma3 li3 ya4 na4	10-36525-S
ma3 li4	54-62275-S,69-34564-B
ma3 li4 nuo4	51-52508-S,51-52574-S
ma3 lie4	69-34078-B
ma3 lin2	47-6089-S
ma3 ling2 shu3	69-43690-B
ma3 long2	60-59203-S
ma3 lu3 ding1	32-68028-S,49-30616-S
ma3 lu4	3-27081-S,33-41667-S,47-52593-S,62-48854-S,69-42500-B,69-44558-B
ma3 lu4 kou3	69-42543-B
ma3 lu4 yan2 r5	69-42609-B
ma3 luan4	8-2484-S
ma3 ma5 hu1 hu5	69-44460-B
ma3 mu3	4-52557-S
ma3 mu4	4-50938-S
ma3 na4	23-57103-S
