nao dao	52-39726-B
nao dian tu	52-41039-B
nao dian tu ban	52-41110-B
nao er	22-5559-S
nao er shi	22-5662-S
nao fa zhang	68-39317-S
nao fu zhu gong cheng	67-35264-S
nao fu zhu jiao cai	67-35371-S
nao fu zhu she ji	67-35476-S
nao fu zhu she ji yu hui tu	67-35574-S
nao gan	52-39766-B
nao gong neng te hua	52-39532-B
nao gong si	67-34372-S
nao gou	52-40264-B
nao gui	70-29959-B
nao hai	52-40212-B
nao he	16-60236-S
nao hen	25-24717-B
nao hou	50-52785-S
nao hui	52-39632-B
nao hui wu	69-23224-S
nao hui yi	69-23298-S
nao huo	25-24798-B
nao ji ye	52-40647-B
nao jin	6-45079-S,52-40527-B,59-17124-S
nao ju	70-29478-B
nao ke	34-38218-S,52-40113-B,70-31434-S
nao li	52-39328-B
nao li ji dang fa	52-39453-B
nao li lao dong	52-39367-B
nao ling	70-29794-B
nao ling shi zhong	70-29842-B
nao liu	52-40421-B
nao lu:	29-9233-B
nao men	14-58856-S,52-40997-B,68-38080-S
nao mo	52-40709-B
nao mo yan	52-40784-B
nao nu	25-24656-B
nao pi qi	70-29638-B
nao qi ye	67-34287-S
nao qiao	52-39972-B
nao qing chu	68-39256-S
nao qu	70-29516-B
nao r	28-24538-S
nao ren	25-24594-B,56-54715-S
nao ruan jian	67-35188-S
nao shen jing	52-40466-B
nao sheng	13-2686-S
nao shi	70-29410-B
nao shui zhong	52-40151-B
nao si	69-40381-S
nao si wang	17-31983-S,52-40057-B
nao sun shang	2-43240-S
nao tian gong	17-41960-S
nao wan	34-57601-S
nao wang	67-34736-S
nao wang lu	67-34874-S
nao wang luo	67-34808-S
nao xi bao	52-40593-B
nao xi tong	67-34664-S
nao xia chui ti	52-39165-B
nao xiao hua	70-29557-B
nao xing ma bi	52-39810-B
nao xiu cheng nu	25-24885-B
nao xuan	68-38171-S
nao xue guan ping zhang	52-40838-B
nao yan	3-15642-S,31-9517-S,34-23836-S,52-40352-B
nao yan bing du	18-40977-S,33-19366-S,57-18187-S
nao ye zhe	67-34519-S
nao yi xue	52-31511-B
nao yu dian hua xi tong zheng he	67-34947-S
nao yu yan	67-35094-S
nao zhang	68-38261-S
nao zhe wan er	70-29692-B
nao zhen	67-6025-S
nao zhen dang	52-41192-B
nao zhi	49-48591-S
nao zhong	19-15936-B,70-29912-B
nao zi	52-39683-B
nao1	19-15884-B
nao1 zhong3	19-15936-B
nao2	2-6730-S,13-16485-B,21-40282-B,29-9200-B,42-13528-B,44-54337-S,58-61262-B,64-59083-B,65-64492-S
nao2 lu:4	29-9233-B
nao3	2-43198-S,3-16784-S,5-14348-S,5-53016-S,6-45972-S,16-60192-S,17-31936-S,19-63327-S,20-69648-S,24-22427-S,25-8767-B,25-24559-B,25-26786-S,25-62053-S,26-33869-S,28-14190-S,28-24430-S,31-27130-S,34-4917-S,34-57550-S,37-13185-S,37-54245-S,38-5458-S,41-10122-S,42-61069-B,43-1405-S,48-16081-S,48-16319-S,49-11564-S,50-26080-S,50-46040-S,52-35506-B,52-39137-B,52-47662-S,53-67551-S,55-43467-S,56-39708-S,65-46789-S,67-5958-S,67-34244-S,68-39211-S,69-23150-S,70-5143-S
nao3 bei4	43-1463-S
nao3 bi3 yu4	17-32048-S
nao3 bing4 du2	67-34593-S
nao3 cao1 zuo4	67-34445-S
nao3 cheng2 xiang4 ji4 shu4	52-39879-B
nao3 chu1 xue4	52-39264-B
nao3 dai4	52-40928-B
nao3 dao3	52-39726-B
nao3 dian4 tu2	52-41039-B
nao3 dian4 tu2 ban3	52-41110-B
nao3 fa1 zhang4	68-39317-S
nao3 fu3 zhu4 gong1 cheng2	67-35264-S
nao3 fu3 zhu4 jiao4 cai2	67-35371-S
nao3 fu3 zhu4 she4 ji4	67-35476-S
nao3 fu3 zhu4 she4 ji4 yu3 hui4 tu2	67-35574-S
nao3 gan4	52-39766-B
nao3 gong1 neng2 te4 hua4	52-39532-B
nao3 gong1 si1	67-34372-S
nao3 gou1	52-40264-B
nao3 hai3	52-40212-B
nao3 he2	16-60236-S
nao3 hen4	25-24717-B
nao3 hou4	50-52785-S
nao3 hui2	52-39632-B
nao3 hui4 wu4	69-23224-S
nao3 hui4 yi4	69-23298-S
nao3 huo3	25-24798-B
nao3 ji2 ye4	52-40647-B
nao3 jin1	6-45079-S,52-40527-B,59-17124-S
nao3 ke2	34-38218-S,52-40113-B,70-31434-S
nao3 li4	52-39328-B
nao3 li4 ji1 dang4 fa3	52-39453-B
nao3 li4 lao2 dong4	52-39367-B
nao3 liu2	52-40421-B
nao3 men2	14-58856-S,52-40997-B
nao3 men4	68-38080-S
nao3 mo2	52-40709-B
nao3 mo2 yan2	52-40784-B
nao3 nu4	25-24656-B
nao3 qi3 ye4	67-34287-S
nao3 qiao2	52-39972-B
nao3 qing1 chu3	68-39256-S
nao3 r5	28-24538-S
nao3 ren2	25-24594-B,56-54715-S
nao3 ruan3 jian4	67-35188-S
nao3 shen2 jing1	52-40466-B
nao3 shui3 zhong3	52-40151-B
nao3 si1	69-40381-S
nao3 si3 wang2	17-31983-S,52-40057-B
nao3 sun3 shang1	2-43240-S
nao3 wan2	34-57601-S
nao3 wang3	67-34736-S
nao3 wang3 lu4	67-34874-S
nao3 wang3 luo4	67-34808-S
nao3 xi4 bao1	52-40593-B
nao3 xi4 tong3	67-34664-S
nao3 xia4 chui2 ti3	52-39165-B
nao3 xing4 ma2 bi4	52-39810-B
nao3 xiu1 cheng2 nu4	25-24885-B
nao3 xuan4	68-38171-S
nao3 xue4 guan3 ping2 zhang4	52-40838-B
nao3 yan2	3-15642-S,31-9517-S,34-23836-S,52-40352-B
nao3 yan2 bing4 du2	18-40977-S,33-19366-S,57-18187-S
nao3 ye4 zhe3	67-34519-S
nao3 yi4 xue4	52-31511-B
nao3 yu3 dian4 hua4 xi4 tong3 zheng3 he2	67-34947-S
nao3 yu3 yan2	67-35094-S
nao3 zhang4	68-38261-S
nao3 zhen4	67-6025-S
nao3 zhen4 dang4	52-41192-B
nao3 zhi1	49-48591-S
nao3 zi5	52-39683-B
nao4	13-2646-S,14-11301-S,37-43207-S,38-41833-B,39-9651-S,40-57001-S,52-23099-S,52-53246-B,69-55317-S,70-29362-B
nao4 er3	22-5559-S
nao4 er3 shi4	22-5662-S
nao4 gui3	70-29959-B
nao4 ju4	70-29478-B
nao4 ling2	70-29794-B
nao4 ling2 shi2 zhong1	70-29842-B
nao4 pi2 qi5	70-29638-B
nao4 qu1	70-29516-B
nao4 sheng1	13-2686-S
nao4 shi4	70-29410-B
nao4 tian1 gong1	17-41960-S
nao4 xiao4 hua4	70-29557-B
nao4 zhe5 wan2 er5	70-29692-B
nao4 zhong1	70-29912-B
nao5	41-22844-S,45-39002-S
ne	5-2928-S,5-2928-S,9-28374-S,13-2812-B,13-2812-B,13-10152-B,13-10152-B,32-54780-S,58-655-B,61-43967-S
ne gua yan	32-54870-S
ne he	50-62057-S
ne lao ren	32-54979-S
ne se	58-762-B
ne4	9-28374-S,32-54780-S,58-655-B,61-43967-S
ne4 gua3 yan2	32-54870-S
ne4 he2	50-62057-S
ne4 lao3 ren2	32-54979-S
ne4 se4	58-762-B
ne5	5-2928-S,13-2812-B,13-10152-B
nei	3-10702-S,4-36091-S,4-42258-S,7-26150-B,8-3691-S,8-50106-S,13-37447-S,13-44993-B,15-1944-S,15-34203-S,15-34619-S,15-35498-S,15-37001-S,16-23292-S,19-55940-S,20-47354-S,22-11831-S,22-47597-S,31-42227-S,33-9166-S,36-24494-B,36-31582-S,37-18675-S,38-15928-S,52-54411-S,69-13878-B,69-38575-S,70-5574-S,71-43965-S
nei bao	7-29996-B
nei bao fa yuan zi dan	7-30040-B
nei bin	7-32440-B
nei bu	7-32652-B
nei bu jie gou	7-32706-B
nei bu la si jia	7-27972-B
nei bu wang	7-32800-B
nei can	7-26901-B
nei ceng	7-27923-B
nei chen	7-31434-B
nei cheng	7-27439-B
nei chu xie	7-26392-B
nei cun	7-27662-B
nei dai	7-32146-B
nei di	7-27391-B,7-28320-B
nei ding	7-27757-B
nei dou	7-33336-B
nei er	7-31028-B,18-13708-S,22-22145-S
nei er dao	7-31070-B
nei fen mi	7-26474-B
nei fen mi xian	7-26547-B
nei ge	7-33089-B,23-59363-S,44-61866-S,63-16250-B
nei han	7-29413-B
nei han ti	7-26983-B
nei han yi yi	7-29553-B
nei hang	7-31980-B
nei hao	7-30886-B
nei he	7-28842-B
nei hong	7-32319-B
nei ji	7-30599-B,11-13030-S
nei ji Mei long da xue	11-13116-S
nei jia de	53-46873-S
nei jia er	16-19511-S
nei jiu	7-30193-B
nei juan	7-30377-B
nei ke	7-30487-B
nei ke xue	7-30538-B
nei ku	7-32277-B
nei li	4-39499-S
nei li fei	41-56397-S
nei liu	7-29231-B
nei liu he	7-29310-B
nei lu	7-33142-B,63-55392-S
nei lu guo	7-33190-B
nei lu he	7-33252-B
nei luan	7-26271-B
nei luo bi	7-30816-B
nei ma	7-30445-B
nei mo	7-31329-B
nei mu	7-28139-B
nei mu jiao yi	7-28234-B
nei neng	7-31279-B
nei pei ceng	7-31196-B
nei pi	7-30272-B
nei qie qiu	7-26653-B
nei qing	7-28430-B
nei qiu	43-47485-S
nei ran	7-29799-B
nei ran ji	7-29861-B,8-7341-B
nei ran ji che	7-29931-B
nei ren	53-44218-S
nei rong	7-27863-B,63-58453-S
nei rui la	18-40913-S
nei rui la ma nao yan bing du	18-40977-S
nei shan	36-52834-S
nei sheng chan zong zhi	15-2192-S
nei sheng de	7-30138-B
nei si	34-6103-S
nei si bao	49-6963-S
nei wa	31-5655-S
nei wai	7-27569-B,15-2016-S,16-23378-S
nei wang lu	4-46472-S
nei wu	7-26715-B
nei wu bu	7-26830-B
nei xi	33-1344-S
nei xi bao tuan	7-30676-B
nei xian	15-2302-S,60-9778-S
nei xian an mei	7-32918-B
nei xiang	8-7227-B,17-6402-S,33-33088-S,39-10387-S
nei xin	7-28375-B
nei xiong	7-26336-B
nei ya	22-5139-S,22-57135-S,30-48276-S,30-52487-S,49-18824-S,60-7166-S
nei ya Bi shao	22-57184-S
nei ya wan	22-57262-S
nei yi	7-32039-B,18-21559-S
nei yi ku	7-32094-B
nei yong can	22-61528-S
nei you wai huan	7-28483-B
nei yuan	7-29758-B
nei yue	19-55980-S
nei zai	7-27043-B
nei zai de	7-27334-B
nei zai ji he	7-27093-B
nei zai ji he xue	7-27165-B
nei zai zuo biao	7-27248-B
nei zang	7-31376-B
nei zhan	7-28578-B
nei zhan zheng	15-2106-S
nei zhang	44-36715-S
nei zheng	7-28622-B
nei zheng bu	7-28689-B
nei zheng bu zhang	7-28759-B
nei zhi	7-30753-B
nei zhi pei zhong	10-15616-S
nei zhi wang	7-13859-S,7-32580-B,48-62006-S
nei zhuang	7-32192-B
nei zhuang huang	19-56038-S
nei3	13-44993-B,36-31582-S,69-13878-B
nei4	3-10702-S,4-36091-S,4-42258-S,7-26150-B,8-3691-S,8-50106-S,13-37447-S,15-1944-S,15-34203-S,15-34619-S,15-35498-S,15-37001-S,16-23292-S,19-55940-S,20-47354-S,22-11831-S,22-47597-S,31-42227-S,33-9166-S,36-24494-B,37-18675-S,38-15928-S,52-54411-S,69-38575-S,70-5574-S,71-43965-S
nei4 bao4	7-29996-B
nei4 bao4 fa3 yuan2 zi3 dan4	7-30040-B
nei4 bin1	7-32440-B
nei4 bu4	7-32652-B
nei4 bu4 jie2 gou4	7-32706-B
nei4 bu4 la1 si1 jia1	7-27972-B
nei4 bu4 wang3	7-32800-B
nei4 can1	7-26901-B
nei4 ceng2	7-27923-B
nei4 chen2	7-31434-B
nei4 cheng2	7-27439-B
nei4 chu1 xie3	7-26392-B
nei4 cun2	7-27662-B
nei4 dai4	7-32146-B
nei4 di4	7-27391-B,7-28320-B
nei4 ding4	7-27757-B
nei4 dou4	7-33336-B
nei4 er3	7-31028-B,18-13708-S,22-22145-S
nei4 er3 dao4	7-31070-B
nei4 fen1 mi4	7-26474-B
nei4 fen1 mi4 xian4	7-26547-B
nei4 ge2	7-33089-B,23-59363-S,44-61866-S
nei4 ge4	63-16250-B
nei4 han2	7-29413-B
nei4 han2 ti3	7-26983-B
nei4 han2 yi4 yi4	7-29553-B
nei4 hang2	7-31980-B
nei4 hao4	7-30886-B
nei4 he2	7-28842-B
nei4 hong4	7-32319-B
nei4 ji1	7-30599-B,11-13030-S
nei4 ji1 Mei2 long2 da4 xue2	11-13116-S
nei4 jia1 er3	16-19511-S
nei4 jia3 de2	53-46873-S
nei4 jiu4	7-30193-B
nei4 juan4	7-30377-B
nei4 ke1	7-30487-B
nei4 ke1 xue2	7-30538-B
nei4 ku4	7-32277-B
nei4 li3 fei4	41-56397-S
nei4 li4	4-39499-S
nei4 liu2	7-29231-B
nei4 liu2 he2	7-29310-B
nei4 lu2	63-55392-S
nei4 lu4	7-33142-B
nei4 lu4 guo2	7-33190-B
nei4 lu4 he2	7-33252-B
nei4 luan4	7-26271-B
nei4 luo2 bi4	7-30816-B
nei4 ma3	7-30445-B
nei4 mo2	7-31329-B
nei4 mu4	7-28139-B
nei4 mu4 jiao1 yi4	7-28234-B
nei4 neng2	7-31279-B
nei4 pei1 ceng2	7-31196-B
nei4 pi2	7-30272-B
nei4 qie1 qiu2	7-26653-B
nei4 qing2	7-28430-B
nei4 qiu2	43-47485-S
nei4 ran2	7-29799-B
nei4 ran2 ji1	7-29861-B,8-7341-B
nei4 ran2 ji1 che1	7-29931-B
nei4 ren3	53-44218-S
nei4 rong2	7-27863-B,63-58453-S
nei4 rui4 la1	18-40913-S
nei4 rui4 la1 ma3 nao3 yan2 bing4 du2	18-40977-S
nei4 shan4	36-52834-S
nei4 sheng1 chan3 zong3 zhi2	15-2192-S
nei4 sheng1 de5	7-30138-B
nei4 si1	34-6103-S
nei4 si1 bao3	49-6963-S
nei4 wa3	31-5655-S
nei4 wai4	7-27569-B,15-2016-S,16-23378-S
nei4 wang3 lu4	4-46472-S
nei4 wu4	7-26715-B
nei4 wu4 bu4	7-26830-B
nei4 xi1	33-1344-S
nei4 xi4 bao1 tuan2	7-30676-B
nei4 xian1 an4 mei2	7-32918-B
nei4 xian4	15-2302-S,60-9778-S
nei4 xiang1	17-6402-S,33-33088-S,39-10387-S
nei4 xiang4	8-7227-B
nei4 xin1	7-28375-B
nei4 xiong1	7-26336-B
nei4 ya4	22-5139-S,22-57135-S,30-48276-S,30-52487-S,49-18824-S,60-7166-S
nei4 ya4 Bi3 shao4	22-57184-S
nei4 ya4 wan1	22-57262-S
nei4 yi1	7-32039-B,18-21559-S
nei4 yi1 ku4	7-32094-B
nei4 yong4 can1	22-61528-S
nei4 you1 wai4 huan4	7-28483-B
nei4 yuan2	7-29758-B
nei4 yue4	19-55980-S
nei4 zai4	7-27043-B
nei4 zai4 de5	7-27334-B
nei4 zai4 ji3 he2	7-27093-B
nei4 zai4 ji3 he2 xue2	7-27165-B
nei4 zai4 zuo4 biao1	7-27248-B
nei4 zang4	7-31376-B
nei4 zhan4	7-28578-B
nei4 zhan4 zheng1	15-2106-S
nei4 zhang4	44-36715-S
nei4 zheng4	7-28622-B
nei4 zheng4 bu4	7-28689-B
nei4 zheng4 bu4 zhang3	7-28759-B
nei4 zhi4	7-30753-B
nei4 zhi4 pei4 zhong4	10-15616-S
nei4 zhi4 wang3	7-13859-S,7-32580-B,48-62006-S
nei4 zhuang1	7-32192-B
nei4 zhuang1 huang2	19-56038-S
nen	18-59869-B,18-60223-B,33-44199-S,47-30582-S,49-31218-S,69-25173-S,71-26819-S
nen de	22-8171-S
nen4	18-59869-B,18-60223-B,33-44199-S,47-30582-S,49-31218-S,69-25173-S,71-26819-S
nen4 de2	22-8171-S
