pai1 xiao1	28-17839-B
pai1 zhao4	27-29950-B
pai1 zi5	27-29273-B
pai2	1-9765-S,1-26243-S,2-47007-S,5-50758-B,6-10650-S,8-11262-S,8-17873-S,12-57094-S,13-23934-S,13-34228-S,18-6576-S,18-20839-S,19-29284-S,20-37102-S,23-7928-S,23-11044-S,23-55947-S,23-68218-S,24-9632-B,26-46592-S,28-15041-B,29-3689-S,29-16430-S,29-36061-S,31-3316-S,34-20298-B,34-55104-S,34-56088-S,35-1092-S,36-2253-S,37-16055-S,39-595-S,40-50085-S,41-45574-B,41-47706-S,42-16846-S,42-36046-S,44-24580-S,45-32822-S,46-32103-S,47-62914-S,48-6931-S,48-39714-B,49-11380-S,49-22815-S,50-20160-S,50-64226-S,51-29588-S,53-7097-S,54-37075-S,55-55451-S,59-25724-S,60-59491-S,64-12632-S,64-27762-S,64-30585-S,64-37430-S,65-23146-S,66-67329-S,67-5199-S,69-13617-S,70-1001-S,70-37097-S,71-14459-S,71-21526-S
pai2 ban3	28-17695-B
pai2 bi3	28-16654-B
pai2 bian3	41-45750-B
pai2 chang5	28-15753-B
pai2 chi4	28-16446-B
pai2 chu1	28-15374-B
pai2 chu1 qi1	10-57945-S
pai2 chu2	28-18262-B,29-61780-S
pai2 dang3	28-16222-B,28-16532-B
pai2 dang3 su4 lu:4	28-16261-B,28-16584-B
pai2 dui4	28-18332-B
pai2 fa3	63-24105-S
pai2 fang1	41-45811-B
pai2 fang4	28-16384-B
pai2 feng1 kou3	28-18554-B
pai2 gu3	28-18612-B
pai2 hang2	28-17934-B
pai2 hang2 bang3	28-17986-B
pai2 hao4	41-46047-B
pai2 huai2	24-9665-B
pai2 huan2	4-35161-S
pai2 huan2 wang3	4-35218-S
pai2 huo4	8-11340-S
pai2 ji1 che1	6-10710-S
pai2 ji3	28-16331-B
pai2 jia4	41-45706-B
pai2 jie3	28-18078-B
pai2 ju4	5-50816-B
pai2 kong1	28-17784-B
pai2 lao4	28-17422-B
pai2 lei2	28-18506-B
pai2 lian4	28-17878-B
pai2 lie4	28-15417-B
pai2 lie4 ci4 xu4	28-15525-B
pai2 lou5	41-45949-B
pai2 lu:4	28-16151-B
pai2 luan3	28-15661-B
pai2 ming2	28-15703-B
pai2 nan4 jie3 fen1	28-18376-B
pai2 niao4	28-15961-B
pai2 ou3	28-15214-B
pai2 pao4	28-17626-B
pai2 qi4	28-16708-B
pai2 qi4 guan3	28-16828-B
pai2 qi4 kong3	28-16753-B
pai2 qian3	28-18135-B
pai2 qiu2	28-17740-B
pai2 r5	67-5270-S
pai2 ru4	28-15308-B
pai2 shan1 dao3 hai3	28-16053-B
pai2 she4	28-15902-B
pai2 shi2 fen1	63-36451-S
pai2 shui3	28-16885-B
pai2 shui3 gou1	28-16978-B
pai2 shui3 guan3	28-17030-B
pai2 shui3 liang4	28-17097-B
pai2 shui3 qu2	28-16925-B
pai2 ta1	28-15172-B
pai2 wai4	28-15843-B
pai2 wei4	41-45657-B
pai2 wu1	28-16006-B
pai2 wu1 guan3	28-17163-B
pai2 xi4	41-45905-B
pai2 xie4	28-17213-B,28-17312-B
pai2 xie4 wu4	28-17363-B
pai2 yin4	28-15603-B
pai2 zhang3	28-18203-B
pai2 zhao4	41-45999-B
pai2 zhong4 yi4	9-46557-S
pai2 zi5	9-36836-S,41-45859-B
pai2 zuo4	45-32877-S
pai3	28-15128-B,48-2642-S
pai3 ji1 pao4	61-52351-B
pai3 xie4	28-17479-B
pai3 xie4 wu4	28-17523-B
pai4	2-77443-S,3-4302-S,3-5549-S,4-19803-S,5-35505-S,8-56156-S,9-57359-S,11-21707-S,11-45325-S,11-47184-S,12-882-S,14-38635-S,14-38717-S,16-204-S,18-41757-S,19-18206-S,19-22289-S,19-39938-S,21-59066-S,22-343-S,22-36017-S,23-45049-S,24-59355-S,25-57680-S,26-1412-S,27-60302-S,29-35985-S,29-46712-S,29-57233-S,30-3579-S,30-51191-S,32-36085-S,32-62129-S,34-11582-S,35-37876-S,36-14462-S,36-18542-S,36-28865-S,37-33677-S,37-49813-S,38-350-B,38-4454-S,39-8702-B,39-19721-S,40-400-S,40-64557-S,41-60176-S,42-49123-S,43-10512-S,50-3633-S,53-11083-S,54-61087-B,55-43346-S,55-47538-S,60-13916-S,62-17745-S,62-59448-S,63-720-S,70-54593-S,71-1554-S,71-44904-S
pai4 bie2	38-729-B
pai4 chu1	38-617-B
pai4 chu1 suo3	38-664-B
pai4 dui4	38-860-B
pai4 gei3 gong1 zuo4	38-1318-B
pai4 huang3 yan2	1-13879-S
pai4 ji2 hui4	71-44971-S
pai4 qian3	38-1382-B
pai4 ren4	38-498-B
pai4 sheng1	38-1109-B
pai4 sheng1 ci2	38-1212-B
pai4 shi4	38-814-B,48-40515-S
pai4 tang2 lang2	11-683-S
pai4 tang2 lang2 quan2	10-33633-S
pai4 tou2	38-1515-B
pai4 tou2 shi2 zu2	38-1561-B
pai4 wang3	38-899-B
pai4 xi4	38-1273-B
pai4 xing4	38-958-B
pai4 yi2	38-1445-B
pai4 yuan2	41-60288-S
pai4 zhu3 yi4	19-39977-S
pai5	27-42749-S
