to make friends again	63-55960-B
to make friends with	49-39970-B
to make fun of	20-46098-B,58-37224-B,58-39626-B,62-4026-B,65-38863-B
to make fun of sb	65-34683-B
to make good a defect	26-60297-B
to make great effort	43-34429-B
to make green with plants	49-64404-B
to make grieve	59-13755-B
to make headway	62-29603-B
to make ill gotten gains	44-30442-B
to make into	10-20608-B
to make inventory	38-66219-B
to make invidious comparisons	29-31792-B
to make irresponsible criticism	18-32412-B
to make irresponsible remarks	3-27503-B
to make it burn slowly	20-33725-S
to make known	4-64970-B,11-50158-B,22-13546-B,28-48560-B,28-48814-B,54-53309-B
to make known to every household 成语 saw	26-24834-B
to make legal	12-35165-B
to make level	26-59635-B
to make life longer	23-17304-B
to make love	5-6885-B,6-15201-B,14-33527-S
to make merry	5-7653-B
to make military incursions	5-26876-B
to make mischief	27-65042-B,28-57620-B,28-58358-B
to make money	9-36529-B,28-19000-B,28-19151-B
to make more beautiful	51-2408-B
to make more mild	50-22888-B
to make new advances	8-39984-B
to make no secret of one s presence	16-3065-B
to make noise	14-11188-B
to make noodles by pulling out dough	27-16144-B
to make nuclear free	40-54725-B
to make off with	6-22478-B
to make offerings to the gods	5-23725-B
to make one blind to sth	66-42134-S
to make one feel sth	4-33981-B
to make one s bed then lie on it	23-35110-B
to make one s getaway from the scene of a crime	61-64325-B
to make one s good name	67-47540-B
to make one s hair stand up in anger 成语 saw	4-34664-B
to make one s judgment	58-7392-B
to make one s mark	8-36799-B
to make one s own decisions	53-62-S
to make one s rounds	21-50968-B
to make one s stage debut	26-47417-B
to make one s views known	17-31308-B
to make one s way into	65-8433-B
to make oneself scarce	29-6128-B
to make open to the public	65-36192-B
to make out	45-38061-B
to make out distinctly	61-55575-S
to make painstaking efforts 成语 saw	53-67308-B
to make peace	18-57574-B
to make people laugh	62-3618-B
to make plans for sb else	6-774-B
to make preparations	48-43361-B
to make progress	62-29603-B
to make propaganda for sth	6-15090-B
to make provision against a loss	28-37458-B
to make provision for capital requirements	57-58471-B
to make public	7-54638-B,7-64532-B,23-58384-B,27-12049-B,68-32111-B
to make public or well known	19-54724-B
to make ready	68-28392-B
to make reasonable	68-21881-B
to make right	49-1944-B
to make sb laugh	62-4463-B,62-4530-B
to make sb suffer	30-14635-B
to make sense	32-40149-B
to make sense of sth	28-57419-B
to make sheep eyes at	45-36367-B
to make smooth	9-4854-B,64-23160-B
to make some remarks	53-19840-B
to make sth big of it	17-5350-B
to make sth clear	39-65717-B
to make sth difficult	43-52581-B
to make sth palatable	28-38159-B
to make sth stand out	47-54250-B
to make sth suitable	58-39856-B
to make sth unnecessarily complicated	29-60107-B
to make sth up	33-9095-B
to make superior	6-57585-B
to make the best of new opportunities	14-59462-B
to make the most of every opportunity	57-30307-S
to make the point	71-43146-B
to make them germinate	38-27639-S
to make them grow faster	28-47271-S
to make them happy esp of one s parents	26-61509-S
to make things bad	16-34473-B
to make things easy for people	30-61708-B
to make things worse in a bad situation	67-15405-B
to make threatening gestures	23-40760-B
to make trouble	5-6695-B,5-60516-B,50-56123-B,50-60853-B
to make trouble without reason 成语 saw	40-57001-B
to make uniform	26-60297-B
to make up	5-1329-B,10-24632-S,11-12109-B,26-44346-B,28-3101-B,28-3415-B,34-43230-B,34-43734-B
to make up a medical prescription	58-36030-B
to make up a prescription	63-37075-B
to make up a set	39-9440-B
to make up deficit	28-60860-B
to make up for	56-56409-B
to make up for a deficiency	23-51834-B
to make up for a shortage	56-58599-B
to make up for one s weak points 成语 saw from mencius	11-59061-S
to make up missed lesson	56-59468-B
to make up numbers 成语 saw	40-10384-S
to make up one s mind	27-54823-B,36-65858-B
to make up out of components	26-11229-B
to make up printers plates	27-52663-B
to make up the number i e to fill places up to a given number	6-65002-B
to make up the numbers with inferior products	40-10384-S
to make up the weight	46-15218-B
to make up to	22-8911-B
to make use of	3-12362-B,5-14453-B
to make use of every second and every inch	57-30450-S
to make way for sth	59-14086-B
to make whole	26-8098-B
to make your bed and lie on it	53-796-B
to manage	3-4649-B,22-36558-B,22-52002-B,23-23323-B,29-20338-B,29-21417-B,30-35196-B,37-24078-B,37-24766-B,41-30716-B,42-53278-B,48-6114-B,48-25144-B,48-26535-B,61-34549-B,62-43541-B
to manage a business	49-61676-B
