up to a boast	26-41942-S
up to a fault	58-22310-S
up to a given number	6-65002-S
up to a house	53-20866-S
up to a task	10-4026-S
up to a time	26-16511-B
up to arrange in a straight line	30-16632-S
up to date	32-34411-B
up to death	49-44117-S
up to death 成语 saw	49-44177-S,49-44313-S
up to expectations	2-18359-S
up to full strength	56-59596-S
up to heaven or down to hades	1-48356-S
up to it	26-21949-S,26-22537-B
up to its reputation	12-53351-S,12-55691-S
up to much	2-9460-S
up to now	12-62269-S
up to one s abilities	26-590-S
up to one s old tricks	29-58738-B
up to par	6-50339-B
up to pay homage	50-58126-S
up to reality	45-34158-S,63-48169-S
up to sb	27-26553-S
up to sth big	66-59151-S
up to sth great 成语 saw	21-3986-S,47-39128-S
up to study a problem	24-55030-S
up to the han	17-57006-S
up to the mark	62-47729-S
up to the maximum	53-18111-B
up to the moon	44-24034-S
up to the name	12-53164-S
up to the nearest integer	14-50208-S
up to the neck in work	15-61237-B
up to the present	45-20642-S
up to the sky	4-39837-S,28-17784-S
up to the task	42-38323-S,42-38672-B
up to the wind 成语 saw	23-36301-S
up to them	45-52491-S
up to then	8-3624-B
up to those in power	60-31652-S
up trouble	25-26828-S,25-27123-S,26-22774-S,27-44494-S,28-10357-S,28-55333-S,29-13495-S,58-36820-S,58-37224-S,71-40529-S
up trouble in secret	71-43262-S
up trouble or emotions	57-54266-S
up troubles	13-19755-S
up until now	9-9920-B,9-9986-B,53-18478-B
up valuables and abscond	28-8195-S
up various ideas for discussion	13-60571-S
up vigorously	18-18753-S
up violently of ocean	37-63183-S
up water with rocks	46-15709-S
up what others say 成语 saw	27-53744-S
up windows for air	65-42835-S
up with	5-5739-S,7-16897-S,10-12793-S,11-36486-S,17-71892-S,19-65493-S,20-36775-S,52-49844-S,52-49979-S,60-28626-S,60-28626-S,60-28706-S,60-28706-S,60-37450-S,60-37520-S,61-60343-S
up with a mop	27-47436-S
up with a start	69-62847-S
up with a utensil	45-3983-S
up with delight 成语 saw	14-7954-S
up with nothing	49-35613-S
up with nothing definite	1-66346-S
up with sb	28-58887-S
up with sth	5-59875-S,11-36625-S
up with the times	53-22111-S
up with tweezers	65-8085-S
up writing as opposed to block capitals	62-20844-S
up 成语 saw	25-4832-S
upala	35-28227-S
upbeat	3-13938-S
upbraid	12-63858-B
upbringing	19-62711-B,30-5577-B
update	32-8292-B,32-20512-S,32-20512-S
upend	5-57736-S
upgrade	10-53297-B,10-53465-B,28-39981-S,32-7995-S
upheaval	9-68417-B,10-1432-B,10-1868-B,31-8055-S,59-7020-S
uphill	1-47914-B
uphold	16-4618-S,28-2862-B,47-14065-B,50-4727-S,53-27677-B
uphold e g justice or virtue	4-61230-S
uphold virtue and condemn evil	23-58150-S
upholder	28-2919-B
upholding	16-3542-S,16-4618-S
upholding justice will find help all around	24-9306-S
upi	12-36201-S
upland	70-12567-B
uplift	27-12322-B,27-70166-S,70-15386-B
uplifting	12-61995-B
upload	1-56166-S
upon	1-45053-B,5-20906-S,5-63231-S,5-63483-S,6-22039-S,11-58563-S,11-58563-S,14-10759-S,14-56809-S,15-36819-B,21-641-S,24-66929-S,31-32545-S,32-47262-S,45-37731-S,45-38456-S,45-54077-S,45-59314-S,52-19702-S,60-47568-S,61-11630-S,61-15672-S,63-32052-S,63-32209-S,65-56834-S,68-220-S
upon a fur to discover any defect 成语 saw	13-5675-S
upon a time	32-29405-S
upon a topic	38-34675-S
upon a trade mark	26-15335-S
upon an inspiration	67-52093-S
upon as	43-65852-S,45-37872-S,45-38005-S
upon as dirt	57-35067-S
upon by authority	68-32266-S
upon hull	60-8577-S
upon layer	21-25064-S,64-1967-S
upon millions	10-48242-S
upon one	57-41330-S
upon one another for survival	45-26532-S
upon range of mountains 成语 saw	21-25215-S,63-58084-S
upon sb	6-26358-S,8-7822-S,45-34758-S
upon sth	11-36743-S
upon sth as	5-7962-S
upon to smile	35-22739-S
upon us	36-54115-S
upper	1-42972-S,1-45053-B,1-46533-S
upper abdomen	19-12450-B
upper arm	52-14040-S,52-45929-B,52-46070-B,52-46353-B,52-46976-B
upper atmosphere	2-74929-B
upper back and neck	30-36300-S
upper body	1-46981-S
upper bound	1-54199-B,1-54555-S,1-56921-B
upper chamber	1-55975-B
upper class	1-51407-B
upper eyelid	1-54446-B,1-54506-B
upper eyelid characteristic of asian people	63-63146-S,63-63270-S
upper garment	1-55585-B
upper hand 成语 saw	7-3039-S
upper house	1-55975-B,6-63011-B
upper jacket	10-57850-B
upper jaw	1-57187-S,1-57241-S
upper layer	1-48812-B
upper limb	1-55082-B
upper limit	53-18111-B
upper lip	1-47868-B,4-5647-S
