variant of 繪 绘	49-55358-S
variant of 繼 继	49-62925-S
variant of 續 续	49-62974-S
variant of 纖 纤	50-39577-S
variant of 缺	65-52378-B
variant of 罐	50-50093-B
variant of 罪	61-34031-B
variant of 罵 骂	69-50670-B
variant of 羅圈 罗圈	50-56390-S
variant of 羅布 罗布	50-55493-B
variant of 羅睺 罗喉	50-50938-S,50-56206-S
variant of 羅鍋 罗锅	50-62483-S
variant of 羊角風 羊角风	51-1025-B
variant of 群	51-10467-B
variant of 義和團 义和团	59-3214-S
variant of 老	71-64145-S
variant of 老伴	51-25363-S
variant of 老客	51-27440-S
variant of 考	29-43304-B
variant of 耽	60-57811-B
variant of 聊天 聊天	51-43607-S
variant of 聯繫 联系	51-62223-B
variant of 聽 听	51-67639-S
variant of 聽牆根 听墙根	52-898-S
variant of 肅 肃	48-51083-S
variant of 脅 胁	52-29189-B
variant of 腦 脑	52-35506-S
variant of 臟 脏	52-53335-S
variant of 舉 举	27-67406-S
variant of 舍	53-30508-S
variant of 舖 铺	53-31772-S
variant of 艎	34-36791-B
variant of 芥蘭 芥兰	53-52631-B
variant of 花	10-20571-B,53-54455-S
variant of 芸	55-14557-B
variant of 茅	54-7866-B
variant of 茹	55-15136-B
variant of 茹漆	55-15234-B
variant of 茹藘	55-15283-B
variant of 莊 庄	54-19115-S
variant of 著邊 着边	54-56062-S
variant of 蒼 苍 house fly	56-12980-S
variant of 蓋茨 盖茨	55-6359-B
variant of 蕩然 荡然	45-14502-B
variant of 薰	55-26899-S
variant of 藏	55-13542-S
variant of 藥 药	55-26945-S
variant of 藥水 药水	55-34432-S
variant of 處 处	8-29528-S
variant of 蛇	55-56945-B
variant of 螃蟹 crab	56-9990-B
variant of 螈	55-58166-B
variant of 螢 萤	55-61282-S
variant of 螭	23-60112-B
variant of 蟹 蟹 crab	56-20455-B
variant of 術 术	32-68134-B,32-68192-B
variant of 衛	56-40413-B
variant of 衽 overlapping part of chinese gown	46-52214-B
variant of 袱	22-34770-B
variant of 補缺 补缺	56-60043-S
variant of 裡邊 里边	57-2381-S
variant of 褒	57-9591-B
variant of 褰	29-32669-B
variant of 褲 裤	49-48385-B,56-52622-B
variant of 褲子 裤子	56-52662-B
variant of 襇 裥	57-10293-B
variant of 西邊 西边	57-23313-S
variant of 覈銷 核销	33-63150-S
variant of 覺 觉	57-37338-S
variant of 覽 览	57-37497-S
variant of 觀 观	57-40922-S
variant of 討底 讨底 to enquire	57-62985-S
variant of 詞典 词典	61-36483-B
variant of 認人 认人	58-19883-S
variant of 認死理 认死理	58-20839-S
variant of 說 说	58-33913-S
variant of 諫 谏	58-43428-B
variant of 謠 谣	58-58012-S
variant of 識 识	71-64307-S
variant of 譯 译	58-4441-S
variant of 讀 读	58-33980-S
variant of 變 变	16-39857-S
variant of 變樣 变样	59-9946-S
variant of 讓 让	59-4033-S
variant of 讕 谰	14-44943-B
variant of 谷歌	47-36764-B
variant of 豏 馅	59-19398-B
variant of 豐 丰	59-18639-S
variant of 豐采 丰采 or 風采 风采	59-20682-B
variant of 豜	59-24384-B
variant of 貌	44-58911-B
variant of 貝殼 贝壳	59-30005-S
variant of 貳 贰	23-25147-S,23-25393-S
variant of 賜予 赐予	59-56962-B
variant of 賣 卖	16-37787-S
variant of 賴 赖	68-42524-S
variant of 贊 赞	59-56731-S
variant of 贊嘆 赞叹	60-3664-B
variant of 走	60-15262-B
variant of 走味	60-10611-S
variant of 起名	60-16350-S
variant of 趑	60-30661-B
variant of 跡 迹	60-50389-B
variant of 蹤跡 踪迹	60-50754-B,60-50812-B
variant of 蹦	60-50918-S
variant of 蹦達 蹦达	60-51245-S
variant of 蹦高	60-51448-S
variant of 身份	60-55674-B
variant of 輒 辄	61-13753-B
variant of 輕 轻	61-5898-S
variant of 輻射 辐射	22-33848-B
variant of 轀 辒	61-19748-B
variant of 轄 辖	53-32012-B,64-52082-B
variant of 轉 转	61-4906-S
variant of 轉軸 转轴	61-28939-S
variant of 轉鈴 转铃	61-29946-S
variant of 辭令 辞令	58-9046-B
variant of 迎頭 迎头	61-46296-S
variant of 迪	23-20068-B
variant of 迫	23-20104-B
variant of 追根究底	61-58694-S
variant of 逗笑	62-4348-S
variant of 逗趣兒 逗趣儿	70-29244-B
variant of 這裡 这里	62-6099-B
variant of 這邊 这边	62-6247-S
variant of 這麼 这么	61-49721-B,61-49777-B
variant of 造	53-38930-B
variant of 逼	6-19346-B
variant of 逾	60-48451-B
variant of 遊 游	26-66235-B
variant of 遊玩 游玩	62-37095-B
variant of 達 达	62-33498-B
variant of 遙 遥	63-14216-B
variant of 遞 递	62-2835-S
variant of 遲 迟	62-35573-S
variant of 邊 边	61-42984-S
variant of 邙	53-49723-B
variant of 那麼 那么	63-17928-B
variant of 邰	30-25277-B
variant of 郤	63-20657-B
variant of 鄉 乡	63-26549-S
variant of 鄰 邻	66-42442-S
variant of 鄰 隶	66-51540-S
variant of 醉	63-41206-S
variant of 醜 丑	2-37244-B
variant of 釀 酿	63-51507-S
variant of 釁 衅	53-29373-B
variant of 釋 释	63-52406-S
variant of 重活 重活	63-61573-S
variant of 針 针 needle	64-51390-B
variant of 鈈 钚 plutonium	64-22476-B
variant of 鉞 钺 battle ax	26-4922-B
variant of 鉢 钵	45-3035-S
variant of 銳 锐	64-38652-S
variant of 銹 锈	64-58941-B
variant of 鋒 锋	64-57754-B
variant of 鋦 锔	64-39174-B
variant of 錄 录	64-48945-S
variant of 錢 钱	64-32719-S
variant of 錢串 钱串	64-44237-S
variant of 鍛 锻	40-66175-B
variant of 鍬 锹	35-10635-S,64-50655-B
variant of 鍾 钟	64-51439-B
variant of 鎮 镇	64-53641-B
variant of 鏈 链	64-49707-B
variant of 鐧 锏	64-59559-B
variant of 鐵 铁	64-22775-S
variant of 鐵 铁 iron	65-1076-B
variant of 鐸 铎	64-21967-S
variant of 鑄 铸	64-39124-S
variant of 鑽 钻	65-7008-B
variant of 鑽勁 钻劲	65-8872-S
variant of 铺 铺	16-7404-B
variant of 閃亮 闪亮	65-24671-S
variant of 開國元勳 开国元勋	65-31626-B
variant of 開花 开花	65-41124-S
variant of 閑 闲	65-46051-B
variant of 閱 阅	65-50189-S
variant of 閻 阎	65-27159-B
variant of 關 关	65-47744-S
variant of 闞 阚	70-30133-B
variant of 阤	66-14989-B
variant of 阪	15-47092-S
variant of 阿德萊德 阿德莱德	53-47352-B
variant of 陝西 陕西 shaanxi	66-19223-S
variant of 陰莖 阴茎	66-24209-B
variant of 陰蒂 阴蒂 clitoris	66-23971-S
variant of 陷	66-22958-B
variant of 陽歷 阳历 solar calendar	66-36084-B
variant of 隐 隐	66-42392-S
variant of 險 险	66-34587-S
variant of 隱身草 隐身草	66-50086-S
variant of 雇主	6-52241-B
variant of 雜 杂	66-62003-S
variant of 雞 鸡	70-57834-S,70-59478-B
variant of 零雜 零杂	67-21952-S
variant of 電桿 电杆	67-31218-B
variant of 露餡 露馅	67-48372-S
variant of 霸	57-28845-S
variant of 靈 灵	67-41554-S
variant of 青	67-53678-S
variant of 鞍	68-6943-S
variant of 韓國 韩国 mixes traditional and simplified characters	68-11304-S
variant of 預 预	59-25303-B
variant of 頒 颁	29-48385-B
variant of 頭半天 头半天	68-36629-S
variant of 頭臉 头脸	68-39446-S
variant of 顏 颜	68-44979-B
variant of 顯 显	68-45020-S
variant of 颁布	68-31874-B
variant of 颠	60-49974-S
variant of 風采 风采	68-54836-B
variant of 飆 飙	68-62292-B
variant of 餉 饷	69-20954-B
variant of 餘 余	69-14886-B
variant of 餡 馅	69-17939-S
variant of 餡餅 馅饼	69-17996-S
variant of 馬克 马克 preferred by the catholic church	69-40139-S
variant of 馬太 马太 preferred by the catholic church	43-1513-S
variant of 馬德里 马德里	69-37582-B
variant of 馱 驮	69-47447-S
variant of 駁 驳	69-51046-B
variant of 騷 骚	69-53207-S
variant of 驅 驱	69-47587-S
variant of 驗 验	69-53257-S
variant of 驚嘆 惊叹	69-62333-B
variant of 驚蟄 惊蛰	13-65778-S
variant of 驛 驿	69-47497-S
variant of 髓	70-4196-S
variant of 高	70-24243-B
variant of 髮 发	70-24642-S
variant of 鬥 斗	65-53280-S,70-30092-B,70-30174-B,70-30215-B
variant of 鬱 郁	40-19549-S
variant of 魔羯座	21-32007-S
variant of 鮌 鲧	70-43712-B
variant of 鰮 鳁	70-46007-B
variant of 鱔 鳝	70-47727-B
variant of 鷗 鸥	70-54122-S
variant of 鹹津津 咸津津	71-4012-S
variant of 鹹絲絲 咸丝丝	71-4262-S
variant of 鹼 碱	46-42709-B,71-3811-B
variant of 鹽 盐	16-21504-S
variant of 麵條 面条	71-13797-S
variant of 麼 么	71-16558-B
variant of 黑	71-34512-S
variant of 默	71-37296-S
variant of 點 点	71-38290-S
variant of 鼠	71-50404-B
variant of 齊 齐	30-31943-S
variant of 齋 斋	30-32033-S
variant of 齒 齿	35-50357-S
variant of 齜 龇	13-15429-B
variant of 齡 龄	71-56143-S
variant of 齰	71-55770-B
variant of 龍 龙	47-63238-S
variant or erroneous form of 百度	44-54775-B
variant pronunciation of shei2	58-34078-B
variant pronunciation when the same character has more than one reading	43-63443-B
variant strain of virus	59-10948-B
variant written form for the same word	43-61823-B
variants of chinese characters	63-59529-S
variate math 	16-63671-S
variation	17-61464-S,36-5876-S,59-7844-B,59-10781-B
