yanzi 晏子 500 bc	31-44447-S
yao	16-8228-S,16-39908-S,18-41990-S,43-443-B,64-32137-S
yao 151 230	64-51641-S
yao an place in yunnan	18-42024-S
yao autonomous county in qingyuan 清远	62-19851-S,62-21149-S,62-21323-S
yao autonomous county in shaoguan 韶关	3-22306-S,3-22441-S
yao bin 1957 	18-42288-B
yao c 2200 bc	13-50876-S,16-8228-S
yao county in shaanxi	51-24453-B
yao ming chinese nba star player	18-42219-B
yao or tang yao c 2200 bc	13-50876-B,16-8228-B
yao people	43-492-B
yao silian 557 637	18-42085-B
yao taiwanese writer	43-8162-S
yao tribe	6-29784-B,42-15359-B
yao wenyuan 1931 2005	18-42150-B
yao xueyin 1910 1999	18-42337-B
yaobang 1915 1989	52-22552-S
yaodong dugout used as shelter	47-57912-B
yaohan retail group	7-49011-B
yaounde capital of cameroon	66-55197-B
yaoundé capital city of cameroon	66-55736-B
yaozu autonomous county county in guangxi	17-8296-S
yaozu autonomous county in guangxi	20-7039-S,22-10808-S,63-27000-S,64-13475-S
yaozu autonomous county in hunan	36-60372-S
yaozu autonomous county in qingyuan 清远	62-19988-S
yaozu autonomous county in yunnan	37-19533-S
yaping	63-32853-S
yard	22-14126-S,23-7386-B,23-7683-B,35-18039-S,47-23122-S,55-39680-S,59-41486-S,62-38919-S,64-43488-S
yard unit of length equal to 0 914 m 	46-34237-B
yardang landform formed by wind erosion	66-54258-B
yardstick	21-11875-B
yarkant river in xinjiang	54-51972-B
yarkent county shache in kashgar prefecture	54-22310-B,54-22389-B
yarlung tsangpo brahmaputra through the southeast himalayas	66-56196-S
yarlung tsangpo river of tibet	66-56357-B
yarn	12-36945-S,29-31117-S,34-18989-S,36-14986-S,49-21041-S,49-21186-B,51-0-S
yarn cotton	34-19035-B
yasukuni shrine	67-60391-B
yasukuni shrine 靖國神社 靖国神社	67-60305-S
yasuo 1936 	47-5695-S
yat ngok 1947 	13-10705-S
yat sen	2-69526-S,15-11636-S
yat sen 1866 1925	19-14369-S,19-15769-S
yat sen and the guomindang against yuan shikai 袁世凱 袁世凯 and the northern warlords	3-37345-S
yat sen s birth place	2-69920-S
yat sen s mausoleum in nanjing	2-70349-S
yat sen s xinhai revolution and the fall of the qing dynasty	35-47133-S
yat sen s 孫中山 孙中山 three principles of the people late 1890s	1-36440-S
yat sen university guangzhou	2-69761-S
yat sen university kaohsiung	2-69761-S
yat sen university moscow	2-69761-S
yau 1949 	2-42952-S
yau jacky 1961 	23-38297-S
yawn	13-15908-B,13-16336-S,13-20595-S,13-36400-B,13-39068-B,23-37771-S,35-19771-B
yayuncun neighborhood of beijing	3-64507-B
yb70	65-5741-S
ye	43-51877-S,51-40192-S,54-51183-S,60-29833-S,63-35784-S
ye county in henan	54-52343-B
ye jiangchuan	54-51911-B
ye shengtao 1894 1988	54-52395-B
ye ting 1896 1946	54-51817-B
ye xuanping	54-52742-B
ye2	34-26255-S
yeah interjection of approval	14-35994-B
year	1-7898-S,1-8019-S,1-46767-S,1-58711-S,4-22453-S,5-17740-S,5-17740-S,6-62222-S,7-8724-S,7-36501-S,10-57537-S,11-38015-S,11-38058-S,11-38058-S,12-46785-S,12-48451-S,14-25529-S,14-25529-S,14-56572-S,15-33852-S,19-17700-S,22-31097-S,22-31097-S,22-40167-S,22-46915-B,22-46943-S,22-46992-S,22-47342-S,22-47342-S,22-47342-S,22-47597-S,22-47655-S,22-47759-S,22-48043-S,22-48279-S,22-48456-S,22-48456-S,22-48574-S,22-48636-S,22-48859-S,22-48933-S,22-49286-S,22-49631-S,22-50352-S,22-50514-B,22-50514-S,22-50514-S,22-50514-S,22-50514-S,24-10953-S,25-3836-S,25-3836-S,25-4587-S,25-22000-S,27-45604-S,30-12577-S,30-48006-S,30-48120-S,31-16088-S,31-16363-S,31-23651-S,31-34166-S,31-35217-S,31-35664-S,32-1451-S,32-63099-S,32-63337-S,32-63337-S,35-33434-S,35-37366-S,35-50407-B,35-50469-S,35-50751-S,35-50808-S,35-51103-S,36-5388-S,36-5388-S,36-5450-S,38-3107-S,38-3178-S,48-8900-S,48-9979-S,48-11179-S,48-12948-S,49-35454-S,49-35454-S,51-17444-S,51-17444-S,59-20606-S,59-33371-S,60-44892-S,61-6752-B,61-45499-S,62-2234-S,62-44578-S,65-36942-S,65-44908-S
year 	22-47279-S
year 1	19-2331-B
year 10	63-36599-B
year 11	26-6355-B
year 12	4-1332-B
year 13th 15th april	39-56895-S
year 1949 communist revolution	1-1265-S
year 2	2-37203-B
year 2000	7-43878-S
year 3	20-3301-B
year 4	11-17524-B
year 5	61-39245-B
year 6	22-2707-B
year 7	10-54341-B
year 8	32-59120-B
year 9	43-43626-B
year a11 of the 60 year cycle	43-40044-S
year a3 of the 60 year cycle	43-39864-S
year a5 of the 60 year cycle	43-41705-S
year a7 of the 60 year cycle	43-39398-S
year a9 of the 60 year cycle	43-41090-S
year ad	7-55096-B
year after next	23-68027-S
year after year	22-48456-B,62-2234-B
year and a half	1-7836-S
year astronomy	24-67186-S
year at college	60-44831-S
year b10 of the 60 year cycle	3-16898-S
year b12 of the 60 year cycle	3-15377-S
year b2 of the 60 year cycle	3-15219-S
year b4 of the 60 year cycle	3-15447-S
year b6 of the 60 year cycle	3-15915-S
year b8 of the 60 year cycle	3-16053-S
year before last	9-19756-S
year c1 of the 60 year cycle	2-43962-S
year c11 of the 60 year cycle	2-44104-S
year c3 of the 60 year cycle	2-44035-S
year c5 of the 60 year cycle	2-44894-S
year c7 of the 60 year cycle	2-43701-S
year c9 of the 60 year cycle	2-44587-S
year calendar	54-45055-S
year call	27-45604-S
year cycle	1-24458-S,1-24591-S,1-24669-S,1-25283-S,1-25358-S,1-25712-S,2-43701-S,2-43962-S,2-44035-S,2-44104-S,2-44587-S,2-44894-S,3-15219-S,3-15377-S,3-15447-S,3-15915-S,3-16053-S,3-16898-S,16-36405-S,16-36477-S,16-36550-S,16-36625-S,16-36699-S,16-36768-S,22-1496-S,22-1571-S,22-1646-S,22-1784-S,22-1850-S,22-2003-S,22-62123-S,22-62193-S,22-62418-S,22-62496-S,22-62573-S,22-62651-S,26-5083-S,26-5222-S,26-5295-S,26-5462-S,26-6116-S,26-6190-S,43-39398-S,43-39864-S,43-40044-S,43-41090-S,43-41705-S,44-22849-S,44-22921-S,44-22993-S,44-23064-S,44-23135-S,44-23207-S,61-32336-S,61-32556-S,61-32911-S,61-32986-S,61-33058-S,61-33516-S
year d10 of the 60 year cycle	1-25712-S
year d12 of the 60 year cycle	1-24591-S
year d2 of the 60 year cycle	1-24458-S
year d4 of the 60 year cycle	1-24669-S
year d6 of the 60 year cycle	1-25283-S
year d8 of the 60 year cycle	1-25358-S
year defined as the period between successive equinoxes	14-56572-S
year defined in terms of the fixed stars	24-67186-S
year dot	32-2769-S
year e g from april to march	59-33371-S
year e g school year	22-48636-B
year e1 of the 60 year cycle	26-5222-S
year e11 of the 60 year cycle	26-5462-S
year e3 of the 60 year cycle	26-5295-S
year e5 of the 60 year cycle	26-6190-S
year e7 of the 60 year cycle	26-5083-S
year e9 of the 60 year cycle	26-6116-S
year egg	33-28639-S
year end	22-48574-B
year end dinner for employees	21-15237-S
year every year	36-5450-S
year f10 of the 60 year cycle	22-2003-S
year f12 of the 60 year cycle	22-1571-S
year f2 of the 60 year cycle	22-1496-S
year f4 of the 60 year cycle	22-1646-S
year f6 of the 60 year cycle	22-1784-S
year f8 of the 60 year cycle	22-1850-S
year festival	22-49111-S
year g1 of the 60 year cycle	22-62193-S
year g11 of the 60 year cycle	22-62496-S
year g3 of the 60 year cycle	22-62418-S
year g5 of the 60 year cycle	22-62651-S
year g7 of the 60 year cycle	22-62123-S
year g9 of the 60 year cycle	22-62573-S
year greeting	25-3836-S
year greeting card	59-50003-S
year greetings 谚语 proverb	71-25964-S
year h10 of the 60 year cycle	61-33516-S
year h12 of the 60 year cycle	61-32556-S
year h2 of the 60 year cycle	61-32336-S
year h4 of the 60 year cycle	61-32911-S
year h6 of the 60 year cycle	61-32986-S
year h8 of the 60 year cycle	61-33058-S
year i1 of the 60 year cycle	16-36477-S
year i11 of the 60 year cycle	16-36625-S
year i3 of the 60 year cycle	16-36550-S
year i5 of the 60 year cycle	16-36768-S
year i7 of the 60 year cycle	16-36405-S
year i9 of the 60 year cycle	16-36699-S
year in school	43-50533-S,43-51088-S
year j10 of the 60 year cycle	44-23207-S
year j12 of the 60 year cycle	44-22921-S
year j2 of the 60 year cycle	44-22849-S
year j4 of the 60 year cycle	44-22993-S
year j6 of the 60 year cycle	44-23064-S
year j8 of the 60 year cycle	44-23135-S
year long	7-36501-S
year of 1900 involving the boxer uprising and the eight nation military invasion	22-62270-S
year of bad harvest	25-22000-B
year of emperor s reign	6-61963-S
year of famine	7-1552-B
year of generations of insects	3-32381-S
year of one of the 12 animals	21-26938-S
year of one s death	4-2097-B
year of the boar e g 2007	59-25661-B
