西晉 西晋 265 316	31-43131-S
西晋 265 316	31-43131-S
西晋 historian	66-27078-S
西楼梦	57-19028-S
西楼记	57-18892-S
西樓夢 西楼梦	57-19028-S
西樓記 西楼记	57-18892-S
西汉 dynasty 206 bc 8 ad	9-21685-S
西游记	19-15241-S,24-1413-S,50-44618-S,57-23010-S
西漢 西汉 dynasty 206 bc 8 ad	9-21685-S
西王母	4-29187-S,42-35563-S,56-17449-S,56-17537-S
西皮二黃 西皮二黄	45-704-S
西皮二黄	45-704-S
西紅柿炒蛋 西红柿炒蛋	43-57407-S
西红柿炒蛋	43-57407-S
西藏	55-30598-S
西藏獒犬	55-31241-S
西边	57-23313-S
西遊記 西游记	19-15241-S,24-1413-S,50-44618-S,57-23010-S
西邊 西边	57-23313-S
覈銷 核销	33-63150-S
視 视	19-42587-S
覺 觉	57-37338-S
覽 览	57-37497-S
觀 观	57-40922-S
观	57-40922-S
视	19-42587-S
览	57-37497-S
觉	57-37338-S
角	36-13155-S
計劃生育 计划生育	57-58956-S
討底 讨底 to enquire	57-62985-S
託詞 托词	26-52601-S
許仲琳 许仲琳 c 1567 c 1620	66-26470-S
許廑父 许廑父	58-3088-S
評書 评书 story tellers	32-12663-S,32-12853-S
詞典 词典	61-36483-S
詩經 诗经	3-52990-S,10-42232-S,17-39509-S,21-1797-S,58-13895-S,66-55410-S
詩經 诗经 and the book of history 書經 书经	58-14140-S
認人 认人	58-19883-S
認死理 认死理	58-20839-S
說 说	58-33913-S
說文解字 说文解字	58-3667-S
說書 说书 storytelling	52-635-S
誰 谁	44-3957-S
諫 谏	58-43428-S
諸葛 诸葛	57-5469-S
諸葛亮 诸葛亮	19-3199-S,52-55430-S
諸葛亮 诸葛亮 many of them in different town	35-43849-S
諸葛亮 诸葛亮 of shu	56-2359-S
諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
謠 谣	58-58012-S
識 识	71-64307-S
譜牒 谱牒	41-46181-S
譯 译	58-4441-S
護國爭 护国争 1915 1916	11-53350-S
讀 读	58-33980-S
變 变	16-39857-S
變樣 变样	59-9946-S
讓 让	59-4033-S
讕 谰	14-44943-S
计划生育	57-58956-S
认人	58-19883-S
认死理	58-20839-S
讨底 to enquire	57-62985-S
让	59-4033-S
许仲琳 c 1567 c 1620	66-26470-S
许廑父	58-3088-S
评书 story tellers	32-12663-S,32-12853-S
识	71-64307-S
词典	61-36483-S
译	58-4441-S
诗经	3-52990-S,10-42232-S,17-39509-S,21-1797-S,58-13895-S,66-55410-S
诗经 and the book of history 書經 书经	58-14140-S
语 saw	11-68916-S,68-27885-S
说	58-33913-S
说书 storytelling	52-635-S
说文解字	58-3667-S
诸葛	57-5469-S
诸葛亮	19-3199-S,52-55430-S
诸葛亮 many of them in different town	35-43849-S
诸葛亮 of shu	56-2359-S
诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
读	58-33980-S
谁	44-3957-S
谋取	41-49897-S
谏	58-43428-S
谚语 proverb	31-38833-S,32-33225-S,35-2239-S,45-45231-S,45-45406-S,49-35765-S,71-25964-S
谚语 proverb 	32-31814-S
谣	58-58012-S
谦辞 humble expression	53-63477-S
谰	14-44943-S
谱牒	41-46181-S
谷歌	47-36764-S
豏 馅	59-19398-S
豐 丰	59-18639-S
豐功偉績 丰功伟绩	59-19518-S
豐采 丰采 or 風采 风采	59-20682-S
豜	59-24384-S
象形 or ideogram 指事	42-22211-S
象棋 etc	34-19699-S
貉子	59-27268-S
貌	44-58911-S,59-27837-S
貔貅	59-27197-S,59-28448-S
貝殼 贝壳	59-30005-S
貳 贰	23-25147-S,23-25393-S
貴陽 贵州	71-34585-S
貴陽 贵阳	48-20174-S
貸方 贷方	12-23253-S
賓西法尼亞 宾西法尼亚州	59-55586-S
賙濟 赒济	13-13292-S
賜予 赐予	59-56962-S
賣 卖	16-37787-S
質鋪 质铺	59-60831-S
賴 赖	68-42524-S
贊 赞	59-56731-S
贊同	59-14611-S
贊嘆 赞叹	60-3664-S
贛州 赣州	1-53860-S,1-53936-S,5-46528-S,5-46602-S,7-34606-S,7-34680-S,10-71140-S,10-71225-S,17-41297-S,17-41365-S,19-33547-S,19-33619-S,19-43979-S,19-44053-S,20-19897-S,20-19969-S,20-45587-S,20-45657-S,21-42732-S,21-42806-S,30-65080-S,30-65148-S,32-23993-S,32-24069-S,42-62765-S,42-62848-S,46-5131-S,46-5207-S,53-23404-S,53-23478-S,60-5557-S,71-58024-S,71-58098-S
贛州市 赣州市	47-64162-S,47-64253-S
贝壳	59-30005-S
质铺	59-60831-S
贰	23-25147-S,23-25393-S
贵州	71-34585-S
贵阳	48-20174-S
贷方	12-23253-S
赐予	59-56962-S
赒济	13-13292-S
赖	68-42524-S
赞	59-56731-S
赞叹	60-3664-S
