cdc	44-7124-S
cdstic	2-56276-S
ce58	64-22049-S
cea	2-55481-S,2-57128-S,2-57261-S,15-4893-S
cease	2-74275-S,6-5300-S,6-16630-S,50-11045-S,50-54159-B,61-14496-B
cease fire	6-16189-B,6-16817-B
cease fire agreement	6-16862-B
cease fire line	6-16938-B
cease to be faithful	59-8430-B
cease 成语 saw	59-14494-S,60-3148-S
ceaseless pain sanskrit avici	66-14475-B,66-14538-B
ceaselessly	1-67775-B
cebidae	6-51621-S
cebu province in the philippines	19-66591-B
cecum	45-20106-B
cecum anat 	45-19556-B
cecum start of the colon	45-20045-B
cedar	33-40683-B,33-40804-B,57-19459-B
cedar tree	67-16494-B
cedarwood	67-16494-B
ceding vietnam to france	2-75399-S
cedrela chinensis	34-26871-B
ceheng place in guizhou	8-7713-S
ceiling	12-43087-S,17-53153-B,17-53204-B
ceiling fan	12-42970-S
ceiling in despair	4-39910-S,4-39986-S
ceiling on spending	20-34465-S
ceiling while writing a book 成语 saw	4-40149-S
celandine	44-38518-S
cele place in xinjiang	48-21839-S
celebes indonesian island	55-39143-S
celebes 苏拉威西	55-40371-S
celebrate	25-51814-B,25-52399-B,35-31949-S
celebrate a birthday	62-47365-S
celebrate a festival	62-48136-S
celebrate a heroic deed	25-51964-S
celebrate a holiday	62-42853-S
celebrate an official appointment	23-47088-S
celebrate promotion	23-47088-S
celebrate success	25-52239-B
celebrate the new year	62-44578-B
celebrate too soon	34-49233-S
celebrate weddings etc	53-59281-S
celebrated	54-53723-B,68-52476-B
celebrated phrase	12-54688-B
celebrating	6-4334-S
celebrating the holy spirit	51-49306-S
celebration	8-5861-B,15-8831-S,16-38309-S,18-53794-S,25-51915-S,25-52443-B,35-31826-B,35-32570-S,53-61050-S
celebration after ramadan	65-44538-S
celebration marking the end of ramadan	17-38030-S,52-5436-S
celebrations	37-57791-S,37-57947-S
celebrations i e once the festival is over	62-48136-S
celebratory hanging scroll	14-7893-B
celebrities	12-56816-B,62-33258-S
celebrity	1-23164-S,12-53654-B,12-54851-S,12-55250-B,31-24343-B,40-25343-S,45-63193-B,46-48633-B
celeron an intel chip	60-686-B
celery	41-48674-S,53-63213-S,53-63250-B
celestial	17-43102-B
celestial being	4-27991-B
celestial blessing	46-54643-B
celestial body	17-54915-B
celestial body e g planet	31-30896-B
celestial body planet	31-32226-B
celestial mechanics	17-55034-B
celestial sphere	17-51246-B
cell	2-71653-S,4-62672-S,11-25604-S,11-33687-S,11-33899-S,14-24687-S,14-24802-S,17-62264-S,19-1918-S,20-3954-B,20-61786-S,22-52825-S,24-62977-S,24-62977-S,26-53650-S,33-55268-S,34-61244-S,34-61493-S,41-24146-S,41-51236-S,41-51236-S,44-43997-S,44-45988-S,46-60539-S,48-48396-S,49-12160-S,49-13068-S,49-32436-B,49-33037-S,49-33533-S,52-40593-S,53-45560-S,56-28099-S,58-3807-S,61-5483-S,61-5553-S,63-37863-S,66-53859-S,70-5294-S
cell anaemia	65-1729-S
cell anemia	65-1633-S,65-1861-S
cell biology	49-33216-B
cell carcinoma	15-68552-S
cell cultivator	49-32852-B
cell culture	49-32784-B
cell cycle	49-32541-B
cell disease	65-1729-S
cell division	49-32473-B
cell fusion	49-33414-B
cell lineage in embryology	2-79282-S,7-31196-S,16-50105-S
cell mass icm	7-30676-S
cell membrane	49-33295-B
cell phone	26-34306-B
cell proliferation	26-66962-S
cell provide support to neuron	46-60618-S
cell research	22-52878-S
cell support axon of nerve cell	58-3807-S
cell that ingests and destroys foreign matter	12-65201-S
cell type microorganism	11-33981-S
cell wall	29-37692-S,49-32933-B,52-15554-S
cellar	15-37680-B,15-43890-B,47-54680-B,47-55029-B,47-56160-B
celled algae	14-20844-S
celled organism	14-20616-S,14-20696-S
celled plant	45-51798-S
cellist	17-19089-B
cello	17-19029-B
cellophane noodles	48-47599-B
cellphone	17-9864-B
cells	46-60230-S
cells attaching fetus to uterus before the development of the placenta	11-25908-S
cells due to alloimmune reaction between mother and fetus	39-24544-S
cells in bone marrow	62-19188-S
cells leading to anemia	39-24451-S
cells with few branches	21-4777-S
cellular phone	26-34306-B
celluloid	6-9818-B
cellulose	50-47527-B
cellulose acetate used for film and fiber	63-47356-B
cellulose 纖維素 纤维素	16-62153-S
celosia argentea	54-41168-B,67-57902-S,67-57975-S
celsius	29-34884-B
celsius c	29-34998-B
celsius centigrade temperature scale	29-35066-B
celt	8-30097-B
celtic	16-20156-B
celtic language	16-20205-B
celtis sinensis	34-38889-B
celtis sinensis var japonica	32-70055-B
cement	1-32613-B,16-15571-S,36-42731-B,44-41066-S,46-22282-S,52-49394-S
cement sand wall plaster	26-57438-B
cemetery	7-58137-B,16-25501-B,66-13818-S
cemetery at dongjak dong	15-12394-S
cemetery in haidian district of beijing	7-50862-S
cen	21-34532-S
cengong place in guizhou	21-34640-S
cenozoic geological era covering the last 65m years	30-52136-B
censer for burning incense	69-29068-S
censor formal title of a dynastic official	24-12520-S
censor out	9-8384-S
censored	4-67354-S
censorship	65-62317-S
