considerable scale	28-22628-S
considerably	45-29958-B
considerably taiwan pr po3	68-33173-B
considerate	14-3980-S,24-35993-S,24-36427-B,24-46262-S,32-32825-B,62-26869-B
considerate of other people s needs	70-10051-B
consideration	4-27069-S,19-24206-S,20-23094-S,24-35993-B,41-9849-S,50-48972-S,51-33290-B,63-37012-S,68-48720-S,68-49022-S,70-7031-S,70-10121-S
consideration for	58-1937-S
consideration in exchange for shares	20-47267-B
consideration in share dealing	4-30474-B
consideration to sth	51-34512-S
consideration 成语 saw	68-48880-S
considerations	62-60934-S
considered	50-36564-S
considered criminal	11-44417-S
considered to be	11-24960-S,48-24185-B
considered to be 	2-3499-S
considered worthless	57-35067-S
considering	21-11053-B
considering one s personal interests	7-63952-S
considering the risks	4-27069-S
considers	26-28552-S
consigned goods	20-3109-B
consist in	15-35114-B
consist of	10-15520-S
consistency	1-18590-B,40-6892-B
consistency effect	1-18646-B
consistent	1-21083-B
consistent phonogram s	1-18524-B
consisting mainly of short sketches	48-15964-S
consisting of 8 lines of 7 syllables	1-28740-S
consisting of a mass of blood vessels	56-27500-S
consisting of a set of chime stones suspended from a beam and struck as a xylophone	50-20522-S
consisting of an egg shaped chamber with holes	16-21376-S
consisting of four lines of five syllables	3-55053-S
consisting of historical narration	26-21428-S
consisting of story telling to music	58-32485-S
consisting of two complementary nucleotides adenine a 腺嘌呤 paired with thymine t 胸腺嘧啶 in dna	71-5219-S
consisting purely of one element	14-21824-S
consisting solely of islands	53-33099-S,53-33231-S
consolation	25-51640-B,46-57695-S
consolatory words	20-25831-B
console	10-10985-S,19-28958-S,20-26062-S,25-51640-B,29-13652-S,29-20606-B,62-36796-B
console diving	1-38018-S
console oneself	53-6091-B,53-6345-S
console the bereaved	23-26641-S
console the people and punish the tyrant	23-26935-S
consolidate	30-16728-S,62-49335-B,68-7362-B
consolidate and clarify	16-5041-S
consolidate at every step	35-42696-B
consolidated	70-26208-S
consolidated report	49-63335-B
consolidation	49-51985-B
consommé	38-63109-B
consonant	10-64189-S,19-2289-B,36-26808-S,51-66213-B,61-9422-B,67-21243-S,71-52526-S,71-55396-S
consonant and final	68-17534-S
consonant and tone	68-17732-S
consonant b or p	66-64361-S
consonant english b or d	40-6639-S
consonant n produced in the nose with the tongue against the alveolar ridge	9-26190-B
consonant ng or ŋ produced in the nose with the back of the tongue against the soft palate	24-3194-B
consonant of a chinese syllable	51-66213-S
consonant p or t	38-65776-S
consonant produced with the tip of the tongue	53-29787-S
consonant starting directly with the medial vowel	67-21243-S
consonants z	22-44363-B,53-29628-B
consonants zh	51-20554-B,53-29707-B
consort	4-60210-S,22-25071-S,35-35764-S,59-42278-S,63-37331-B,69-50353-S
consort of lord brahma	61-37529-S
consort of shiva	22-23275-S,22-23357-S
conspicuous	23-27595-B,23-27695-B,47-54250-B,68-49920-B,68-51593-B,68-51650-B
conspicuous and inviting trouble	27-44403-S
conspicuous determination	16-5477-B
conspicuous effect	68-50948-S
conspicuous spender or consumer	17-18470-B
conspicuous 成语 saw	25-53456-S
conspicuously brilliant	21-47678-S
conspiracy	7-73283-B,41-7089-S,66-25066-B
conspiracy to overthrow the government	66-25115-S
conspirator	7-73339-B,12-45504-S,12-51690-S
conspire	3-1164-S,7-73240-B,12-37661-S,15-28060-B,32-42151-S
conspire against the state	58-50307-S
conspire to murder	58-50668-S
conspire with	30-1663-S
conspire with sb	12-51690-S
conspires against the state	18-24874-S,18-25354-S
conspiring to overthrow the state	41-11202-S,68-46789-S
constable	17-18972-S,28-5479-B,59-539-B
constancy	27-56195-B
constant	1-21083-B,2-13586-B,2-17430-B,2-31144-B,4-24346-S,22-29633-B,24-47132-S,24-66994-B
constant activity prevents decay	26-25075-B
constant bickering and fighting 成语 saw	57-55397-B
constant capital	2-31350-B
constant fighting across the country	61-23724-B
constant h	31-48358-S
constant math 	19-45502-B,22-31520-S
constant of widow who remains unmarried	19-22116-B
constant overwork 成语 saw	47-38880-S
constant perseverance yields success	36-43354-B,39-33050-B,39-33298-B
constant pressure	48-18150-B
constant price	2-31214-B
constant temperature	24-67643-B,48-18979-B
constant virtues of confucianism	3-50070-S
constanta city in romania	23-2395-B
constantinople	51-49957-S
constantinople capital of byzantium	12-64217-B
constantly	1-4536-B,1-67888-B,31-40743-B,49-58724-B,65-11675-B,71-46223-B
constantly aggravate	62-34248-B
constantly at each other s throats	57-55397-B
constantly cawing about disaster	40-39840-S
constantly changing	10-50420-B
constantly improving	48-54764-B
constantly 成语 saw	24-50107-S
constellation	1-41852-S,4-28249-S,4-28405-S,4-29444-S,7-66240-S,9-13657-S,9-44395-S,10-28927-S,10-54741-S,10-65769-S,10-67287-S,10-67963-S,10-73184-S,11-5698-S,11-20900-S,12-59718-S,13-53796-S,15-24804-S,16-8409-S,17-27455-S,17-44056-S,17-45449-S,17-50897-S,17-50963-S,17-51371-S,17-52506-S,17-53038-S,17-53627-S,17-53895-S,17-55185-S,17-55290-S,17-55408-S,17-55473-S,17-55606-S,18-5294-S,18-12967-S,19-3536-S,19-66279-B,20-67170-S,20-67740-S,20-67858-S,21-2524-S,21-30410-S,21-61539-S,21-62087-S,31-29556-B,31-31565-B,31-42108-S,32-46988-S,32-69639-S,33-10689-S,35-43780-S,36-46224-S,37-39767-S,38-24463-S,40-40061-S,41-51757-S,42-6446-S,42-24477-S,42-24883-S,42-29825-S,44-45585-S,45-32877-S,45-65252-S,47-6839-S,50-8902-S,50-41867-S,50-61050-S,53-37955-S,53-38024-S,53-38091-S,54-1480-S,55-4131-S,55-59668-S,56-20388-S,59-26943-S,65-19309-S,67-60066-S,68-50791-S,69-935-S,69-1096-S,70-44869-S,70-51802-S,70-57315-S,71-8650-S,71-9348-S
constellation and sign of the zodiac	4-18858-S,17-48344-S,17-52028-S,17-53515-S,17-53685-S,19-56272-S,20-30085-S,20-35330-S,21-32007-S,21-62194-S,29-2280-S,36-44417-S,41-50966-S,42-15900-S,44-44128-S,55-49665-S,64-12676-S,66-65107-S,67-2679-S,70-36200-S
constellation arch	31-29281-B
constellation galaxy m31	4-28689-S
constellation shen or orion in traditional chinese astronomy	11-39197-S
constellations	3-34042-S,3-66530-S
constellations on the ecliptic plane	10-43097-S
constellations or signs of the zodiac in western astronomy and astrology	10-42739-S,71-23658-S
constipated	17-5748-B
constipation	5-29988-B,17-5815-B,44-15084-B,46-52639-B
constipation with laxatives	39-61828-S
constituency in singapore	67-61766-S
constituent	32-40217-B,57-27035-S
constitute	5-1329-S,11-12109-S,12-33516-S,21-26938-S,34-43734-S,49-38331-B
constitution	3-51183-S,24-36874-S,25-57270-B,47-63937-B,49-5815-S,71-45108-S
constitution of a country	25-57575-B
constitutional freedom of association	49-43148-B
constitutional freedom of speech	57-56442-B
constitutional government	25-57513-B
constitutional monarchy	12-64127-B
constrain or repress emotions	16-33150-S
constrained	6-13758-B,11-63749-B,27-38695-S,27-38852-B,27-39020-B,61-52410-B
constraint	27-39377-B
