courtesy in words	19-51365-B
courtier	52-53944-B
courtier s or minister s form of address for the current emperor	51-44165-B
courting	20-56064-B
courtroom	20-22955-S
courtroom accusation 成语 saw	20-54638-S
courts	20-22043-S
courtyard	2-70714-B,5-55911-S,9-19812-S,16-13020-S,16-23148-B,16-51702-S,17-43663-B,19-20496-S,23-327-B,23-576-B,23-19807-S,66-20169-B,66-20298-B,66-20444-S
courtyard house type of chinese residence	14-47326-B
courtyard surrounded by many buildings	17-38637-B
cousin	16-2341-S,16-2748-S,24-9945-S,56-43187-S,56-43454-S,56-43842-S,56-44083-S,56-46268-B
cousin sharing paternal grandfather	16-2256-S,16-2498-S,16-2661-S,16-2845-S,16-2930-S
cousin via female line	56-43235-S,56-43584-S,56-43770-S,56-43937-S,56-44342-S
cousins	11-56848-B
cousins via female line	56-43305-S,56-44007-S
cousinship	56-46268-B
couture	70-16761-S
covalent bond	7-70589-S
covariance	10-64559-S
cove	39-3434-S,40-2536-B,66-38224-B,66-45483-B
covenant	49-5762-S,51-49632-B
covenants	30-4203-S
coventry uk	51-33463-B,51-33522-B
cover	5-23792-S,8-15802-S,10-13136-S,10-16100-S,10-17346-B,11-31550-S,16-56451-S,18-8143-B,18-10091-S,22-24690-S,22-34852-S,22-35256-B,22-36384-S,22-58457-B,22-64487-S,23-24589-S,23-33990-S,28-7185-S,28-22246-S,28-33799-B,28-48335-S,28-62923-S,28-62971-S,29-20069-B,32-11625-S,38-38618-S,44-64624-B,49-35535-S,50-51383-B,54-51096-S,54-61594-B,54-64266-S,55-4968-B,55-5169-B,55-5259-B,55-13671-S,55-20689-S,56-50825-S,56-50991-S,56-52210-B,57-12553-B,57-28358-S,57-28654-S,60-3039-S,62-66787-S,66-49221-S,67-46328-S,68-13265-S,71-13418-B
cover a fire to make it burn slowly	20-33725-S
cover a need	13-14058-S,62-27973-S
cover a sore 成语 saw	27-67201-S
cover charge	32-43363-B
cover distance	60-27739-S
cover expenditure	7-23777-S
cover for shady business	31-3456-S
cover front cover of a magazine	20-34396-B
cover letter	69-24468-B
cover light and nurture in the dark 成语 saw	68-13305-S
cover math 	16-56451-S
cover of a book	20-33098-S
cover of a magazine	20-34396-S
cover of an emergency	68-24662-S
cover of cloth for food	50-55243-B
cover of lamp	41-25659-B
cover of oil lamp	41-25659-S
cover of tripod kettle	71-47635-B
cover one s head and sneak away like a rat 成语 saw	27-13948-S,27-14086-S
cover one s traces	30-24969-S
cover one s tracks	62-67005-S
cover over	41-34095-B
cover report news	16-9920-S
cover sb s mouth with cloth	4-65267-S
cover sth	4-542-S
cover the face	28-63031-S
cover the hearse	61-15000-S
cover the land	39-52309-S,39-52449-S
cover the whole area	62-42531-S
cover tightly	25-11015-S
cover traces	27-15798-S
cover up	10-14941-B,19-41293-S,28-33225-S,28-33669-S,28-47146-B,39-58279-S,55-30767-S,56-50328-S,66-50918-S
cover up a hole	30-5703-S
cover up a shortcoming	62-66541-B
cover up errors	59-5244-S
cover up mistakes or crimes	23-51750-S
cover up only makes matters worse	25-53456-S
cover up the truth	29-37873-S,66-48735-S
cover with a cloth	8-15802-S
cover with gold leaf	10-19025-B
coverage	57-28695-B
covered	28-33740-B
covered all over	39-41260-B
covered all over with cuts and bruises	62-42714-B
covered basket	48-32727-S
covered by an insurance policy	11-59744-S
covered carriage	61-1238-B
covered drain	38-38346-B
covered face	54-64492-B
covered in dust	16-22769-B,40-26294-S
covered pot	45-14629-B
covered truck	48-35027-B
covered up	66-46807-S
covered vessel	41-30669-S
covering	56-42132-B
covering a tomb	20-32671-S
covering an extended period	62-8658-S
covering approx 12000 years since the last ice age	7-37165-S
covering bone	70-1913-S
covering chest and abdomen	7-23093-S,7-23258-S,52-8683-S
covering everything	39-52589-B
covering everything of fog	23-50971-B
covering flap in various branches of anatomy	11-37303-S
covering for men in ancient clothes	68-37267-S
covering head arch 	22-32857-S,22-32910-S
covering heaven and earth	54-46662-S
covering on a fiber	10-14261-B
covering south jiangsu	36-58222-S
covering sth	1-54817-S,57-28593-S
covering the earth 成语 saw	62-66618-S,64-36705-S
covering the last 65m years	30-52136-S
covering the plains 成语 saw	39-52589-S
covering the recent ice ages over the last 180	48-13034-S
covering the road	61-7819-B
covering the whole land	39-37941-B
coverlet	56-49154-B,56-51570-S,57-2736-B
covers the neck and shoulder	27-11961-S
covert	15-37616-B,59-11026-B,66-49221-B
covertly	6-22321-B,31-60777-S
covet	15-55030-S,45-49837-S,45-51244-S,45-52440-S,57-40693-B
covetous	3-27892-B
cow	13-41688-S,18-24188-S,18-24188-S,28-2726-S,36-4094-B,36-27403-S,41-47344-B,41-55274-B,42-1949-S
cow disease	42-4786-S
cow disease bovine spongiform encephalopathy	44-17151-S
cow from wu is terrified by the moon	13-1091-B
cow hide	41-48207-B
cow of sth	18-4374-S
cow or a horse 成语 saw	13-19275-S
cow or a horse 成语 撒网	13-19119-S
cow s cunt taboo slang	41-47531-S
cow s milk	41-47487-B
cow 成语 saw	20-52736-S
coward	19-15936-B,19-16230-B,25-62561-B,52-50760-B
cowardice	52-50710-B
cowardly	10-62112-S,25-62600-B,47-56251-S,52-50812-B,71-50194-B
cowardly and panicking	69-61280-B
cowardly at heart	53-44218-S
cowberry	60-27189-B
cowboy	41-47378-B
cower	27-3936-S,42-63262-S,43-48142-S,56-5786-S,61-62665-S
cower by military force	18-47137-S
cowherd and weaving maid characters in folk story	41-49228-B
cowherd and weaving maid 牛郎織女 牛郎织女	41-49104-S,41-64050-S,41-64222-S
cowherd and weaving maid 牛郎織女 牛郎织女 are allowed an annual meeting	70-57411-S
cowherd of the folk tale cowherd and weaving maid 牛郎織女 牛郎织女	41-49104-B,41-64050-B,41-64222-B
cowl	68-39159-B
cowpea	59-18329-B
cowpeas	59-18280-B
cowpox	41-48167-B
cowrie	43-1463-B
cowries	59-28627-B
cowry	20-30676-B,59-29892-B
cows	5-55692-S,5-55748-S
cowshed	8-37239-S
coxsackievirus	7-17409-B,33-47952-B
coxswain	53-38502-B
coy	14-26128-B,24-53972-B
cozy	53-31511-B
cpcia	2-61549-S
cpe	43-35550-B
cpi	21-18847-S,38-32271-S
cpmiec	2-62265-S
cppcc chinese people s political consultative committee	29-53899-B
cpu	2-67547-S
cr	64-25114-S
crab	55-61362-S,56-3709-B,56-9923-B,56-9951-B,56-9990-S,56-13246-S,56-17073-S,56-19212-S,56-19345-B,56-20455-S,59-16079-S,70-48547-S
crab apple	33-48402-B
crab apple malus asiatica	53-59281-B
crab apple malus spectabilis	38-20440-S
crab eating mongoose herpestes urva	56-19372-B
crab eriocheir sinensis	49-49765-S
crab generals in mythology or popular fiction	56-7851-S
crab meat	56-19444-B,56-19487-B
crab meat in general	56-19623-S
crab paste	56-19530-B
crab roe	56-19623-B
crab spawn	56-19623-B
crab tachypleus tridentatus	69-42988-S
crab wise	35-9260-B
crabby	5-62216-B
crabs	56-1105-S
crack	14-39396-S,15-54379-S,21-45390-B,34-45314-B,40-33510-B,41-34181-S,41-35240-B,43-7468-S,47-50643-B,50-26585-B,50-26720-B,50-27578-S,50-50058-B,56-53990-B,56-54471-B,56-54569-B,56-54613-B,56-55394-B,59-16304-B,61-56046-S,63-22472-B,66-41788-B
crack a joke	62-3694-S
crack a nut	17-18573-S,17-21856-S,17-26443-S
crack a riddle	46-20122-S
crack and rattle	67-50190-S
crack armed police dealing with hijacking	41-60878-S
crack force	9-63909-S
crack fractionally distill oil	56-54024-S
crack in a rock	46-9662-S
crack jokes	26-21747-S
crack seeds with front teeth	14-23919-S
crack shot	44-55329-S
crack troops	48-53090-B
crack 成语 saw	44-49349-S
crackdown on sth	26-45023-S
cracked	45-999-B
cracked pot	46-18974-S
cracked pot 成语 saw	46-19607-S
cracker	55-39068-B,69-9969-B
