embarrassing to do sth	2-3813-S
embarrassment	14-63489-B,44-32479-S,46-43320-S,57-48419-S
embassy	17-5635-B
embassy and consulate	5-15759-B
embed	65-7717-S,65-7772-S
embedded relative clauses	2-71287-S
embellish	5-47277-S,39-62104-S
embellishment	51-2408-B
ember	69-16310-B
embers	41-34010-B
embezzle	5-27147-S,9-17631-S,12-65421-S,27-69732-S
embezzle by making illegal deductions	9-15653-S
embezzlement	3-495-B
embitter	9-52586-S
embittered	25-56508-B
emblem	15-8610-S,24-30112-B,24-30409-B,34-52730-S,52-51789-S,53-34049-S,59-23618-B,59-23786-B
embodiment of abstract idea	10-24874-B
embody	5-13066-B,10-13621-S,70-8393-S
emboss	16-33805-S,27-50664-S
embossing	8-32782-B,8-32859-B
embrace	10-13136-S,10-17346-B,14-44374-B,18-0-S,26-1649-B,27-12429-S,27-13166-S,28-64972-S,28-65012-S,29-17491-S,29-17705-S,55-42523-S
embrace also fig an ideal	26-779-S
embraced in	5-16838-B
embracing	10-17401-S
embrasing	8-6484-S,8-6655-S
embroider	9-13878-B,50-41079-S,50-41210-S
embroidered banner	50-4867-B
embroidered collar	57-11804-B
embroidered headband used as decoration by actors or in hui nationality	50-46535-B
embroidered sash	50-13845-B
embroidered shoes	50-41273-B
embroidered work	64-45140-B
embroidery	9-13920-B,27-66213-S,39-12524-S,50-41210-S,71-46273-B,71-46306-B,71-46340-B
embroidery frame	50-38905-B
embryo	24-65762-S,52-19162-B,52-19896-B,67-3342-S
embryo can implant in the womb	71-25112-S
embryogenesis	52-19991-B
embryology	2-79282-S,7-31196-S,16-50105-S,52-19782-S,52-19936-B
embryonic development of grain while still on the stem	19-4107-S
embryonic form	67-3122-B
embryonic leaf	14-17833-S,19-2018-S
embryonic leaves	32-54386-S,66-65199-S
emei in sichuan	21-39216-S,21-39409-S
emei village in taiwan	21-39550-S
emeiquan	21-39357-B
emeishan city in sichuan	21-39278-B,21-39471-B
emerald	46-53413-B
emerald green	51-19227-B
emerge	8-35130-S,8-42047-S,8-46850-S,13-8325-S,21-22378-S,38-14275-S
emerge in large numbers	39-13987-S
emerge prominently	39-13987-S
emerge victorious in every battle	44-54226-B
emerge 成语 saw	21-24845-S
emergence	43-32422-B
emergence e g of a power	21-44592-S
emergency	13-9076-S,13-9076-S,16-13131-S,16-13319-S,24-57268-S,24-59275-S,25-59392-S,26-13288-S,28-62535-S,44-2424-S,50-14399-B,50-14610-S,62-61757-S,68-24662-S
emergency aid committee of prc ministry of civil affairs 民政部	29-64721-B
emergency assistance	13-9076-S
emergency braking	24-57630-B
emergency cabinet set up in may 1911 to confront the xinhai rebels	44-61866-S
emergency call	24-59747-B
emergency desk	24-58998-B
emergency exit	25-59449-B
emergency exposure	25-59666-B
emergency management	50-14533-B
emergency management agency	51-64039-S
emergency measure	25-59593-B
emergency measures	26-13441-B,28-62535-B
emergency medical treatment	24-59747-B
emergency relief	13-13292-B,29-64557-B,59-56571-B
emergency repairs	15-31540-S
emergency risk	50-14464-B
emergency room	24-59825-B
emergency standby	25-59519-B
emergency state	25-59741-B
emergency supplies	28-62448-S
emergency treatment	24-58936-B
emerging	51-21766-S
emerging talent	9-1993-S,9-1993-S
emeritus	34-41973-B
emeritus of retired professor	12-58664-B
emeritus professor	34-42021-B
emery wheel	46-12393-B
emeryville city in california	25-37428-B
emetic to provoke vomiting	6-30644-B,6-30705-B
emigrant	6-50701-B
emigration	8-37398-B,8-37723-B
emigration control	8-37797-B
emile name	53-47235-B
emin place in xinjiang	68-43555-S
eminent	5-32518-B,10-63429-B,42-1681-B,46-3439-S,51-56937-B,66-41494-B,66-60956-B,70-24406-B
emir	15-60295-B
emirate	63-36827-B
emirates	66-10975-S,66-11158-S
emirates airline	66-11074-B
emirates uae	66-3290-S
emissary	5-15293-B,56-23564-S
emission	20-34923-B,44-27628-B,63-3581-S
emission ejaculation	17-3245-S
emission nebula	4-4556-B
emission tomography pet	35-39858-S,35-40010-S,35-40133-S
emissions	39-595-S,46-32103-S
emit	8-10582-S,30-9380-B
emit a particle	44-27628-S
emit bubbles	60-17156-S
emit heat	44-31015-S
emitting diode	7-6786-S,44-26595-S
emitting electrons	66-24496-S
emma name	25-36769-B
emma watson 1990 	25-36812-B
emmanuel name	53-48359-B
emollient	33-44669-B
emotion	25-11747-B,25-14017-B,25-40155-S,25-40648-S,25-41205-B,25-41974-S,26-67316-S,26-67452-S,26-67505-S,38-27480-S,38-50039-S,40-4840-S,61-5047-S,69-7394-S
emotion or regret	25-41585-S
emotion showing in one s eyes	45-50827-S
emotional	25-15457-B
emotional appeal	25-15811-B
emotional impulse	56-39183-B
emotional outlet	8-40384-B
emotional relations between people	3-68332-B
emotional state	24-55870-B
emotional stirring	25-43261-B
emotionally	25-14017-S
emotionally attached	39-19979-B
emotionally close and unwilling to separate	67-11707-B,67-12366-B,67-12493-B
emotions	4-9478-S,6-46553-S,6-46755-S,16-33150-S,25-11896-S,26-67216-S,29-13194-S,39-38483-S,45-31023-S,50-46148-S,52-24706-S,57-10692-S,57-10987-S,57-54266-S
emotions expressed in writing	20-1985-B
emotions in prose	26-67216-S
emotions or worry	57-54266-S
emp	67-33496-S
empathize	70-7253-S,70-9900-S
empathize with each other 成语 saw	12-50154-S
empathy	12-49813-B
empedocles 490 430 bc	25-1797-B
empennage arrow feathers or tail assembly of plane	21-15426-B
emperor	1-42832-S,5-41808-S,7-3935-S,7-5098-S,7-11831-S,12-58601-S,17-46030-S,17-46369-S,18-36903-S,19-41458-B,19-57571-S,21-44992-S,22-24877-B,22-24906-S,23-7306-S,23-21266-S,26-62489-S,31-44560-S,32-48900-S,32-59582-S,36-56114-S,40-28298-S,40-28804-S,42-31289-S,44-1400-S,44-59561-B,44-59607-S,44-59607-S,44-59701-S,44-61576-B,44-61721-S,47-6904-S,47-23660-S,51-44165-S,51-44389-S,51-51044-S,51-52037-S,56-46088-S,57-38946-S,57-40782-S,57-40849-S,61-1490-S,61-33892-B,62-49729-S,63-3796-S,66-27221-S,67-61011-S,69-49194-S,69-64941-S,70-27083-S,71-19648-S,71-19697-S
emperor 1573 1619	54-45837-S
emperor 1644 1662	68-25792-S
emperor 1821 1850	62-49655-S
emperor 1850 1861	13-30305-S
emperor 1861 1875	12-49081-S
emperor 259 210 bc	47-23751-S
emperor 541 604 yang jian 541 604	34-27472-S,66-38995-S,66-39086-S
emperor and yellow emperor	40-28804-S
emperor at mt li 驪山 骊山 near xian awaits excavation	47-23950-S,47-25250-S
emperor by the grace of heaven	11-60608-S
emperor cannon punch chinese martial art	1-38542-S
emperor chengzu 成祖 zhudi 朱棣	36-51707-S
emperor fu xi 伏羲	18-56674-S
emperor fuxi 伏羲	51-14984-S
emperor gu	68-17025-S
emperor guangxu or guang hsu 1875 1908	7-11725-S
emperor guangxu until the boxer uprising	39-18770-S
emperor guangxu 光緒 光绪	61-7463-S
emperor han wendi 202 157 bc	39-49741-S
emperor hongwu 洪武	37-25193-S
emperor huai 晋怀帝	36-49570-S
emperor huizong song dynasty	19-35309-B
emperor in 212 bc	40-45198-S,40-45301-S
emperor in hiding	52-55430-S
emperor in hindu mythology	61-29198-B,61-29315-B
emperor in taoism	42-31230-S,49-28467-S
emperor kangxi s memorial tribute to the first ming emperor hongwu 洪武	37-25193-S
emperor ku	22-25128-S
emperor leads his troops into battle 成语 saw	24-12606-S
emperor liu bang 劉邦 刘邦 256 or 247 195 bc	39-51386-S
emperor near xi an	47-23836-S
emperor of a dynasty	3-39765-S
emperor of china	8-12368-S
emperor of japan	17-51672-B,31-8895-B,56-55981-S
emperor of northern or later yan dynasty	70-23684-S
emperor of the sea	38-22913-B
emperor of xia dynasty	34-996-B
emperor or nobility in former times	15-21780-S
emperor or superior official	58-56662-S
emperor peak on mt taishan	42-31356-S
emperor penguin	22-25534-B
emperor pu yi 溥儀 溥仪	19-55319-S
emperor relatives 成语 saw	44-62425-S
emperor s body	51-52037-S,51-52693-S
emperor s carriage	61-15093-B
emperor s generosity towards a favorite	25-1885-B
emperor s interjection	5-41921-S
emperor s new clothes i e naked	44-61618-S
emperor s reign	6-61963-S
emperor s reign name	22-49426-S
emperor s tomb in yanling county	40-28344-S
emperor shun	53-31927-S
emperor shunzhi 1638 1662	68-25873-S
emperor song taizu 宋太祖 holds a banquet in 961 and persuades his senior army commanders to go home to their provinces	33-13968-S
emperor taizong reigned 626 649	13-50939-S
emperor taizu of song	19-35243-B
emperor to abdicate	62-34177-S
emperor tours	60-50181-S
emperor wu of han 漢武帝 汉武帝	21-63021-S
emperor wu of the han dynasty 141 87 bc	39-50212-B
emperor wudi of song	19-35889-B
emperor xian of han 181 234	39-50589-B
emperor xianfeng 咸豐 咸丰	18-8061-S
emperor xuanzong of tang 712 756	13-52453-B
emperor yang of sui 569 618	66-39400-B
emperor yao	16-39908-S
emperor yongle	31-23866-S
emperor yongle 永樂 永乐	32-68872-S
emperor yuan 75 33 bc	39-48434-S
