express delivery	24-49287-B
express doubt or to question	13-62058-S
express emotion	26-67316-S,26-67452-S
express emotions in prose	26-67216-S
express fedex	51-63881-S
express good wishes	46-54683-S
express gratitude	43-44352-S
express gratitude esp in public	64-31977-S,70-53065-S
express in words not in action	28-19252-S
express in words or writing	53-20047-S
express lane	24-48823-B
express love with terms of endearment	58-41353-S
express mail	24-47544-S,41-58426-B
express meaning	56-44636-S
express newspaper	36-5567-S
express one s feelings	56-44544-S
express one s thanks	48-21433-S
express oneself	13-9314-S
express oneself as one pleases	5-45830-S
express rail link projected	4-3555-S
express realization or agreement yes	13-49611-S
express silently	71-36497-B
express sympathy	25-51534-B
express thanks	25-42603-S,25-43341-B,62-51951-S
express train	24-48953-B
express train sets off	65-34839-S
expressed in words	30-25497-S
expressed in writing	20-1985-S
expressed oneself	25-29685-S
expresses contrast with a previous sentence or clause	9-16471-B
expressing a relation	65-54098-S
expressing a vector as sum of its three orthogonal projections	22-53463-S
expressing approval or doubt	65-65575-S
expressing imperative	13-56440-S
expressing question	13-2812-S
expressing the deepest condolences	35-61332-B
expressing the phonetic value of a chinese character using two other characters	11-44977-S
expression	7-54805-S,7-57657-S,13-7893-S,14-60016-S,15-67507-S,19-64414-S,23-25290-S,23-30028-S,24-65072-S,25-30505-S,32-45206-S,40-61310-S,43-14265-S,44-56695-S,46-57586-B,46-58356-B,46-61345-B,46-61894-B,48-4403-S,53-63477-S,56-44544-S,56-44544-B,56-45431-B,57-56040-B,58-26716-S,58-53736-S,61-48686-S,61-66571-S,68-3761-S
expression astonishing to see	4-34251-S
expression denying compliment	13-45537-S,13-45705-S
expression doubt or surprise	35-31418-S
expression for generous donation	10-62560-S
expression for generous gift	10-62653-S
expression for sth unpleasant such as death	18-52662-S,18-52761-S,18-52930-S
expression in writing	29-66257-S
expression math 	56-46881-B
expression of a person	23-55614-S
expression of anger	58-16643-B
expression of censure	59-44738-B
expression of good will	27-43713-S
expression of good wishes	40-62943-S
expression of gratitude	53-19910-B
expression of political opinion	57-56375-B
expression of surprise	13-27923-B
expression of written chinese	26-12014-S
expression or emotion showing in one s eyes	45-50827-B
expression to	70-8393-S
expression to take the liberty	8-11086-S
expressionless	40-61310-B
expressions	58-11200-B
expressive aphasia	56-46795-B
expressive power	56-45564-B
expressly stipulated in writing	31-24075-B
expresssion one shouldn t take it too seriously	43-66415-S,43-66574-S
expressway	70-22806-B
expropriate	9-28983-B,23-64200-B,29-24445-S
expropriate other s property	27-54268-S
expulsion from the party and from administrative post	67-2267-S
expunge	27-15798-S
exquisite	42-41342-B,48-54352-B,48-57692-B,49-33611-B,49-46012-B,51-33894-B,58-54974-B
exquisite e g wine	43-7605-B
exquisite objects	55-20807-S
exquisite wine	42-32469-B
ext	19-241-S,43-39169-S,43-39749-S,68-61528-S
ext god the father in christian gospel	66-7136-S,66-7237-S
ext guest of honor	22-64377-S
ext imperial court as the hub of centralized government	2-73944-S
ext the climax and conclusion of a story	49-41217-S
ext the relations between parts in a speech	48-19757-S
extant	17-64507-S,42-49958-B,43-48920-B
extant work of a calligrapher	32-12279-B
extemporaneous	11-25078-B
extend	4-61097-S,4-61141-S,4-61526-S,4-61648-S,23-16336-S,23-16400-S,23-17014-S,23-17884-S,23-19422-S,23-27332-S,28-24729-S,28-30547-S,29-28953-B,43-42609-S,46-43645-B,53-30874-S,55-10500-S
extend a building	29-29001-S
extend a deadline etc	20-27970-S
extend across	3-57392-B
extend as long as	65-20430-B
extend continuously	23-18055-S
extend everywhere	62-42290-S
extend life	23-16577-S
extend one s head out or into	28-24333-S
extend service delivery	4-65442-S,22-15274-S
extend the period	21-22301-S
extend your life	23-17304-S
extend 成语 saw	9-46175-S
extended	31-32605-B
extended borrowing e g library renewal	50-43867-B
extended leave	50-43941-B
extended line	23-19487-B
extended meaning of a word	23-29944-B
extended meaning of an expression	23-30028-B
extended meaning to cut a way through	65-11334-B
extended meaning to endure	54-12427-B
extended period	62-8658-S
extending class after the bell	27-35787-S
extending forever into the distance of mountain range	62-23750-B
extending into switzerland	5-21303-S
extending into the distance	38-10805-B,38-10872-B
extending to	61-49927-B
extending widely	17-27350-B
extensible markup language xml	12-14179-B
extension	4-61185-B,8-55424-S,22-34167-S,23-29944-S,23-64393-S,25-44349-S,26-7232-S,26-18010-S,31-2118-S,31-33354-S,35-36999-S,36-6786-S,37-57791-S,37-57947-S,49-13886-S,53-56344-S,57-25137-S,61-24420-S,61-45499-S,67-39712-S,69-20480-S
extension cord	23-19487-B
extension natural environment	36-39715-S
extension semantics	16-47490-B
extensive	11-6045-B,11-6934-B,17-35190-B,20-25375-B,20-26423-B,23-10710-B,23-11651-B,23-14199-B,36-53308-B,39-18692-B,59-16709-S,63-5732-B
extensive and penetrating 成语 saw	70-6328-B
extensive but not refined 成语 saw	11-9212-B
extensive experience	4-15449-S
extensive library	38-10420-S
extensive reading	37-36568-B
extensive records of the taiping era 978	17-58258-B
extensively	11-9955-S,45-4055-B,60-10097-S
extent	4-44623-B,15-35340-S,15-42001-B,16-55379-S,20-68579-S,22-33905-B,32-33782-S,43-47408-B,45-8682-S,45-29958-S,47-29494-S,48-30762-B,57-33308-B,61-10019-S
extent as to	4-38495-S
extent etc	1-6575-S
extent of a country	22-33770-B
extent of a drop	60-34464-B
extent that	43-15985-S,43-16279-S
extent that 	4-38417-S
exterior and interior	56-46148-B
exterior appearance	16-50514-B
exterior but lovable person	53-17563-S
exterior condition	16-50514-B
exterior product	16-49776-B
exterior surface	56-43022-B
exterminate	7-38224-S,9-31478-S,33-64616-B,35-60205-B,35-64268-B,36-662-S,36-812-S,39-26327-S,58-18784-S,58-18844-S,58-19103-S
exterminate those who disagree	58-18993-S
external	4-36678-B,16-42077-B,16-43239-B,16-46352-B,16-49227-B,16-49270-B,16-50406-B,16-51427-B,20-48334-B
external administration	9-39724-S
external affairs	15-3688-B
external appearance	13-28660-S
external auditory meatus	16-50022-B
external diameter including thickness of the wall	16-47592-B
external force	16-44711-B
external genitalia anat 	66-25296-S
external help	16-47940-B
external irradiation	16-48849-B
external network	4-46947-S
external oblique muscle sides of the chest	16-48343-B
external or foreign affairs	20-48334-S
external part	16-51427-B
external secretion e g saliva	16-44507-B,16-44592-S
external to the classics	51-50243-S
external trade	11-67859-S
extinct	2-24636-S,22-2318-B,39-26327-S,39-26704-B,44-49736-S,49-45227-B,49-47723-B
extinct bird	39-2183-S
extinct chinese river dolphin	70-47136-S
extinct species	49-47385-B
extinction	29-63564-S,38-45237-B,39-26327-B,40-14540-S,49-47385-B
extinction of the dinosaurs at the cretaceous tertiary boundary 65 million years ago	48-10262-S
extinguish	29-16612-S,39-26260-S,39-26704-S,41-11433-S
extinguish a fire	39-26576-S
extinguish a fire and save life and property	29-16485-S
extinguish of fire	41-23079-B
extinguish worries and the sea of grief	39-26437-S
extinguished	36-63846-B,41-11531-B
extinguisher	39-26643-S
extol	35-26694-B
extort	9-8684-S,9-67666-S,30-13247-B,52-32146-B,61-59151-S,62-33566-B
extort a concession	61-60825-S
extort a confession	62-33959-B
extort from the peasant	11-26321-S
extort levies 成语 saw	35-8064-S
extort money	28-55894-S
extort taxation	51-54543-S
extort taxes	23-63877-S
extort taxes excessively	23-63929-S
extort under false pretences	58-254-B
extort with threats	30-13972-S
extortion	30-13972-B,30-14159-B,51-54543-S,58-18476-B
extortion and blackmail	30-14069-B
extortion by taking advantage of sb s weakness	30-13879-B
extra	16-44780-B,61-56446-S,68-43501-B,69-14715-B
extra curricular	34-33446-B
extra day or month inserted into the lunar or solar calendar such as february 29	65-44788-S
extra effort	9-57004-S,68-21968-S
extra efforts	9-52764-S
extra emphasis on	6-19875-S
extra empirical	60-22896-B
extra marital sex	12-7123-S
extra of a spice etc	16-57900-S
extra seats in theater	30-7882-B
extra sensory perception	41-60651-B
extra terrestrial	16-48431-B
extra trouble	66-43847-S,68-22231-S
extra tutoring	56-58790-B
extract	11-57923-S,23-27967-B,27-16667-B,28-20836-S,28-38015-S,28-42031-S,28-62854-S,28-64323-S,28-64638-S,34-12853-B,34-40096-S,43-17327-S,69-30069-S,71-11162-S
extract a cube root	65-29737-S
extract a medical sample	27-16790-S
extract a square root	65-36811-S
extract and use	27-16709-S
extract bodily fluid	47-51203-S
extract chemicals from solution	8-45363-S
extract data from compressed file	57-48519-S
extract lines from a text	29-5458-S
extract oil	37-22348-S
extract oil from vegetables	34-40189-S
extract ore	14-55541-S,28-40574-S
extract ore or other resource from a mine	65-36055-S
extract water	52-33435-S
extracting water such as a centrifuge	52-33532-S
extracting wine	63-49042-S
extraction	14-55541-B,28-21562-S,28-21623-S,54-38978-S,56-28153-S
extracts	50-22165-S
extracurricular	58-34401-B,58-35000-B
extradite	23-29177-S
extramarital	18-53455-B
extramarital affair	16-51229-S
extramarital sex	18-53501-B
extraneous	8-12591-B
extranet	4-46947-B
extraordinarily beautiful woman	21-8479-B
extraordinary	2-1309-B,2-6204-S,3-28067-B,8-37943-B,13-20897-B,41-59810-B,43-2255-B,67-64607-B
extraordinary gifts	68-39880-S
extraordinary hero with special abilities	18-1579-B
extraordinary image	43-60353-B
extraordinary splendor	43-60974-B
extraordinary things	40-49341-S
extrapolate	16-47812-S,16-47860-S,28-31106-S
extrapolate in calculation	28-31658-S
extrapolation math 	16-47860-B
extras	67-6371-B
extraterrestrial life	16-48506-B
extraterritoriality	37-24242-S
extravagance	28-15753-S,28-50657-B,41-26338-S,64-37189-B
extravagance and waste 成语 saw	64-37248-B
extravagant	1-9947-B,5-20093-B,10-51803-B,18-6736-B,18-11957-B,18-12453-B,28-50441-B,28-50565-B,28-50657-B,29-31032-S,54-24351-S,62-44635-B,65-51155-B,68-838-B
extravagant and dissipated	69-57376-B
extravagant demands	18-12233-S
extravagant food	71-47528-B
extravagant hope	18-12148-S,18-12318-S
extravagant lifestyle	65-667-B
extravasated blood leaking into surrounding tissue	44-16700-B
extravasated blood spilt into surrounding tissue	44-16456-B
extreme	34-35698-B,38-50402-B,40-5831-B,55-9996-B,67-64607-B
extreme boundary	34-36291-B
extreme care and precision	48-53267-S,48-58875-S
extreme depth of sorrow	24-36804-B
extreme evil	25-23777-S
extreme force of will	18-18181-S
extreme joy turns to sorrow 成语 saw	34-49233-B
extreme north	34-34404-B
extreme point	34-36347-B
extreme popularity	44-17248-B
extreme povery 成语 saw	19-64155-B
extreme right winger	34-34496-S
extreme solicitude 成语 saw	35-61332-B
extreme sorrow turns to joy 成语 saw	12-66745-B
extreme south	34-34450-B
extreme suffering	56-26909-S
extreme tolerance	17-16864-B
extremely	1-66895-B,1-73815-B,2-2551-B,2-8472-B,3-10973-B,10-45083-B,17-55674-B,34-34047-B,34-34094-B,34-34249-B,34-34834-B,34-35498-B,35-55724-B,43-15558-B,43-16121-B,53-18431-B,54-43681-B,57-25256-B,63-20693-B
extremely able talent	41-33166-B
extremely abundant	39-39786-B
extremely angry	17-28625-B,36-30046-B
extremely appropriate	53-18530-B
extremely ashamed	25-43821-B
extremely bright 成语 saw	49-47813-B
extremely concerned	41-63646-B
extremely critical situation	5-56342-S,5-56503-S,5-56663-S
extremely deferential	19-51433-B,43-54589-B
extremely delicate	23-36301-B
extremely difficult	54-48318-B
extremely disturbing	10-2698-B,69-60946-B
extremely fine	48-52303-B
extremely grateful	67-64812-B
extremely hot environment	40-66445-S
extremely important	8-62857-B,57-26289-B
extremely knowledgeable	38-52474-B
extremely large of paintings	21-61243-B
extremely long	25-50652-B
extremely lucky	17-8966-B
extremely moved	41-20457-B
extremely nervous	43-20252-B
extremely poor but not destitute	35-21705-B
extremely quiet	67-61982-B
extremely rare and unprecedented event	51-57206-S
extremely rare opportunity	10-50849-B
extremely rich	64-2142-B
extremely serious matter	63-60421-S
extremely skilled	45-17560-B
extremely skillful	46-55582-B
extremely small	34-34777-B,34-35803-B
extremely tragic 成语 saw	25-48314-B
extremely ugly	18-2157-B,18-2223-B
extremely urgent	24-58146-B,40-23030-S
extremely valuable	42-44002-B
extremely wealthy	52-42707-B
extremes	17-45514-S
extremes fist martial art	7-51904-S
extremes in meting out punishment	2-17994-S
extremist	34-35739-B,40-5831-B
extremists	4-44821-S,40-5889-B,40-5962-S,40-6035-S
extremity	32-60096-B,47-65236-B,57-21316-S
extricate oneself	29-30386-S
extricate oneself from	56-18458-S
extricate oneself from a difficult situation	53-6845-B
extricate sb from trouble	8-44147-S
extrinsic	16-46352-B
extrovert	16-45367-B
extroverted personality	16-45367-B
