free and unconstrained	60-34302-B,60-34750-B,60-35009-B
free and unconstrained 成语 saw	25-7846-B
free and unconventional written style	44-2218-B
free and unfettered	30-9935-B
free and untied	28-54220-B
free as courtesy	60-2946-S
free asia	53-10230-S
free component	62-38485-B
free district	5-38636-S
free encyclopedia	50-1958-S
free energy	53-11296-S
free enterprise in capitalist theory	53-10323-B
free enthalpy thermodynamics	53-11296-B
free expression	44-56695-S
free fall	53-11627-B
free fight	38-53932-B
free floating state	53-11188-B
free flowing	31-64220-B
free from	49-19962-S
free from anxiety	60-46585-B
free from work	37-8829-B
free from worry	19-27130-B,53-31131-S
free hand	29-51844-S
free kick	4-43178-B
free market	53-10639-B
free of charge	7-21301-B,44-35806-B
free of telephone etc	7-20498-S
free oneself	51-23366-B,53-6845-B,56-18458-S,57-52040-B
free oneself from	29-30386-S
free period	40-64113-S
free play in kant s philosophy	62-36895-S
free port	1-71058-S,53-11134-B
free port refers to vladivostok	1-71127-S
free prose style	30-10087-B
free radical	53-10491-B
free range breeding livestock or poultry	64-3272-B
free reed mouth organ	13-5998-S,48-3702-B,48-5336-B
free rein	50-28455-S
free rhythm	30-8746-S
free sb from prejudice or superstition	13-65580-S
free shop	7-20991-S
free speech	41-11022-S
free strike in hockey	57-45367-B
free style	28-49862-S
free the falsely accused defendant	11-46092-S
free time	47-44965-B,47-45691-B,47-47795-B,47-50252-B,65-45335-B
free time is to be treasured	1-6909-B
free to advance or retreat	62-32566-B
free trade	53-11690-B
free trade association	35-29785-S
free trade zone	53-11754-B
free translation	25-30505-B
free verse in the vernacular	44-46395-B
free will	53-10797-B
free zone	35-43125-S,40-54805-S
freedom	19-19478-S,53-10113-B,53-10707-S
freedom of action	53-4571-B
freedom of association	49-43148-S
freedom of speech	57-56442-S
freedom of the media	18-56211-B
freedom of the press	30-55062-B
freedom of thought awarded by eu since 1988	55-23734-S
freehand drawing	24-5460-B,24-5625-B
freeing from sth	53-10414-B
freely	5-45830-S,21-22490-S,31-63765-S,39-41859-S,40-53957-B,50-30705-S,50-30754-S,53-4571-B,62-40403-S
freely on one s favorite topic	31-63841-S
freely to one s heart s content	31-64026-S
freestyle swimming	53-11020-B
freetown capital of sierra leone	23-32800-B
freeware	7-21352-B
freeze	8-16866-B,8-20682-S,8-20682-S,8-27120-S,8-27677-S,49-40194-S,62-16637-S
freeze an account	20-32862-S
freeze in relations	60-31027-S
freeze over of water or land	20-32483-S
freeze solid	8-27290-S
freeze the heart 成语 saw	46-19827-S
freeze to death	8-27217-S
freezer	8-19430-B
freezes more than upstream	8-26032-S
freezing	69-4610-S,69-19831-S
freezing blockage	8-17248-B
freezing of waterway	8-17180-B
freezing over of river in winter	20-33544-B
freezing point	8-20281-B,8-27768-B
freezing rain or water vapor	67-14095-S
freezing weather	67-44440-B
freight	28-58509-B,59-37891-B,61-7713-B,61-7903-S,62-41896-S,62-42096-S,66-59815-S
freight charge	62-41116-B
freight train	59-38249-B
freight transport	59-38174-B
freighter	59-38027-B,59-38120-B
freiherr von ketteler	7-17125-S
french	2-75200-S,37-29791-B,54-3806-S
french agregé holder of teaching certificate	32-22821-S
french aircraft	10-64189-S
french army	37-34752-B
french car company	67-17442-S,67-23826-S
french caribbean island	69-38487-S
french communist party	37-29904-B
french dramatist	27-25933-S
french dressing	37-31468-B
french fried potatoes	55-27028-B
french fries	40-31370-B,50-53842-B,55-27028-B
french guiana	37-31065-B
french horn	37-30233-B
french language	37-31926-B,37-34636-B
french make of cars	67-17367-S
french mathematician	6-25771-S
french name	24-27945-S
french newspaper	2-39135-S
french person	37-29837-B
french philosopher	48-5580-S
french president	55-26127-S
french revolution	37-29995-B
french revolution 1789	37-30353-S
french seizure of vietnam	2-75273-S
french sociologist and socialist	6-25510-S
french space rocket	3-57952-S
french style	37-31423-B
french town	4-49017-S,7-18200-S,9-67233-S,11-15299-S,33-65159-S,36-10616-S,37-16991-S,53-44390-S,54-62966-S,61-51587-S,66-10750-S
french town on corsica island	22-6785-S
french universities	32-22959-S
french war 1883 1885 concerning french seizure of vietnam	2-75273-S
frenchman	37-29837-B
frenetic	25-46166-B
frenzied 成语 saw	14-12226-B
frequency	14-17321-S,16-1316-S,16-1896-S,20-36069-S,35-20704-B,42-28687-B,57-46617-S,68-41569-B,68-41861-B,68-41903-B,68-42085-B,68-42400-B,68-48336-B,70-23843-S
frequency an integer multiple of the fundamental	58-45992-S
frequency an integral multiple of the fundamental	58-46362-S
frequency band	68-42023-B
frequency conversion	59-12737-B
frequency distribution	68-41946-B
frequency effect	63-35303-S
frequency effect psych 	58-11640-S
frequency hopping spread spectrum	60-45771-B
frequency modulation	58-40199-B,68-42202-B
frequency multiplier	5-54749-B
frequency noise	20-36123-S
frequency of carrier wave	61-8267-B
frequency radio waves	62-17241-S
frequency range	68-41742-B,68-41802-B
frequency receiver	40-59861-S
frequency sharing	8-59857-B,30-20861-S
frequency spectrum	68-42328-B
frequency synthesis	68-42127-B
frequency vhf	43-16433-S
frequent	10-8323-B,20-3635-B,68-41624-B
frequent brothels	25-27194-S,27-20309-S
frequent caller	52-49900-B
frequent saying	28-19252-S
frequent visitor	22-30644-B,41-15300-B
frequently	1-33352-B,2-14694-B,3-65683-B,9-68275-B,10-9126-B,21-25625-S,22-29633-B,22-30644-S,22-31035-B,22-31626-B,22-32014-S,23-62296-B,30-19506-B,31-40414-B,49-58724-B,68-41569-B,68-42278-B
frequently asked questions	22-30352-B
frequently in the past	36-5318-B
frequently re occuring disease	16-60638-B
fresco	16-31683-B,67-46749-S
fresh	8-25548-B,21-5902-B,30-58049-B,38-43245-B,54-43897-S,70-43005-B
fresh air	7-23398-S,41-42480-S,49-16613-S
fresh and clean	38-61046-B
fresh and cool	38-63557-B
fresh and elegant	38-64944-B
fresh and green	67-57407-B
fresh and strike him when he is tired and withdraws	63-6163-S
fresh and tasty	41-42026-B
fresh and tender of food	52-12565-B
fresh aquatic food	70-43468-B
fresh experience	30-58357-B
fresh fish	38-174-B
fresh flowers	70-43380-B
fresh fruits and vegetables	70-43468-B
fresh gale	7-52421-B
fresh ginger	43-29397-B
fresh green	55-12858-B
fresh ground	9-4645-S
fresh herbs	70-43468-B
fresh out of the oven	8-41411-B,30-44083-B
fresh tomatoes north china	43-57407-S
fresh tomatoes south china	57-21454-S
fresh vegetables	43-29333-S
fresh water	38-43493-B
fresh water crab	59-16079-B
fresh water crayfish procambarus clarkii	56-8563-B
fresh water fish	38-43719-B,70-43671-B
fresh water lake	38-43583-B
fresh water 成语 saw	28-45128-S,40-5307-S
fresh 成语 saw	12-60195-S
freshen up	28-41051-S,57-47382-S
freshly cooked	41-20682-S
freshly killed prey	56-24026-S
freshwater polyp	36-46452-S
fret	44-29076-S
fret on fingerboard of lute or guitar	13-34140-B
fret over the worries of long departed people 成语 saw	32-17116-S,32-17315-S
fret saw	50-17804-B
fretless stringed instrument	40-48666-B
freud 1856 1939	23-31822-S
freud name	23-31822-B,23-32371-B
freud psychoanalyst	5-4469-B
freyr god in norse mythology	23-32998-B
fricative	14-5021-S,29-26709-B
friction	7-30886-S,29-1015-B,29-1055-B,46-39475-B,46-40689-S
friction burn	29-26047-B
friday	31-30138-B,32-67045-S,51-40968-S,62-26726-B
fried	40-28927-B
fried beancurd in chili sauce	71-14280-S
fried breadstick	37-22562-S
fried cake	40-31194-S,40-31326-B
fried chicken	40-31544-B,52-13744-S
fried chicken kfc	52-13813-S
fried cooking	17-45959-S
fried diced pork	19-57777-S
fried dish	40-29040-S,49-11238-S
fried dough twist crisp snack food made by deep frying plaited dough	71-15415-B
fried dumpling	41-1636-B,64-49871-B
fried food	41-1569-B
fried food balls	40-30921-S
fried meat	49-11293-S
