hallow	46-60889-B
halloween	54-47087-B,54-47175-B
hallucinations	22-53938-B
hallucinogen	61-54127-B
hallway	60-11160-B
halo	7-11035-B,15-22796-B,31-7780-B,31-58231-B,32-27292-S,67-50765-S,68-54076-S
haloalkane obtained from hydrocarbon by substituting halogen for hydrogen	71-3053-B
halogen fluorine	71-2989-B
halogen for hydrogen	71-3053-S
halogen i e fluorine f 氟	71-3432-B,71-3493-B,71-3643-B
halogen lamp	46-10035-S
halogen such as chlorine	71-3172-S
halogenate combine with a halogen such as chlorine	71-3172-S
halogenation	71-3172-B
halt	6-15904-S,6-16630-S,9-26494-S,47-62554-S
halt troops	64-24692-S
halter	50-63784-B,68-9426-B
haltingly	14-43814-S
halucinogenic oils	52-6456-S,52-6613-S
halves or fifty fifty	3-32094-S
ham	40-23903-B,64-14548-S
hamadryad baboon	42-6915-B
hamar town in norway	13-41006-B
hamartia	25-9216-S
hamas radical palestinian group	13-40931-B
hamburg german city	39-48894-B
hamburger	39-48894-S,39-48967-B
hamburger at mcdonalds	21-61465-S
hamburger taiwan	71-13118-S
hamgyungnam do province in northeast north korea	71-4411-B
hami	13-37814-S,13-37981-S
hami 	13-37884-S
hami in xinjiang	22-9541-S,22-9636-S,22-9794-S
hami melon a variety of muskmelon	13-38062-B,13-40128-B
hamid karzai interim leader of afghanistan from 2001 and president since 2004	11-13673-B
hamilcar c 270 228 bc	13-39696-B
hamilton name	39-49442-B
hamito semitic system of languages incl arabic	65-25051-B
hamlet	33-7600-B
hamlet place	33-7692-B
hammer	27-34997-S,28-8440-S,28-8502-B,28-57865-S,34-25719-S,34-39040-B,34-39040-S,34-44015-B,64-43488-S,64-43542-B,64-52951-S,64-52951-S
hammer and sickle flag of ussr	65-1542-S
hammer athletics event	64-56209-S
hammer bone	64-43715-S
hammer bone of middle ear	64-43645-S
hammer drill for boring through rock	40-30563-S,64-20786-S
hammer fits the drum 成语 saw	34-8451-S
hammer pick	1-25227-B
hammered string musical instrument	28-45313-S,29-19550-B
hammered string type of musical instrument	29-19461-B
hammerhead shark	64-43581-S
hammering	27-68576-S
hammock	12-42925-B,12-44947-S
hamper	34-13643-S,48-5897-B
hampshire	30-53758-S,30-53836-S
hamster	5-52311-B
hamstrings	52-7797-B
han	7-4470-S,7-46770-S,9-42926-S,9-65492-S,10-46623-S,11-1197-S,17-57006-S,22-9400-S,24-542-S,33-21377-S,33-21496-S,33-21917-S,36-49406-S,38-47146-S,39-49187-S,39-49914-S,39-50081-S,55-35308-B,57-14623-S,71-21976-S
han 181 234	39-50589-S
han 1898 1968	43-37779-S
han 1909 1969	13-776-S
han 206 bc 220 ad dynasties	47-24544-S
han 220 280	1-32791-S,1-33013-S
han aijing 1945 	68-12224-B
han and early wei roughly	36-54804-S
han and eastern han	7-46770-S
han and introduce modern prefectures refers to reorganization during meiji japan	23-9654-S
han and tang	7-68057-S
han and xiangyu 項羽 项羽 of chu	34-30346-S
han bangqing 1856 1894	68-12911-B
han bangqing 韓邦慶 韩邦庆	38-15363-S
han bangqing 韓邦慶 韩邦庆 featuring serialized novels in classical chinese and jiangsu vernacular	38-15161-S
han c 200 263	56-2305-S
han china	19-60606-S
