name for nanjing	23-21524-S,64-17051-S
name for nanjing 南京	23-21088-S
name for osaka 大阪 city in japan	17-11670-S
name for sakyamuni 釋迦牟尼佛 释迦牟尼佛	63-52880-S
name for shandong often in connection with confucius	70-40330-S
name for shenyang 瀋陽 沈阳 in modern liaoning province	18-3414-S
name for sichote alin mountain range in russia s primorsky krai around vladivostok	51-29349-S
name for spinach	55-21230-S
name for sth	62-11941-S
name for the coastal provinces of liaoning	10-32864-S
name for the goddess matsu	17-47037-S
name for the pamir plateau	55-12751-S
name for the spring and autumn annals 春秋	71-10831-S
name for the yellow emperor	61-1490-S
name for the yellow emperor 黄帝	61-1555-S
name for tianjin 天津	37-58818-S
name for vladivostok 符拉迪沃斯託克 符拉迪沃斯托克 and the province around it	38-16900-S
name for xi wangmu 西王母	42-35563-S
name for yan ying 晏嬰 晏婴 or yanzi 晏子 500 bc	31-44447-S
name for zhou4 紂 纣	22-25674-S
name for 理學 理学	62-50334-S
name for 花斑癣	36-56456-S
name given after death of emperor	23-7306-S
name has been put forward for an exam	51-33705-S
name implies	68-49095-S
name in beijing	22-39458-S
name in chongqing	46-29338-S
name in chongqing 重慶 重庆	16-41876-S
name in eastern han	36-49406-S
name in guangdong	39-31044-S
name in guangxi province	21-44755-S
name in henan province	40-13984-S
name in hubei	49-65172-S
name in hunan province	21-40906-S
name in modern linyi county 臨猗縣 临猗县	4-35337-S
name in ningxia with rock carving conjectured to be a stage in the development of chinese characters	17-42351-S
name in shaanxi	40-17269-S
name in shandong	21-46588-S
name in sichuan	21-49268-S,40-1906-S
name is commonly used in malaysia and indonesia	65-44538-S
name is not in vain 成语 saw	12-53496-S
name lit golden lotus	39-58068-S
name ming taizu 明太祖	37-61183-S
name narita	26-10818-S
name of a book	32-10182-B
name of a buddhist or daoist monk or nun	37-34260-S
name of a country	31-59709-B
name of a district in anhui	35-31169-B
name of a district in hebei	63-19102-B,63-35669-B
name of a district in henan	63-21899-B
name of a district in hunan	63-25099-B,63-36094-B
name of a district in shaanxi	45-14314-B,63-32356-B,63-32517-B
name of a district in shandong	54-8275-B,63-29246-B
name of a district in shanghai	71-20935-B
name of a district in sichuan	63-15543-B
name of a district in xinjiang	63-34676-B
name of a district in zhejiang	21-45960-B,63-32407-B
name of a fabulous horse	69-53307-B
name of a famous archer	51-16453-B
name of a famous tang dynasty wine	41-27747-B
name of a feudal state	33-10887-B,63-19398-B,63-20345-B,63-20489-B,63-20737-B,63-21526-B,63-21732-B,63-31541-B,63-31740-B,63-32568-B,63-33609-B,63-35841-B
name of a glucose injection that caused medical scandal	35-22291-S
name of a hill in hunan	21-35649-B
name of a hill in jingshan park	31-53659-S
name of a kind of animal	3-27845-B
name of a lake	63-35420-B
name of a legendary hill	21-45743-B
name of a monkey with supernatural powers in the novel journey to the west 西遊記 西游记	19-15241-S
name of a mountain	15-21225-B,21-34220-B,21-35549-B,21-38899-B,21-39047-B,21-40282-B,21-40532-B,21-40866-B,21-41037-B,21-44664-B,21-45909-B,21-46323-B,21-48014-B,23-4115-B
name of a mountain in gansu	21-44885-B,21-47047-B
name of a mountain in henan	21-44935-B
name of a mountain in hunan	21-49013-B
name of a mountain in shandong	21-35191-B,21-48100-B
name of a mountain in sichuan	21-43096-B,21-46149-B
name of a north indian tribe	63-53867-S
name of a pass	39-64739-B
name of a peak by changjiang three gorges	46-56493-B
name of a person	21-2130-B,58-2868-B,63-20619-B,68-44649-B
name of a person bai suzhen	44-43923-B
name of a place	54-57138-B
name of a place in henan	48-23135-B
name of a prominent iraqi ayatollah	57-17755-S
name of a river	18-56826-B,36-63589-B,37-2110-B,37-2314-B,37-2597-B,37-3958-B,37-12614-B,37-14235-B,37-29083-B,37-49022-B,37-55376-B,37-59494-B,37-62369-B,37-62742-B,37-63291-B,37-63330-B,38-28561-B,38-36178-B,38-36877-B,38-39988-B,38-40363-B,38-41794-B,38-43083-B,38-43121-B,38-44466-B,38-46877-B,39-2955-B,39-10125-B,39-10180-B,39-13639-B,39-15589-B,39-15633-B,39-18502-B,39-18655-B,39-18933-B,39-23739-B,39-25371-B,39-34191-B,39-53436-B,39-54629-B,39-55136-B,39-56421-B,39-60837-B,39-63780-B,40-2111-B,40-8046-B,40-10773-B,40-11003-B,40-12065-B,40-16378-B,40-16856-B,40-17427-B,40-17465-B,40-18672-B,40-18794-B,40-19153-B,63-24230-B
name of a river in hebei	38-12361-B,39-28338-B
name of a river in henan	36-64739-B,37-58351-S
name of a river in hubei	38-9023-B
name of a river in hunan	40-6706-B,40-11903-B
name of a river in jiangxi	40-14854-S
name of a river in shaanxi	46-42286-B
name of a river in shandong	40-673-B
name of a river in shangdong	36-63525-B
name of a river in shanxi	39-15510-B
name of a river in sichuan	21-38253-B
name of a ship	55-55154-S
name of a state	63-35900-B
name of a stone	46-15755-B
name of a tank	7-34457-B
name of a thing	12-57482-B
name of a tribe	42-3343-B,42-3795-B,42-8594-B,42-17560-B,42-22720-B,42-26738-B,63-30936-B,68-6276-B,68-8352-B
name of a variety of dog	42-17485-B
name of a wild tribe	59-27655-B
name of a wine	63-45922-B,63-51680-B
name of academia sinica 中央研究院 when it was founded	29-54644-S
name of acupoint tb10	17-43663-B
name of an actor or actress	55-32370-S
name of an ancient city	59-26531-B,63-15497-B,63-21573-B,63-24883-B,63-36233-B
name of an ancient river	36-64685-B,63-14773-B
name of an ancient state	12-9947-B,18-44379-B,18-44813-B,55-55775-B
name of an ancient tribe	36-17876-B
name of an empress	18-58365-B
name of an ethnic group	6-52170-B,56-4088-B
name of an ethnic group in guangxi	6-52080-B
name of an idea or an organization	31-3456-S
name of an immortal	6-49658-B
name of an item	12-57312-B
name of an old town in sichuan	21-48898-S
name of an organization	12-57482-B
name of ancient district	63-35784-B
name of baihe 白河 in henan	38-48013-S,38-48097-S,52-14291-S
name of baoji city 寶雞 宝鸡 in shaanxi	66-26644-S
name of beijing at different periods	10-31324-S
name of chiang kai shek 蔣介石 蒋介石 former kuomintang leader	2-74366-S
name of china	15-12932-S
name of chinese manned rocket series divine boat	46-61261-B
name of computer virus	60-37876-B
name of constellation	18-5294-B
name of country	15-3299-B
name of county in xinjiang from early 20th century now called wuqia 烏恰縣 乌恰县	40-38909-B,40-39084-B
name of deceased	58-46879-B
name of dissident writer	9-42526-S
name of district in anhui	4-5067-B
name of district in shandong	63-31138-B
name of emperor yongle 永樂 永乐	32-68872-S
name of essay column in beijing newspaper from 1961 1966	1-33639-B
name of film by chen kaige	40-55215-S
name of god	19-29226-S
name of hills in shandong	21-48626-B
name of its general	31-3456-S
name of japanese moon space probe	32-26090-B
name of jialing river 嘉陵江 in sichuan	39-1383-S
name of jialing river 嘉陵江 in sichuan through chongqing	39-1485-S
name of job in imperial bureaucracy	19-40723-B
name of kaifeng 開封 开封	36-64793-S
name of kingdoms and dynasties at different periods	34-9061-B
name of liao river 遼河 辽河	12-6368-S
name of love	35-60477-S
name of mencius	61-5763-S
name of ming emperor 1573 1619	54-45837-S
name of ming emperor yongle	31-23866-S
name of mythical ape	42-13682-B
name of old canal in henan that formed the border between enemies chu 楚 and han 漢 汉	70-55688-S
name of one kind of jade	42-41537-B
name of one s adoptive family	20-1404-S
name of organic chemical	43-60648-S
name of penultimate qing emperor guangxu or guang hsu 1875 1908	7-11725-S
name of person stressing a moral principle	56-44130-S
name of pharoah	27-25101-S
name of plant or animal	19-17100-S
name of poisonous snake in ancient text	65-21121-B
name of product	13-33413-B
name of publishing houses	32-12663-S
name of qing dynasty province covering south jiangsu	36-58222-B
name of qing emperor 1821 1850	62-49655-S
name of qing emperor 1850 1861	13-30305-S
name of qing emperor 1861 1875	12-49081-S
name of qing emperor guangxu 光緒 光绪	61-7463-S
name of qing emperor xianfeng 咸豐 咸丰	18-8061-S
name of river	38-48013-B,38-48097-B,52-14291-B
name of river in henan	71-20317-B
name of river in shandong	36-64863-S
name of russian spaceship	62-30060-S
name of second ming emperor	23-21266-S
name of second qing emperor 1644 1662	68-25792-S
name of several rivers in henan	37-55456-S
name of several us towns	18-17096-S
name of shenyang 瀋陽 沈阳 in modern liaoning province	45-4278-S
name of short story by shen congwen 沈從文 沈从文	63-11426-B
name of southern china states at different historical periods	12-69194-B
name of states and dynasties at several different periods	71-53176-B
name of taiwan in 3rd century ad	17-68782-B
name of tang empress wu zetian 武則天 武则天	32-1871-S
name of the father in christian worship	14-61034-S
name of the father of the emperor yao	16-39908-S
name of the first han emperor liu bang 劉邦 刘邦 256 or 247 195 bc	39-51386-S
name of the first ming emperor zhu yuanzhang 朱元璋 reigned 1386 1398	31-22991-S
name of the flag of the people s republic of china	49-8292-B
name of the rose	70-35514-B
name of the shang dynasty after their move to yinxu 殷墟 in modern henan province	35-65889-S
name of tokyo	36-59307-S
name of town in sichuan	21-41527-B
name of town in vermont	31-23784-S
name of traditional tune	34-28034-B
name of tree	34-26957-S
