not transmitted	17-64507-B
not troublesome	2-31868-B
not turn a hair	1-73359-B
not under cover	67-46328-S
not understand	2-20572-S,2-29024-B
not understand a certain thing	17-17852-S
not understood	44-3863-S
not uniform	11-38732-B,21-47252-B
not until	50-46768-B
not up on things	2-12362-B
not up to it	26-21949-B
not up to much	2-9460-B
not up to the task	42-38323-B
not upright	6-12554-B
not use all of	43-33858-S
not valid	40-54336-B
not very	2-2992-B,2-8243-B,2-9393-B
not very proper or appropriate	35-19889-B
not visible from the surface	66-47656-S
not want to hear	61-67948-S
not wearing one thread 成语 saw	1-17545-B
not well	2-18452-B
not willing	2-25739-B
not wishing to acknowledge sb	25-62266-B
not wishing to do anything	25-63435-B
not wishing to part	9-63515-B
not work	2-27617-B,2-36338-B,35-41702-S
not working	4-56427-B,4-56522-B,67-62045-S
not working properly	17-68188-B
not worried by setbacks or difficulties	2-9601-B
not worry about	2-27535-B
not worry about conditions or responsibilities	17-8188-S
not worth	1-68967-B,2-32486-B
not worth doing	2-6805-S
not worth it	8-64983-B
not worth the money spent	8-14623-B,8-15181-B
not worth the trip	8-14545-B
not worthwhile	8-14445-B,42-2306-B
not yet	21-7513-B,21-7566-B,32-55920-B,32-57275-B,32-58910-B,63-9342-B
not yet come	31-41777-S
not yet dispatched	32-56645-B,32-58671-S
not yet done	32-32452-B
not yet married	32-57463-B
not yet over	32-57318-B
not yet ready of plans	8-21629-S
not yet studied	43-19956-S,43-29555-S,43-29785-S
notable	6-4536-B,41-34045-B,68-52293-B
notarization	7-64627-B,59-33923-S
notarized	7-64627-B
notary	7-64702-B
notary office	7-64764-B
notation	57-67223-B
notch	1-54692-S,9-14959-B,27-33083-S
notch on the side of a boat to locate a sword dropped overboard 成语 saw	9-14997-S
note	5-29618-S,7-49274-S,12-31213-S,12-55366-S,13-55213-S,19-5457-S,27-63276-B,32-51562-S,32-67707-S,33-47198-B,34-14030-S,34-50121-S,37-43983-S,41-7938-S,44-23325-B,45-38113-B,46-63685-S,48-44627-S,51-66705-B,53-19910-S,57-65688-S,58-5435-S,62-10746-S,62-13978-S,66-16135-B,68-14882-S,68-15901-S
note acknowledging receipt	14-56290-B
note in chinese musical scale	24-22891-B
note in jiao units mao	57-45510-S
note japanese デスノート	35-56487-S
note of	37-44382-S
note of pentatonic scale	57-44118-S
note of the pentatonic scale	59-8328-S
note on a musical scale	68-15233-S
note on the traditional chinese scale	21-11555-S
note paper	41-45533-B,48-23303-B
note ran	68-29393-S
note song screen font is wrong should be	48-13836-B
note the words	51-69561-S
notebook	29-4223-S,32-62803-B,43-29720-S,48-16167-B,48-41339-B,57-65944-B
notebook computer	27-57850-S,48-16081-B,48-16218-B,48-16319-B,57-54634-S
notebook containing a record	57-65873-B
noted	54-53723-B
noted school of thought	68-50282-B
notepad	57-65944-S
notepaper	5-30034-B
notes	5-8528-S,8-62247-S,28-64500-S,30-7490-S,30-9830-S,37-44837-S,43-365-S,48-15964-B,48-16567-S,48-16835-B,48-37403-S,49-22151-S,58-5435-S,68-43263-B
notes as introduction to a book	53-5366-S
notes of a visit	43-52656-B
notes of pentatonic scale	3-55526-S
notes of the chinese pentatonic scale	12-32666-S
notes of the pentatonic scale	19-57353-S
notes on minutely observed thatched hut by ji yun 紀昀 纪昀	65-49421-B
notes on passing the hall	62-44983-S
notes or records	67-5732-S
notes smuggled into an exam	17-70269-B
notes written down from memory	61-59555-B
noteworthy	6-4536-B
nothing	1-14127-S,2-22668-S,2-29454-S,17-41717-S,37-8720-S,37-8829-S,37-10413-S,37-11243-B,37-11243-S,37-36955-B,40-45983-S,40-52733-S,41-11986-S,44-39147-S,44-39243-S,44-42584-S,47-48966-B,47-48966-S,47-56251-S,48-53516-S,49-35613-S,52-51463-S,55-10256-B
nothing about it	37-10413-S
nothing alarming is happening	37-9879-B
nothing better	40-47106-S
nothing but profit 成语 saw	13-54683-S
nothing but skin and bones	70-1128-B
nothing compares with it	42-17783-B
nothing definite	1-66346-S
nothing difficult	2-2408-S
nothing else	40-64176-B
nothing for the invader	16-3723-S
nothing good to be said about it	2-9460-B
nothing great about it	2-9460-B
nothing had happened	53-66451-S,58-41653-S
nothing impossible about it	37-10510-S
nothing in it	55-53401-S
nothing is as good as in former times	4-23224-B
nothing is impossible	37-10510-B
nothing is impossible if you have the will	25-31263-S
nothing is more wretched than apathy	13-32621-B
nothing is spoken about it	71-37209-B
nothing is taboo	44-55024-B
nothing is too bizarre	40-49341-B
nothing is too deceitful	8-369-S
nothing is up	37-9879-B
nothing left	55-15928-B
nothing more	6-49869-S,51-35207-B
nothing more beautiful can be imagined 成语 saw	51-1500-B
nothing more sad than a withered heart	25-37522-B
nothing more than	2-2777-B
nothing of doing sth 成语 saw	4-27069-S
nothing of hardships	2-33145-S
nothing on earth	68-0-S
nothing one can do about it	1-8740-B
nothing or queer character	20-30676-S
nothing other than	40-57468-B
nothing out of the ordinary	22-40066-B
nothing sadder than a withered heart	13-32621-B
nothing serious	58-33549-B
nothing special	22-43096-B
nothing than substandard choice 成语 saw	20-19187-S
nothing to be desired	19-36533-S,19-38287-S
nothing to be done	37-10903-S,37-11887-S
nothing to do	37-8720-S,40-45929-S
nothing to do with	2-20331-S
nothing to do with sth else	40-63455-S
nothing to do 成语 saw	40-53454-S
nothing to earn one s keep	12-27872-S
nothing to gain or have	1-70353-B
nothing to go with it	44-48967-S
nothing to pardon	13-45846-S
nothing to write home about	2-32250-B,22-43165-B
nothing venture	1-70353-B
nothing worthwhile all around 成语 saw	45-18541-S,45-18691-S
nothing you can do about it	4-39986-B
nothingness	55-53297-B
nothings to one another	11-28395-S
notice	4-65108-B,22-23999-B,23-41836-S,26-44565-S,32-12221-S,38-17630-B,41-54542-S,50-52785-S,57-57932-S,62-8869-S,62-11815-B,68-28770-S
notice a familiar sight	41-15665-S
notice board	4-65196-B
notice of	2-2300-S,2-18632-S,42-55441-S,45-57149-S
notice of an agenda	19-30355-S
notice or announcement	34-39521-S
notice to reassure the public	19-30355-S
noticeable	6-3593-B
noticeboard or website	44-34328-S
