of 冏	14-62947-S
of 冤	20-954-S
of 冰	36-48184-S
of 出 classifier for plays or chapters of classical novels	71-56194-S
of 出尖	8-38513-S
of 刨根	9-5237-S
of 剋 克	20-36467-S
of 前半天	9-18837-S
of 前半晌	9-19001-S
of 前邊 前边	9-25069-S
of 剩	9-33875-S,59-63027-S
of 劍 剑	9-29591-S
of 劑 剂	9-29642-S
of 劫	9-4817-S
of 勒	53-46512-S
of 動 动	6-50149-S
of 勞 劳	9-63590-S
of 勳	10-10058-S
of 勸 劝	10-9877-S
of 北邊 北边	10-35516-S
of 匯 汇	39-31091-S
of 升起	31-19845-S
of 半開門 半开门	10-61424-S
of 卒	10-52801-S
of 協 协	9-60805-S
of 南邊 南边	11-4341-S
of 卯	16-52182-S,26-25792-S
of 卷	22-11416-S,23-36137-S
of 叄 叁	23-25195-S
of 反面	11-55774-S
of 发言 spoke publicly	44-25877-S
of 古跡 古迹	12-5402-S
of 右邊 右边	12-23615-S
of 吃	14-14021-S
of 合併 合并	12-31391-S
of 合轍 合辙	12-37960-S
of 名角	12-58455-S
of 向	14-41030-S,32-2017-S
of 吳 吴	13-8659-S
of 吹	71-63853-S
of 周圍 周围	62-26968-S
of 周遊 周游	62-27760-S,62-28189-S
of 周長 周长	62-28324-S
of 和	71-63917-S
of 哀莫大於心死 哀莫大于心死	25-37522-S
of 哥們 哥们	13-42231-S
of 哩	13-49861-S
of 哪	63-15895-S
of 哪 na5	13-2739-S
of 哲	25-6446-S
of 唣 or luó zào 啰唣	13-53211-S
of 啊	14-23373-S
of 啟 启	13-63881-S
of 單 单	11-5995-S
of 喻	14-11395-S
of 噪	58-64538-S
of 噫	59-2139-S
of 嚴 严	11-37253-S
of 因特网 因特网	54-4054-S
of 圈	15-22384-S
of 國 国	14-63138-S,14-63847-S,15-1025-S
of 圍 围	14-63748-S
of 圓 圆	8-7411-S
of 圖 图	14-63798-S
of 團 团	14-62668-S
of 坎肩 坎肩	15-50439-S
of 坟	15-47153-S
of 垂	15-57488-S
of 堯 尧	15-56802-S
of 場 场	16-22499-S,16-22542-S
of 增	16-25799-S
of 墨爾本 墨尔本	16-29036-S
of 壓 压	15-33375-S
of 壘 垒	16-14049-S
of 壞 坏	16-32121-S
of 壤	16-32172-S
of 壹 banker s anti fraud numeral one	16-37710-S,23-25071-S
of 外國媒體 外国媒体	16-46798-S
of 夗	16-52182-S
of 夜宵	17-842-S
of 大梁	17-69184-S
of 天秤座	17-48344-S
of 太平洋週邊 太平洋周边	17-58615-S
of 夹克	54-6829-S
of 夾當 夹当	17-71234-S
of 奇跡 奇迹	18-2025-S
of 奔頭 奔头	18-7669-S
of 奥迹 奧迹	18-16334-S
of 奧運會 奥运会	14-34678-S
of 奧黛麗 奥黛丽	18-17229-S
of 奬 奖	18-17356-S
of 女子排球	18-20839-S
of 奶嘴	18-23765-S
of 如火如荼 tu2 成语 saw	18-30946-S
of 妖	46-51389-S
