alto fiddle	3-41081-B
alto lute	2-84078-S
altocumulus	70-19065-B
altogether	1-2827-B,7-70231-B,7-71863-S,12-32279-B,39-35519-B,49-51603-B,50-31987-B
altostratus	70-13642-B
altruism	28-6773-B
alum	46-45651-B
aluminium	46-22365-S
aluminium phosphate	33-28374-S
aluminum al	64-34682-B
aluminum chloride	36-36110-B
aluminum fluorosilicate	46-22150-B,55-28824-S
aluminum foil	64-34830-B,64-34875-B
aluminum hydroxide	36-34696-B
aluminum ore	64-34715-B,64-34767-B
aluminum oxide	36-32636-B
aluminum sulfate	46-24663-B
alumna	33-52783-B
alumnus	33-52783-B
alva edison 1847 1931	25-38016-S
alvarez name	66-8669-B
alveolar	22-44363-B,53-29628-B
alveolar nasal	9-26190-B
alveolar ridge	9-26190-S,41-46677-B,71-54935-B
alveolus	52-14795-S
alwaleed bin talal al saud of saudi arabia	66-9604-S
always	1-6407-S,1-15203-B,1-15203-B,1-15338-S,12-62217-B,16-52294-B,22-29633-B,24-10484-B,35-51671-B,36-48231-B,50-31603-B,50-33587-B,51-24509-B,51-28726-B,65-11675-B
always active	39-37745-B
always at loggerheads 成语 saw	47-38518-B
always falling ill	44-8935-S
always gets good breaks	22-51829-S
always greener on the other side of the fence	62-5116-S
always moaning and complaining	39-40576-B
alxa league	66-3557-B,66-3809-B
alzheimer s disease	66-8735-B
alzheimer’s disease	51-27984-B,51-28078-B
am	31-37688-B
am95	65-11517-S
amadeus mozart 1756 1791	29-3995-S,54-25457-S
amah	51-27185-B,66-1010-B
amah rock	32-45626-B
amalgam	56-10531-S
amalgam i e alloy with mercury	38-54294-B
amalgamate	5-11801-B,56-10837-S
amalgamating daoist and confucian ideals	42-27474-S
amanita genus of deadly mushrooms	70-56843-B
amanitin	70-56921-B
amansii	43-8302-S,46-9844-S
amaranthus mangostanus	55-15384-B
amarantus mangostanus	54-23645-B
amass	47-38278-S,47-40237-S
amateur	1-15758-B,16-50289-B,34-33446-B,34-33633-B,34-33803-B,38-56066-B,38-56158-B,38-56232-B,38-56324-B
amateur actor e g in chinese opera	46-63850-S,46-63925-S
amateur dramatics	42-38755-B
amateur for no pay	46-64225-S
amateur performance in theater	60-12979-B
amateur player in theater	19-51144-B
amateurish	16-48000-B
amaze	69-60531-B,69-61934-S
amaze the world with a single brilliant feat 成语 saw	1-23164-S
amazed	12-28115-S,43-15896-B,69-62905-B
amazement	9-0-S,14-27136-S,27-29525-S,69-62514-B
amazement 成语 saw	27-29831-S
amaziah	40-40282-S
amazing	3-28067-B,27-29721-B,27-29831-B,69-62905-B
amazon	3-65075-B,3-65189-B
amazon river	3-65124-B
amazon snail ampullaria gigas spix	47-3227-S
ambassador	7-38141-S,8-35035-S,17-5524-S,41-55819-S,49-7861-S
ambassador and consul	5-15670-B
ambassador of the church	30-2641-S
ambassador to china	21-6998-S
ambassador to taiwan	16-19808-S,50-3904-S
ambassadorial	17-5579-B
ambassadorial role in qing times	7-54709-S
amber	42-42490-B,42-58159-B,42-58186-B
ambience	36-24441-B
ambiguities	57-51524-S
ambiguity	35-49708-B,38-30604-S
ambiguous	16-62435-B,32-2105-B,34-58890-B,40-26040-B
ambiguous language	66-49033-S
ambition	4-15336-S,24-8962-S,24-44456-B,24-44670-B,24-44908-B,27-13812-B,32-32561-S,38-56665-S,43-59073-S,47-49302-S,48-57976-S,55-57422-S,57-10692-S,57-11235-B,62-60835-S,66-53059-S
ambition is realized	16-52920-S
ambition of wild wolves 成语 saw	42-10015-B
ambitions	3-14744-S,9-46939-S,24-9167-S,47-26820-S,64-3549-S
ambitions although destitute	59-36824-S
ambitions of the great	41-29558-S
ambitions to win	13-63360-S,13-63511-S
ambitious	32-32892-S,32-32941-B,32-41374-B,62-60457-S,69-53399-S
ambitious but incompetent	45-52491-B
ambitious character	34-14949-S
ambitious despite lack of ambition	47-49302-B
ambitious strategy	62-62905-S
ambivalent	16-62435-B
ambivalent word	16-62579-B
amblyopia	23-36934-B
ambrosia of the immortals	43-8016-B
ambulance	29-65037-B
ambush	4-53149-S,4-53340-B,4-53638-B,15-60701-B,42-7669-S,57-25925-S,63-8433-S
ambushed	62-35835-S
amdo prov of tibet	27-21567-S
amebic dysentery	66-10418-B
amedeo avogadro 1776 1856	65-66288-B
amen	65-66820-B,66-13578-B
amenable to reason	2-30554-S,2-30720-S,2-33223-S
amend	5-47823-B,5-48034-S,29-44892-S
amendment	5-48156-B
amends	59-57779-S
amenorrhoea	65-28427-B
amer 	27-11742-S,36-11517-S
america	2-78770-S,7-40904-S,10-34947-S,10-34994-S,10-67708-S,11-55-S,11-2495-S,11-2593-S,19-32007-S,20-54783-S,27-20948-S,27-25055-S,35-30682-S,37-48447-S,51-1460-B,51-2250-S,51-2660-B,51-2660-S,66-1255-S,69-43967-S
