steelyard weights	47-35300-B
steep	21-33956-S,21-34262-B,21-39810-B,21-40572-B,21-44705-B,21-48584-B,21-49312-B,37-36891-S,38-26993-S,38-27231-S,38-27324-B,39-47283-B,66-20007-B,66-45729-B,70-14151-S
steep and perilous path	11-22734-B
steep bank	39-63780-B,66-14621-B
steep dangerous road	70-51070-B
steep decline	64-33283-B
steep fall in price	32-411-B
steep hill	21-39776-B,21-40323-B
steep sided pointed hill in karst landform	40-25493-S
steep sides	66-41651-S
steep tea	37-8264-S
steeped in	37-51412-B,51-17791-B
steeple	21-6747-B
steeply	16-31739-S
steeply from level ground	27-33021-S
steer	29-20338-S
steerage	49-53133-B
steering a cautious course	20-21415-B
steering wheel	30-62091-B
steersman	53-38502-B
stein 1862 1943	30-39530-S
stein name	30-39530-B
steinkjær city in trøndelag	30-41290-B
stejnegeri poisonous snake	48-3423-S,48-3509-S
stele	40-49737-S,44-43400-S,46-9457-B,46-28071-B,59-21530-S
steles in xi an	46-28514-S
stell stick	65-3090-B
stellariana	55-44085-S
stem	19-4107-S,22-36500-B,33-47539-B,34-13357-B,35-17374-S,50-46425-S,52-36090-S,52-39766-S,54-22838-B,54-22872-B,54-23786-S,70-5003-S
stem and calyx of flower	54-48878-B
stem cell	22-52825-B
stem cell research	22-52878-B
stem cells in bone marrow	62-19188-S
stem compound	19-5381-B
stem corresponding to phil or phile	14-24419-B
stem from	8-40055-B
stem ginger	4-24859-B
stem of a melon	43-9410-B
stem of fruit	54-61050-B,55-10984-B
stem of fungi	54-28388-S
stem of melon	43-9410-S
stem of plants	16-14545-S
stem onto which a branch is grafted	46-15561-S
stem priming	58-9421-B
stemming from ignorance	44-3754-S
stemming from the manchurian railway incident of 18th july 1931 九一八事變 九一八事变	27-5334-S
stems of plants	32-60330-S
stems of plants after harvest	35-63544-S
stench	53-15990-B,53-16921-B
stencil tissue paper	44-40480-B
stendhal	12-24568-B
stenographer	62-17185-B
step	1-12998-S,1-13043-S,1-58272-S,5-29779-S,8-54458-S,23-26011-S,24-48488-S,30-24823-S,31-18788-S,35-41879-S,35-42061-S,35-42240-B,35-42638-S,35-42638-S,35-42696-S,35-42696-S,35-43239-B,35-43518-B,39-55826-S,46-10721-S,46-41368-S,48-9157-S,49-23769-B,52-43412-B,57-27609-S,60-12136-S,60-41004-S,60-47403-S,60-54411-B,62-2380-S,62-28438-S,62-59803-S,63-8548-S,63-8756-S,65-30075-S,66-18917-B,66-39519-S,66-39605-S,66-39791-S,68-31103-S
step across	60-38954-B,60-40036-S,60-53929-B
step aside	59-14141-S
step astride	60-38954-B
step back	11-28150-S
step basic dance position	1-25100-S
step beyond the prescribed limit	2-13180-S
step by step	8-54458-B,35-42638-B,39-55826-S,62-2380-B,62-59803-S,66-39791-B
step by step system	35-43379-B
step causes thousand hatred 成语 saw	1-6114-S
step dance	60-47858-B
step dance step	23-26011-S
step down from office	1-63844-S
step down from office etc	1-58915-S,1-62445-S
step down gracefully humble expression	43-14265-S
step father	50-43173-B
step for military parades	35-37617-S
step forward	65-38005-S
step further	62-28438-S
step in life	17-67840-S,60-49749-S
step into	38-35685-S
step into as tight shoe	60-51579-B
step mother	50-43130-B,66-903-B
step on	60-45956-B,60-46429-S,60-48114-S,60-49853-B
step on the line	60-48228-B
step on the spot	60-46824-S
step one	48-9157-B
step out	63-8756-S
step out of the ranks	8-35944-S
step over	60-40036-B,60-54284-S
step over obstacle	53-20866-B
step system	35-43379-S
step to be taken	28-34105-B
step up	9-58729-S,10-53465-B,28-41510-S
step with	12-34348-S
step with feet splayed outwards	7-50541-B
step with left foot	23-60149-B
step with the right foot	3-44153-B
stepdaughter	50-42830-B
stephanopoulos	30-41597-S
stephanopoulos e g former clinton aide george stephanopoulos	30-41597-B
stephen chow 1962 	13-12309-B
stephen collins foster 1826 1864	47-4554-B
stephen hawking	31-42444-S
stephen hawking 1942 	67-43760-B
stephens person name	12-22467-B
stephenson name	30-42531-S
stepmother	23-67976-S,24-301-B
steppe	43-59803-B
stepped fields	34-16429-B
stepped terraces	14-55541-S
stepping on stones	46-12487-S
stepping stone	16-24770-B
stepping stone to fortune	30-14429-S
steps	9-34721-S,20-53110-S,20-53317-S,35-24557-S,53-32697-S,60-28420-S,60-30697-S,60-50041-S,66-39605-S
steps leading to the eastern door	65-65338-B
steps leading up to a house	53-20866-S
steps to the throne	66-19004-S
steps 成语 saw	25-49923-S
sterculia plantanifolia	35-17255-B
sterculia platanifolia	34-15134-B
sterculiaceae	34-15599-B
stereo	49-38050-S,56-50631-S,66-45109-S,68-16362-B
stereo sound	47-62362-B
stereogram	47-62131-B
stereotype	66-29605-B
stereotyped writing	7-52488-B
sterile	40-61135-B
sterility	2-25783-B,2-25836-B
sterilization	36-971-B,38-30806-B,49-47217-B
sterilization by heating	22-8027-S
sterilize	38-30697-B,39-26770-S
sterling	49-20251-B,54-4765-S,64-52042-S
stern	8-23856-B,14-41266-B,14-42510-B,35-38859-B,50-49924-B,68-44846-B,69-5145-B
stern criticism	57-64271-B
stern of boat	53-37186-B,53-38967-B
stern of junk	34-20298-B
stern test	44-7683-S,44-7881-S
stern voice	11-37152-B
stern words	14-42880-B
sternly	14-42409-B
sternum	52-26210-B
sternutator	14-36620-B
steroid	68-47448-B
steroid containing a ketone group	43-47127-S
steroid hormone	43-47127-B
steroid nucleus	43-47089-B
steroids	12-34161-S
sterols	63-46478-B
sterone steroid containing a ketone group	43-47127-B
stethoscope	52-1046-B,52-1570-B
steve male name	12-22407-B
steven spielberg 1946 	30-42048-B
stevens name	30-39325-B
stevenson or stephenson name	30-42531-B
stevenson screen white box with ventilated sides	44-57296-B
stevia	43-17287-B
stevia extract	43-17327-B
stew	39-34105-S,41-17353-B,41-25786-B,41-26069-S,67-5132-S
stew meat without seasoning	38-63492-S
stew slowly	40-29563-B
steward	10-64761-S,10-64867-B
steward policing a meeting	49-1864-B
stewardess	18-21114-B,47-45200-B,47-46147-B
stewardship	48-26001-B
stewart parnell 1846 1891	22-22145-S
stewartia pseudocamellia	34-8209-B
stewed eggplant	41-27540-B
stewing	41-10757-S
stewing meat etc	11-34186-S
sth	1-22700-S,1-54817-S,1-74498-S,2-3813-S,2-6805-S,2-7117-S,2-7117-S,2-10162-S,2-10162-S,2-14148-S,2-15004-S,2-15004-S,2-15083-S,2-15204-S,2-22541-S,2-26315-S,2-31739-S,2-48825-S,3-10311-S,4-343-S,4-542-S,4-33981-S,4-47189-S,4-47189-S,4-61376-S,5-7796-S,5-16361-S,5-16975-S,5-16975-S,5-43385-S,5-44274-S,5-51221-S,5-59875-S,6-11593-S,6-15090-S,6-30180-S,6-60680-S,7-24233-S,7-34145-S,7-46127-S,8-209-S,8-8067-S,8-36799-S,8-39834-S,8-45500-S,8-56820-S,8-62127-S,8-64873-S,9-5303-S,9-11027-S,9-22653-S,9-55423-S,9-57559-S,9-66715-S,9-68093-S,10-11030-S,10-43970-S,10-55042-S,10-60913-S,10-61003-S,10-61003-S,11-36367-S,11-36625-S,11-36625-S,11-36743-S,11-37772-S,11-40088-S,11-55677-S,11-56330-S,12-8362-S,12-8886-S,12-26481-S,12-64891-S,13-19491-S,14-3008-S,14-62792-S,15-492-S,15-33424-S,15-34671-S,15-61126-S,16-3542-S,16-34473-S,17-6780-S,17-36724-S,17-63997-S,18-4374-S,18-27526-S,18-31896-S,18-31896-S,18-32041-S,19-28722-S,19-65223-S,20-1235-S,20-3700-S,20-44311-S,20-45227-S,20-46157-S,20-49873-S,22-52002-S,22-52143-S,22-52219-S,22-60076-S,23-19574-S,23-27332-S,23-44500-S,23-64931-S,24-7187-S,24-7914-S,24-32516-S,24-35412-S,24-43001-S,25-1039-S,25-1039-S,25-1039-S,25-1203-S,25-1203-S,25-3699-S,25-25773-S,25-25890-S,25-29685-S,25-32627-S,25-41205-S,25-50349-S,25-55469-S,26-16066-S,26-34465-S,26-45023-S,26-46980-S,26-48109-S,26-62187-S,27-3517-S,27-10790-S,27-17530-S,27-39020-S,27-41357-S,27-46542-S,27-60015-S,27-66550-S,28-6629-S,28-6873-S,28-25474-S,28-27616-S,28-28131-S,28-40963-S,28-49482-S,28-50385-S,28-55764-S,28-55764-S,28-56618-S,28-57419-S,28-58280-S,29-7006-S,29-16242-S,29-18260-S,29-26964-S,29-39483-S,29-42166-S,29-48594-S,32-19659-S,32-31437-S,32-32561-S,32-37334-S,32-37889-S,32-40549-S,33-26181-S,34-48543-S,35-38196-S,35-53228-S,35-54243-S,36-54423-S,37-215-S,37-10330-S,37-25839-S,37-44708-S,38-48544-S,39-23623-S,39-53154-S,39-59007-S,40-18480-S,40-60156-S,41-15665-S,41-16015-S,41-38831-S,41-39022-S,41-63163-S,41-63646-S,42-556-S,42-556-S,42-23741-S,42-23983-S,42-38323-S,42-38601-S,43-14135-S,43-34789-S,43-44016-S,43-56167-S,43-56294-S,43-62535-S,44-4360-S,44-27398-S,44-29076-S,45-7675-S,45-11228-S,45-11848-S,45-41982-S,45-43664-S,45-49182-S,45-62887-S,46-26333-S,46-26482-S,46-33291-S,46-46709-S,47-317-S,47-1269-S,47-59321-S,47-59417-S,48-42323-S,48-42592-S,48-47599-S,48-52303-S,49-2198-S,49-15743-S,49-39497-S,50-27939-S,51-9063-S,51-28568-S,51-34512-S,51-34982-S,51-57154-S,51-67504-S,52-12974-S,52-20593-S,52-27412-S,52-27412-S,52-49844-S,52-49979-S,53-1300-S,53-10414-S,53-14301-S,53-28995-S,53-67308-S,54-9424-S,54-53563-S,54-53638-S,55-6178-S,55-11417-S,56-43022-S,57-28593-S,57-29437-S,57-31457-S,57-36931-S,57-62317-S,58-2103-S,58-12152-S,58-20232-S,58-21789-S,58-22389-S,58-33504-S,58-42117-S,58-54238-S,58-54728-S,59-13544-S,59-13544-S,59-14086-S,59-38670-S,59-40430-S,60-10873-S,60-14074-S,60-34829-S,61-15672-S,61-23384-S,61-35415-S,61-51811-S,61-51993-S,61-52410-S,61-55476-S,61-58139-S,61-58233-S,61-58459-S,61-65514-S,62-9964-S,62-11941-S,62-23244-S,62-32665-S,62-47552-S,62-47729-S,62-65245-S,62-69359-S,63-53635-S,63-60010-S,64-405-S,65-23923-S,65-33178-S,65-46699-S,65-55185-S,65-64492-S,66-42134-S,66-47656-S,66-48317-S,66-60066-S,68-27583-S,68-29595-S,68-45173-S,68-48800-S,69-21322-S,69-63414-S,70-21176-S
sth 	5-2175-S
sth a cow or a horse 成语 saw	13-19275-S
sth a cow or a horse 成语 撒网	13-19119-S
sth a horse	5-9142-S
sth a hundred times	44-53818-S
sth a long distance	27-1873-S
sth abstract	23-21581-S,34-43425-S
sth accurately	20-23834-S
sth advocated first	7-4355-B
sth affection	25-14550-S,25-14644-S
sth after a model	4-46075-S
sth after the event	61-59979-S
sth against	20-53940-S
sth along with the dead	35-60737-S
sth amounts to	12-37520-S
sth and accept it	71-39788-S
sth and gaze into the distance	25-55619-S
sth and get sth in return	28-46041-S
sth and have immediate success	31-3858-S
sth and never tire of it 成语 saw	34-49355-S
sth and receive it	36-53974-S
sth around for others to look at	6-39396-S
sth as	5-7962-S,14-23198-S,40-31590-S,41-40600-S,57-35492-S,58-19956-S
sth as a group	49-52667-S
sth as a metaphor	5-65193-S
sth as a model	20-42959-S
sth as it is	1-74575-S
sth as taboo	26-13788-S
sth as true	45-26779-S
sth as worthless	57-34947-S
sth assaults the senses	29-16778-B,29-16955-B
sth at face value	24-23191-S,41-6890-S
sth at one s fingertips	62-40403-S
sth at risk of one s life	27-52050-S
sth back	57-63716-S
sth back to	61-59008-S
sth back to its origin	61-57971-S
sth back to its origins	61-58459-S
sth back to its source	61-58139-S
sth bad	23-30737-S,42-2184-S,65-10505-S
sth bad happened	8-34207-B
sth beautiful	45-50905-S
sth behind all this	17-21518-S
sth best kept secret	66-49773-B
sth best not told to anyone	66-49619-B
sth better but more risky	1-61411-S
sth beyond one s means in order to look impressive	26-48362-S
sth beyond reach	45-59141-S
sth big	66-59151-S
sth big of it	17-5350-S
sth borrowed etc	61-63140-S
sth both funny and annoying	13-46829-S
sth by a name	47-34862-S
sth by following up a clue	27-62174-S
sth by for a rainy day	47-39927-S,47-40041-S
sth by heart	39-34673-S
sth by mail	20-3008-S
sth by running over it	46-34518-S
sth by selling	8-44147-S
sth carefully	20-23025-S
sth cheaper	65-22907-S
sth clear	39-65717-S
sth clearly	8-62988-S,41-51332-S
sth closely	65-56004-S
sth comes from	8-44687-S
sth concealed	66-50332-S
sth confidential	5-36553-S
sth dearly lover	64-51507-S
sth difficult	43-52581-S
sth done	61-35202-S
sth down	23-18112-S,27-36477-S,63-53080-S
sth down deliberately	4-26737-S
sth easy to do	27-54093-S
sth else	29-44444-S,32-7194-S,38-1109-S,40-63455-S,43-60089-B,45-48823-S,68-23489-S,68-26850-S
