smoky, smoke-filled.	fomeus
smoky, smoke-filled.	fumidus
smooth /gentle, kind, mild.	lenis
smoothness, gentleness, mildness.	lenitas lenitudo
snare, trap, noose.	laqueus
snares.	insidiae
so far, thus far, up to then.	eatenus
so large, so great, of such a size.	tantus
so little, so small.	tantillus
so many times, so often.	toties, totiens
so many.	tot
so, thus /yes, that is so, that is right.	sic
so, thus.	ita
soaring.	altivolus
sobbing, gasping, death rattle.	singultus
sobbing.	singultus
soft, pliant, flexible, easily moved, gentle.	mollis
soil.	gleba
solace, support.	solor
soldier, warrior, knight.	miles militis
solitary retreat.	secessus
some .. others.	alii .. alii
some /pl. several.	nonnullus
some times.	aliquotiens
some, several.	aliquot
some.	aliqua
some.	aliqui
some.	alquod
somebody else's, foreign, alien, strange, different.	alienus
someone having inherited, been bequeathed.	relictus
someone who retires / a predecessor.	decessor
someone, anyone, anything, (adv.) in any respect.	aliquis
someone, somebody, something.	aliquid
something to be ashamed of, worth blushing over.	erubescundus
sometimes understand, realize.	animadverto
sometimes, now and then, at times.	interdum
sometimes.	nonnumquam
somewhat more, rather more.	plusculus
somewhat obscure.	subobscurus
somewhat, considerably.	aliquanto
son.	filius
song, poem /prediction, incantation /religious formula.	carmen
soon, presently, then, thereupon.	mox
soothsayer.	sortilegus
sophism.	sophisma
sorrel.	rumex
sorrow.	moestitia
sorrowful.	moestifer
sorrowfully, dolefully.	triste
sought after, exquisite,excellent, fine, delicate.	exquisitus
soul, spirit, intellect.	animus
sound, healthy, sane.	sanus
sounding.	clangor
source, root, foundation.	radix
south wind.	notos
sovereignty, realm, command.	imperium
sower, planter.	consitor
sown in wheat.	triticeus
space, time, lapse /extension, length.	tractus
spade, peel for putting bread in the oven.	pala
sparing, thrifty, economical, moderate.	parcus
sparrow.	passer
speaking learnedly.	doctiloquus
spear.	cuspis
spear.	hasta
special friendship /peculiarity.	specialitas
special quality /speciality.	specialitas
spectacle, show.	spectaculum
speech, address, oration.	oratio
speech, conference.	colloquium
speed, haste.	festinatio
speed, swiftness, rapidity, quickness.	celeritas
speedily, quickly, rapidly.	citius
speedily, rapidly, immediately, without delay.	confestim
spelt, grain, meal.	far farris
spelt.	alica
spider's web.	aranea
spirit	spiritum[Noun]
spirit, wrath.	animositas
spirited, courageous, warlike /wild, arrogant, unbridled.	ferox
splendid, magnificent.	splendidus
splendid.	luculenta
splendid.	opimus
splendidly, greatly, terrifically.	magnificabiliter
splendidly, ornately, elegantly.	ornate
splendor, elegance.	lautitia
splendor, glow, elegance, brilliance, brightness.	nitor
spoils, booty/ hides pelt.	exuviae
spoils, plunder, booty.	spolium
spotless.	purus
spotted, speckled, poluted.	maculosus
spread around, made known.	diffama (tus)
