dat.) she gave her property to those (churches).	2-588-S
dat.) tell it to these (policemen).	2-6667-S
dat.) tell it to those (marines).	2-3797-S
dat.) the crimes for which he was executed.	2-5287-S
dat.) the good fortune, to which he owed his crown.	2-59-S
dat.) the monastery in which he was intered.	2-3377-S
dat.) there is a statue in that (abbey).	1-9228-S
dat.) there is a statue in this (abbey).	1-9285-S
dat.) to be a slave to, serve.	1-1712-B
dat.) to be obedient to, obey.	1-1753-B
dat.) to be useful, do good, benefit.	2-9881-S
dat.) to control, use with moderation, spare,.	1-1793-B
dat.) to do harm to, inflict injury, hurt.	1-1851-B
dat.) to go to meet, oppose /help, remedy.	1-1903-B
dat.) to groan, sigh over.	1-1960-B
dat.) to near, drawn near, come close, approach.	1-1997-B
dat.) to persuade.	1-2061-B
dat.) to please, be agreeble to.	1-2112-B
dat.) to possess, hold, get possession of.	1-2276-S
dat.) to study, pursue eagerly, be eager for.	1-2155-B
dat.) to thank.	1-2211-B
dat.) to weep over.	1-2243-B
dat.) to whom did you give it?.	2-4528-S
dat.) towards, against.	20-988-S
dat.) under, up under, close to, beneath, below.	1-442-S
dat.) us /the world belongs to us.	1-8010-B
dat.) you /i can't give you anything but love, baby.	1-8052-B
dat.) you /i'm talkin' to you, yeah, talkin' 'bout cindy.	1-8111-B
dat.), give thanks.	39-2562-S
dat.), to happen, befall.	2-9932-S
dat.] to be the equal of.	3-530-S
dat] attend closely to/ [+ ad, pro] desire.	27-4142-S
dat] lie in wait for, plot against.	27-4198-S
dat] persist in, urge.	27-4249-S
dat] to speak in favor of.	3-568-S
data, information, evidence, indication, pointer.	10-1169-B
data, notes, annotations.	17-817-S
date.	4-5001-S
dative) to pity.	1-2862-B
dative) to spare, refrain from injuring.	2-9972-S
daughter.	10-1228-B,15-4903-S,25-4361-S
david, psalmodize, sing.	37-2120-S
dawn, daybreak.	10-1244-B
day of payment.	4-1641-S
day, for a long time, a long time ago.	7-4875-S
day, rot.	35-7154-S
day-dream /foolishness, nonsense.	11-2015-S
day.	10-643-S,10-1269-B,17-3995-S
daybreak.	10-1244-S
days' duration, lasting three days.	27-3420-S
days, venerable.	5-3875-S
days.	3-6635-S,17-2057-S,17-2098-S,27-3420-S
de frise.	2-4780-S
dead of night.	10-1284-B
dead, deceased, passed away, gone west, departed.	10-1315-B
dead, die / sink, fall.	32-599-S
dead.	26-5278-S,27-3140-S,32-1448-S,34-2341-S
deadly things.	10-1373-B
