promoter.	22-159-B
prompt, suggest, assign, bring to mind, offer.	31-6895-S
prompt.	2-7577-S
promptly, resolutely, readily.	22-176-B
promptly.	22-215-B
promulgation (of a law).	22-1590-S
pronounce, declare.	27-6886-S
pronounce.	1-8478-S
proof, evidence, witness, indication.	22-234-B
proof, evidence.	22-284-B
prop up, bolstered.	35-5608-S
prop, the main point, support.	25-5120-S
propagate.	37-4517-S
proper, fit, becoming.	6-4548-S
proper, fit, commodious.	22-312-B
proper, fit.	32-2887-S
proper, legitimate.	17-2256-S
proper, one should, one ought.	16-5902-S
proper, reasonable, becoming.	16-5807-S
proper, right.	39-6096-S
proper, upright, natural, plain.	23-2765-S
proper, worthy, fitting, deserving, capable.	22-346-B
proper.	15-3350-S,16-6048-S,16-6755-S
properly, fittingly, suitably.	22-399-B
properly, suitably, appropriately.	23-1439-S
properly, temper, regulate, mitigate.	34-6468-S
properly.	6-5139-S,12-1483-S,22-5985-S
properties.	14-2829-S
property /census.	40-4223-S
property /trick, deceit.	25-4619-S
property to these (churches).	2-523-S
property to those (churches).	2-588-S
property) sell up, alienate.	2-7508-S
property, alienation.	39-4614-S
property, nature.	22-2924-S
property.	3-2657-S,6-1897-S,21-3721-S,25-6381-S,28-4726-S
property.".	16-3190-S
prophecy, words of a god.	4-443-S
prophesy.	35-5641-S
prophet.	6-3741-S
prophetic.	22-447-B
propitiate.	35-5664-S
propitious.	22-468-B,36-6475-S
proportioned.	5-5128-S
proposal, proposition.	22-488-B
propose, promise.	11-58-S
proposition, thesis.	22-522-B
proposition.	22-488-S
propped up, supported.	22-550-B
propriety, decency of behavior.	22-591-B
propserity, good fortune.	22-632-B
proscenium	22-670-B
prosecute to the end.	2-2929-S
prosecute, impeach, try.	28-1527-S
prosecute,.	39-3235-S
prosecute.	4-5711-S
prosecutor	22-702-B
prosecutors	22-743-B
prospect	22-786-B
prosper /turn out well.	33-195-S
prosper, propitious.	36-6475-S
prosper.	34-5209-S
prospering	22-822-B
prosperity	22-857-B
prosperous	22-898-B
prosperous.	12-4686-S
prosperously	22-930-B
prostitute	22-960-B
prostitute, whore, harlot.	22-1005-B
prostrate	22-1052-B
prostrate, lie dead.	34-2341-S
prostrate, ruined, weakened.	11-634-S
prostrate.	32-1040-S,35-557-S
prostrated	22-1103-B
protect /build a road.	32-4648-S
protect, defend, support, patronize.	35-5684-S
protect, defend.	30-4476-S
protect, observe, save, reserve.	39-1390-S
protect, shelter.	30-6366-S
protect, shield.	30-4409-S
protect.	28-2590-S,35-5735-S,38-7560-S
protected, safe, secure.	22-1136-B
protection, custody.	22-1167-B
protection, defenses.	13-4057-S
protection, guard, charge /guardianship, tutelage.	22-1197-B
protection.	5-2617-S,10-2484-S,14-4202-S,39-6320-S
protector, director.	10-778-S
protector, educator.	13-4647-S
protector, without a lord.	42-1034-S
protector.	20-6345-S
protonotary.	22-1255-B
prototype, book to copy.	18-5409-S
protract/ bring forward.	21-6868-S
proud / alert / anxious /cheerful.	22-1282-B
proud of oneself, arrogant.	22-1753-S
proud, haughty.	11-4477-S
proud.	20-4743-S
proudly elevated.	10-5207-S
proudly, fearlessly.	7-1758-S
prove guilty, convict.	11-182-S
prove, demonstrate, approve, find good, judge.	37-1705-S
prove, establish.	28-677-S
prove, expose, convict /declare.	29-2002-S
prove.	31-2986-S,35-5755-S,35-5773-S,37-6408-S,38-5673-S
proven .	12-2051-S
proven, rich in material.	22-1325-B
provender, victuals.	13-2035-S
provide /draw up an order of battle.	21-5420-S
provide /instigate secretly, suborn.	32-5139-S
provide arms, arm, equip, fit out.	35-5793-S
provide for, respect, have regard for.	34-3325-S
provide for.	3-2045-S
provide money.	18-1288-S
provide, add, attach. place next.	29-4535-S
provide, allow.	34-8015-S
provide, make provision for.	32-4273-S
provide, supply.	32-5230-S,37-0-S
provide.	37-4318-S
provided with grain.	22-1364-B
provided, well-equipped.	41-2006-S
provided.	1-7509-S
providence, foresight, prudence.	22-1394-B
provides for, or against.	20-1788-S
providing charity.	5-2272-S
province) did you live?.	2-1238-S
province.	7-2329-S,16-4566-S
provision for.	32-4273-S
provisions, food.	19-4349-S
provisions, supplies, victuals.	22-1439-B
provisions.	26-1109-S
provocative.	22-1481-B
provost, prior, abbot.	22-5623-S
provost.	40-5297-S
prow.	22-1505-B
prowess, moral virtue, virtuousness,manhood, power.	40-4707-S
prudence.	22-1394-S
prudent, wise.	22-1517-B
prudent.	18-4722-S,22-1540-B
prune, cut off.	30-4338-S
pruner.	22-1557-B
prunes grape vines).	40-6569-S
pruning hook.	24-3892-S
psalmodize, sing.	37-2120-S
psalms of david, psalmodize, sing.	37-2120-S
puberty.	36-204-S
public building for law cases, etc./ a church, cathedral.	3-7085-S
public business.	8-4966-S
public contest.	8-4526-S
public crier, to herald, proclaim.	28-3016-S
public eye.	12-883-S
public office.	15-3314-S
public road tax.	17-5001-S
public statement / to declare oneself.	34-4412-S
public, affirm, bear witness.	30-6041-S
public, open to all.	19-6169-S
public, publicized.	18-569-S
public.	22-1573-B,34-5554-S,34-5580-S
publication, promulgation (of a law).	22-1590-B
publicize, make patent.	34-5277-S
publicized.	18-569-S
