repulse.	36-3316-S
request, demand / to sue for.	28-1304-S
request, deny something to someone.	30-7057-S
request, desire /complaint.	3-3895-S
request, entreaty, prayer.	23-766-B
request.	1-3650-S,29-5652-S,31-4534-S
require / desire, strive after, make for.	30-6788-S
require /summon, prosecute, impeach, try.	28-1527-S
require, need, stand in need of.	36-3336-S
require.	30-1943-S
requirements.	21-6543-S
requite.	31-41-S,36-0-S
rescue, free.	37-3129-S
rescue.	35-2902-S
resemblance/ uniformity.	17-4354-S
resembling.	17-4289-S,24-4368-S
reservation.	11-1494-S
reserve /keep, preserve.	17-58-S
reserve troops, auxiliary troops.	23-805-B
reserve.	16-319-S,39-1390-S
reserved for the senate / senators.	27-1406-S
reside /take possession.	33-2984-S
reside or cultivate or inhabit.	36-3380-S
reside somewhere, dwell (in).	33-5262-S
reside, linger.	37-5605-S
reside.	37-766-S
residence, throne, temple.	23-849-B
residence.	15-3963-S
resident of a household, pl. household retinue.	23-882-B
resident, inhabitant of a place / foreign resident.	23-939-B,23-1001-B
resident, inhabitant.	9-6109-S
resident.	19-2318-S,23-939-S,23-1001-S,23-1064-B
residents of a district.	22-5785-S
resist, fight back.	35-87-S
resist, halt, withstand, make a stand, oppose.	36-3422-S
resist, halt, withstand.	36-3480-S
resist.	37-7108-S
resistance.	23-1081-B,34-5604-S
resistant, tenacious /supple, pliant /.	39-4275-S
resolute, firm, determined, with one's mind made up.	23-1104-B
resolute, prompt.	2-7577-S
resolute.	23-1168-B,40-3905-S
resolutely, readily.	22-176-S
resolution, measure as in plan, advice.	10-2849-S
resolve on.	33-6376-S
resolve, determine.	36-7695-S
resolve.	2-7095-S,16-5035-S,31-983-S
resolved, it seems good.	16-5628-S
resolved, staunch.	12-6486-S
resolved.	40-784-S
resound like celestial thunder.	36-3516-S
resound with,.	36-3559-S
resound, [+ acc] make resound with,.	36-3559-S
resound.	36-3606-S
resounding, loud with waves.	23-1189-B
resounding.	23-1228-B
resource,.	26-155-S
resources.	2-7745-S,21-3374-S
resources.\, abundance.	12-5069-S
respect /to suspect.	34-3643-S
respect to.	39-2699-S
respect whatever.	15-6578-S
respect, fear, be in dread of, to be afraid.	36-3626-S
respect, have regard for.	34-3325-S
respect, irreverent, unpatriotic /wicked.	42-1421-S
respect, reverence, honor, veneration.	23-1248-B
respect.	1-2511-S,25-951-S
respectability.	23-1334-S
respectable /fine, beautiful /proper.	15-3350-S
respectable, distinguished.	23-1297-B
respected.	4-3772-S
respectful treatment, respectability.	23-1334-B
respectful, attentive.	23-1381-B
respectful, gracious.	21-1557-S
respectful.	23-1415-B
respectfully, properly, suitably, appropriately.	23-1439-B
respectfully, with deference, duly.	15-3408-S
respectfully.	42-619-S
respects /in general.	1-5451-S
respects.	11-4805-S
respersum] to sprinkle, splash.	3-1759-S
respiration, exhalation.	23-1496-B
respite.	4-1725-S
respond.	28-50-S,34-7368-S
responsibility.	11-3104-S,29-6055-S
responsible for.	28-0-S
rest, lean, support oneself / trust in, depend upon.	36-3681-S
rest, otherwise.	13-2841-S
rest, peace / a resting place / sleep / a dream.	22-3258-S
rest, respite.	4-1725-S
rest, sleep, be at ease / stop (doing something).	36-3743-S
rest, that remaining.	27-550-S
rest, the others.	27-506-S
rest.	1-2889-S,3-6076-S,23-516-S,27-368-S,28-6415-S
resting place / sleep / a dream.	22-3258-S
resting, sleeping, undisturbed / neutral / quiet, calm.	23-1532-B
restive.	7-3702-S
