attendance,.	28-1966-S
attendant of a nobleman.	5-3371-S
attendant, guard/spy.	14-4283-S
attendant, pursuing.	13-1759-S
attendants, a following.	3-3758-S
attendants, bodguard.	13-1809-S
attending, attendant, pursuing.	13-1759-S
attention /medical attention, healing, curing.	6-1842-B
attention to, attract.	38-6371-S
attention to.	29-5973-S,38-5932-S
attention, healing, curing.	6-1842-S
attention, intent / attack, accusation.	11-4173-S
attention, obedience, allegiance, vassalage,.	19-5264-S
attentive, careful of one's property.	6-1897-B
attentive.	23-1381-S
attentive/ curious, inquisitive/ worn out by cares.	7-6175-S
attentively, earnestly, carefully, diligently.	6-1944-B
attentively, gaze at, consider.	34-3139-S
attic.	14-824-S
attire, equipment, ornament, embellishment.	11-2180-S
attired, clad.	6-2001-B
attract, delight/ (pass + abl) take delight in.	28-2491-S
attract.	38-6371-S
attractions, allurement, charm.	7-590-S
attractiveness, beauty.	17-6071-S
attribute, ascribe.	38-4981-S
atus, 1, dep. v, to be of the opinion of.	6-2024-B
auburn.	22-5444-S
audacity.	6-2074-B
audience, assembly.	17-1684-S
augment.	34-5160-S
augmentation,increment.	6-2096-B
augury.	6-2132-B
augustinian.	7-5765-S
aunt.	12-4371-S,18-2695-S,20-6170-S
ausus ).	30-5757-S
authenticate.	30-3110-S
author, artist, artisan, maker.	6-2184-B
author, originator.	6-2224-B
author, scribe.	42-2945-S
authoritative.	6-2251-B
authority /opportunity.	21-3912-S
authority, command, rule, control.	21-3850-S
authority, expert.	6-2279-B
authority, kingdom, realm.	23-4338-S
authority, power.	6-2308-B
authority, royal staff.	23-4378-S
authority.	6-2336-B,6-2358-B,9-5972-S,18-4339-S,20-558-S,41-145-S
authorization /freedom, liberty / licentiousness.	17-3774-S
authorize, permit, dismiss.	28-2550-S
autograph, person's own handwriting /written charter.	6-2375-B
auxiliary troops.	23-805-S
avail for, to afford, supply, furnish with.	28-3604-S
avail, have influence.	28-3228-S
available.	5-4543-S
availing.	4-5306-S
avarice	6-2442-B
avarice, covetousness.	6-2465-B
avarice, greed.	6-2503-B
avarice, party spirit, eager desire.	5-3013-S
avaricious.	6-2528-B,14-3777-S
avariciously	6-2546-B
avectum ).	29-6104-S
avenge / take vengeance on.	38-1946-S
