be inferior to.	1-1538-S
be inflamed.	28-7227-S,38-3761-S
be irritated.	28-5289-S
be jealous of, look upon with envy.	31-6158-S
be joyful, take pleasure in.	36-1813-S
be joyful.	32-292-S,36-1861-S
be laid open, bare, exposed, to be revealed.	28-5316-S
be lame, to hobble.	34-2683-S
be left behind, sit up.	27-4721-S
be like, equal/ make level or even, relate.	28-5372-S
be lord and master of, dominate.	3-605-S
be lost.	32-3563-S
be made, be done, become.	6-4295-B
be made.	12-2844-S
be mastered.	28-5434-S
be mindful of, recollect .	28-5458-S
be missing, absent.	32-412-S
be missing, be gone.	28-3402-S
be mistaken, err, go astray.	39-813-S
be mistaken.	28-4338-S
be moderate, control oneself.	6-4340-B
be morally bound to, to be bound by.	35-678-S
be moved, aroused.	28-5496-S
be near, be in attendance,.	28-1966-S
be near, close at hand, be under, be subject.	28-5523-S
be no one as happy as us.	1-3506-S
be obedient to, obey.	1-1753-S
be odiferous, redolent.	37-2927-S
be of service.	36-5679-S
be of the opinion of.	6-2024-S
be of use.	4-6915-S
be old, aged.	28-5587-S
be omitted).	13-2924-S
be on guard against /+ut+subj.=take care that.	3-1985-S
be one's own master.	28-5610-S
be open, be exposed.	28-5655-S
be opposite.	37-86-S
be outstanding, excell, surpass, show.	37-4953-S
be pained, grieve.	37-7578-S
be pale, be yellow.	6-4378-B
be passed to.	1-1230-S
be persuaded.	4-5185-S
be pleasing, agreeable.	28-5685-S
be pompous.	35-5903-S
be posted.	38-1511-S
be present, be near, be in attendance,.	28-1966-S
be produced, to be born.	28-5718-S
be prominent, conspicuous .	28-5756-S
be punished.	28-5794-S
be put to an end.	37-2239-S
be ready, to be easy, to be clear.	28-5818-S
be recognized.	28-5077-S
be redolent, smell bad.	37-5884-S
be redoubled, increase.	36-1151-S
be reduced to, be brought to.	32-504-S
be reduced to, fall back upon.	28-5881-S
be remarkable, conspicuous.	37-5250-S
be renowned.	28-5921-S
be repentant, repent.	36-4897-S
be responsible for.	28-0-S
be revealed, to stand open, to be clear, plain.	28-5945-S
be revealed.	28-5316-S
be rich in.	28-6002-S
be ruined, destroyed, be put to an end.	37-2239-S
be ruined, destroyed.	32-1067-S
be ruined, fail /cut up, cut down, destroy.	28-6024-S
be ruined.	36-5611-S
be sad, be grieved.	28-6079-S
be seen, seem, appear.	28-6110-S
be set over, preside over have charge of.	28-6143-S
be silent about / rest.	28-6415-S
be silent, leave unmentioned.	28-6196-S
be silent, say nothing, pass over.	28-6248-S
be silent.	28-6292-S
be sleek, flourish.	37-1284-S
be sluggish, inert, numb, inactive, immoveable.	28-6315-S
be sold, up for sale /a slave.	28-6373-S
be spoiled.	34-6300-S
be still, silent/ (+ acc.) be silent about / rest.	28-6415-S
be strong, have power, be well.	28-6475-S
be strong, powerful, able.	28-6534-S
be strong.	28-6571-S
be subject to, comply with.	28-6596-S
be subject.	28-5523-S
be sufficient, suffice, be enough.	28-6637-S
be suitable, proper, fit.	32-2887-S
be superfluous, to remain.	28-6684-S
be superfluous.	13-1510-S
be sure /however.	16-754-S
be sure, indeed, of course.	8-1330-S
be sure.	1-4679-S,22-4316-S
be suspended /be uncertain, undecided.	33-2525-S
be taken across a strait.	30-4786-S
be taken by force.	15-5996-S
be terrified, frightened, afraid.	28-6723-S
be the equal of.	3-530-S
be there.	28-6768-S
be thirsty.	28-6790-S
be told (herimann cap. 39, 44).	28-6811-S
be troubled.	2-2715-S
be troublesome, unpleasant, annoying.	1-6306-S
be troublesome.	35-264-S
be unaccustomed.	38-3790-S
be unaware, not know, be unkowing.	28-5019-S
be uncertain, undecided.	33-2525-S
be under, be subject.	28-5523-S
be undone, take part in.	38-3822-S
be unknown.	28-6853-S
be unkowing.	28-5019-S
be unlike one's kind, fall off, degenerate.	28-6874-S
be unsure, uncertain, wavering.	28-6930-S
be unwilling, wish not to, refuse.	28-6982-S
