brother.	7-3963-B
brought back from imprisonment.	20-1249-S
brought to a standstill, keep at, hesitate.	28-4159-S
brought to.	32-504-S
brought.	15-420-S
brow, front.	13-3181-S
browse.	24-3098-S,33-1111-S
bruise, crush, grind.	32-7148-S
bruise, grind.	14-2349-S
bruise.	29-4831-S
bruises.	7-400-S
brush, pencil, stylus.	3-6589-S
brush.	4-710-S
brutal.	7-3979-B
brute, beast, large animal.	3-3027-S
bubble up, to appear, produce in abundance.	29-2397-S
buffet, slap.	7-1167-S
buffet,.	3-2770-S
buffoon, jester.	13-2083-S
build a road.	32-4648-S
build beneath, lay a foundation.	29-4849-S
build, arrange.	30-3703-S
build, erect, construct, contrive, toil, struggle.	29-4894-S
build.	11-6783-S,39-1761-S
building for law cases, etc./ a church, cathedral.	3-7085-S
building) the size of which was great.	2-6370-S
building, might.	15-4554-S
building, structure.	7-3995-B
building.	42-2218-S
built in, set up, construct, furnish /train.	29-4955-S
built on/ distinction/distinguished, excellent/excellence.	28-4215-S
built.	2-6555-S,2-6612-S
bulk, massive building, might.	15-4554-S
bull.	9-4229-S
bullet, lead pipe.	17-2566-S
bulwark, mound.	7-4037-B
bundle, burden.	7-4059-B
bundle, pack, burden, load.	7-4082-B
bundle, packet.	3-3064-S
bunna.	7-4118-B
burden /steward.	21-3625-S
burden, have a responsibility.	29-6055-S
burden, load.	7-4082-S
burden, make suffer.	35-127-S
burden, oppress, fil up.	34-3009-S
burden, weary, pregnant.	29-231-S
burden, weight, trouble / charge, public road tax.	17-5001-S
burden.	6-4474-S,7-4059-S
burdened, laden.	7-4132-B
burdensome, unwholesome.	7-4157-B
burgeon.	24-3477-S
burgess.	8-3116-S
burial.	7-4189-B
buried, sunk, immersed.	7-4207-B
burn down, burn, set on fire.	7-4239-B,12-2425-S
burn up, consume /inflame, gall, chafe.	29-5011-S
burn up, to ruin, consume.	29-5078-S
burn up.	29-5116-S,30-3864-S
burn with desire, blaze, vacillate [vikings], heave.	29-5135-S
burn, scorch, singe. (hermann, p. 308).	29-5198-S
burn, set on fire.	7-4239-S,12-2425-S
burn, singe, kindle, light.	37-236-S
burned these (houses) to the ground.	2-3665-S
burned those (houses) to the ground.	2-3730-S
burner.	3-3362-S
burning up, conflagration.	7-4284-B
burning wood, burnt wood.	7-6080-S
burning,.	12-5900-S
burning.	7-4319-B
burnt wood.	7-6080-S
burst forth / (milit.) attack.	29-2946-S
burst forth.	37-4640-S
burst upon.	29-5255-S
bursting forth / sally, attack, assault.	5-3537-S
bury, conceal, hide, protect, shield.	30-4409-S
bury, inter.	29-5278-S
