[adjective]	13-743-S,13-5005-S,19-856-S,24-2421-S,26-4245-S,27-3383-S,39-6663-S
[adverb]	10-570-S
[conjunction]	5-3981-S,7-4381-S,7-4438-S,19-3361-S,20-2859-S
[noun]	5-228-S,5-272-S,5-6100-S,5-6146-S,5-6179-S,8-6189-S,8-6275-S,9-2628-S,9-2660-S,9-4549-S,9-4627-S,9-4777-S,9-4813-S,9-4851-S,10-4742-S,10-4809-S,11-5738-S,12-2474-S,12-2512-S,14-4646-S,14-4681-S,14-4716-S,14-4749-S,16-5296-S,18-2418-S,18-2581-S,19-4059-S,20-2366-S,20-2562-S,20-2784-S,21-4315-S,21-4368-S,22-702-S,22-743-S,22-786-S,22-857-S,24-1190-S,24-2586-S,24-2668-S,40-5405-S,41-4847-S,41-4880-S
[verb]	9-4472-S,21-4192-S
a	4-1999-B
a -um[adjective]	14-4786-S
a ab abs	2-8077-B,2-8135-B,2-8182-B,2-8243-B,2-8289-B,2-8338-B
a tergo )	16-570-S
a, -um[adjective]	6-6448-S,14-2727-S,19-2772-S,21-4278-S
ab abs	2-8077-S,2-8135-S,2-8182-S,2-8243-S,2-8289-S,2-8338-S
abaci[noun]	4-2137-B
abacus[noun]	4-2117-B
abalienato	39-4614-B
abavus	14-3556-B
abbas, abbatis	12-4228-B
abbas, gen. abbatis[noun]	4-3073-B,4-3194-B
abbates[noun]	4-3226-B
abbatia	4-3134-B
abbatia, -ae, fem[noun]	4-3104-B
abbatiae, -arum, fem[noun]	4-3160-B
abbatis	12-4228-S
abbatis[noun]	4-3073-S,4-3194-S
abdicare[verb]	4-3274-B
abdico	36-2724-B
abdo	22-2542-B
abdomen	6-5898-B
abdomen[noun]	4-3298-B
abduco	34-989-B
abeo	3-1959-B,31-1406-B,32-7477-B,35-1303-B
aberro	39-778-B
abhinc	5-1105-B
abhorreo	37-1822-B
abhorrere[verb]	4-3432-B
abicio	38-3072-B
abico	33-4561-B
abiectus[adjective]	9-1008-B
abiego	36-7399-B
abigo	31-4216-B
abiungo	38-7277-B
abiuro	30-7033-B
abjectus[adjective]	4-3581-B
abl.: -ore, -ori)[adjective]	19-856-S
abluo	39-1307-B
abnego	30-7147-B
abnepos	14-3588-B
abnocto	37-3954-B
abnuo	30-7171-B
aboleo	31-617-B
abolesco	31-1162-B
abominor	27-4677-B
aborior	37-47-B
abortio	18-4913-B
abortivus	20-1476-B
abrogo	36-2957-B
abrumpo	29-2841-B
abruptio	24-1745-B
abs	2-8077-S,2-8135-S,2-8182-S,2-8243-S,2-8289-S,2-8338-S
abscedo	32-7414-B
abscido	30-5454-B
absconditus	15-2031-B
abscondo	33-3721-B
absens, absentis	1-3995-B
absentis	1-3995-S
absisto	32-7449-B
absorbeo	38-674-B
absque	1-405-B
abstergo	39-2417-B
abstulo	38-1180-B
absum	28-3402-B
abundans	4-4115-B
abundantia	4-4032-B
abunde	16-29-B
abutor	34-5122-B,38-7630-B
abyssus	15-1742-B
ac	3-2140-B
ac (diff. spelling of atque)[conjunction]	7-4438-B
ac si	16-6557-S
accedo	28-481-B
accelero	35-7245-B
accendo	33-6810-B,36-4814-B
acceptius	26-445-B
acceptus	41-3155-B
acceptus[adjective]	41-3049-B
accersitus	26-723-B
accerso	29-4619-S
accido	10-4436-B,32-650-B
accipio	8-1282-B,30-3515-B
acclivius	41-3390-B
accommodo	27-5884-B
accredo	29-940-B
accubo	36-648-B
accumulo	27-5468-B
accusator	4-4892-B
accuse	27-5019-B
accuso	27-5061-B
acer	24-3016-B,25-4559-B
acerbitas	14-5879-B
acerbus	7-301-B,24-3742-B
acervus	3-5460-B
acidus	24-3057-B
acies	5-5815-B,17-0-B
acquiesco	36-3233-B
acquiro	27-5288-B
acriter	3-292-B
acsi	5-6406-B
actio	27-5454-B
actum	37-4010-S
actus	19-681-B
adamans	25-4157-B
adamo	32-867-B
adapto	4-5239-B
adaugeo	34-5160-B
addo	32-6626-B
adduco	34-948-B
ademptio	4-776-B
adeo	1-6016-B,28-573-B,37-7452-B
adeptio	6-1798-B
adepto	34-7665-B
adfectus affectus	2-1677-B
adfero	29-4671-S
adfero affero	29-4014-B,29-7205-B
adfero)	15-420-S
adficio	27-6181-B
adflicto affligo	33-5342-B
adhaero	33-2487-B,37-5780-B
adhuc	27-3664-B
adicio	31-1482-B
adimpleo	32-5073-B
adinvenio	31-1086-B
adinventio	33-5902-B
adipiscor	27-5248-B,30-1600-B
aditus	11-6272-B
adiutorium	6-576-B
adiuvare[verb]	4-3387-B
adiuvo	33-3570-B
adjicio	27-5572-B
adjungo	33-6127-B
adminiculum	6-547-B
administratio	14-1796-B
administro	33-2130-B
admiratio	42-1783-B
admiror	39-2975-B
admitto	27-6008-B
admoneo	4-5798-B,38-7593-B
admoneo, -ere, -monui, -monitum[verb]	5-400-B
admonitio	41-1381-B
admoveo	34-6919-B
adnihilo	29-4233-B
adnuo	34-7262-B
adolescens	42-3660-B
adopto	39-2628-B
adorno	31-6260-B
adpropinquo	3-0-B
adservio	27-6513-B
adsidue assidue	9-2267-B
adstringo	2-7445-B,31-3748-B
adsuesco assuesco	33-1286-B
adsuetudo	10-251-B
adsum	28-1966-B,38-3728-B
