recubo	36-682-B
recuperatio	22-5408-B
recupero	36-1687-B
recuso	36-1588-B,36-1669-B
redactum	29-4074-S
redarguo	11-182-B,30-3284-B
reddere	36-4407-S
reddo	32-6204-B,33-4804-B,36-3001-B,36-4029-S
redemptio	22-3777-B
redemptor	22-5509-B
redeo	28-5881-B,32-504-B,32-7545-B
redigo	29-3752-B
redigo, redactum	29-4074-B
redimio	30-5029-B
redimo	36-1095-B
redintegro	36-2840-B
reditus	23-1941-B
redivivus	23-263-B
redomo	29-3384-B
redono	32-6174-B
reduco	34-649-B
redundantia	20-4791-B
redundo	35-466-B
redux	20-1249-B
refectorium	22-5673-B
refer	36-875-B
refercio	37-7146-B
refero	29-3585-B,29-3650-B,29-6214-B,35-6447-B,36-5945-B
refero, retuli, relatum	29-3696-B
refert	2-2105-B
refertus	25-5905-B
reficio	36-2815-B
reformo	32-4433-B
refoveo	30-0-B
refragatio	23-1081-B
refreno	29-7451-B
refrigerium	9-326-B
refugium	22-5716-B
refulgo	37-1257-B
refundo	33-5243-B
refuto	36-3100-B
regalis	19-5603-B
regenero	28-4055-B
regimen	23-4531-B
regina	22-3057-B
regio	22-5953-B
regis	17-623-S
regius	23-4083-B
regno	36-1761-B
regnum	23-4338-B
rego, rexi, rectum	33-2031-B
regredior	34-5821-B
regressus	23-1903-B
regula	23-4309-B
rei	27-2537-S
relatio	36-3214-B
relatum	29-3696-S
relatus	22-5233-B
relaxo	34-3700-B
relectum	36-279-S
relegi, relectum	36-279-S
relego, relegi, relectum	36-279-B
relevo	34-2433-B
relictus	17-2944-B,25-853-B
relictus[adjective]	13-3721-B
religio	12-4898-B
religiosus	14-2542-B
relinquere, derelinquere	4-2173-B
relinquit, destituit[verb]	4-2441-S
relinquo	34-1385-B
reliquum	23-110-B
relucesco	28-7728-B
reluctor	37-7108-B
rem	41-4061-S
remandatum	23-466-B
remando	34-7368-B
remaneo	36-2172-B
rememdium	9-6413-B
remeo	36-3999-B
remigium	19-5067-B
reminiscor	36-439-B
remissi[verb]	4-2900-S
remissio	4-2938-B
remissiones[noun]	4-2957-B
remittens[adjective]	4-3025-S
remittit[verb]	4-2986-S
remitto	32-4380-B
removeo	31-3351-B
remuneror	36-2909-B,36-2937-B
remunio	36-1530-B
reniteo	32-3221-B
renovatio	23-219-B
renovo	36-4339-B
renuntio	30-6145-B
renuo	30-7116-B
reor	38-2990-B
reparo	36-3804-B
repecto	30-891-B
repedo	32-7750-B
repello	31-4144-B
rependo	36-0-B
repens	26-313-B
repente	26-413-B
repentina	26-355-B
repere	30-4616-B
reperio	32-5670-B,34-6227-B
repetitio	23-444-B
repeto	32-1130-B,36-4077-B,36-6620-B
repleo	36-3154-B
repletus	12-6218-B
replico	36-1448-B
repo, repsi, reptum	30-4749-B
repono	31-41-B
repraesento	31-2266-B
reprehendo	29-2059-B
reproba	5-575-B
reprobabilis	8-5961-B
reprobo	22-6123-B
repromitto	35-5478-B
repsi, reptum	30-4749-S
reptum	30-4749-S
repugno	34-5604-B
repungo	35-4881-B
repuo	36-1796-B
reputo	29-999-B,36-594-B
requies	23-554-B
requietum	23-516-B
requiro	28-1356-B,36-6709-B
res	19-5422-B,27-2577-B
res publica	8-4966-B
res rei	27-2537-B
resarcio	36-2876-B
reseco	30-5356-B,30-5434-B
resero	36-4216-B
reservo	17-58-B
resideo	27-4721-B
resipisco	36-963-B
resisto	36-3422-B,36-3480-B
resolvo	31-5268-B
resono	36-3559-B
resonus	23-1228-B
respectus	22-5767-B
respergo	3-1759-B
respicio	34-3325-B,38-5932-B
respiratio	23-1496-B
respiro	29-3415-B
respondeo, respondi, responsum	28-50-B
respondi, responsum	28-50-S
responsal	10-3607-B
responsiva	4-1826-B
responsum	28-50-S
respublica	25-3716-B
respuo	36-1552-B
restauro	36-3936-B
restio	23-3755-B
restituo	23-1596-B
restruo	36-3957-B
resumo	36-1017-B
resupinus	18-82-B
resurrectio	12-2777-B
retardo	33-4859-B
retendo	37-2530-B
retineo	33-3954-B,36-2310-B
retracto	36-834-B
retractum	31-3298-S
retraho, retraxi, retractum	31-3298-B
retraxi, retractum	31-3298-S
retribuo	32-6106-B
retrogradior	32-7769-B
retrudo	38-3472-B
retuli, relatum	29-3696-S
retundo	29-7537-B
reus	9-6034-B,10-2424-B
revello	39-327-B
revenio	30-1067-B
revera	16-300-B
reverbero	36-3134-B
reverens	23-2084-B
reverenter	42-619-B
reverentia	6-2785-B
revereor	37-5085-B
reversus	36-4138-S
reverti, reversus	36-4138-S
reverto	32-7714-B
revertor, reverti, reversus	36-4138-B
revoco	29-5503-B
revolvo	36-1352-B,38-7453-B
rex regis	17-623-B
rexi, rectum	33-2031-S
rhetor	20-3034-B,23-2316-B
rhetoricus	23-2293-B
richarius	25-3298-S
