temporis	27-3810-S
temptatio	39-5541-B
tempus	2-10299-S
tempus temporis	27-3810-B
tenax	14-3340-B
tendo	31-1530-B,37-6962-B
teneo	25-3842-S,33-1021-B,33-4281-B,33-6505-B,34-7761-B
teneo iter	33-4145-B
tener	26-4328-B
tener tenera tenerum	26-4276-B
tenera tenerum	26-4276-S
tenerum	26-4276-S
tenor	24-1313-B
tentatio	39-5392-B
tento	38-5737-B
tentorium	26-4342-B
tenuis	27-2415-B
tenura	15-2802-B
tenus	1-6076-B,2-8695-B,19-3271-S
tepesco	30-4220-B
tepidus	17-6287-B,41-1304-B
ter	27-3472-B
terebro	29-2568-B
teres	23-4035-B
terga dare	32-3442-B
tergeo tergo tersi tersum	39-2513-B
tergiversatio	6-2942-B
tergo (a tergo )	16-570-B
tergo )	16-570-S
tergo tersi tersum	39-2513-S
tergum	3-1314-S,24-5411-B
tergus	26-5011-B
termes	4-1223-B
terminatio	26-4373-B
termino	23-1690-B
terminus	3-2808-B
tero, trivi, tritum	36-4859-B
terra	11-3477-B
terrarum	27-1342-S
terrenus	11-3519-B
terreo	32-4998-B
terribilis	11-1929-B
terrigenus	16-2130-B
territo	27-6238-B,32-2477-B,36-6171-B
terror	13-6218-B
tersi tersum	39-2513-S
tersum	39-2513-S
tersus	8-3454-B
tertius	27-2723-B
testificor	29-5586-B
testimonium	22-234-B
testis	18-2357-B,20-1608-B
tetigi tactum	38-4751-S
tetigi-tactum	3-2257-S
texi, tectum	30-4409-S
texo	27-212-B,39-1761-B
textilis	42-2744-B
textor textrix	41-2228-B
textrix	41-2228-S
textus	42-2719-B
thalassinus	24-185-B
the metal)[noun]	16-5296-S
the shade of an umbrella)[noun]	24-2586-S,24-2668-S
theatrum	27-1466-B
theca	8-366-B
thema	25-6185-B
thema thematis	27-1535-B
thematis	27-1535-S
theologi[noun]	27-1842-B
theologia[noun]	27-1904-B
theologicus[adjective]	27-1869-B
theologus	27-1820-B
theologus[noun]	27-1793-B
theorema[noun]	27-1929-B
theorice	21-1165-B
theoricus	18-3396-B
thermae	41-1270-B
thesaurus	39-5175-B
thesis	22-522-B
thorax	9-2984-B
thymbra	26-5772-B
thymum	26-5797-B
tibi	1-8052-B
timeo	32-1853-B
timidus	12-3135-B
timor	12-5000-B
tinnio	36-4503-B
tiro	19-2802-B
titubo	39-1450-B
titulo	29-5840-B
titulus	17-875-B,39-3623-B
tolero	38-4310-B
tollo	34-2417-B,34-2602-B
tollo sustuli sublatum	34-2537-B
tondeo totonsi tonsum	24-3098-B
tonsor	6-3726-B
tonsum	24-3098-S
tormen, tormina	39-4126-B
tormina	39-4126-S
tornacense	39-4329-B
torpeo	28-6315-B
torqueo	38-6545-B,38-6583-B
torreo	36-4677-B
tortitudo	41-5152-B
torva	23-5841-B
tot	2-2442-B,25-340-B
totidem	16-6598-B
totiens	25-299-S
toties, totiens	25-299-B
toto	5-1784-B
totonsi tonsum	24-3098-S
totus	41-4727-B
toxicum	21-3184-B
traba	3-2498-B
tractare	33-2288-B
tracto	31-3197-B,35-3396-B
tractum	31-3248-S
tractus	3-4313-B,9-3449-B,25-1836-B
tradidi, traditum	26-1452-S
traditio	6-6602-B
traditum	26-1452-S
trado	29-1314-B
trado, tradidi, traditum	26-1452-B
traduco in passive	28-4127-B
traho, traxi, tractum	31-3248-B
traiectensium	40-4511-B
traiectum	18-310-B
trans	1-768-B
transactum	35-1331-S
transcendo	38-468-B
transcurro	38-5359-B
transeo	33-361-B,35-1166-B
transfero, transtuli, translatum	8-115-B
transfreto	30-4786-B
transgredior	35-1063-B
transigo, transactum	35-1331-B
transilio	34-1197-B
transitus	9-5313-B
translatio	39-4659-B
translation[noun]	20-5071-S
translato	38-5045-B
translatum	8-115-S
transmaritanus	7-0-B
transmeo	32-7230-B
transmitto	36-7534-B
transporto	24-1221-B
transtuli, translatum	8-115-S
transveho	30-4199-B
transverbero	35-1924-B
traxi, tractum	31-3248-S
trebuchettum	4-1181-B
tredecim	2-2465-B
trellum	39-5338-B
tremere[verb]	22-2855-B
tremo	38-5440-B
tremor	39-5374-B
tremulus	22-3424-B
trepide	42-853-B
trepido	38-5502-B
trepidus	5-1557-B
tres tria	27-3497-B
tres, tria (m/f, n)[adjective]	27-3383-B
treverim	39-5649-B
tri (m.); magistra, -ae (f.)[noun]	18-2418-S
tria	27-3497-S
tria (m/f, n)[adjective]	27-3383-S
tribulatio	39-5570-B
tribuo	29-1520-B,32-6474-B
tributarius	25-6153-B
tributum	20-6681-B
tricesimus, triduana	17-2057-B
triduana	17-2057-S,17-2098-B
triduanus	27-3420-B
triduum	3-6635-B
trilustralis	17-2017-B
trimodus	39-5685-B
trinus	39-5704-B
tripudio	29-7270-B,34-1243-B
tripudium	16-6311-B,39-4892-B
triste	25-1527-B
tristifico	34-5665-B
tristis	10-5920-B,23-5059-B,23-5071-B
tristor	28-6079-B
triticeus	25-1811-B
tritico	27-3514-B
triticus	41-3798-B
tritum	36-4859-S
trium fontium	39-5816-B
triumphalis	39-5760-B
triumphus	39-5719-B
trivi, tritum	36-4859-S
trucido	33-6623-B
truculenter	1-5793-B
trudo	38-3520-B
trunco	18-951-B
trutino	28-2865-B
trux	12-5431-B
tu	42-3615-B
tuba	41-1458-B
tubineus	8-6525-B
tueor	38-7560-B
tui	42-3899-B
tuli latum	29-6770-S
tum	6-1414-B
tumba	39-3685-S
tumbarius	17-146-B
tumbus, tumba	39-3685-B
tumeo	35-5903-B
tumesco	38-817-B
tumidus	11-4332-B
tumor	8-5026-B
tumulo	29-5278-B
tumulosus	15-2332-B
tumultuarius	22-3682-B
tumultuor	28-5130-B
tumultuosa	14-121-B
tumultus	7-4335-B,40-3943-B
tumulus	19-386-B
tunc	27-1557-B
tungris	39-3735-B
turba	18-5345-B,40-3989-B
turbatio	11-845-B
turbatus	5-4232-B
turbo	15-4859-B,27-6326-B,31-2506-B,41-4444-B
turgida	26-2047-B
turma	27-3586-B
turpe	3-4177-B
turpis	13-4753-B,40-2872-B
turpis[adjective]	9-1113-B
turpiter	15-6482-B
turpitudo	6-4010-B
tus)	25-2944-S
tussio	30-4282-B
tussis	3-3630-B
tutamen, tutaminis	10-2484-B
tutaminis	10-2484-S
tutela	7-6146-B,22-1197-B
tutis	22-1136-B
tutor	10-2468-B
tutus	23-5271-B
typicus	26-2371-B
typus	39-6703-B
tyrannus	39-6715-B
ualeo	28-3174-B
uber	14-0-B,21-6409-B
uberrime	19-237-B
ubertas	7-2649-B,21-2620-B
uberte	4-4161-B
ubi	41-3902-B
ueraciter	18-6227-B
ueratius	18-6207-B
ui	37-4907-S
ui, -utus[verb]	22-960-S
ui-utum	3-2180-S
ulciscor	38-1804-B,38-1946-B
ullatenus	15-6578-B
ullus	5-4592-B
ulterius	12-3900-B
ultio ultionis	6-2604-B
ultionis	6-2604-S
ultor	6-2573-B
ultra	1-924-B,1-1021-B
ultrix	6-2650-B
ultroneus	19-6056-B
ululatus	15-4536-B
um[adjective]	6-6448-S,14-2727-S,14-4786-S,19-2772-S,21-4278-S
umbra	24-2647-B
umbra, -ae (f.) (as in the shade of an umbrella)[noun]	24-2586-B
umbrae, -arum (f) (as in the shade of an umbrella)[noun]	24-2668-B
umbrella)[noun]	24-2586-S,24-2668-S
umerus humerus	24-3684-B
umquam	12-796-B
una	1-5217-B
unanimis	19-6034-B
uncia	4-1365-B
unciatim	17-4718-B
unda	7-144-B
unde	41-3952-B
undique	13-6295-B
undique secus	13-6435-B
undisonus	23-1189-B
undo	38-399-B
unguentum	23-5726-B
universa	11-6222-B
universe	14-1118-B
universi	5-1761-B
universitas	27-1202-B
universum	40-2040-B
universus	8-4583-B
unus	4-2003-B,20-1880-B
upilio opilio	24-3338-B
uranicus	15-1454-B
urbanus	40-4055-B
urbis	8-3178-S,16-3809-S
urbs	8-3161-B
urbs urbis	8-3178-B
uredo	3-6773-B,7-828-B
urgeo	31-4411-B
urino	31-2571-B
urinor	3-4264-B
us	18-276-S,22-1439-S
us (m.)	20-2686-S
us (m.)[noun]	22-786-S,24-1190-S
usitas	10-412-B
usitatus -a -um[adjective]	14-4786-B
usitor	28-5253-B
usquam	5-4924-B
usque	5-1723-B
usquequaque	5-2863-B
ustilo ustulo	29-5198-B
ustulo	29-5198-S
usura	40-4401-B
usurpo	28-643-B,34-7619-B,38-1365-B
usus	38-7687-S,40-4282-B
ususfructus	21-6595-B
ut	1-2450-B,1-2689-B,1-2722-B,1-2770-B,2-10085-S
ut +subjunctive	28-1408-S
ut, proinde quam	16-6662-S
uter, utrius	11-4256-B
utercumque	41-4299-B
uterlibet	41-4258-B
uterque	2-1874-B
uterus	42-1748-B
uti, usus	38-7687-S
uticensium	12-1107-B
utilis	6-6148-B,40-4330-B
utilitas	40-4463-B,40-4493-B
utinam	15-5270-B
utique	6-809-B
utor	28-2043-B,38-946-B,42-813-B
utor, uti, usus	38-7687-B
utpote	24-890-B
utrimque	13-6357-B
utrius	11-4256-S
utroque	29-2676-B
utrum	41-4144-B
utrum...an	41-4118-B
utum	3-2180-S
utus[verb]	22-960-S
uxor	41-5522-B
vacillo	32-967-B
vaco	28-4726-B
vacuus	11-5006-B,42-1594-B
vado	14-2480-B
vadum	13-3159-B
vae	2-2626-B
vafra	9-4441-B
vagitus	25-3060-B
vagus	40-4594-B
valde	4-5347-B,16-4370-B,16-4418-B,25-5691-B
valedico	7-53-B
valens	25-4657-B
valentia	40-6244-B
valeo	33-3150-B
valeo, valui, valiturus	28-6475-B
valesco	33-1729-B
valetudo	8-6417-B,15-923-B
validus	18-4420-B,25-5633-B,40-6260-B
valiturus	28-6475-S
vallo	38-542-B
vallum	20-5480-B,20-5534-B
valui, valiturus	28-6475-S
vapulus	13-1404-B
varietas	8-1770-B,40-4888-B
varius	8-1795-B,40-4959-B
vas	40-5887-B
vasallus	24-1933-B
vastata	22-4371-B
vastatio	10-4666-B,22-4388-B
vates	6-3741-B
vectigal	23-2022-B
vectigalis	39-5594-B
vectum	29-6855-S
vegetabilis	16-5167-B
vegetabiliter	40-6295-B
vegeto	33-5927-B
vegetus	17-4864-B
vegrandis	10-5545-B
vehemens	40-5096-B,40-6689-B
vehementer	15-5874-B,40-6758-B
vehiculum	9-2597-B
veho	2-2393-B,36-5803-B
veho vexi vectum	29-6855-B
vel	20-2936-B,40-5155-B
vela	32-5114-S
velamen	9-4050-B
veles	17-4121-B
velico	35-2979-B
velieris	15-2062-S
velitatio	24-5454-B
velius, velieris	15-2062-B
velivola	41-6099-B
velle)	34-6107-S
vellere[verb]	26-3340-B
velli, vulsum	35-6005-S
vellit[verb]	26-3809-B
vello, velli, vulsum	35-6005-B
velociter	22-3204-B
velox	13-1181-B
velum	23-5554-B,23-5565-B
velut	4-6660-B
vena	40-5115-B
venalia	40-5266-B
venalicium	18-2133-B
venalis	28-6373-B
venaliter	7-4801-B
venatio	15-4825-B
venator	15-4799-B
venatus	14-679-B
venditio	23-5618-B
vendo	36-7289-B
vendolius	40-5202-B
veneficus	21-3200-B
venenifer	21-3263-B
venenum	11-2535-B
veneratio	23-1248-B
venia	14-3090-B
venia[noun]	13-3624-B
venio	30-957-B,32-5729-B
venire contra	30-1537-B
veno	3-1161-B
venor	33-4620-B
ventagium	42-205-B
venter, ventris	27-981-B
ventilo	32-1573-B,38-4429-B
ventio	3-3579-B
ventito	30-1160-B
ventorium	42-178-B
ventorum	35-5036-S
ventosa	8-5988-B
ventosus	14-262-B
ventris	27-981-S
ventulus	7-3081-B
ventus	41-5875-B
venum	3-983-B
venustas	17-6071-B,17-6123-B
venustus	17-6144-B
vepres	27-3015-B
ver	25-3030-B
ver, veris	25-2985-B
vera	16-798-S
verber	17-1852-B
verbera	2-2259-B
verberantia	3-4712-B
verbero	34-0-B
verbigena	15-644-B
verbis suis, meis, etc	16-79-B
verborum[noun]	9-1846-S
verbum	42-2167-B
vercundus	6-4030-B
vere	15-6756-B,39-6129-B
verecunde[adverb]	18-3656-B
verecundia	12-5213-B
verecundia[noun]	18-3736-B
verecundor	32-2078-B
verecundus	24-2863-B
verecundus[adjective]	18-3606-B
verendus	23-2065-B
vereor	32-1923-B,36-3626-B
vergo	29-1213-B
veridicus	39-6420-B
veris	25-2985-S
veritas	39-6445-B,39-6460-B
veritas[noun]	39-6369-B
veritatem imitari[adjective]	22-5014-B
veritatem imitari[noun]	22-4982-B
vermis	42-2415-B
vernandense	40-5323-B
verno	29-2208-B
vernula	24-1951-B
vero	16-754-B
versatilis, -e[adjective]	40-5347-B
versatus[adjective]	12-2019-B
versicolor, -oris (abl.: -ore, -ori)[adjective]	19-856-B
versificator, -oris (m.)[noun]	40-5405-B
verso	39-2375-B
versor	36-2214-B
versus	17-4504-B
versute[adverb]	9-6252-B
versutia	16-3085-B
versutiae, -arum[noun]	9-6201-B
verto	3-880-B,32-3481-B,38-6069-B,38-6483-B
verto in prosperum	38-6099-B
verum-i	39-6389-B
verumptamen	19-4239-S
verumtamen verumptamen	19-4239-B
verus	39-6096-B
verus[adjective]	22-4960-B
vesco, vescor	32-2021-B
vescor	32-2021-S
vesica	7-482-B
vesper	12-766-B
vespera	12-733-B
vespillo	40-694-B
vester, vestra, vestrum	2-7863-B
vestigium	13-2303-B
vestimentum	14-803-B
vestio	30-713-B
vestis	8-3984-B
vestitus	8-4047-B
