explicatus	12-2128-B
explico	38-6753-B,38-7218-B
explorator	24-139-B
expono	32-79-B
expono (exposui expositum )	37-320-B
exporrigo	37-4451-B
exposco	31-6110-B
expositum )	37-320-S
expositus	20-2077-B
expostulo	30-6739-B
exposui expositum )	37-320-S
exprimo	36-3294-B
expugno	29-5914-B,38-1212-B
expuli expulsum )	31-4270-S
expulsum )	31-4270-S
expurgo	35-6105-B
exquisitus	25-1558-B
exsecrabile	10-4642-B
exsecror	31-1033-B
exsequiae	22-6660-B
exsequor	31-159-B,31-7072-B,34-4056-B
exsequor exequor	32-3928-B
exsertus exertus	21-6826-B
exsilio	37-4602-B
exsilium	12-1859-B
exsisto	31-5022-B,31-5060-B
exsisto existo	37-5039-B
exsors	10-3464-B
exspectata	41-3215-B
exspecto	28-2683-B,34-3438-B
exstasis	5-2883-B
exstinctum	32-187-S
exstingui, exstinctum	32-187-S
exstinguo, exstingui, exstinctum	32-187-B
exsto	37-5153-B
exsul	12-1887-B
exsulo	34-2908-B
exsulto	36-4234-B
exsupero	31-6831-B
extemplo	28-2119-B
extendo	37-6359-B
exter, externus	13-3251-B
exterminata	6-3546-B
extermino	12-2425-B
externus	13-3251-S,20-4195-B
exterritus	26-4475-B
extimus	20-4274-B
extollo	31-6670-B,34-2484-B,35-3858-B
extorqueo	38-6676-B
extra	2-8608-B
extractum	11-1707-S
extraho	21-6868-B,31-3447-B
extraho extraxi extractum	11-1707-B
extraneus	3-4780-B,20-4365-B
extrarius	20-4493-B
extraxi extractum	11-1707-S
extremitas	11-5339-B,11-5407-B
extremus	20-4239-B
extrico	10-6193-B
extrinsecus	20-4551-B
extrudo	31-4337-B
extuli, elatum	29-6571-S
extundo	11-2350-B,32-4482-B
exturbo	31-4109-B
exuberans	26-935-B
exubero	27-4782-B,33-1774-B
exulcero	27-6259-B
exulto	32-292-B
exululo	33-4537-B
exundo	35-437-B
exuo	31-2586-B,34-282-B
exuro, exussum	7-4239-B
exussum	7-4239-S
exustio	7-4284-B
exuviae	1-6184-B,25-2823-B
f) (as in the shade of an umbrella)[noun]	24-2668-S
f)[noun]	14-4681-S,14-4716-S,14-4749-S
f, n)[adjective]	27-3383-S
f. distringo)	25-5209-S
f.) (as in the shade of an umbrella)[noun]	24-2586-S
f.), gen. deminutionis[noun]	4-2573-S
f.), gen. destitutionis[noun]	4-2354-S
f.), gen. perturbationis[noun]	4-2784-S
f.); adversator, -oris (m.)[noun]	20-2366-S
f.)[noun]	5-228-S,5-272-S,8-6189-S,8-6275-S,9-4851-S,18-2418-S,18-2581-S,20-2562-S,22-857-S,41-4847-S,41-4880-S
faba	7-3756-B
faber	9-4374-B,24-5278-B
fabre	24-5357-B
fabrica	18-1906-B
fabrico	30-3766-B
fabrilis	42-2321-B
fabula	12-2974-B,12-3007-B
facesso	39-3050-B
facies	6-334-B,12-3069-B
facile	11-3596-B,11-3631-B
facile[adverb]	22-4630-B
facilis	11-3713-B
facillimus	11-3547-B
facina -oris	6-3012-B
facinarose	40-6059-B
facinus	40-6551-B
facio	2-9513-B,32-6537-B,33-6096-S,36-5679-B
facio + inf.	29-4285-B
facio servitium	28-5213-B
facis	3-3064-B
facticius	5-6226-B
factum	4-5032-B,10-2179-B
factus	6-4295-S
facultas	4-3548-B,12-5069-B,21-3961-B
facultas[noun]	4-3525-B
facunda	11-4757-B
facunde	11-4775-B
facundia	12-5447-B
facunditas	12-5592-B
facundus	11-4674-B
faeneror	33-4590-B
faenum, fenum	15-578-B
faex	15-6302-B
falcis	24-3892-S
fallo	30-5868-B
falsidicus	18-113-B
falsus	12-3583-B
falx	24-157-B
fama	23-484-B,26-2946-B
famen	42-2130-B
fames	12-3753-B
familia	12-3702-B
familiaris	6-5924-B
familiaritas	8-6759-B
famosus	19-703-B
famulatus	19-5264-B,24-2066-B
famulo	28-2473-B
famulor	28-3079-B
famulus	24-2022-B
fanaticus	11-6113-B
fanum	4-882-B
far farris	25-2398-B
farci, farci, fartum	32-2672-B
farci, fartum	32-2672-S
farcio	37-7171-B
fari, fatus	1-8426-S
farina	18-2962-B
farrago	18-5193-B
farrago[noun]	18-3535-B
farratus	22-1364-B
farris	25-2398-S
fartim	25-5967-B
fartor	20-1537-B
fartum	32-2672-S
fas	11-976-B
fas est	16-5997-B
fascia	6-3495-B
fascino	29-1649-B
fascis	7-4059-B
fastidio	31-2036-B
fastidiosus	25-3107-B
fastidium	6-2667-B,10-6310-B,24-84-B
fastidium[noun]	9-962-B
fastigate	24-5591-B
fastigatus	21-3120-B
fastosus	21-5891-B
fastus	15-195-B
fatalis	10-1431-B
fateor	30-2892-B
fatiga[verb]	26-3956-B
fatigare[verb]	26-3872-B
fatigatus	41-2136-B
fatigo	33-2657-B,42-2428-B
fatua	13-2191-B
fatum	12-4189-B
fatuo	36-2656-B
fatus	1-8426-S
fautor	12-4789-B,22-159-B
faveo	1-1486-B,1-2474-B,32-1806-B
favillesco	36-1205-B
feculentia	11-2071-B,11-2114-B
fecunda	21-2664-B
fecundo	12-5647-B
fefello	28-4674-B
felicis	17-6248-S
felicitas	14-5338-B
feliciter	14-5276-B
felix	14-5359-B
felix felicis	17-6248-B
fem[noun]	4-3104-S,4-3160-S
femina	42-1631-B
fenestra	41-5938-B
fenum	15-578-S
fera	41-5541-B
fere	5-2334-S,5-2361-B,28-7201-S,41-3415-B
feretrum	7-76-B,7-99-B
ferinus	7-3979-B
feritas	41-5652-B
feriter	12-5882-B
ferito	32-2414-B
ferme, fere	5-2334-B
fero tuli latum	29-6770-B
ferocia	15-2161-B
ferocitas	9-3280-B,23-5890-B
ferociter	42-752-B
ferox	15-905-B,25-2511-B
ferramenta	39-3834-B
ferramentum	16-5338-B
ferrarius	19-5938-B
ferrati	9-6013-B
ferratilis	15-6613-B
ferratus	4-382-B,16-5386-B
ferre	37-1581-S
ferre / pre se ferre	37-1581-S
ferreus	18-487-B
ferrugineus	23-4678-B
ferrugo	26-5098-B
ferrum	16-5366-B,26-2084-B
ferrum, -i (n.) (as the metal)[noun]	16-5296-B
fertilis	13-6955-B
fertilitas	4-4070-B,12-5556-B
ferula	26-5719-B
ferus	12-5815-B,12-5868-B
fervefacio	33-3440-B
fervens	14-2235-B
ferventer	15-3921-B
ferveo	6-4259-B,28-3946-B,29-2504-B
fervesco	28-7841-B
fervidus	7-1524-B,12-5932-B
fessus	41-2155-B
festinanter	15-34-B
festinatio	25-2232-B
festino	33-2786-B,34-5254-B
festinus	14-6002-B
festivus	12-5702-B
feteo	33-2951-B
fictum	38-4598-S
fictus	12-5328-B
ficus	12-6049-B
fidelis	12-3294-B,40-3430-B
fidelitas	12-5778-B
fidens	8-6715-B
fides	18-131-B,21-6910-B,22-0-B,39-6223-B,39-6320-B
fiducia	8-6677-B,39-6273-B
fiducialiter	8-6807-B
fidus	39-6355-B
fiendo	12-2844-B
fieri, factus	6-4295-S
filia	10-1228-B
filiolus	14-2576-B
filius	25-1320-B
fimus	11-2812-B
fines	26-4497-B
fines finium	7-2495-B
fingo, finxi, fictum	38-4598-B
finio	29-7254-B
finis	11-5370-B
finitimus	4-5629-B
finitimus finitumus	19-2383-B
finitumus	19-2383-S
finium	7-2495-S
finxi, fictum	38-4598-S
fio, fieri, factus	6-4295-B
firmamentum	25-5120-B
firmiter	11-5528-B
firmitudo	11-2845-B
firmo	28-1848-B,34-5364-B
firmus	13-0-B,25-3857-B
flagello	41-4420-B
flagitiosa	16-2775-B
flagitium	10-6283-B
flagro	29-2122-B
flamen	7-3046-B
flamma	13-904-B
flandrensis	13-1221-B
flatus	7-1290-B
flax, falcis	24-3892-B
flebilis	17-1330-B
flebilis[adjective]	26-3404-B
flecto	35-342-B
fleo	39-1817-B,39-1947-B
flere	30-5200-B
flere[verb]	41-2333-B
fleret[verb]	41-2632-B
fletu[adverb]	26-3538-S
fletus	41-2532-B
fletus[noun]	26-3244-B,26-3359-B,41-2411-B
flexilis	21-2704-B
floccipendo	4-4570-B
floreo	27-3927-B
floresco	29-434-B
flos	9-5601-B
fluctivagus	41-1624-B
fluctus	7-164-B,13-1444-B
fluidus	18-5718-B
flumen	23-3267-B
fluo	32-3755-B
fodio	35-4965-B
foede	13-4820-B
foederis	8-5094-S
foedero	27-6767-B
foedis-e	13-4707-B
foedo	35-3378-B
foedus	5-2027-B
foedus, foederis	8-5094-B
foeteo	37-2906-B
foetidus	24-6380-B
foetor	4-2010-B
foetus	42-3798-B
foliatus	17-2733-B
folium	17-2720-B
folliculus	24-6086-B
follis	3-5847-B
fomentum	19-4424-B,21-3772-B
fomes	25-4524-B
fomes, fomitis	27-3870-B
fomeus	25-0-B
fomitis	27-3870-S
fons, fontis	13-4943-B
fonticulus	24-6251-B
fontis	13-4943-S
fontium	39-5816-S
for	23-6007-B
for, fari, fatus	1-8426-B
forabilis	20-7000-B
foramen, foraminis	15-2883-B
foraminis	15-2883-S
foras	20-4413-B
forca	21-1677-B
forceps	21-1514-B
forda	3-3712-B
fore, forem	14-539-B
forem	14-539-S
forensis	22-1573-B,22-6340-B
forensis, e	17-3123-B
forfex	24-0-B
foris	3-4280-B,20-4033-B
forix, fornicis	5-5336-B
form, "but mind you..")[conjunction]	7-4381-S
forma	5-4988-B,13-3749-B
formalis	15-370-B
formamentum	8-6880-B
formator	3-4988-B
formatura	13-3933-B
formica	5-4449-B
formidilose	11-1982-B
formidilosus	8-869-B
formido	12-4979-B,28-6723-B
formido, formidonis	11-1780-B
formidolosus	12-5047-B
formidonis	11-1780-S
formo	32-1608-B,37-1091-B
formose	6-4849-B
formositas	6-4956-B
formosus	6-4776-B,12-6399-B
formula	21-1199-B
fornacalis	22-6308-B
fornacis	20-4604-S
fornacula	4-358-B
fornax, fornacis	20-4604-B
fornicatus	5-5466-B
fornicis	5-5336-S
foro	29-2604-B
fors fortis	8-1576-B
fors-itis	8-1611-B
forsan forsitan	21-83-S
