indicibilis	16-1956-B
indicium	10-1169-B,24-4170-B
indico	31-1827-B,31-5393-B,35-5193-B
indidi)	31-6509-S
indifferens	19-2478-B
indifferente	16-2058-B
indifferenter	16-2294-B
indigentia	16-2086-B
indigeo	36-3336-B
indignatio	11-116-B,16-2209-B
indignatus	16-2187-B
indignus	40-0-B,40-3745-B
indigus, indiguus	10-4136-B
indiguus	10-4136-S
indissolubilis	16-2027-B
indo (past indidi)	31-6509-B
indoles	14-1150-B
indolis	19-5844-S
indomitus	40-3247-B
indubitanter	42-1307-B
induco	7-3591-B,9-3964-B,29-4721-B
induco indux inductum	34-690-B
induco-are	34-1037-B
inductum	34-690-S
indulgens	16-2492-B
indulgeo	35-885-B
industria	10-5396-B
industrius	16-2513-B
indutiae	39-6042-B
indutus	6-2001-B,11-6313-B
induviae	8-3950-B
indux inductum	34-690-S
inedicabilis	40-1168-B
inedicibilis	16-2747-B
ineffabilis	40-3496-B
inefficaciter	16-2627-B
inefficax	16-2572-B
inennarabilis	16-1998-B
ineo	29-776-B,31-5973-B
ineptio	35-2574-B
inermis	10-2524-B
iners	40-3028-B
inexperta	40-3452-B
inexpugnabilis	15-5996-B
inf	37-7004-S
inf.	29-4285-S
inf.)[verb]	9-4472-S
infamo	35-7029-B
infandum	20-263-B
infantia	16-2796-B
infeci infectum	35-3156-S,38-3608-S
infector	11-3165-B
infectum	35-3156-S,38-3608-S
infectum reddere	36-4407-B
infectus	10-5878-B,40-3692-B
infecunditas	6-3899-B
infecundus	6-3804-B
infelicitas	6-3066-B
infeliciter	40-1545-B
infelix	26-5515-S,40-1429-B
infelix, arbor infelix	26-5515-B
infenso	28-2214-B
infensus	15-3851-B
inferi	27-3140-B
inferius infimus	17-6171-S
inferne	20-752-B
infero	1-3682-B,2-2161-B,29-6310-B,35-264-B,36-6060-B
inferus	6-6024-B
infervesco	30-1290-B
infeste	15-6438-B
infesto	28-2241-B,34-6707-B
infestus	5-1044-B
inficio	31-1847-B
inficio infeci infectum	35-3156-B,38-3608-B
infideles	12-3325-B
infidelis	40-1253-B
infidelitas	12-3411-B
infideliter	12-3374-B
infidi infissum	30-5397-S
infidus	40-3471-B
infigo	32-3023-B
infimus	17-6171-S
infindo infidi infissum	30-5397-B
infinitas infinitio	12-566-B
infinitio	12-566-S
infinitus	40-2400-B
infirmatio	41-1859-B
infirme	41-1905-B
infirmitas	16-2933-B,41-1930-B
infirmo	39-1467-B
infirmus	19-3820-B
infissum	30-5397-S
infit	15-717-B
infitialis	19-2045-B
infitias ire	30-7186-B
infitior	30-6974-B
inflammatio	24-2355-B
inflammo	37-578-B
inflatio	16-2955-B
inflatius	39-3791-B
inflatus	7-1247-B,21-3326-B
inflecto	39-1071-B
inflecto inflexi inflectum	29-1106-B
inflectum	29-1106-S
infletus	40-3541-B
inflexi inflectum	29-1106-S
inflexibilis	40-21-B
inflexio	3-2628-B
inflexus	6-6098-B
inflictum	37-6712-S
infligo inflixi inflictum	37-6712-B
inflixi inflictum	37-6712-S
inflo	29-2297-B,33-5173-B
influi influxum	32-3643-S
influo influi influxum	32-3643-B
influxum	32-3643-S
infodi infossum	31-1284-S
infodio infodi infossum	31-1284-B
informatio	8-6007-B
informis	13-3973-B
informo	33-5711-B
infortunatus	40-1385-B
infortunium	18-5022-B
infossum	31-1284-S
infra	1-845-B,1-4916-B
infra inferius infimus	17-6171-B
infractio	3-2913-B
infractum	28-7406-S
infractus	7-3873-B
infragilis	40-45-B
infregi, infractum	28-7406-S
infremo	33-1966-B
infrenatus	42-1005-B
infrendeo	32-7199-B
infrenis	40-77-B
infrenis, infrenus	40-97-B
infreno	29-3539-B
infrenus	40-97-S
infrequens	23-6185-B
infrequentia	23-6113-B
infringo, infregi, infractum	28-7406-B
infructuosus	40-2658-B
infrunitus	24-4296-B
infucatus	8-4507-B
infudi infusum	35-3545-S
infula	15-831-B,16-3856-B
infulatus	9-5638-B
infundo infudi infusum	35-3545-B
infusco	34-4848-B
infusio	41-3568-B
infusum	35-3545-S
ingemino	36-1151-B
ingemisco	33-1235-B,33-1266-B
ingemo	1-1960-B
ingenero	35-2536-B
ingeniose	8-3822-B
ingeniosus	4-3633-B
ingenium	16-3402-B
ingens	19-5876-B,21-6192-B
ingenuitas	13-5655-B
ingenuus	13-5819-B
ingero	33-86-B
inglorius	42-1367-B
ingluvies	2-6936-B
ingrate ingratiis ingratis	40-3638-B
ingratiis ingratis	40-3638-S
ingratis	40-3638-S
ingratus	40-1498-B
ingravesco	29-231-B
ingravo	39-2225-B
ingredi ingressus	37-5644-S
ingredior	31-5913-B
ingredior ingredi ingressus	37-5644-B
ingredior vi ventorum	35-5036-B
ingressio	5-3503-B
ingressus	11-6035-B,37-5644-S
ingruenter	41-0-B
ingruo	32-1192-B,32-1259-B
inguen	26-5615-B
ingurgito	32-7114-B
ingustatus	40-3272-B
inhabilis	40-2469-B
inhabitabilis	40-1867-B
inhabito	33-5321-B
inhaeresco inheresco	27-5715-B
inhaero	27-5829-B
inhaero inhero	37-5731-B
inhalo	29-3515-B
inheresco	27-5715-S
inhero	37-5731-S
inhibeo	33-4086-B,40-4261-B
inhio	27-4142-B,32-5402-B
inhoneste	10-6474-B
inhonesto	31-1956-B
inhonestus	10-2610-B
inhonoratus	40-2772-B
inhonorus	10-6498-B
inhorreo	29-4753-B
inhorresco	29-464-B
inhospitalis	16-3239-B
inhospitalitas	17-1050-B
inhospitus	16-3266-B
inhumane	16-3291-B
inhumanitas	9-6456-B
inhumaniter	10-5947-B
inhumanus	9-5722-B
inhumatus	40-147-B
inibi	27-2065-B
inicio inieci iniectum	38-3181-B
inieci iniectum	38-3181-S
iniectum	38-3181-S
inimicus	21-587-B
inique	40-1236-B
iniquitas	16-3359-B
iniquus	40-964-B
inis (f)[noun]	14-4716-S
initium	6-5651-B
iniuria	16-3311-B
iniustus	40-2071-B
injurius	42-3065-B
injustus	42-3103-B
innocens	7-543-B
innocuus	16-3546-B
innotesco	28-7888-B,28-7921-B
innui, innutum	33-3795-S
innumerus	9-3163-B
innuo	32-6013-B
innuo, innui, innutum	33-3795-B
innutum	33-3795-S
inobedio-ire	10-6568-B
inolesco	33-1408-B
inopia	23-6316-B
inopinatus	40-1074-B
inopportunitas	16-1567-B
inopportunus	40-1348-B
inops	10-4328-B,21-3374-B
inquam	15-5074-B
inquinamentum	12-6299-B
inquiro	28-1593-B
inquis	42-3599-B
inquisitor	3-1341-B
inquit	15-692-B
inreto, irreto	11-5858-B
inrideo	34-138-B
inritus irritus	41-201-B
inruo	36-5563-S
inruo, irruo	36-5489-B
insania	16-3724-B
insanio	22-3488-B
insanum	13-2206-B
insciens	40-2153-B
inscribo	16-3773-B
insensatus	16-5462-B
insequor	32-3988-B
inservio	28-3128-B
insideo	24-4891-B
insidiae	2-7962-B,25-170-B
insidiarum	34-2245-S
insidiator	20-1755-B
insidior	27-4198-B
insigne	6-3188-B
insignio	35-6267-B
insignis	11-610-B
insigniter	28-4215-B
insigno	31-5373-B
insinuo	33-5483-B
insisto	27-4249-B,31-5854-B
insolesco	33-1381-B
insolita	39-6841-B
insolitus	39-6789-B
insolubilis	16-2354-B
insons insontis	14-4549-B
insontis	14-4549-S
insperate	40-1144-B
insperatus	40-997-B
inspicio	30-3609-B
inspiro	33-5534-B
insquequo	40-3321-B
instabilitas	9-471-B
instanter	40-4102-B
instar	3-4937-B
instigator[noun]	4-3407-B
instigatus	16-1140-B
instigo	33-834-B
instituo	31-6559-B
instituo-ui-utum	3-2180-B
instituta apostolica	7-5733-B
institutio	10-276-B
insto	28-4577-B,35-6202-B
instructus	39-4521-B,40-5383-B
instructus (from instruo)	11-6684-B
instruo	21-5420-B,29-4955-B,31-3806-B
instruo)	11-6684-S
insuadibilis	4-5185-B
insudo	2-9821-B
insula	16-5590-B,17-4452-B
insulto	34-1130-B
insultus	6-1654-B
insum	3-1185-B
insumo	14-1326-B
insumptuosus	16-2702-B
insuper	5-6532-B
insurgi insurrectum	36-4519-S
insurgo	36-4574-B
insurgo insurgi insurrectum	36-4519-B
insurrectum	36-4519-S
integer	16-5558-B,41-4784-B
integritas	16-4329-B
intellectum	38-7014-S
intellectus	18-3003-B
intellego intellexi intellectum	38-7014-B
intellexi intellectum	38-7014-S
intelligendo	12-2905-S
intempestivus, intelligendo	12-2905-B
intemporaliter	12-527-B
intemptesta nox	10-1284-B
intendo	32-107-B,37-6408-B
intenta	11-3443-B
intentio	11-4173-B,16-4470-B
intentor	16-2987-B
intentus	27-3075-B
inter	1-893-B,5-5235-B
inter canem et lupum	6-1520-B
intercapedo	16-4798-B
intercepi interceptum	33-5769-S
interceptum	33-5769-S
intercipio intercepi interceptum	33-5769-B
interdico	32-4138-B,32-4197-B,35-2122-B
interdum	25-1152-B
intereo	35-1603-B,35-1646-B,38-3822-B
interfeci interfectum	33-6684-S
interfectio-onis	12-2541-B
interfectum	33-6684-S
interficio interfeci interfectum	33-6684-B
interfixus	20-6452-B
interimo	37-2596-B
interitus	23-4251-B
internecio	10-4518-B
internuntius	14-2517-B
internus	10-2268-B
interpellatio	28-206-B
interpolatio	16-4827-B
interpono	35-2155-B
interpretor	32-37-B
interr.) when si quando	15-5199-S
interrogatio	16-4761-B
interrogo	33-5422-B
intertio	5-5947-B
interventus	18-3124-B
intervigilium	3-6336-B
intestinus	16-4733-B
intextus	11-4885-B
intimo	27-7003-B
intolerabiliter	40-3216-B
intoneo	36-3606-B
intorqueo	39-6637-B
intransitive	30-7365-B
intrepidus	11-3295-B,40-2958-B
intrico	31-5833-B
intro	39-638-B
introduco	34-754-B
intueor	27-5956-B,34-3139-B
intueri[verb]	9-770-B
intuitus	9-829-B
intumesco	38-866-B,38-917-B
intus	42-991-B
inultus	39-6927-B
inundantia	13-1467-B
invado	28-1648-B,28-2357-B,38-7114-B
invalesco	32-5467-B
invectio	16-5005-B
invective	24-25-B
invenio	30-1643-B
inventor	9-2408-B
investigo	38-4781-B
inveteratus	14-5540-B
invetero	32-6318-B
invicem	20-1104-B,22-5211-B
invictus	40-420-B
invideo	31-6158-B,31-6211-B
invidia	11-6370-B
invidus	11-6353-B
inviso	33-481-B
invisus	15-81-B
invito	33-5949-B
invitus	40-3581-B
invocatio	16-5193-B
involvo	39-3218-B
ioco iocor	33-6311-B
iocor	33-6311-S
iocus	16-6216-B
ionis	12-2659-S
ipsa ipsum	15-2399-S
ipse ipsa ipsum	15-2399-B
ipsemet	15-2609-B
ipsum	15-2399-S
ira	5-4214-B
irascor, iratus	28-3704-B
iratus	5-4323-B,28-3704-S
ire	1-1903-S,10-6568-S,30-7186-S,33-413-S,37-2239-S
