孌 娈 [01\[ luán\]]	beautiful
孌童 娈童 [01\[ luán tóng\]]	catamite (boy as homosexual partner);kept man;gigolo
子 子 [01\[ zǐ\]]	son;child;seed;egg;small thing;1st earthly branch: 11 p.m.-1 a.m.
子 子 [01\[ zi\]]	(noun suff.)
子丑 子丑 [01\[ zǐ chǒu\]]	first two of the twelve earthly branches 十二地支;by ext.
子代 子代 [01\[ zǐ dài\]]	offspring;child's generation
子公司 子公司 [01\[ zǐ gōng sī\]]	subsidiary company;subsidiary corporation
子午線 子午线 [01\[ zǐ wǔ xiàn\]]	meridian
子囊菌 子囊菌 [01\[ zǐ náng jūn\]]	ascomycete
子夜 子夜 [01\[ zǐ yè\]]	midnight
子女 子女 [01\[ zǐ nǚ\]]	children;sons and daughters
子子孫孫 子子孙孙 [01\[ zǐ zǐ sūn sūn\]]	one's posterity
子孫 子孙 [01\[ zǐ sūn\]]	offspring;posterity
子孫孃孃 子孙娘娘 [01\[ zǐ sūn niáng niáng\]]	goddess of fertility
子宮 子宫 [01\[ zǐ gōng\]]	uterus;womb
子宮壁 子宫壁 [01\[ zǐ gōng bì\]]	wall of the uterus
子宮頸 子宫颈 [01\[ zǐ gōng jǐng\]]	cervix;neck of the uterus
子宮頸癌 子宫颈癌 [01\[ zǐ gōng jǐng ái\]]	cervical cancer
子層 子层 [01\[ zǐ céng\]]	sublayer
子弟 子弟 [01\[ zǐ dì\]]	child;the younger generation
子彈 子弹 [01\[ zǐ dàn\]]	bullet
子彈火車 子弹火车 [01\[ zǐ dàn huǒ chē\]]	bullet train;shinkansen 新幹線|新干线
子房 子房 [01\[ zǐ fáng\]]	ovary
子模型 子模型 [01\[ zǐ mó xíng\]]	submodel
子母彈 子母弹 [01\[ zǐ mǔ dàn\]]	(military) cluster bomb;shrapnel
子母炮彈 子母炮弹 [01\[ zǐ mǔ pào dàn\]]	artillery cluster bomb
子母炸彈 子母炸弹 [01\[ zǐ mǔ zhà dàn\]]	cluster bomb
子民 子民 [01\[ zǐ mín\]]	people
子洲 子洲 [01\[ zǐ zhōu\]]	(n) zizhou (place in shaanxi)
子爵 子爵 [01\[ zǐ jué\]]	viscount
子程序 子程序 [01\[ zǐ chéng xù\]]	subroutine
子粒 子粒 [01\[ zǐ lì\]]	seed
子細胞 子细胞 [01\[ zǐ xì bāo\]]	daughter cell
子網 子网 [01\[ zǐ wǎng\]]	subnetwork
子葉 子叶 [01\[ zǐ yè\]]	cotyledon (first embryonic leaf)
子規 子规 [01\[ zǐ guī\]]	cuckoo
子路 子路 [01\[ zǐ lù\]]	same as ji lu 季路 (542-480 bc)
子長 子长 [01\[ zǐ cháng\]]	(n) zichang (place in shaanxi)
子集 子集 [01\[ zǐ jí\]]	subset
子音 子音 [01\[ zǐ yīn\]]	consonant
子鼠 子鼠 [01\[ zǐ shǔ\]]	year 1
孑 孑 [01\[ jié\]]	alone;mosquito larvae;small
孑孓 孑孓 [01\[ jié jué\]]	mosquito larva
孓 孓 [01\[ jué\]]	larvae of mosquito
孔 孔 [01\[ kǒng\]]	hole;surname kong
孔丘 孔丘 [01\[ kǒng qiū\]]	confucius
孔叢子 孔丛子 [01\[ kǒng cóng zǐ\]]	kong family master's anthology
孔夫子 孔夫子 [01\[ kǒng fū zǐ\]]	confucius (551-479 bc);also written 孔子
孔子 孔子 [01\[ kǒng zi\]]	confucius (551-479 bc)
孔子家語 孔子家语 [01\[ kǒng zi jiā yǔ\]]	book of sayings of confucius and his disciples
孔孟 孔孟 [01\[ kǒng mèng\]]	confucius and mencius
孔孟之道 孔孟之道 [01\[ kǒng mèng zhī dào\]]	the teaching of confucius and mencius
孔廟 孔庙 [01\[ kǒng miào\]]	temple of confucius
孔斯貝格 孔斯贝格 [01\[ kǒng sī bèi gé\]]	kongsberg (city in norway)
孔明 孔明 [01\[ kǒng míng\]]	name of zhuge liang 諸葛亮|诸葛亮
孔林 孔林 [01\[ kǒng lín\]]	the confucius family mausoleum at qufu 曲阜
孔穴 孔穴 [01\[ kǒng xué\]]	aperture;hole;cavity
孔道 孔道 [01\[ kǒng dào\]]	opening providing access;the teaching of confucius
孔雀 孔雀 [01\[ kǒng què\]]	peacock
孔雀座 孔雀座 [01\[ kǒng què zuò\]]	pavo (constellation)
孔雀河 孔雀河 [01\[ kǒng què hé\]]	peacock river in xinjiang
孔雀王朝 孔雀王朝 [01\[ kǒng què wáng cháo\]]	maurya dynasty of india (322-185 bc)
孕 孕 [01\[ yùn\]]	pregnant
孕吐 孕吐 [01\[ yùn tù\]]	morning sickness (during pregnancy)
孕婦 孕妇 [01\[ yùn fù\]]	pregnant woman
孕期 孕期 [01\[ yùn qī\]]	duration of pregnancy
孕激素 孕激素 [01\[ yùn jī sù\]]	progesterone
孕產 孕产 [01\[ yùn chǎn\]]	pregnancy and childbirth;obstetrics and gynecology
孕穗 孕穗 [01\[ yùn suì\]]	the embryonic development of grain while still on the stem
孕育 孕育 [01\[ yùn yù\]]	to be pregnant;to produce offspring;to nurture (a development
孖 孖 [01\[ zī\]]	twins
字 字 [01\[ zì\]]	letter;symbol;character;word
字串 字串 [01\[ zì chuàn\]]	character string
字元 字元 [01\[ zì yuán\]]	(computer) character (tw)
字元集 字元集 [01\[ zì yuán jí\]]	character set
字典 字典 [01\[ zì diǎn\]]	dictionary;character dictionary;cl:本[ben3]
字圖 字图 [01\[ zì tú\]]	glyph
字型 字型 [01\[ zì xíng\]]	font
字字珠玉 字字珠玉 [01\[ zì zì zhū yù\]]	every word a gem (成语 saw); magnificent writing
字尾 字尾 [01\[ zì wěi\]]	suffix
字帖 字帖 [01\[ zì tiè\]]	copybook (for calligraphy)
字幕 字幕 [01\[ zì mù\]]	caption; subtitle
字彙 字汇 [01\[ zì huì\]]	(computer) character repertoire;glossary
字彙判斷任務 字汇判断任务 [01\[ zì huì pàn duàn rèn wù\]]	character decision task
字形 字形 [01\[ zì xíng\]]	form of a chinese character;glyph (the shape of a character or symbol in a particular typeface);font
字據 字据 [01\[ zì jù\]]	written pledge;contract;iou
字斟句酌 字斟句酌 [01\[ zì zhēn jù zhuó\]]	weighing every word
字根合體字 字根合体字 [01\[ zì gēn hé tǐ zì\]]	stem compound
字條 字条 [01\[ zì tiáo\]]	brief note
字段 字段 [01\[ zì duàn\]]	(numeric
字母 字母 [01\[ zì mǔ\]]	letter (of the alphabet)
字母順序 字母顺序 [01\[ zì mǔ shùn xù\]]	order of letters in an alphabet
字母順序概率 字母顺序概率 [01\[ zì mǔ shùn xù gài lǜ\]]	probability of letter sequences
字畫 字画 [01\[ zì huà\]]	the strokes of a character;calligraphy and painting
字眼 字眼 [01\[ zì yǎn\]]	wording
字碼 字码 [01\[ zì mǎ\]]	character code
字符 字符 [01\[ zì fú\]]	word-symbol;character
字符串 字符串 [01\[ zì fú chuàn\]]	string (computer science)
