皮草 皮草 [01\[ pí cáo\]]	fur;furs
皮草 皮草 [01\[ pí cǎo\]]	fur clothing
皮薩餅 皮萨饼 [01\[ pí sà bǐng\]]	pizza
皮蛋 皮蛋 [01\[ pí dàn\]]	thousand-year old eggs;preserved eggs
皮袋 皮袋 [01\[ pí dài\]]	leather bag;leather pouch (for liquid)
皮諾切特 皮诺切特 [01\[ pí nuò qiē tè\]]	general augusto pinochet (1915-2006)
皮質 皮质 [01\[ pí zhì\]]	cortex;cerebral cortex
皮面 皮面 [01\[ pí miàn\]]	out skin;surface
皮革 皮革 [01\[ pí gé\]]	leather
皮鞋 皮鞋 [01\[ pí xié\]]	leather shoes
皮鞋匠 皮鞋匠 [01\[ pí xié jiàng\]]	shoemaker
皮鞋油 皮鞋油 [01\[ pí xié yóu\]]	shoe polish
皮鞭 皮鞭 [01\[ pí biān\]]	lash
皮黃 皮黄 [01\[ pí huáng\]]	beijing opera (or styles of song in);abbr. for 西皮二黃|西皮二黄
皰 疱 [01\[ pào\]]	pimple;acne
皰疹 疱疹 [01\[ pào zhěn\]]	blister;bleb (watery blister);herpes (med.)
皰疹病毒 疱疹病毒 [01\[ pào zhěn bìng dú\]]	herpes virus (med.)
皴 皴 [01\[ cūn\]]	chapped;cracked
皴裂 皴裂 [01\[ cūn liè\]]	chap (lips
皸 皲 [01\[ jūn\]]	to chap
皺 皱 [01\[ zhòu\]]	to wrinkle;wrinkled;to crease
皺眉 皱眉 [01\[ zhòu méi\]]	to frown;to knit one's brow
皺眉頭 皱眉头 [01\[ zhòu méi tóu\]]	scowl
皺紋 皱纹 [01\[ zhòu wén\]]	wrinkle
皺縮 皱缩 [01\[ zhòu suō\]]	to wrinkle;wrinkled up
皽 皽 [01\[ zhǎn\]]	scab
皿 皿 [01\[ mǐn\]]	dish;vessel;shallow container;rad. no. 108
盂 盂 [01\[ yú\]]	container;cup
盂縣 盂县 [01\[ yú xiàn\]]	yu county in shanxi
盃 盃 [01\[ bēi\]]	variant of 杯 cup;sporting trophy
盅 盅 [01\[ zhōng\]]	cup
盆 盆 [01\[ pén\]]	basin;flower pot;unit of volume equal to 12 斗 and 8 升
盆地 盆地 [01\[ pén dì\]]	basin (low-lying geographical feature);depression
盆景 盆景 [01\[ pén jǐng\]]	bonsai;landscape in a pot
盆栽 盆栽 [01\[ pén zāi\]]	growing plants in pots;japanese: bonsai
盆浴 盆浴 [01\[ pén yù\]]	bathtub
盆腔 盆腔 [01\[ pén qiāng\]]	the pelvic cavity;birth canal
盈 盈 [01\[ yíng\]]	full;filled;surplus
盈凸月 盈凸月 [01\[ yíng tū yuè\]]	full moon;waxing gibbous moon
盈利 盈利 [01\[ yíng lì\]]	profit;gain
盈江 盈江 [01\[ yíng jiāng\]]	(n) yingjiang (place in yunnan)
盈虧 盈亏 [01\[ yíng kuī\]]	profit and loss;waxing and waning
盈虧自負 盈亏自负 [01\[ yíng kuī zì fù\]]	responsible for its profit and losses (of organization);financially autonomous;personal financial responsibility
盈餘 盈余 [01\[ yíng yú\]]	surplus;profit
益 益 [01\[ yì\]]	benefit;increase
益民 益民 [01\[ yì mín\]]	good citizens;the right side in a civil war
益發 益发 [01\[ yì fā\]]	increasingly;more and more;ever more;all the more
益處 益处 [01\[ yì chu\]]	benefit
益陽 益阳 [01\[ yì yáng\]]	yiyang prefecture level city in hunan
益陽地區 益阳地区 [01\[ yì yáng dì qū\]]	(n) yiyang district (district in hunan)
益陽市 益阳市 [01\[ yì yáng shì\]]	yiyang prefecture level city in hunan
盋 盋 [01\[ bō\]]	obscure variant of 鉢|钵
盍 盍 [01\[ hé\]]	why not
盎 盎 [01\[ àng\]]	abundant;bowl;dish;pot
盎司 盎司 [01\[ àng sī\]]	ounce
盎格魯 盎格鲁 [01\[ àng gé lǔ\]]	anglo-
盎格魯撒克遜 盎格鲁撒克逊 [01\[ àng gé lǔ sā kè xùn\]]	anglo-saxon (people)
盎格魯薩克遜 盎格鲁萨克逊 [01\[ àng gé lǔ sà kè xùn\]]	anglo-saxon
盎然 盎然 [01\[ àng rán\]]	abundant;full;overflowing;exuberant
盒 盒 [01\[ hé\]]	small box;case
盒子 盒子 [01\[ hé zi\]]	case
盒帶 盒带 [01\[ hé dài\]]	cassette tape;abbr. for 盒式錄音磁帶|盒式录音磁带
盒式錄音磁帶 盒式录音磁带 [01\[ hé shì lù yīn cí dài\]]	cassette tape
盒飯 盒饭 [01\[ hé fàn\]]	box meal;packed lunch;take-away food
盔 盔 [01\[ kuī\]]	helmet
盔甲 盔甲 [01\[ kuī jiǎ\]]	armor
盗取 盗取 [01\[ dào qǔ\]]	to steal (including identity theft
盚 盚 [01\[ qiú\]]	surname qiu
盛 盛 [01\[ chéng\]]	to hold;contain;to ladle;pick up with a utensil
盛 盛 [01\[ shèng\]]	flourishing;vigorous;magnificent;extensively;surname sheng
盛世 盛世 [01\[ shèng shì\]]	a flourishing period;period of prosperity;a golden age
盛事 盛事 [01\[ shèng shì\]]	grand occasion
盛京 盛京 [01\[ shèng jīng\]]	historical name of shenyang 瀋陽|沈阳 in modern liaoning province
盛傳 盛传 [01\[ shèng chuán\]]	widely spread;widely rumored;stories abound;(sb's exploits are) widely circulated
盛典 盛典 [01\[ shèng diǎn\]]	majestic pomp;grand ceremony
盛名 盛名 [01\[ shèng míng\]]	famous reputation
盛大 盛大 [01\[ shèng dà\]]	grand;majestic;magnificent;shanda entertainment (prc computer game company)
盛妝 盛妆 [01\[ shèng zhuāng\]]	vigorous;strong and healthy
盛季 盛季 [01\[ shèng jì\]]	peak season;a flourishing period
盛宴 盛宴 [01\[ shèng yàn\]]	feast
盛年 盛年 [01\[ shèng nián\]]	the prime of one's life
盛德 盛德 [01\[ shèng dé\]]	splendid virtue;majestic moral character;great kindness
盛怒 盛怒 [01\[ shèng nù\]]	rage;a raging temper
盛情 盛情 [01\[ shèng qíng\]]	great kindness;magnificent hospitality
盛景 盛景 [01\[ shèng jǐng\]]	grand view;magnificent landscape
盛會 盛会 [01\[ shèng huì\]]	pageant;distinguished meeting
盛服 盛服 [01\[ shèng fú\]]	splendid attire
盛極一時 盛极一时 [01\[ shèng jí yī shí\]]	all the rage for a time;grand fashion for a limited time
盛氣 盛气 [01\[ shèng qì\]]	grand and heroic;exuberant character
盛氣凌人 盛气凌人 [01\[ shèng qì líng rén\]]	overbearing;arrogant bully
盛況 盛况 [01\[ shèng kuàng\]]	grand occasion
盛產 盛产 [01\[ shèng chǎn\]]	superabundant;to teem with;to produce in abundance;to abound in
盛稱 盛称 [01\[ shèng chēng\]]	enthusiastic praise;to praise highly
盛舉 盛举 [01\[ shèng jǔ\]]	grand event;magnificent undertaking
盛行 盛行 [01\[ shèng xíng\]]	in fashion;prevalent
盛衰 盛衰 [01\[ shèng shuāi\]]	to flourish then decline;rise and fall
