糢 糢 [01\[ mó\]]	blurred
糢糊 糢糊 [01\[ mó hú\]]	foggy;murky;vague
糧 粮 [01\[ liáng\]]	provisions
糧倉 粮仓 [01\[ liáng cāng\]]	granary;barn;fig. bread basket (of fertile agricultural land)
糧票 粮票 [01\[ liáng piào\]]	coupons for food or grain used in a prc economic program c. 1955-1993
糧秣 粮秣 [01\[ liáng mò\]]	provisions (e.g. military);forage;fodder
糧草 粮草 [01\[ liáng cǎo\]]	army provisions;rations and fodder
糧農 粮农 [01\[ liáng nóng\]]	food and agriculture;grain farmer
糧食 粮食 [01\[ liáng shi\]]	foodstuffs;cereals
糧餉 粮饷 [01\[ liáng xiǎng\]]	army provisions
糨 糨 [01\[ jiàng\]]	starch;paste;to starch
糨糊 糨糊 [01\[ jiàng hù\]]	flour paste
糭 粽 [01\[ zòng\]]	rice dumpling;variant of 糉
糯 糯 [01\[ nuò\]]	sticky rice
糯稻 糯稻 [01\[ nuò dào\]]	sticky rice
糯米 糯米 [01\[ nuò mǐ\]]	polished glutinous rice
糯米糍 糯米糍 [01\[ nuò mǐ cí\]]	rice cake dumpling;sticky rice cake;mochi cake
糰 团 [01\[ tuán\]]	dumpling
糰子 团子 [01\[ tuán zi\]]	dango (japanese dumpling)
糱 糱 [01\[ niè\]]	fermenting grain;yeast
糲 糲 [01\[ lì\]]	coarse (grain)
糴 籴 [01\[ dí\]]	buy up (grain)
糶 糶 [01\[ tiào\]]	sell (grain from granary)
糸 糸 [01\[ mì\]]	fine silk
系 系 [01\[ xì\]]	be;system;to tie;department;faculty
系上 系上 [01\[ xì shàng\]]	to buckle up;to fasten
系列 系列 [01\[ xì liè\]]	series
系列放大器 系列放大器 [01\[ xì liè fàng dà qì\]]	series amplifier
系列片 系列片 [01\[ xì liè piān\]]	film series
系統 系统 [01\[ xì tǒng\]]	system
系統性 系统性 [01\[ xì tǒng xìng\]]	systematic
糾 纠 [01\[ jiū\]]	gather together;to investigate;to entangle;correct
糾偏 纠偏 [01\[ jiū piān\]]	to correct an error
糾合 纠合 [01\[ jiū hé\]]	gathering;a get-together
糾察 纠察 [01\[ jiū chá\]]	to maintain order;steward (policing a meeting)
糾正 纠正 [01\[ jiū zhèng\]]	to correct;to make right
糾眾 纠众 [01\[ jiū zhòng\]]	to muster;to gather a crowd
糾紛 纠纷 [01\[ jiū fēn\]]	a dispute;tangled issue (e.g. legal);to dispute
糾結 纠结 [01\[ jiū jié\]]	to work together
糾纏 纠缠 [01\[ jiū chán\]]	to worry;entangled in sth
糾葛 纠葛 [01\[ jiū gé\]]	entanglement;dispute
糾錯 纠错 [01\[ jiū cuò\]]	to correct (a typo)
糾集 纠集 [01\[ jiū jí\]]	to gather together;to muster
紀 纪 [01\[ jì\]]	discipline;age;era;period;order;record;surname ji
紀傳體 纪传体 [01\[ jì zhuàn tǐ\]]	history genre based on biography
紀元 纪元 [01\[ jì yuán\]]	beginning of an era
紀元前 纪元前 [01\[ jì yuán qián\]]	before the common era (bc)
紀年 纪年 [01\[ jì nián\]]	calendar era
紀律 纪律 [01\[ jì lǜ\]]	discipline
紀念 纪念 [01\[ jì niàn\]]	to commemorate;to remember
紀念品 纪念品 [01\[ jì niàn pǐn\]]	souvenir
紀念堂 纪念堂 [01\[ jì niàn táng\]]	memorial hall;mausoleum
紀念日 纪念日 [01\[ jì niàn rì\]]	day of commemoration;memorial day
紀念獎 纪念奖 [01\[ jì niàn jiǎng\]]	trophy
紀念碑 纪念碑 [01\[ jì niàn bēi\]]	monument
紀念郵票 纪念邮票 [01\[ jì niàn yóu piào\]]	commemorative stamp
紀念館 纪念馆 [01\[ jì niàn guǎn\]]	memorial hall;commemorative museum
紀昀 纪昀 [01\[ jì yún\]]	ji yun (1724-1805)
紀要 纪要 [01\[ jì yào\]]	minutes;written summary of a meeting
紀錄 纪录 [01\[ jì lù\]]	record
紀錄片 纪录片 [01\[ jì lù piàn\]]	newsreel;documentary (film or tv program)
紀錄片兒 纪录片儿 [01\[ jì lù piān 5r\]]	erhua variant of 紀錄片|纪录片
紂 纣 [01\[ zhòu\]]	last ruler of shang (11th century bc)
紂 纣 [01\[ zhòu\]]	saddle crupper (harness strap on horse's back)
紃 紃 [01\[ xún\]]	bind;silkcords
約 约 [01\[ yāo\]]	weigh
約 约 [01\[ yuē\]]	appointment;agreement;to arrange;to restrict;approximately
約伯 约伯 [01\[ yuē bó\]]	job (name);book of job in the old testament
約伯記 约伯记 [01\[ yuē bó jì\]]	book of job (in the old testament)
約但 约但 [01\[ yuē dàn\]]	jordan
約但河 约但河 [01\[ yuē dàn hé\]]	the jordan river
約克 约克 [01\[ yuē kè\]]	york
約克郡 约克郡 [01\[ yuē kè jùn\]]	yorkshire (english region)
