住宅泡沫 住宅泡沫 [01\[ zhù zhái pào mò\]]	housing bubble
住家 住家 [01\[ zhù jiā\]]	residence;household;to reside
住宿 住宿 [01\[ zhù sù\]]	lodging
住居 住居 [01\[ zhù jū\]]	to live;to reside
住戶 住户 [01\[ zhù hù\]]	inhabitant;householder
住房 住房 [01\[ zhù fáng\]]	housing
住所 住所 [01\[ zhù suǒ\]]	habitation
住手 住手 [01\[ zhù shǒu\]]	to desist;to stop;to stay one's hand
住持 住持 [01\[ zhù chí\]]	to administer a monastery buddhist or daoist;abbott;head monk
住校 住校 [01\[ zhù xiào\]]	boarding school
住舍 住舍 [01\[ zhù shè\]]	house;residence
住處 住处 [01\[ zhù chù\]]	residence;dwelling;dwelling place
住院 住院 [01\[ zhù yuàn\]]	to be in hospital;to be hospitalized
佐 佐 [01\[ zuǒ\]]	assist
佐料 佐料 [01\[ zuǒ liào\]]	condiments;seasoning
佐格比國際 佐格比国际 [01\[ zuǒ gé bì guó jì\]]	zogby international (polling company)
佐治亞 佐治亚 [01\[ zuǒ zhì yà\]]	georgia
佐治亞州 佐治亚州 [01\[ zuǒ zhì yà zhōu\]]	georgia (us state)
佐證 佐证 [01\[ zuǒ zhèng\]]	evidence;proof;to confirm;corroboration
佐酒 佐酒 [01\[ zuǒ jiǔ\]]	to drink together (in company);to drink together (with food)
佑 佑 [01\[ yòu\]]	to bless;to protect
佑護 佑护 [01\[ yòu hù\]]	blessing
佔 占 [01\[ zhàn\]]	to take possession of;to occupy;to constitute;to make up;to account for;占 sometimes used as traditional character
佔便宜 占便宜 [01\[ zhàn pián yi\]]	advantageous;favorable
佔優勢 占优势 [01\[ zhàn yōu shì\]]	to predominate;to occupy a dominant position
佔先 占先 [01\[ zhàn xiān\]]	to take precedence
佔城 占城 [01\[ zhàn chéng\]]	champa (sanskrit: campapura or campanagara)
佔據 占据 [01\[ zhàn jù\]]	to occupy;to hold
佔有 占有 [01\[ zhàn yǒu\]]	to have;to own;to hold;to possess
佔用 占用 [01\[ zhàn yòng\]]	to occupy
佔線 占线 [01\[ zhàn xiàn\]]	busy (telephone)
佔領 占领 [01\[ zhàn lǐng\]]	to occupy (a territory);to hold
佔領者 占领者 [01\[ zhàn lǐng zhě\]]	occupant
何 何 [01\[ hé\]]	surname he
何 何 [01\[ hé\]]	what;how;why;which;carry
何不 何不 [01\[ hé bù\]]	why not?;why not do (sth)?
何人 何人 [01\[ hé rén\]]	who
何以 何以 [01\[ hé yǐ\]]	whence
何厚鏵 何厚铧 [01\[ hé hòu huá\]]	he houhua (1955-)
何在 何在 [01\[ hé zài\]]	where?;what place?
何必 何必 [01\[ hé bì\]]	there is no need;why should
何應欽 何应钦 [01\[ hé yìng qīn\]]	he yingqin (1890-1987)
何故 何故 [01\[ hé gù\]]	wherefore
何時 何时 [01\[ hé shí\]]	when
何樂而不為 何乐而不为 [01\[ hé lè ér bù wéi\]]	what can you have against it? (成语 saw);we should do this.;go for it!
何況 何况 [01\[ hé kuàng\]]	much less;let alone
何等 何等 [01\[ hé děng\]]	what kind?;how
何苦 何苦 [01\[ hé kǔ\]]	why bother?;is it worth the trouble?
何苦呢 何苦呢 [01\[ hé kǔ ne\]]	why bother?;is it worth the trouble?
何處 何处 [01\[ hé chǔ\]]	whence;where
何西阿書 何西阿书 [01\[ hé xī ā shū\]]	book of hosea
佗 佗 [01\[ tuó\]]	carry on the back
佘 佘 [01\[ shé\]]	surname she
佚 佚 [01\[ yì\]]	idle;surname yi
佛 佛 [01\[ fó\]]	buddha;buddhism
佛像 佛像 [01\[ fó xiàng\]]	buddhist image;statue of buddha or bodhisattva;cl: 張|张[zhang1] or 尊[zun1]
佛吉尼亞 佛吉尼亚 [01\[ fú jí ní yà\]]	state of virginia
佛坪 佛坪 [01\[ fó píng\]]	(n) foping (place in shaanxi)
佛塔 佛塔 [01\[ fó tǎ\]]	pagoda
佛家 佛家 [01\[ fó jiā\]]	a buddhist
佛寺 佛寺 [01\[ fó sì\]]	buddhist temple
佛山 佛山 [01\[ fó shān\]]	foshan prefecture level city in guangdong
佛山地區 佛山地区 [01\[ fó shān dì qū\]]	foshan prefecture in guangdong
佛山市 佛山市 [01\[ fó shān shì\]]	foshan prefecture level city in guangdong
佛岡 佛冈 [01\[ fó gāng\]]	fogang county in qingyuan 清远
佛岡縣 佛冈县 [01\[ fó gāng xiàn\]]	fogang county in qingyuan 清远
佛得角 佛得角 [01\[ fó dé jiǎo\]]	cape verde
佛性 佛性 [01\[ fó xìng\]]	buddha nature
佛手瓜 佛手瓜 [01\[ fó shǒu guā\]]	chayote
佛教 佛教 [01\[ fó jiào\]]	buddhism
佛教徒 佛教徒 [01\[ fó jiào tú\]]	buddhist
佛朗哥 佛朗哥 [01\[ fó lǎng gē\]]	franco (name);generalissimo francisco franco bahamonde (1892-1975)
佛法 佛法 [01\[ fó fǎ\]]	dharma (the teachings of the buddha);buddhist doctrine
佛洛伊德 佛洛伊德 [01\[ fó luò yī dé\]]	freud (psychoanalyst)
佛經 佛经 [01\[ fó jīng\]]	buddhist texts
佛羅倫薩 佛罗伦萨 [01\[ fó luó lún sà\]]	florence
佛羅裡達州 佛罗里达州 [01\[ fó luó lǐ dá zhōu\]]	florida
佛羅里達 佛罗里达 [01\[ fú luó lǐ dá\]]	florida
佛舍利 佛舍利 [01\[ fó shè lì\]]	ashes of cremated buddha
佛蒙特 佛蒙特 [01\[ fó méng tè\]]	vermont
佛蒙特州 佛蒙特州 [01\[ fó méng tè zhōu\]]	vermont
佛蘭芒語 佛兰芒语 [01\[ fó lán máng yǔ\]]	flemish (language)
佛號 佛号 [01\[ fó hào\]]	one of the many names of buddha
佛語 佛语 [01\[ fó yǔ\]]	buddhist term
佛陀 佛陀 [01\[ fó tuó\]]	buddha;transliteration of sanskrit;the all-enlightened one
佛香閣 佛香阁 [01\[ fó xiāng gé\]]	tower of buddhist incense in the summer palace 頤和園|颐和园
佛龕 佛龛 [01\[ fó kān\]]	niche for statue (esp. buddhist
作 作 [01\[ zuò\]]	to do;to make;to regard as;to take sb for
作主 作主 [01\[ zuò zhǔ\]]	to decide;to make decisions;to back up sb;support
作人 作人 [01\[ zuò rén\]]	to conduct oneself;same as 做人
作假 作假 [01\[ zuò jiǎ\]]	to counterfeit;to falsify;to cheat;to defraud;fraudulent;to behave affectedly
作出 作出 [01\[ zuò chū\]]	to put out;to come up with;to make (a choice
作勢 作势 [01\[ zuò shì\]]	to adopt an attitude;to strike a posture
作古 作古 [01\[ zuò gǔ\]]	to die;to pass away
作古人 作古人 [01\[ zuò gǔ rén\]]	to die;to pass away
作合 作合 [01\[ zuò hé\]]	to make a match;to get married
作品 作品 [01\[ zuò pǐn\]]	works (of art)
作哼聲 作哼声 [01\[ zuò hēng shēng\]]	snort
