quán rán	7-38624-B
quán rén	6-43060-S
quán rén shì	50-3826-S
quán rì	34-21219-S
quán rì kōng	7-37552-B
quán rì zhì	7-37493-B
quán rǔ guó	14-12644-S
quán shuǐ	37-28467-B,46-44535-S
quán shèng	7-34457-B,7-40006-B,17-27686-S
quán shén guàn zhù	7-40320-B,7-40386-B
quán shì	35-18622-B,58-15512-B,63-40117-S,66-36417-S
quán shì jiè	7-33533-B
quán shì jiè dì yī	7-33747-B
quán shì jiè wú chǎn zhě lián hé qǐ lai	7-33601-B
quán shì xué	58-15581-B
quán shí	7-41407-B,7-42899-B
quán shí gāo huāng	37-28572-B
quán shí gōng zuò	7-37622-B
quán shí měi	10-44446-S
quán shù	7-36830-B,27-50077-B,46-64818-S
quán shú	7-38669-B
quán shēn	7-41788-B,41-62858-S
quán shēn má zuì	7-41976-B
quán shēn zhōng dú xìng dú jì	7-41842-B
quán shěng	7-40136-B
quán shī	27-49336-B
quán shōu	41-6890-S
quán shū	14-49928-S,30-53552-S,44-55549-S,53-29147-S
quán shū chū bǎn shè	2-57451-S
quán shǒu	27-49399-B
quán suō	56-5786-B
quán sè	7-41349-B
quán sù	7-42227-B
quán tiān	7-35958-B
quán tiān hòu	7-36003-B
quán tou	27-50229-B
quán tou chǎn pǐn	27-50267-B
quán tuō	7-41455-B
quán tào	7-36061-B,19-23603-S
quán tóng	7-34766-B
quán tóu	27-50137-B
quán tǐ	7-42947-B
quán tǐ rén yuán	7-42991-B
quán tǒng zhì	46-58247-S
quán wáng	27-49941-B
quán wèn tí	19-23521-S
quán wén	7-36896-B
quán wén jiǎn suǒ	7-36942-B
quán wò	56-5859-B
quán wēi	32-35934-S,35-18672-B
quán wēi xìng	35-18749-B
quán wǎng	19-24150-S
quán xiàn	7-40797-B,21-58905-S,35-19262-B,39-22601-S,47-53505-S
quán xiàn fǎ	3-51183-S
quán xiū	7-33873-B
quán xuān yán	2-38888-S
quán xìng	19-23772-S
quán xíng wéi	5-27579-S
quán xīn	7-37108-B
quán xīn jì	7-37290-B
quán xīn quán yì	7-36688-B
quán xīn shì	7-37165-B
