sa3 lu4	27-23199-S
sa3 man3	40-18480-B
sa3 mo4	28-49862-S
sa3 qi4	14-37359-S,22-16595-S
sa3 shui3	40-18375-B
sa3 shui3 che1	40-18420-B
sa3 tuo1	40-18533-B,40-18590-B
sa3 zhong3	29-8190-B
sa4	5-4591-S,10-52773-B,15-44445-S,15-44536-S,17-8096-S,17-40643-S,23-50830-S,27-25406-S,29-32460-B,29-65396-S,30-29258-S,30-29342-S,31-51236-S,36-11768-S,37-43685-S,37-65502-S,42-62517-S,47-4419-S,49-16991-S,54-31405-S,54-62759-S,55-24408-S,55-53511-S,57-41735-S,57-43758-S,64-7939-S,64-11977-S,68-10789-S,68-59408-B,71-59837-S
sa4 bai2	4-51299-S
sa4 bang1	18-16944-S
sa4 bing3	36-11810-S,45-86-S
sa4 bu4 lan2 ka3	11-16375-S
sa4 da2 mu3 hou4 sai4 yin1	55-26436-B
sa4 de2	29-2172-S,66-11976-S
sa4 duo3	64-8095-S
sa4 er3	12-40565-S
sa4 er3 wa3 duo1	51-50788-S
sa4 guo4 jiang1	37-43743-S
sa4 ha3 luo2 fu1 ren2 quan2 jiang3	55-23607-B
sa4 ha3 nuo4 fu1	55-23864-B
sa4 ha3 nuo4 fu1 ren2 quan2 jiang3	55-23934-B
sa4 ka3	4-51407-S,45-14185-S
sa4 ke1 ji4	42-62631-S
sa4 ke4	13-39843-S,13-43854-S
sa4 ke4 ren2	13-39916-S
sa4 ke4 si1	55-23109-B
sa4 ke4 si1 tan3	13-39996-S
sa4 ke4 xun4	45-3338-S,55-23276-B
sa4 ke4 zi4 zhi4 xian4	22-9636-S
sa4 ke4 zi4 zhi4 zhou1	4-50565-S
sa4 ke4 zu2	13-40069-S
sa4 ke4 · Niu2 dun4	53-48614-S
sa4 la1 mu3	62-54869-S
sa4 lan2 guo2	30-30710-S
sa4 lin2	34-12058-S
sa4 shi4	27-25443-S
sa4 si1	16-8000-S,24-6668-S,24-24139-S,55-24763-B
sa4 si1 bing4	55-24986-B
sa4 si1 zhou1	16-8060-S,24-6736-S,24-24196-S
sa4 tiao2 yue1	27-25491-S
sa4 yun4 dong4	3-47695-S
sa4 zhu1 sai1 zhou1	69-41594-S
sa4 zhu1 sai4	69-41527-S
sa5	19-34657-S,23-51231-S
sai	2-42585-S,6-53957-B,7-65707-S,8-13402-S,8-17180-S,8-29409-S,8-45634-S,10-57624-S,10-58969-S,11-40787-S,12-12292-S,16-19358-B,16-19432-B,18-13962-S,18-16881-S,19-12021-S,19-26091-S,20-50270-S,24-4960-S,24-16590-S,24-17518-S,24-37575-S,28-35728-B,31-51303-S,35-25872-S,35-30354-S,36-10870-S,36-11969-S,36-27632-S,37-540-S,37-64648-S,38-42341-S,39-20953-S,41-22007-S,42-52738-S,43-37492-S,43-38128-S,48-1489-S,48-7513-S,50-33778-S,51-39227-S,52-41807-B,54-4615-S,57-25511-S,59-23905-S,60-432-B,60-32812-S,60-39755-S,60-42513-S,60-63877-S,61-2995-S,62-3312-S,63-11530-S,64-45571-S,65-54621-S,66-8941-S,68-30844-S,69-41527-S,69-42132-S,70-45794-B
sai bai jiang	65-70015-S
sai bai jiang ren	65-70081-S
sai bin	57-19559-S
sai chang	36-12032-S,60-544-B
sai che	60-1036-B
sai che nu: lang	60-1079-B
sai che shou	60-1204-B
sai da	4-59237-S
sai di si ben chi	34-10377-S
sai dian	60-1603-B
sai dong	37-37921-S
sai e bi ya	15-57859-S
sai er	22-4493-S,22-19117-S,49-18120-S
sai er duo fu	33-8640-S
sai er nan	21-8574-S
sai er te	16-20156-B
sai er te yu	16-20205-B
sai er wei ya ke luo di ya yu	16-20333-B
sai er wei ya yu	16-20577-B
sai fen	54-793-S
sai fēn	54-793-S
sai gong	70-45830-B
sai hui	60-744-B,61-45733-S
sai ke	69-42174-S,70-36462-S
sai ke hu	4-48169-S
sai la fan	16-19808-B
sai la te	54-63735-S
sai lie	70-45954-B
sai long chuan	60-1729-B
sai long zhou	60-1662-B
sai lu	69-35468-S
sai luo	18-13257-S,57-14900-S
sai luo na	22-4563-S
sai ma	60-1339-B
sai ma chang	60-1395-B
sai ma qi shi	60-1534-B
sai man	1-29215-S
sai mi song	15-40035-S
sai pao	13-23133-S,28-25254-S,44-55828-S,53-22339-S,60-970-B,60-27889-S
sai qi	23-31628-S
sai qu	69-42271-S
sai r	17-69864-S
sai ren	12-40216-S,12-40385-S,37-29391-S
sai she er qun dao	16-21110-B
sai shi	60-483-B
sai si	58-49168-S
sai ta Shi bei	50-56717-S
sai ti	10-69113-S
sai ting	60-923-B
sai tong zhi	9-19084-S,61-66444-S
sai wai	16-19633-B
sai wei li nuo	16-21237-B
sai xian	52-41856-B
sai xian yan	52-41926-B
sai ya	23-51907-S
sai ya shu	4-38928-S
sai yin	55-26436-S
sai zhe	11-40860-S,48-1540-S
sai zhou	69-41594-S
sai zi	16-19688-B
sai zu	69-42223-S
sai1	8-17180-S,16-19358-B,19-26091-S,24-37575-S,28-35728-B,36-27632-S,37-64648-S,48-7513-S,51-39227-S,52-41807-B,60-42513-S,61-2995-S,66-8941-S,70-45794-B
sai1 di2 si1 ben1 chi2	34-10377-S
sai1 dong1	37-37921-S
sai1 er3	22-4493-S
sai1 er3 duo1 fu1	33-8640-S
sai1 er3 te4	16-20156-B
sai1 er3 te4 yu3	16-20205-B
sai1 er3 wei2 ya4 ke4 luo2 di4 ya4 yu3	16-20333-B
sai1 er3 wei2 ya4 yu3	16-20577-B
sai1 gong1	70-45830-B
sai1 ke4 hu2	4-48169-S
sai1 la1 te4	54-63735-S
sai1 lie4	70-45954-B
sai1 luo2	18-13257-S,57-14900-S
sai1 man2	1-29215-S
sai1 mi3 song1	15-40035-S
