shi2 di4 na4	31-51063-S
shi2 di4 qu1	14-1063-S
shi2 dian4	62-17395-S
shi2 ding1	45-15767-S
shi2 dong4 wu4	52-6959-S,54-15844-S,67-6764-S
shi2 du4	58-62261-B
shi2 duan4	31-41040-B
shi2 duan4 fen1 xi1	31-41150-B
shi2 duan4 shi2 xu4	31-40596-B
shi2 duo1	3-34762-S,14-47218-S,27-53898-B
shi2 duo1 cai2 guang3	58-62127-B
shi2 duo1 gong1	8-54190-S
shi2 duo1 nian2	1-15020-S
shi2 duo1 tong1	11-10253-S
shi2 duo1 yi4	10-45743-B
shi2 duo2 shi4	20-21684-S
shi2 er2	31-41461-B
shi2 er3	30-53758-S
shi2 er3 zhou1	30-53836-S
shi2 er4	1-31537-S,3-33627-S,10-42449-B,48-12574-S
shi2 er4 bian1 xing2	10-43497-B
shi2 er4 di4 zhi1	10-42658-B
shi2 er4 fen1	10-42491-B
shi2 er4 fen1 zhi1 yi1	10-42582-B
shi2 er4 gong1	10-42739-B,71-23658-S
shi2 er4 hao4	3-33683-S
shi2 er4 jiao3 xing2	10-43431-B
shi2 er4 lie4 shi4	71-22753-S
shi2 er4 mian4 ti3	10-43563-B
shi2 er4 ping2 jun1 lu:4	10-42878-B
shi2 er4 shi2 chen5	10-43224-B
shi2 er4 xing1 zuo4	10-43097-B
shi2 er4 yue4	10-43365-B
shi2 er4 zhang1 jing1	14-47042-S
shi2 er4 zhi1	10-43026-B
shi2 er4 zhi3 chang2	10-42961-B
shi2 fa3	57-58899-S
shi2 fen1	10-45083-B,31-39520-B,63-36451-S
shi2 fen1 xi1	20-12254-B
shi2 fen1 zhi1 yi1	10-45208-B
shi2 fen4 zi3	45-64179-S
shi2 fu2 she4	45-59699-S
shi2 ga2 er3	14-935-S
shi2 gan1	10-46715-B,16-15955-S
shi2 gan3	45-41690-S
shi2 gan4	20-12767-B
shi2 gan4 jia1	20-12842-B
shi2 gao1	40-66517-S,41-15938-S,43-28231-S,46-9713-B,46-25908-S
shi2 gao1 beng1 dai4	46-9775-B
shi2 gao1 di1	2-31022-S
shi2 gao1 huang1	37-28572-S
shi2 gen1	20-13721-B
shi2 gong1	52-57824-S,71-21976-S
shi2 gong1 zuo4	7-37622-S
shi2 gong1 zuo4 zhi4	7-51013-S
shi2 guai1 ming4 jian3	31-39030-B
shi2 guan3	69-3216-B
shi2 guang1	31-39461-B
shi2 guo2	3-46892-S
shi2 guo2 chun1 qiu1	10-45456-B
shi2 guo4 ren2	26-38739-S
shi2 guo4 zao3	40-32545-S
