shēn hóng sè	38-51043-B
shēn hóu	43-43626-B
shēn hǎi yān cōng	38-50475-B
shēn jiān	60-55607-B
shēn jiān jìn	49-37126-S
shēn jǐng	38-48426-B
shēn kuān dà	35-5304-S
shēn kè	11-17729-S,38-48806-B
shēn kāi	4-61705-B
shēn kē	45-12990-S
shēn kēng xiāng	38-49288-B
shēn kōng	38-50983-B
shēn lán	38-51152-B
shēn lì mìng	19-32936-S
shēn lì yì	53-14980-S
shēn lìng	43-42704-B
shēn lù tǐ	60-7018-S
shēn lùn	43-44269-B,60-21745-S
shēn lǎn yāo	4-61312-B
shēn lǐ	43-43667-B
shēn lǐ jiě	9-57559-S
shēn lǐng	43-44705-B
shēn má zuì	7-41976-S
shēn mì jīng	57-51152-S
shēn mìng jì	43-42849-B
shēn míng	43-43352-B
shēn mò cè	70-16969-S
shēn móu	38-51572-B
shēn móu yuǎn lüè	38-51618-B
shēn nán bǎo	53-15053-S
shēn néng qū	52-26957-S
shēn pī yǔ máo	60-56586-B
shēn qiè	38-48735-B
shēn qiǎn	38-50649-B
shēn quán	4-16747-S
shēn qíng	38-50039-B
shēn qíng kuǎn kuǎn	38-50110-B
shēn qún dǎo	66-9774-S
shēn qīng rú yàn	60-57283-B
shēn qū	60-57245-B
shēn qǐng	43-44016-B
shēn qǐng biǎo	43-44205-B
shēn qǐng rén	43-44091-B
shēn qǐng shū	43-44147-B
shēn qǔ	43-43472-B
shēn rén jìng	32-8741-S
shēn rén miàn xiàng	42-16389-S
shēn rù	38-48676-B
shēn shuō	43-43962-B
shēn shuǐ	38-50357-B
shēn shàng	36-13471-S,50-64323-S,60-55180-B
shēn shàng xià	39-8613-S
shēn shì	6-19097-S,49-34366-B,60-55348-B
shēn shì yàn	18-34044-S
shēn shí	43-43424-B
shēn shòu	25-40023-S
shēn shù	43-44556-B
shēn shēn	38-50559-B,43-43733-B
shēn shǒu	4-61376-B,17-40926-S,60-56455-B
shēn shǔ	11-40199-B
shēn suì	38-51884-B
shēn suān	3-39329-S,3-39443-S,3-62390-S
shēn suō	4-61526-B
shēn suō xìng	4-61590-B
shēn sài	41-22007-S
shēn sù	43-43911-B
shēn sī	38-49884-B
shēn sī shú lǜ	38-49939-B
shēn tài	60-56400-B
shēn tán	38-51469-B
shēn tú	43-43162-B
shēn tīng	66-45109-S
shēn tǎo	43-43865-B
shēn tǐ	60-57585-B
shēn tǐ zhàng hài	60-57638-B
shēn wáng	60-55414-B
shēn wèi duì	59-48515-S
shēn wǎi	38-16900-S
shēn xiàn	38-51096-B,54-23005-B
shēn xiàng	10-60553-S
shēn xiè	43-44352-B
shēn xiù	11-39197-B,34-28609-S
shēn xuě	43-44630-B
shēn xìn	38-48492-B
shēn xìn bù yí	38-48544-B
shēn xíng	60-56148-B
shēn xùn zhí	42-26465-S
shēn xīn shuǎng kuài	60-56260-B
shēn xīn zhàng ài	60-56332-B
shēn yuán dì zhèn	38-50795-B
shēn yuān	38-50608-B,43-42758-B
shēn yuǎn	38-51818-B
shēn yán	43-43809-B
shēn yán jǐ	34-35399-S
shēn yè	38-49369-B
shēn yì	23-30028-S
shēn yìn xiàng	9-57467-S
shēn yín	13-16736-B,40-57620-S
shēn yù dé	40-1179-S
shēn yī biàn	28-54741-S
shēn yǎn yuán	32-18492-S
shēn yǐng	60-56207-B
shēn zhuàng	43-43542-B
shēn zhàng	26-48109-S
shēn zhèn	38-48963-B
shēn zhèn hé	38-49227-B
shēn zhèn jiàn lì bǎo	38-49039-B
shēn zhèn shì	38-49140-B
shēn zhòng	38-51966-B
shēn zhóu	46-61261-B
shēn zhā	43-43224-B
shēn zhāng	4-61230-B
shēn zhěn niàn	35-61332-S
shēn zhī dì	35-58424-S
shēn zhōng dú xìng dú jì	7-41842-S
shēn zhǎn	4-61185-B
shēn zi	60-56035-B,64-1307-S
shēn zi gǔ	60-56082-B
shēn zuì de wǎn shang	31-36317-S
shēn zuò zé	4-38996-S
shēn zài fú zhōng bù zhī fú	60-55846-B
shēn zào	38-51765-B
shēn zé	38-50868-B
shēn zì hào	39-57461-S
shēn zòu	43-43081-B
shēn ài	38-50191-B
shēn ào	38-49421-B
shēng	1-7959-S,1-14646-S,1-18232-S,1-50130-S,1-55021-S,1-69499-S,2-68720-S,3-19538-S,3-28325-S,3-35561-S,3-40984-S,3-45327-S,4-14509-S,4-21551-S,4-23079-S,4-64679-S,4-69229-S,5-6117-S,5-18579-S,5-52832-S,6-2988-S,6-4832-S,6-23309-S,6-31477-S,6-39035-S,7-24017-S,7-25508-S,7-56340-S,7-57056-S,7-71966-S,8-9302-S,8-9666-S,8-42192-S,8-44089-S,9-255-S,9-22063-S,9-62724-S,10-52837-B,10-59301-S,10-65555-S,11-29268-S,11-34523-S,11-37152-S,11-38293-S,11-66913-S,11-67593-S,12-9563-S,12-9667-S,12-10680-S,12-11474-S,12-58085-S,12-65630-S,12-68988-S,12-69039-S,13-2686-S,13-6929-S,13-9940-B,13-17606-S,13-18178-S,13-19573-S,13-24929-S,13-26570-S,13-44154-S,13-48750-S,14-1834-S,14-13081-S,14-31146-S,14-33013-S,14-33105-S,14-34262-S,14-35715-S,14-40195-S,14-48269-S,14-52391-S,14-54657-S,14-57270-S,16-48915-S,16-49713-S,16-57229-S,17-14351-S,17-31262-S,17-51580-S,17-71041-S,18-20313-S,18-21326-S,18-49834-S,19-28011-S,19-31169-S,20-1879-S,20-2211-S,20-31799-S,20-36123-S,20-47769-S,20-63165-S,20-69577-S,21-15531-S,22-389-S,22-8793-S,22-43624-S,22-44181-S,23-3050-S,23-53820-S,24-15144-S,24-16509-S,24-18352-S,24-24577-S,24-42815-S,24-43144-S,24-43744-S,24-53874-S,24-57447-S,24-64092-S,24-66533-S,24-66572-S,24-67853-S,25-6187-S,25-13805-S,25-22917-S,25-38016-S,25-38105-S,25-61640-S,27-42792-S,28-4127-S,28-14711-S,28-27138-S,28-39981-S,29-25633-S,29-31597-S,29-52700-S,30-16133-S,30-44200-S,30-52081-S,31-19686-B,31-27473-S,31-43406-S,32-3585-S,32-8929-S,33-54179-S,34-45314-S,35-21082-S,35-26316-S,35-56175-S,35-58558-S,35-59343-S,36-710-S,36-16105-S,36-22163-S,36-26107-S,36-52253-S,36-59905-S,37-45065-B,37-65223-S,38-1109-S,38-31882-S,39-27453-S,39-33827-S,40-33025-S,40-48955-S,40-60640-S,41-31837-S,41-35201-S,41-46827-S,41-55307-B,42-1888-S,42-19987-S,43-17960-B,43-32422-S,43-33425-B,43-46561-S,43-49128-S,43-53657-S,43-54294-S,43-54890-S,43-55030-S,43-60569-S,44-27209-S,44-27270-S,44-31659-S,44-32821-S,44-48045-S,45-50170-S,45-53510-S,46-2420-S,46-14250-S,46-30233-S,47-62362-S,48-4804-S,48-5336-B,48-9461-S,48-10492-S,48-11631-S,48-13220-S,49-24916-S,49-51333-S,50-30238-S,51-33705-S,51-65159-B,52-19991-S,52-36090-S,53-1480-S,53-48715-S,53-58570-S,54-7271-S,54-41310-S,55-3418-S,55-14623-S,56-19145-S,56-35711-S,56-37908-S,57-39861-S,57-58956-S,58-21114-S,58-23772-S,58-27149-S,58-27385-S,58-37921-S,58-41795-S,58-51168-S,59-8328-S,59-28087-S,60-2047-S,60-17020-S,60-19954-S,60-23352-S,60-44892-S,61-11431-S,61-11759-S,61-25676-S,62-25127-S,62-59745-S,63-12852-S,63-50103-S,63-52362-S,63-62418-S,64-4068-S,64-22190-S,65-23282-S,66-16576-S,66-17361-S,66-19892-B,66-24101-S,66-27907-S,66-33731-S,66-35336-S,66-63023-S,66-67664-S,67-23664-S,67-33057-S,67-37731-S,67-64018-S,68-19182-S,68-56771-S,68-62011-S,68-62785-S,68-63529-S,69-11390-S,70-11220-S,70-20608-S,70-34416-S,70-53951-S,71-48583-S,71-50480-B,71-52860-S,71-54182-S
shēng bìng	43-28064-B
shēng bù	56-38392-S
shēng bù féng shí	43-18074-B
shēng bù liáng xìng pín xuè	8-9364-S
shēng bù lǎo	65-17518-S
shēng bù sǐ	65-17449-S
shēng bēi	34-49233-S
shēng bō	35-20357-S,51-66348-B,60-23474-S
shēng bō jiǎn chá	60-23538-S
shēng chuán yì	12-51108-S
shēng chuān záo	18-33217-S
shēng chén	43-30118-B
shēng chén bā zì	43-30163-B
shēng chéng	43-20965-B
shēng chéng lùn	19-20711-S
shēng chéng sù	49-13140-S
shēng chéng wù	29-51439-S
shēng chóng	20-2480-S
shēng chù	41-55429-B
shēng chēng	51-66436-B
shēng chōu	43-21044-B
shēng chū	43-18484-B
shēng chǎn	8-9549-S,17-37337-S,26-58208-S,43-26523-B,63-61292-S
shēng chǎn duì	43-27806-B
